commercial_group,taxon_count_total,taxon_count_matched,catch_tonnes_total,catch_tonnes_matched,catch_tonnes_missing_tl,catch_coverage_fraction,sppr_correct,ppr_correct,tl_weighted_jensen,sppr_jensen,ppr_jensen,jensen_difference,jensen_ratio_correct_to_error,jensen_percent_difference
Cod-likes,23,23,443163.1875443222,443163.1875443222,0.0,1.0,1256.3048642308372,556748068.1599748,4.091543986902294,1234.6503586533308,547151588.4435507,9596479.716424108,1.0175389780805035,0.0175389780805035
Crustaceans,16,16,33024.9405126183,33024.9405126183,0.0,1.0,309.426837678063,10218802.90732563,3.4136305499263613,259.1973457478768,8559976.924352188,1658825.9829734415,1.193788604529326,0.1937886045293259
Flatfishes,14,14,29061.50834417379,29061.50834417379,0.0,1.0,1304.1828929076,37901522.02456293,3.8660578961799983,734.6117933750932,21348926.762898743,16552595.26166419,1.775336177106108,0.775336177106108
Herring-likes,4,4,30546.684731365993,30546.684731365993,0.0,1.0,239.59301870971882,7318772.406362055,3.3793301668776308,239.51359361840412,7316346.233137905,2426.173224150203,1.0003316099521318,0.00033160995213175453
Molluscs,18,18,72.16306530700001,72.16306530700001,0.0,1.0,49.660883915044394,3583.681609164695,2.4696767639661537,29.49013522378579,2128.098554066315,1455.58305509838,1.683982916259724,0.683982916259724
Other fishes & inverts,20,20,59341.531840947406,59341.531840947406,0.0,1.0,196.42823352196146,11656352.274004528,3.277990776918862,189.66656414296097,11255104.455252612,401247.8187519163,1.0356502971915698,0.035650297191569744
Perch-likes,15,15,63838.71648667149,63838.71648667149,0.0,1.0,430.9388446648315,27510582.727651943,3.627961984236241,424.5823966986915,27104795.24807925,405787.479572691,1.0149710586580227,0.01497105865802276
"Salmon, smelts, etc",9,9,461.4460984356,461.4460984356,0.0,1.0,1428.7080257561602,659271.7442888088,3.733190314677452,540.9913419299106,249638.34402099688,409633.4002678119,2.640907376926671,1.640907376926671
Scorpionfishes,7,7,15613.050026949199,15613.050026949199,0.0,1.0,572.5753167438801,8939647.064518483,3.73415350673782,542.1925011587333,8465278.644828014,474368.4196904693,1.0560369527800826,0.056036952780082624
Sharks & rays,12,12,445.7893123734,445.7893123734,0.0,1.0,719.6915986244198,320830.8228716931,3.838669195502836,689.7142445687755,307467.23882045347,13363.584051239653,1.043463440535996,0.043463440535995976
