commercial_group,catch_tonnes_matched,tl_weighted,sppr,ppr
Anchovies,111861.98015248781,3.1181510398727963,131.26563380999272,14683633.723957138
Cod-likes,7825.8121623662,4.444088733271677,2780.2812654247864,21757958.941760182
Crustaceans,88362.2979947881,3.1233448860225366,132.8448999378819,11738480.635398928
Flatfishes,59175.295089737105,3.4795946124973005,301.7134094267825,17853980.035360523
Herring-likes,757809.8044436984,2.729063678655881,53.58752247387249,40609149.9265476
Molluscs,23541.037660515,2.2741927683271537,18.801511658133254,442607.0940187268
Other fishes & inverts,1797878.4752323378,3.347297896558264,222.48354535954067,399998377.29529566
Perch-likes,1389185.130458009,3.7165474884185477,520.6519369606467,723281928.9698911
Scorpionfishes,9694.997496032402,3.8912763736908333,778.5318308005787,7547864.150193132
Sharks & rays,73335.4696613766,4.050519315474019,1123.360930627687,82382201.44682251
Tuna & billfishes,150484.68079289547,4.428853302866321,2684.437536118386,403966725.7312421
