unit_id,region_name,region_type,year,taxon,common_name,functional_group,commercial_group,catch_tonnes,landings_tonnes,discards_tonnes,reported_tonnes,unreported_tonnes,taxon_key,tl,match_method,tl_source,match_confidence,reference_taxon,sppr,ppr
LME_031,Somali Coastal Current,LME,2019,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,15652.0756653815,13417.3206545678,2234.7550108137,5847.0708829121995,9805.004782469301,marine fishes not identified,3.28,exact_sea_around_us,Sea Around Us exploited organisms,high,Marine fishes not identified,190.54607179632464,2982441.5334972893
LME_031,Somali Coastal Current,LME,2019,Elasmobranchii,"Sharks, rays, skates",Large sharks (>=90 cm),Sharks & rays,11254.054948888499,10867.7325470047,386.3224018838,7882.0042596313,3372.0506892572,elasmobranchii,4.05,exact_sea_around_us,Sea Around Us exploited organisms,high,Elasmobranchii,1122.018454301963,12627257.33838123
LME_031,Somali Coastal Current,LME,2019,Lethrinidae,"Emperors, scavengers",Medium reef assoc. fish (30 - 89 cm),Perch-likes,9703.1552391095,9135.9981968741,567.1570422354,5780.7115173017,3922.4437218078,lethrinidae,3.59,exact_sea_around_us,Sea Around Us exploited organisms,high,Lethrinidae,389.04514499428046,3774965.4369013673
LME_031,Somali Coastal Current,LME,2019,Carangidae,"Jacks, pompanos",Medium pelagics (30 - 89 cm),Perch-likes,9002.0819059964,8972.0455434031,30.036362593299998,3915.790710333,5086.2911956634,carangidae,4.05,exact_sea_around_us,Sea Around Us exploited organisms,high,Carangidae,1122.018454301963,10100502.025665749
LME_031,Somali Coastal Current,LME,2019,Rachycentron canadum,Cobia,Large pelagics (>=90 cm),Perch-likes,8813.1758489597,8813.1758489597,0.0,8399.2784825304,413.89736642929995,rachycentron canadum,3.96,exact_2020_supplement,2020 supplement MeanTL,high,Rachycentron canadum,912.0108393559096,8037711.903400967
LME_031,Somali Coastal Current,LME,2019,Sardinella,Sardinellas,Small pelagics (<30 cm),Herring-likes,8750.113360913,8750.113360913,0.0,7371.5188405627005,1378.5945203503,sardinella,2.77,exact_sea_around_us,Sea Around Us exploited organisms,high,Sardinella,58.8843655355589,515244.87362157885
LME_031,Somali Coastal Current,LME,2019,Nemipteridae,"Threadfins, whiptail breams",Small demersals (<30 cm),Perch-likes,8687.0816207157,8623.7221836475,63.3594370682,4646.5336532919,4040.5479674237995,nemipteridae,3.51,exact_sea_around_us,Sea Around Us exploited organisms,high,Nemipteridae,323.5936569296281,2811084.5096935537
LME_031,Somali Coastal Current,LME,2019,Rastrelliger kanagurta,Indian mackerel,Medium pelagics (30 - 89 cm),Perch-likes,8387.3344753176,8386.364797728,0.9696775896,5017.9509511237,3369.3835241939,rastrelliger kanagurta,3.19,exact_2020_supplement,2020 supplement MeanTL,high,Rastrelliger kanagurta,154.88166189124811,1299044.3023749494
LME_031,Somali Coastal Current,LME,2019,Batoidea,"Batoids, skates, rays, sawfishes",Large rays (>=90 cm),Sharks & rays,7592.7860690242005,7592.7860690242005,0.0,5356.2306571931,2236.5554118311,batoidea,3.72,exact_sea_around_us,Sea Around Us exploited organisms,high,Batoidea,524.8074602497728,3984750.773104447
LME_031,Somali Coastal Current,LME,2019,Octopoda,"Octopuses, argonauts",Cephalopods,Other fishes & inverts,6272.9733697335,6272.9733697335,0.0,5416.3083820157,856.6649877177999,octopoda,3.58,exact_sea_around_us,Sea Around Us exploited organisms,high,Octopoda,380.1893963205613,2384917.9585739365
