functional_group,catch_tonnes_matched,tl_weighted,sppr,ppr
Cephalopods,46432.575584225306,4.096180478076859,1247.9019923053193,57943303.57942208
Jellyfish,178.4466374777,3.46,288.40315031266056,51464.57241126996
Large bathydemersals (>=90 cm),109.7714833729,3.84,691.8309709189363,75943.31192108527
Large benthopelagics (>=90 cm),48881.43848319261,3.8824797189213722,762.9212627387698,37292688.7720848
Large demersals (>=90 cm),23747.2171284884,4.178112515449189,1506.9974430822242,35786995.49295042
Large flatfishes (>=90 cm),1556.8514660572,4.193502561898081,1561.3582483765704,2430802.8780255653
Large pelagics (>=90 cm),3168.9616558898992,4.31941395487731,2086.478696829613,6611970.98608417
Large rays (>=90 cm),3572.0250857925002,3.72,524.8074602497728,1874625.413223239
Large reef assoc. fish (>=90 cm),517.0683802343001,3.633929986911605,430.4572104201677,222575.8125521314
Large sharks (>=90 cm),2626.7946257920003,4.009547548443066,1022.2274723699232,2685181.630758255
"Lobsters, crabs",30856.7941180121,3.3659808892410843,232.2634588550773,7166905.731028494
Medium bathydemersals (30 - 89 cm),148.7713625894,3.5973333174273674,395.67017715697915,58864.391391633086
Medium benthopelagics (30 - 89 cm),351840.7501977339,3.568614862560663,370.3521434867621,130304976.00172117
Medium demersals (30 - 89 cm),190224.4300565642,3.549999850780912,354.8132673233891,67494151.55309904
Medium pelagics (30 - 89 cm),258141.85692159808,3.1962617789148013,157.13096544736035,40562079.20046507
Medium reef assoc. fish (30 - 89 cm),7081.8644284018,4.016895062644653,1039.6689231961884,7362794.36449789
Other demersal invertebrates,38255.7604142387,2.1148840398089686,13.02818868676487,498403.26503237203
Shrimps,13885.118450503,2.7051664286135333,50.718503248026146,704232.4252310642
Small bathydemersals (<30 cm),1511.7817078331,3.51,323.5936569296281,489202.97131703136
Small bathypelagics (<30 cm),122.4792590461,3.1,125.89254117941675,15419.225163085595
Small benthopelagics (<30 cm),0.3810612237,3.6199999999999997,416.8693834703351,158.85275738827045
Small demersals (<30 cm),22632.7971187329,3.0,100.0,2263279.7118732897
Small pelagics (<30 cm),18442.835557229697,3.1498196342150933,141.19510288915768,2604038.0640708627
Small to medium flatfishes (<90 cm),28085.066265593498,3.579753589075183,379.9737448382089,10671587.802966813
