area_name,area_type,year,scientific_name,common_name,functional_group,commercial_group,fishing_entity,fishing_sector,catch_type,reporting_status,gear_type,end_use_type,tonnes,landed_value
"Gulf of Alaska",lme,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Canada",Industrial,Landings,Reported,bottom trawl,Direct human consumption,4893.9930527511,4365636.099472142
"Gulf of Alaska",lme,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Canada",Industrial,Landings,Reported,bottom trawl,Fishmeal and fish oil,2.4494459723,0.030941509298321204
"Gulf of Alaska",lme,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Canada",Industrial,Landings,Reported,bottom trawl,Other,2.4494459723,0.030941509298321204
"Gulf of Alaska",lme,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Canada",Industrial,Landings,Reported,pelagic trawl,Direct human consumption,1.3120819401,1170.429181500094
"Gulf of Alaska",lme,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Canada",Industrial,Landings,Reported,pelagic trawl,Fishmeal and fish oil,0.0006566977,8.295433833065146e-06
"Gulf of Alaska",lme,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Canada",Industrial,Landings,Reported,pelagic trawl,Other,0.0006566977,8.295433833065146e-06
"Gulf of Alaska",lme,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Canada",Industrial,Landings,Reported,longline,Direct human consumption,23.5830202615,21036.990342745135
"Gulf of Alaska",lme,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Canada",Industrial,Landings,Reported,longline,Fishmeal and fish oil,0.0118033134,0.00014909997477285017
"Gulf of Alaska",lme,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Canada",Industrial,Landings,Reported,longline,Other,0.0118033134,0.00014909997477285017
"Gulf of Alaska",lme,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Canada",Industrial,Landings,Reported,purse seine,Direct human consumption,207.2660228589,184889.52105855336
"Gulf of Alaska",lme,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Canada",Industrial,Landings,Reported,purse seine,Fishmeal and fish oil,0.1037367482,0.0013104071673969947
"Gulf of Alaska",lme,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Canada",Industrial,Landings,Reported,purse seine,Other,0.1037367482,0.0013104071673969947
"Gulf of Alaska",lme,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Canada",Industrial,Landings,Reported,gillnet,Direct human consumption,0.0019045641,1.6989468299391253
"Gulf of Alaska",lme,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Canada",Industrial,Landings,Reported,gillnet,Fishmeal and fish oil,0.0000009532,1.2041310347023858e-08
"Gulf of Alaska",lme,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","Canada",Industrial,Landings,Reported,gillnet,Other,0.0000009532,1.2041310347023858e-08
"Gulf of Alaska",lme,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United States of America",Industrial,Discards,Unreported,bottom trawl,,30.1241460495
"Gulf of Alaska",lme,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United States of America",Industrial,Landings,Reported,bottom trawl,Direct human consumption,10.5344259672,2073.3778464968127
"Gulf of Alaska",lme,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United States of America",Industrial,Landings,Reported,bottom trawl,Fishmeal and fish oil,0.0052724855,7.717211495955869e-05
"Gulf of Alaska",lme,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United States of America",Industrial,Landings,Reported,bottom trawl,Other,0.0052724855,7.717211495955869e-05
"Gulf of Alaska",lme,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United States of America",Industrial,Landings,Reported,purse seine,Direct human consumption,0.3083676405,60.69268856486362
"Gulf of Alaska",lme,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United States of America",Industrial,Landings,Reported,purse seine,Fishmeal and fish oil,0.0001543382,2.259010892320501e-06
"Gulf of Alaska",lme,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United States of America",Industrial,Landings,Reported,purse seine,Other,0.0001543382,2.259010892320501e-06
"Gulf of Alaska",lme,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United States of America",Subsistence,Landings,Unreported,subsistence fishing gear,Direct human consumption,10.2360152877,2014.6448795567744
"Gulf of Alaska",lme,1950,"Marine fishes not identified","Marine fishes nei","Medium demersals (30 - 89 cm)","Other fishes & inverts","United States of America",Artisanal,Discards,Unreported,small scale longline,,18.0298645612
