scientific_name,habitat,tl,source_rows
Abalistes stellaris,demersal,3.64,1
Ablennes hians,reef-associated,4.5,1
Abludomelita obtusata,benthic,2.0,1
Abralia astrosticta,pelagic,3.83,1
Abralia heminuchalis,pelagic,3.83,1
Abraliopsis hoylei,pelagic,3.84,1
Abramis brama,benthopelagic,3.05,1
Abramites hypselonotus,pelagic,2.93,1
Abudefduf abdominalis,reef-associated,3.01,1
Abudefduf bengalensis,reef-associated,3.08,1
Abudefduf concolor,reef-associated,2.68,1
Abudefduf lorenzi,reef-associated,2.68,1
Abudefduf luridus,reef-associated,3.5,1
Abudefduf margariteus,reef-associated,2.72,1
Abudefduf natalensis,reef-associated,2.76,1
Abudefduf notatus,reef-associated,2.73,1
Abudefduf saxatilis,reef-associated,3.82,1
Abudefduf septemfasciatus,reef-associated,3.01,1
Abudefduf sexfasciatus,reef-associated,2.37,1
Abudefduf sordidus,reef-associated,2.88,1
Abudefduf sparoides,reef-associated,3.03,1
Abudefduf taurus,reef-associated,2.14,1
Abudefduf troschelii,reef-associated,2.95,1
Abudefduf vaigiensis,reef-associated,2.57,1
Abudefduf whitleyi,reef-associated,2.64,1
Abyssocottus korotneffi,bathydemersal,3.86,1
Acalyptophis peronii,demersal,4.5,1
Acanthaluteres vittiger,demersal,2.0,1
Acanthaster planci,reef-associated,3.3,1
Acanthemblemaria aspera,reef-associated,3.12,1
Acanthemblemaria balanorum,reef-associated,3.4,1
Acanthemblemaria crockeri,reef-associated,3.4,1
Acanthemblemaria exilispinus,reef-associated,3.4,1
Acanthemblemaria hancocki,reef-associated,3.4,1
Acanthemblemaria macrospilus,reef-associated,3.4,1
Acanthemblemaria stephensi,reef-associated,3.4,1
Acanthephyra acutifrons,pelagic,3.32,1
Acanthephyra curtirostris,bathypelagic,3.76,1
Acanthephyra eximia,pelagic,3.71,1
Acanthephyra smithi,bathypelagic,3.48,1
Acanthephyra stylorostratis,bathypelagic,3.95,1
Acanthina monodon,benthic,3.1,1
Acanthistius brasilianus,benthopelagic,4.01,1
Acanthistius pictus,reef-associated,4.23,1
Acanthobrama hulensis,benthopelagic,3.6,1
Acanthobrama terraesanctae,benthopelagic,3.0,1
Acanthocepola abbreviata,benthopelagic,3.4,1
Acanthochaenus luetkenii,benthopelagic,3.5,1
Acanthochromis polyacanthus,reef-associated,2.69,1
Acanthoclinus fuscus,demersal,3.64,1
Acanthoclinus littoreus,demersal,3.37,1
Acanthoclinus marilynae,demersal,3.69,1
Acanthocobitis botia,demersal,3.2,1
Acanthocobitis urophthalmus,demersal,2.77,1
Acanthocybium solandri,pelagic-oceanic,4.26,1
Acanthocyclus albatrossis,benthic,3.31,1
Acanthodoras cataphractus,demersal,2.0,1
Acanthogobius flavimanus,demersal,3.39,1
Acanthogobius hasta,demersal,3.0,1
Acanthogobius lactipes,demersal,3.01,1
Acantholabrus palloni,reef-associated,3.5,1
Acantholumpenus mackayi,demersal,3.13,1
Acanthopagrus arabicus,pelagic-neritic,3.17,1
Acanthopagrus australis,demersal,3.1,1
Acanthopagrus bifasciatus,reef-associated,3.39,1
Acanthopagrus butcheri,demersal,3.47,1
Acanthopagrus pacificus,pelagic-neritic,3.59,1
Acanthopagrus schlegelii,demersal,3.24,1
Acanthopagrus sivicolus,demersal,3.38,1
Acanthoplesiops echinatus,pelagic-neritic,3.6,1
Acanthoplesiops hiatti,reef-associated,3.5,1
Acanthoplesiops indicus,demersal,3.55,1
Acanthopleura gemmata,benthic,2.0,1
Acanthopsetta nadeshnyi,demersal,3.35,1
Acanthopsoides delphax,demersal,3.5,1
Acanthopsoides gracilentus,demersal,3.5,1
Acanthopsoides gracilis,demersal,2.6,1
Acanthopsoides hapalias,demersal,2.83,1
Acanthopsoides molobrion,demersal,3.5,1
Acanthostracion polygonius,reef-associated,2.03,1
Acanthostracion quadricornis,reef-associated,2.68,1
Acanthurus achilles,reef-associated,2.0,1
Acanthurus albipectoralis,reef-associated,3.4,1
Acanthurus bahianus,reef-associated,2.0,1
Acanthurus bariene,reef-associated,2.0,1
Acanthurus blochii,reef-associated,2.0,1
Acanthurus chirurgus,reef-associated,2.09,1
Acanthurus coeruleus,reef-associated,2.01,1
Acanthurus dussumieri,reef-associated,2.02,1
Acanthurus gahhm,reef-associated,2.76,1
Acanthurus guttatus,reef-associated,2.0,1
Acanthurus leucopareius,reef-associated,2.0,1
Acanthurus leucosternon,reef-associated,2.0,1
Acanthurus lineatus,reef-associated,2.0,1
Acanthurus maculiceps,reef-associated,2.0,1
Acanthurus mata,reef-associated,2.53,1
Acanthurus monroviae,demersal,2.5,1
Acanthurus nigricans,reef-associated,2.0,1
Acanthurus nigricauda,reef-associated,2.99,1
Acanthurus nigrofuscus,reef-associated,2.0,1
Acanthurus nigroris,reef-associated,2.0,1
Acanthurus nubilus,reef-associated,3.4,1
Acanthurus olivaceus,reef-associated,2.2,1
Acanthurus pyroferus,reef-associated,2.0,1
Acanthurus randalli,reef-associated,2.0,1
Acanthurus sohal,reef-associated,2.0,1
Acanthurus tennentii,reef-associated,2.0,1
Acanthurus thompsoni,reef-associated,3.41,1
Acanthurus triostegus,reef-associated,2.78,1
Acanthurus xanthopterus,reef-associated,2.87,1
Acantopsis dialuzona,demersal,3.5,1
Acapoeta tanganicae,benthopelagic,2.0,1
Acarichthys heckelii,benthopelagic,2.67,1
Acaronia nassa,benthopelagic,3.65,1
Acaronia vultuosa,benthopelagic,4.2,1
Acentrogobius caninus,demersal,3.5,1
Acentrogobius moloanus,demersal,4.2,1
Acentrogobius pflaumii,demersal,3.07,1
Acentronura gracilissima,reef-associated,3.75,1
Acestrorhynchus altus,benthopelagic,4.2,1
Acestrorhynchus falcatus,benthopelagic,4.2,1
Acestrorhynchus falcirostris,benthopelagic,3.85,1
Acestrorhynchus heterolepis,benthopelagic,4.2,1
Acestrorhynchus microlepis,benthopelagic,4.35,1
Acheilognathus majusculus,benthopelagic,2.0,1
Achiroides leucorhynchos,demersal,3.5,1
Achiroides melanorhynchus,demersal,3.5,1
Achiropsetta tricholepis,demersal,3.37,1
Achirus achirus,demersal,4.01,1
Achirus lineatus,reef-associated,3.52,1
Achirus mazatlanus,demersal,3.2,1
Achirus scutum,demersal,3.27,1
Achoerodus gouldii,reef-associated,3.78,1
Achondrostoma arcasii,benthopelagic,3.5,1
Acipenser baerii,demersal,3.33,2
Acipenser brevirostrum,demersal,3.25,1
Acipenser dabryanus,demersal,2.0,1
Acipenser fulvescens,demersal,3.28,1
Acipenser gueldenstaedtii,demersal,3.32,1
Acipenser medirostris,demersal,3.25,1
Acipenser naccarii,demersal,3.35,1
Acipenser nudiventris,demersal,3.33,1
Acipenser oxyrinchus,demersal,3.325,2
Acipenser persicus,demersal,3.72,1
Acipenser ruthenus,demersal,3.57,1
Acipenser schrenckii,demersal,3.26,1
Acipenser sinensis,demersal,3.5,1
Acipenser stellatus,demersal,3.49,1
Acipenser sturio,demersal,3.51,1
Acipenser transmontanus,demersal,3.25,1
Acmaea mitra,benthopelagic,2.0,1
Acnodon normani,benthopelagic,2.31,1
Acnodon senai,benthopelagic,2.03,1
Acodontaster conspicuus,benthic,3.0,1
Acodontaster hodgsoni,benthic,3.0,1
Acreichthys tomentosus,reef-associated,2.97,1
Acrocheilus alutaceus,demersal,2.13,1
Acrochordonichthys rugosus,demersal,4.2,1
Acrocnida brachiata,benthic,2.0,1
Acropoma japonicum,bathypelagic,3.26,1
Aculeola nigra,demersal,3.87,1
Acyrtops beryllinus,reef-associated,3.33,1
Acyrtus rubiginosus,demersal,3.26,1
Aegires albopunctatus,demersal,3.0,1
Aeneator fontainei,benthic,3.1,1
Aeolidia papillosa,benthic,3.6,1
Aeolidiella alba,benthic,4.368,1
Aeoliscus punctulatus,reef-associated,3.1,1
Aeoliscus strigatus,reef-associated,3.46,1
Aequidens gerciliae,benthopelagic,3.07,1
Aequidens patricki,benthopelagic,3.73,1
Aequidens tetramerus,benthopelagic,3.24,1
Aequidens tubicen,benthopelagic,3.17,1
Aequipecten opercularis,benthic,2.0,1
Aequorea victoria,pelagic,4.0,1
Aethaloperca rogaa,reef-associated,4.2,1
Aethia cristatella,others,3.57,1
Aethia psittacula,others,4.04,1
Aethia pusilla,others,3.98,1
Aethia pygmaea,others,3.43,1
