group_name,model_tl,grouping_basis,explicit_members,supporting_taxa,membership_source,source_relationship,source_location,source_url,notes
Diatoms,1,taxonomic,,,Chiaverano (2018) and explicitly adopted Tam et al. (2008) predecessor,direct source,Chiaverano (2018) pp.29-30; Supplement Tables A/E; Tam (2008) pp.353-354,https://doi.org/10.1016/j.pocean.2018.04.009,Diatoms.
Dino/silicoflagellates,1,taxonomic,,,Chiaverano (2018) and explicitly adopted Tam et al. (2008) predecessor,direct source,Chiaverano (2018) pp.29-30; Supplement Tables A/E; Tam (2008) pp.353-354,https://doi.org/10.1016/j.pocean.2018.04.009,Dinoflagellates and silicoflagellates.
Microzooplankton,2.212121212121212,size,,,Chiaverano (2018) and explicitly adopted Tam et al. (2008) predecessor,direct source,Chiaverano (2018) pp.29-30; Supplement Tables A/E; Tam (2008) pp.353-354,https://doi.org/10.1016/j.pocean.2018.04.009,Microzooplankton 20-200 micrometres.
Mesozooplankton,2.181818181818182,size,,,Chiaverano (2018) and explicitly adopted Tam et al. (2008) predecessor,direct source,Chiaverano (2018) pp.29-30; Supplement Tables A/E; Tam (2008) pp.353-354,https://doi.org/10.1016/j.pocean.2018.04.009,Mesozooplankton 200-2000 micrometres.
Macrozooplankton,2.303030303030303,size,,,Chiaverano (2018) and explicitly adopted Tam et al. (2008) predecessor,direct source,Chiaverano (2018) pp.29-30; Supplement Tables A/E; Tam (2008) pp.353-354,https://doi.org/10.1016/j.pocean.2018.04.009,Macrozooplankton 2-20 mm.
Gelatinous zooplankton,2.992424242424243,taxonomic,,,Chiaverano (2018) and explicitly adopted Tam et al. (2008) predecessor,direct source,Chiaverano (2018) pp.29-30; Supplement Tables A/E; Tam (2008) pp.353-354,https://doi.org/10.1016/j.pocean.2018.04.009,Small gelatinous zooplankton; Chrysaora plocamia is excluded into its own focal-model group.
Chrysaora plocamia,3.051393802259995,single stock,Chrysaora plocamia,,Chiaverano (2018) and explicitly adopted Tam et al. (2008) predecessor,direct source,Chiaverano (2018) pp.29-30; Supplement Tables A/E; Tam (2008) pp.353-354,https://doi.org/10.1016/j.pocean.2018.04.009,Named taxon; source spellings and verified aliases retained in members.csv.
Macrobenthos,2.052631578947368,taxonomic,,,Chiaverano (2018) and explicitly adopted Tam et al. (2008) predecessor,direct source,Chiaverano (2018) pp.29-30; Supplement Tables A/E; Tam (2008) pp.353-354,https://doi.org/10.1016/j.pocean.2018.04.009,"Benthic macroinvertebrates; no species membership list documented in focal paper, supplement or Tam predecessor."
Sardine,3.081475158660141,single stock,Sardinops sagax,,Chiaverano (2018) and explicitly adopted Tam et al. (2008) predecessor,direct source,Chiaverano (2018) pp.29-30; Supplement Tables A/E; Tam (2008) pp.353-354,https://doi.org/10.1016/j.pocean.2018.04.009,Named taxon; source spellings and verified aliases retained in members.csv.
Anchovy,2.934081345765596,single stock,Engraulis ringens,,Chiaverano (2018) and explicitly adopted Tam et al. (2008) predecessor,direct source,Chiaverano (2018) pp.29-30; Supplement Tables A/E; Tam (2008) pp.353-354,https://doi.org/10.1016/j.pocean.2018.04.009,Named taxon; source spellings and verified aliases retained in members.csv.
Mesopelagic fish,3.284848484848485,habitat,Vinciguerria lucetia; Lampanyctus spp.; Leuroglossus spp.,,Chiaverano (2018) and explicitly adopted Tam et al. (2008) predecessor,direct source,Chiaverano (2018) pp.29-30; Supplement Tables A/E; Tam (2008) pp.353-354,https://doi.org/10.1016/j.pocean.2018.04.009,Mesopelagic fishes; species/genus examples in Tam (2008) section 2.1.
Jumbo squid,4.086797321850294,single stock,Dosidicus gigas,,Chiaverano (2018) and explicitly adopted Tam et al. (2008) predecessor,direct source,Chiaverano (2018) pp.29-30; Supplement Tables A/E; Tam (2008) pp.353-354,https://doi.org/10.1016/j.pocean.2018.04.009,Named taxon; source spellings and verified aliases retained in members.csv.
Other cephalopods,3.174424242424243,taxonomic,Loligo gahi; Octopus vulgaris; Logigunculla sp.,,Chiaverano (2018) and explicitly adopted Tam et al. (2008) predecessor,direct source,Chiaverano (2018) pp.29-30; Supplement Tables A/E; Tam (2008) pp.353-354,https://doi.org/10.1016/j.pocean.2018.04.009,Cephalopods other than the separately modelled jumbo squid Dosidicus gigas.
Other small pelagic fish,2.768181818181818,residual pool,Anchoa nasus,,Chiaverano (2018) and explicitly adopted Tam et al. (2008) predecessor,direct source,Chiaverano (2018) pp.29-30; Supplement Tables A/E; Tam (2008) pp.353-354,https://doi.org/10.1016/j.pocean.2018.04.009,"Other small pelagic fish, excluding anchovy and sardine; Table E aggregates them as pelagic planktivorous fish."
Horse mackerel,3.445340771821614,single stock,Trachurus murphyi,,Chiaverano (2018) and explicitly adopted Tam et al. (2008) predecessor,direct source,Chiaverano (2018) pp.29-30; Supplement Tables A/E; Tam (2008) pp.353-354,https://doi.org/10.1016/j.pocean.2018.04.009,Named taxon; source spellings and verified aliases retained in members.csv.
Chub mackerel,3.601955384262967,single stock,Scomber japonicus,,Chiaverano (2018) and explicitly adopted Tam et al. (2008) predecessor,direct source,Chiaverano (2018) pp.29-30; Supplement Tables A/E; Tam (2008) pp.353-354,https://doi.org/10.1016/j.pocean.2018.04.009,Named taxon; source spellings and verified aliases retained in members.csv.
Other large pelagic fish,3.897127954782604,residual pool,Sarda chiliensis; Coryphaena hippurus; Thunnus albacares,,Chiaverano (2018) and explicitly adopted Tam et al. (2008) predecessor,direct source,Chiaverano (2018) pp.29-30; Supplement Tables A/E; Tam (2008) pp.353-354,https://doi.org/10.1016/j.pocean.2018.04.009,"Other large pelagic fishes; source examples are bonito, dolphinfish and yellowfin tuna. Table E calls the aggregate pelagic piscivorous fish."
Small hake,3.730402926500451,life stage,Merluccius gayi peruanus,,Chiaverano (2018) and explicitly adopted Tam et al. (2008) predecessor,direct source,Chiaverano (2018) pp.29-30; Supplement Tables A/E; Tam (2008) pp.353-354,https://doi.org/10.1016/j.pocean.2018.04.009,"Peruvian hake Merluccius gayi peruanus, <29 cm. Printed interval endpoints retained; catch is unaged."
Medium hake,3.867970436464992,life stage,M. gayi peruanus,,Chiaverano (2018) and explicitly adopted Tam et al. (2008) predecessor,direct source,Chiaverano (2018) pp.29-30; Supplement Tables A/E; Tam (2008) pp.353-354,https://doi.org/10.1016/j.pocean.2018.04.009,"Peruvian hake Merluccius gayi peruanus, 30-49 cm. Printed interval endpoints retained; catch is unaged."
Large hake,4.376603472176864,life stage,M. gayi peruanus,,Chiaverano (2018) and explicitly adopted Tam et al. (2008) predecessor,direct source,Chiaverano (2018) pp.29-30; Supplement Tables A/E; Tam (2008) pp.353-354,https://doi.org/10.1016/j.pocean.2018.04.009,"Peruvian hake Merluccius gayi peruanus, >50 cm. Printed interval endpoints retained; catch is unaged."
Flatfish,3.92129953038265,taxonomic,Paralichthys adspersus; Hippoglosina sp.,,Chiaverano (2018) and explicitly adopted Tam et al. (2008) predecessor,direct source,Chiaverano (2018) pp.29-30; Supplement Tables A/E; Tam (2008) pp.353-354,https://doi.org/10.1016/j.pocean.2018.04.009,Flatfishes; Table E aggregates as demersal piscivorous fish.
Small demersal fish,2.472727272727273,habitat; feeding guild,Odonthestes regia; Labrisomus philippi; Ctenosciaena peruviana,,Chiaverano (2018) and explicitly adopted Tam et al. (2008) predecessor,direct source,Chiaverano (2018) pp.29-30; Supplement Tables A/E; Tam (2008) pp.353-354,https://doi.org/10.1016/j.pocean.2018.04.009,Small demersal fishes; source examples take precedence over habitat heuristics. Table E aggregates as demersal planktivorous fish.
Benthic elasmobranchs,3.404504687960284,habitat; feeding guild,,,Chiaverano (2018) and explicitly adopted Tam et al. (2008) predecessor,direct source,Chiaverano (2018) pp.29-30; Supplement Tables A/E; Tam (2008) pp.353-354,https://doi.org/10.1016/j.pocean.2018.04.009,"Benthic elasmobranchs, separate from Chondrichthyans; Table E aggregates as demersal benthivorous fish."
Butter fishes,2.633052892562976,taxonomic,Trachinotus paitensis; Stromateus stellatus; Peprilus medius,,Chiaverano (2018) and explicitly adopted Tam et al. (2008) predecessor,direct source,Chiaverano (2018) pp.29-30; Supplement Tables A/E; Tam (2008) pp.353-354,https://doi.org/10.1016/j.pocean.2018.04.009,"Butter fishes; named examples Trachinotus, Stromateus and Peprilus. Table E aggregates as pelagic planktivorous fish."
Conger,4.165306519244008,taxonomic,,,Chiaverano (2018) and explicitly adopted Tam et al. (2008) predecessor,direct source,Chiaverano (2018) pp.29-30; Supplement Tables A/E; Tam (2008) pp.353-354,https://doi.org/10.1016/j.pocean.2018.04.009,Congers; no species list documented. Table E aggregates as demersal piscivorous fish.
Medium demersal fish,3.2413623234645,habitat; feeding guild,Paralabrax humeralis; Hemanthias peruanus; Mugil cephalus,,Chiaverano (2018) and explicitly adopted Tam et al. (2008) predecessor,direct source,Chiaverano (2018) pp.29-30; Supplement Tables A/E; Tam (2008) pp.353-354,https://doi.org/10.1016/j.pocean.2018.04.009,"Medium demersal fishes, source examples Paralabrax, Hemanthias and Mugil; Table E aggregates as demersal benthivorous fish."
Medium sciaenids,3.376461817236302,taxonomic,,,Chiaverano (2018) and explicitly adopted Tam et al. (2008) predecessor,direct source,Chiaverano (2018) pp.29-30; Supplement Tables A/E; Tam (2008) pp.353-354,https://doi.org/10.1016/j.pocean.2018.04.009,Medium sciaenids; no full species list documented. Ctenosciaena peruviana is explicitly in Small demersal fish. Table E aggregates as demersal benthivorous fish.
Sea robin,3.329151265268742,single stock,Prionotus stephanophrys,,Chiaverano (2018) and explicitly adopted Tam et al. (2008) predecessor,direct source,Chiaverano (2018) pp.29-30; Supplement Tables A/E; Tam (2008) pp.353-354,https://doi.org/10.1016/j.pocean.2018.04.009,Named taxon; source spellings and verified aliases retained in members.csv.
Catfish,3.148778445321641,single stock,Galeichtys peruvianus,,Chiaverano (2018) and explicitly adopted Tam et al. (2008) predecessor,direct source,Chiaverano (2018) pp.29-30; Supplement Tables A/E; Tam (2008) pp.353-354,https://doi.org/10.1016/j.pocean.2018.04.009,Named taxon; source spellings and verified aliases retained in members.csv.
Chondrichthyans,4.559153783576394,residual pool,,,Chiaverano (2018) and explicitly adopted Tam et al. (2008) predecessor,direct source,Chiaverano (2018) pp.29-30; Supplement Tables A/E; Tam (2008) pp.353-354,https://doi.org/10.1016/j.pocean.2018.04.009,Chondrichthyans other than the separately modelled benthic elasmobranch pool; Table E aggregates as apex predatory fish.
