printed_name,accepted_name,group_name,source_page
Sardinops sagax,,Sardine,Chiaverano et al. (2018) pp.29-30
Engraulis ringens,,Anchovy,Chiaverano et al. (2018) pp.29-30
Vinciguerria lucetia,,Mesopelagic fish,"Tam et al. (2008) pp.353-354, section 2.1; inherited explicitly by Chiaverano (2018) p.30"
Lampanyctus spp.,Lampanyctus,Mesopelagic fish,"Tam et al. (2008) pp.353-354, section 2.1; inherited explicitly by Chiaverano (2018) p.30"
Leuroglossus spp.,Leuroglossus,Mesopelagic fish,"Tam et al. (2008) pp.353-354, section 2.1; inherited explicitly by Chiaverano (2018) p.30"
Dosidicus gigas,,Jumbo squid,"Tam et al. (2008) pp.353-354, section 2.1; inherited explicitly by Chiaverano (2018) p.30"
Loligo gahi,Doryteuthis gahi,Other cephalopods,"Tam et al. (2008) pp.353-354, section 2.1; inherited explicitly by Chiaverano (2018) p.30"
Octopus vulgaris,,Other cephalopods,"Tam et al. (2008) pp.353-354, section 2.1; inherited explicitly by Chiaverano (2018) p.30"
Logigunculla sp.,,Other cephalopods,"Tam et al. (2008) pp.353-354, section 2.1; inherited explicitly by Chiaverano (2018) p.30"
Anchoa nasus,,Other small pelagic fish,"Tam et al. (2008) pp.353-354, section 2.1; inherited explicitly by Chiaverano (2018) p.30"
Trachurus murphyi,,Horse mackerel,"Tam et al. (2008) pp.353-354, section 2.1; inherited explicitly by Chiaverano (2018) p.30"
Scomber japonicus,,Chub mackerel,"Tam et al. (2008) pp.353-354, section 2.1; inherited explicitly by Chiaverano (2018) p.30"
Sarda chiliensis,,Other large pelagic fish,"Tam et al. (2008) pp.353-354, section 2.1; inherited explicitly by Chiaverano (2018) p.30"
Coryphaena hippurus,,Other large pelagic fish,"Tam et al. (2008) pp.353-354, section 2.1; inherited explicitly by Chiaverano (2018) p.30"
Thunnus albacares,,Other large pelagic fish,"Tam et al. (2008) pp.353-354, section 2.1; inherited explicitly by Chiaverano (2018) p.30"
Merluccius gayi peruanus,Merluccius peruanus,Small hake,"Tam et al. (2008) pp.353-354, section 2.1; inherited explicitly by Chiaverano (2018) p.30"
M. gayi peruanus,Merluccius peruanus,Medium hake,"Tam et al. (2008) pp.353-354, section 2.1; inherited explicitly by Chiaverano (2018) p.30"
M. gayi peruanus,Merluccius peruanus,Large hake,"Tam et al. (2008) pp.353-354, section 2.1; inherited explicitly by Chiaverano (2018) p.30"
Paralichthys adspersus,,Flatfish,"Tam et al. (2008) pp.353-354, section 2.1; inherited explicitly by Chiaverano (2018) p.30"
Hippoglosina sp.,Hippoglossina,Flatfish,"Tam et al. (2008) pp.353-354, section 2.1; inherited explicitly by Chiaverano (2018) p.30"
Odonthestes regia,Odontesthes regia,Small demersal fish,"Tam et al. (2008) pp.353-354, section 2.1; inherited explicitly by Chiaverano (2018) p.30"
Labrisomus philippi,Labrisomus philippii,Small demersal fish,"Tam et al. (2008) pp.353-354, section 2.1; inherited explicitly by Chiaverano (2018) p.30"
Ctenosciaena peruviana,,Small demersal fish,"Tam et al. (2008) pp.353-354, section 2.1; inherited explicitly by Chiaverano (2018) p.30"
Trachinotus paitensis,,Butter fishes,"Tam et al. (2008) pp.353-354, section 2.1; inherited explicitly by Chiaverano (2018) p.30"
Stromateus stellatus,,Butter fishes,"Tam et al. (2008) pp.353-354, section 2.1; inherited explicitly by Chiaverano (2018) p.30"
Peprilus medius,,Butter fishes,"Tam et al. (2008) pp.353-354, section 2.1; inherited explicitly by Chiaverano (2018) p.30"
Paralabrax humeralis,,Medium demersal fish,"Tam et al. (2008) pp.353-354, section 2.1; inherited explicitly by Chiaverano (2018) p.30"
Hemanthias peruanus,,Medium demersal fish,"Tam et al. (2008) pp.353-354, section 2.1; inherited explicitly by Chiaverano (2018) p.30"
Mugil cephalus,,Medium demersal fish,"Tam et al. (2008) pp.353-354, section 2.1; inherited explicitly by Chiaverano (2018) p.30"
Prionotus stephanophrys,,Sea robin,"Tam et al. (2008) pp.353-354, section 2.1; inherited explicitly by Chiaverano (2018) p.30"
Galeichtys peruvianus,Galeichthys peruvianus,Catfish,"Tam et al. (2008) pp.353-354, section 2.1; inherited explicitly by Chiaverano (2018) p.30"
Phalacrocorax bougainvillii,,Seabirds,"Tam et al. (2008) pp.353-354, section 2.1; inherited explicitly by Chiaverano (2018) p.30"
Sula variegata,,Seabirds,"Tam et al. (2008) pp.353-354, section 2.1; inherited explicitly by Chiaverano (2018) p.30"
Pelecanus thagus,,Seabirds,"Tam et al. (2008) pp.353-354, section 2.1; inherited explicitly by Chiaverano (2018) p.30"
Otaria flavescens,,Pinnipeds,"Tam et al. (2008) pp.353-354, section 2.1; inherited explicitly by Chiaverano (2018) p.30"
Arctocephalus australis,,Pinnipeds,"Tam et al. (2008) pp.353-354, section 2.1; inherited explicitly by Chiaverano (2018) p.30"
Chrysaora plocamia,,Chrysaora plocamia,Chiaverano et al. (2018) pp.29-30
Chelonia mydas,,Green sea turtle,Chiaverano et al. (2018) pp.29-30
Dermochelys coriacea,,Leatherback turtle,Chiaverano et al. (2018) pp.29-30
