taxon,common_name,functional_group,commercial_group,group,weights,confidence,evidence,explanation
Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,,,,,
Ethmalosa fimbriata,Bonga shad,Medium pelagics (30 - 89 cm),Herring-likes,,,,,
Sardinella,Sardinellas,Small pelagics (<30 cm),Herring-likes,,,,,
Engraulis encrasicolus,European anchovy,Small pelagics (<30 cm),Anchovies,,,,,
Pseudotolithus,African croakers,Large demersals (>=90 cm),Perch-likes,,,,,
Sardinella aurita,Round sardinella,Small pelagics (<30 cm),Herring-likes,,,,,
Cephalopoda,"Squids, cuttlefishes, octopuses",Cephalopods,Other fishes & inverts,,,,,
Brachydeuterus auritus,Bigeye grunt,Small demersals (<30 cm),Perch-likes,,,,,
Trachurus,"Jacks, horse mackerels",Medium pelagics (30 - 89 cm),Perch-likes,,,,,
Sardinella maderensis,Madeiran sardinella,Medium pelagics (30 - 89 cm),Herring-likes,,,,,
Katsuwonus pelamis,Skipjack tuna,Large pelagics (>=90 cm),Tuna & billfishes,,,,,
Thunnus albacares,Yellowfin tuna,Large pelagics (>=90 cm),Tuna & billfishes,,,,,
Galeoides decadactylus,Lesser African threadfin,Medium demersals (30 - 89 cm),Perch-likes,,,,,
Pseudotolithus elongatus,Bobo croaker,Medium demersals (30 - 89 cm),Perch-likes,,,,,
Sphyraena,"Barracudas, sennets",Large pelagics (>=90 cm),Perch-likes,,,,,
Clupeiformes,"Herrings, shads, anchovies",Small pelagics (<30 cm),Other fishes & inverts,,,,,
Carangidae,"Jacks, pompanos",Medium pelagics (30 - 89 cm),Perch-likes,,,,,
Trichiurus lepturus,Largehead hairtail,Large benthopelagics (>=90 cm),Perch-likes,,,,,
Sciaenidae,"Drums, croakers",Medium demersals (30 - 89 cm),Perch-likes,,,,,
Chloroscombrus chrysurus,Atlantic bumper,Medium pelagics (30 - 89 cm),Perch-likes,,,,,
Sarotherodon melanotheron,Blackchin tilapia,Small demersals (<30 cm),Perch-likes,,,,,
