group_name,model_tl,grouping_basis,explicit_members,supporting_taxa,membership_source,source_relationship,source_location,source_url,notes
Baleines,3.979562356563989,taxonomic,,,"Balaenoptera acurostrata; Balaenoptera edeni; Balaenoptera borealis; Balaenoptera musculus; Megaptera novaeangliae; Balaenoptera physalus (Table 2 p.126; printed spellings, Moroccan analogue composition adopted by the source).",direct source,"Guénette & Diallo 2004 pp.125-131; Tables 2, 4 and 6",https://www.seaaroundus.org/doc/publications/books-and-reports/2004/Palomares-et-al-west-africa-ecosystems.pdf,"Species-list absence is retained. Mapping confidence concerns the group crosswalk, not model geographical representativeness."
Dauphins,4.717188474794793,taxonomic,,,"Physeter macrocephalus; Globicephala melas; Globicephala macrorhynchus; Delphinus delphi; Stenella coeruleoalba; Ziphius cavirostris; Stenella attenuata; Hyperoodon ampullatus; Grampeus griseus; Tursiops truncatus; Phocaena phocoena; Pseudorca crassidens; Orcinus orca (Table 2 p.126; printed spellings, composition adopted by source).",direct source,"Guénette & Diallo 2004 pp.125-131; Tables 2, 4 and 6",https://www.seaaroundus.org/doc/publications/books-and-reports/2004/Palomares-et-al-west-africa-ecosystems.pdf,"Species-list absence is retained. Mapping confidence concerns the group crosswalk, not model geographical representativeness."
Tortues,2.181632653061225,taxonomic,,,"Caretta caretta. Source p.127 states that this turtle represents the modeled marine-turtle group, although four other sea-turtle species are present regionally.",direct source,"Guénette & Diallo 2004 pp.125-131; Tables 2, 4 and 6",https://www.seaaroundus.org/doc/publications/books-and-reports/2004/Palomares-et-al-west-africa-ecosystems.pdf,"Species-list absence is retained. Mapping confidence concerns the group crosswalk, not model geographical representativeness."
Oiseaux,3.545462130271481,taxonomic,,,"Ardea cinerea; Ardea goliath; Ardeola ralloides; Butorides striatus; Ciconia episcopus; Egretta alba; Egretta garzetta; Egretta gularis; Egretta intermedia; Mycteria ibis; Platalea alba; Scopus umbretta; Threskiornis aethiopica; Chlidonias laucopterus; Chlidonias niger; Gelochelidon nilotica; Larus cirrocephalus; Larus fuscus; Larus genei; Larus ridibundus; Rynchops flavirostris; Sterna bengalensis; Sterna caspia; Sterna hirundo; Sterna maxima; Sterna sandvicensis; Steruna albifrons; Actitits hypoleucos; Arenaria interpres; Burhinus senegalensis; Calidris alba; Calidris alpina; Calidris canutus; Calidris ferruginea; Calidris minuta; Charadrius alexandrinus; Charadrius hiaticula; Charadrius marginatus; Charadrius pecuarius; Glareola pratincola; Haematopus ostralegus; Himantopus himantopus; Limosa lapponica; Limosa limosa; Numenius arquata; Numenius phaeopus; Pluvialis squatarola; Recurvirostra avostta; Tringa erythropus; Tringa nebularia; Tringa stagnatilis; Tringa totanus; Vanellus spinosus; Alcedo cristata; Anhinga anhinga; Ceryle rudis; Megaceryle maxima; Pelecanus rufescens; Halcyon leucocephola; Pelecanus onocrotalus; Phalacrocorax africanus; Phoenicopterus minor; Phoenicopterus ruber (shore/coastal bird inventory, Table 4 pp.129-130; printed spellings; includes census taxa, with resident time weighted by source).",direct source,"Guénette & Diallo 2004 pp.125-131; Tables 2, 4 and 6",https://www.seaaroundus.org/doc/publications/books-and-reports/2004/Palomares-et-al-west-africa-ecosystems.pdf,"Species-list absence is retained. Mapping confidence concerns the group crosswalk, not model geographical representativeness."
Sélaciens L prof,4.545730475051753,"size, habitat and feeding guild",Bathyraja hesperafricana; Carcharhinus altimus; Carcharhinus longimanus; Isurus oxyrhinchus; Leucoraja leucosticta; Prionace glauca; Raja clavata; Rhincodon typus; Sphyrna zygaena; Squalus acanthia; Squalus blainville; Squatina aculeata; Torpedo nobiliana,Elasmobranchii; Squalidae; Prionace glauca; Rajiformes; Chondrichthyes; Rajidae; Sphyrna zygaena; Carcharhinus; Isurus oxyrinchus; Carcharhinidae; Sphyrna; Raja; Torpedinidae; Sphyrna mokarran; Batoidea; Sphyrna lewini; Isurus paucus; Sphyrnidae; Squalus blainville; Lamnidae; Isurus; Carcharhinus longimanus; Squalus,Bathyraja hesperafricana; Carcharhinus altimus; Carcharhinus longimanus; Isurus oxyrhinchus; Leucoraja leucosticta; Prionace glauca; Raja clavata; Rhincodon typus; Sphyrna zygaena; Squalus acanthia; Squalus blainville; Squatina aculeata; Torpedo nobiliana (Table 6 p.131; printed names; full accepted-name crosswalk in members.csv).,direct source,"Guénette & Diallo 2004 pp.125-131; Tables 2, 4 and 6",https://www.seaaroundus.org/doc/publications/books-and-reports/2004/Palomares-et-al-west-africa-ecosystems.pdf,"Species-list absence is retained. Mapping confidence concerns the group crosswalk, not model geographical representativeness."
Sélaciens L côtiers,4.122550944059172,"size, habitat and feeding guild",Alopias vulpinus; Carcharhinus limbatus; Dasyatis centroura; Dasyatis margarita; Galeocerdo cuvier; Gymnura. micrura; Leptocharias smithii; Mustelus mustelus; Pteromylaeus bovinus; Rhinobatos rhinobatos; Rhinoptera bonasus; Rhinoptera marginata; Rhizoprionodon acutus; Rhynchobatus luebberti; Squatina oculata; Torpedo marmorata; Zanobatus schoenleinii,Elasmobranchii; Dasyatidae; Chondrichthyes; Carcharhinus; Carcharhinidae; Rhinobatos; Carcharhinus limbatus; Torpedinidae; Galeocerdo cuvier; Batoidea; Rhinobatidae; Myliobatidae; Rhinobatos rhinobatos; Triakidae; Alopias; Alopias vulpinus; Mustelus; Mustelus mustelus; Alopias superciliosus; Leptocharias smithii; Bathytoshia centroura,Alopias vulpinus; Carcharhinus limbatus; Dasyatis centroura; Dasyatis margarita; Galeocerdo cuvier; Gymnura. micrura; Leptocharias smithii; Mustelus mustelus; Pteromylaeus bovinus; Rhinobatos rhinobatos; Rhinoptera bonasus; Rhinoptera marginata; Rhizoprionodon acutus; Rhynchobatus luebberti; Squatina oculata; Torpedo marmorata; Zanobatus schoenleinii (Table 6 p.131; printed names; full accepted-name crosswalk in members.csv).,direct source,"Guénette & Diallo 2004 pp.125-131; Tables 2, 4 and 6",https://www.seaaroundus.org/doc/publications/books-and-reports/2004/Palomares-et-al-west-africa-ecosystems.pdf,"Species-list absence is retained. Mapping confidence concerns the group crosswalk, not model geographical representativeness."
Sélaciens M prof,4.485871887330383,"size, habitat and feeding guild",Dipturus doutrei; Etmopterus polli; Galeus polli; Raja maderensis; Raja miraletus; Rajella bigelowi; Squalus megalops,Elasmobranchii; Squalidae; Rajiformes; Chondrichthyes; Rajidae; Raja miraletus; Raja; Batoidea; Squalus; Etmopterus,Dipturus doutrei; Etmopterus polli; Galeus polli; Raja maderensis; Raja miraletus; Rajella bigelowi; Squalus megalops (Table 6 p.131; printed names; full accepted-name crosswalk in members.csv).,direct source,"Guénette & Diallo 2004 pp.125-131; Tables 2, 4 and 6",https://www.seaaroundus.org/doc/publications/books-and-reports/2004/Palomares-et-al-west-africa-ecosystems.pdf,"Species-list absence is retained. Mapping confidence concerns the group crosswalk, not model geographical representativeness."
Sélaciens M côtiers,4.117796713578526,"size, habitat and feeding guild",Dasyatis pastinaca; Mobula rochebrunei; Rhinobatos albomaculatus; Torpedo torpedo,Elasmobranchii; Dasyatidae; Chondrichthyes; Rhinobatos; Torpedinidae; Batoidea; Rhinobatidae; Dasyatis pastinaca,Dasyatis pastinaca; Mobula rochebrunei; Rhinobatos albomaculatus; Torpedo torpedo (Table 6 p.131; printed names; full accepted-name crosswalk in members.csv).,direct source,"Guénette & Diallo 2004 pp.125-131; Tables 2, 4 and 6",https://www.seaaroundus.org/doc/publications/books-and-reports/2004/Palomares-et-al-west-africa-ecosystems.pdf,"Species-list absence is retained. Mapping confidence concerns the group crosswalk, not model geographical representativeness."
Thons majeurs,4.477694868523266,"size, habitat and feeding guild",Istiophorus albicans; Katsuwonus pelamis; Makaira indica; Makaira nigricans; Tetrapturus albidus; Thunnus alalunga; Thunnus albacares; Thunnus obesus; Xiphias gladius,Katsuwonus pelamis; Thunnus albacares; Scombridae; Thunnus obesus; Scombroidei; Thunnus thynnus; Thunnus alalunga; Istiophorus albicans; Xiphias gladius; Makaira nigricans; Istiophoridae; Kajikia albida; Makaira; Xiphiidae; Tetrapturus pfluegeri; Istiophorus; Thunnus,Istiophorus albicans; Katsuwonus pelamis; Makaira indica; Makaira nigricans; Tetrapturus albidus; Thunnus alalunga; Thunnus albacares; Thunnus obesus; Xiphias gladius (Table 6 p.131; printed names; full accepted-name crosswalk in members.csv).,direct source,"Guénette & Diallo 2004 pp.125-131; Tables 2, 4 and 6",https://www.seaaroundus.org/doc/publications/books-and-reports/2004/Palomares-et-al-west-africa-ecosystems.pdf,"Species-list absence is retained. Mapping confidence concerns the group crosswalk, not model geographical representativeness."
Thons mineurs,4.181473980164887,"size, habitat and feeding guild",Orcynopsis unicolor; Scomberomorus tritor; Acanthocybium solandri; Auxis rochei; Euthynnus alletteratus; Auxis thazard; Sarda sarda,Scombridae; Scombroidei; Auxis rochei; Sarda sarda; Auxis thazard; Scomberomorus tritor; Euthynnus alletteratus; Acanthocybium solandri; Scomberomorus; Auxis; Sarda,Orcynopsis unicolor; Scomberomorus tritor; Acanthocybium solandri; Auxis rochei; Euthynnus alletteratus; Auxis thazard; Sarda sarda (Table 6 p.131; printed names; full accepted-name crosswalk in members.csv).,direct source,"Guénette & Diallo 2004 pp.125-131; Tables 2, 4 and 6",https://www.seaaroundus.org/doc/publications/books-and-reports/2004/Palomares-et-al-west-africa-ecosystems.pdf,"Species-list absence is retained. Mapping confidence concerns the group crosswalk, not model geographical representativeness."
