seq,group_name,taxon_descr
1,Baleines,"Balaenoptera acurostrata; Balaenoptera edeni; Balaenoptera borealis; Balaenoptera musculus; Megaptera novaeangliae; Balaenoptera physalus (Table 2 p.126; printed spellings, Moroccan analogue composition adopted by the source)."
2,Dauphins,"Physeter macrocephalus; Globicephala melas; Globicephala macrorhynchus; Delphinus delphi; Stenella coeruleoalba; Ziphius cavirostris; Stenella attenuata; Hyperoodon ampullatus; Grampeus griseus; Tursiops truncatus; Phocaena phocoena; Pseudorca crassidens; Orcinus orca (Table 2 p.126; printed spellings, composition adopted by source)."
3,Tortues,"Caretta caretta. Source p.127 states that this turtle represents the modeled marine-turtle group, although four other sea-turtle species are present regionally."
4,Oiseaux,"Ardea cinerea; Ardea goliath; Ardeola ralloides; Butorides striatus; Ciconia episcopus; Egretta alba; Egretta garzetta; Egretta gularis; Egretta intermedia; Mycteria ibis; Platalea alba; Scopus umbretta; Threskiornis aethiopica; Chlidonias laucopterus; Chlidonias niger; Gelochelidon nilotica; Larus cirrocephalus; Larus fuscus; Larus genei; Larus ridibundus; Rynchops flavirostris; Sterna bengalensis; Sterna caspia; Sterna hirundo; Sterna maxima; Sterna sandvicensis; Steruna albifrons; Actitits hypoleucos; Arenaria interpres; Burhinus senegalensis; Calidris alba; Calidris alpina; Calidris canutus; Calidris ferruginea; Calidris minuta; Charadrius alexandrinus; Charadrius hiaticula; Charadrius marginatus; Charadrius pecuarius; Glareola pratincola; Haematopus ostralegus; Himantopus himantopus; Limosa lapponica; Limosa limosa; Numenius arquata; Numenius phaeopus; Pluvialis squatarola; Recurvirostra avostta; Tringa erythropus; Tringa nebularia; Tringa stagnatilis; Tringa totanus; Vanellus spinosus; Alcedo cristata; Anhinga anhinga; Ceryle rudis; Megaceryle maxima; Pelecanus rufescens; Halcyon leucocephola; Pelecanus onocrotalus; Phalacrocorax africanus; Phoenicopterus minor; Phoenicopterus ruber (shore/coastal bird inventory, Table 4 pp.129-130; printed spellings; includes census taxa, with resident time weighted by source)."
5,Sélaciens L prof,Bathyraja hesperafricana; Carcharhinus altimus; Carcharhinus longimanus; Isurus oxyrhinchus; Leucoraja leucosticta; Prionace glauca; Raja clavata; Rhincodon typus; Sphyrna zygaena; Squalus acanthia; Squalus blainville; Squatina aculeata; Torpedo nobiliana (Table 6 p.131; printed names; full accepted-name crosswalk in members.csv).
6,Sélaciens L côtiers,Alopias vulpinus; Carcharhinus limbatus; Dasyatis centroura; Dasyatis margarita; Galeocerdo cuvier; Gymnura. micrura; Leptocharias smithii; Mustelus mustelus; Pteromylaeus bovinus; Rhinobatos rhinobatos; Rhinoptera bonasus; Rhinoptera marginata; Rhizoprionodon acutus; Rhynchobatus luebberti; Squatina oculata; Torpedo marmorata; Zanobatus schoenleinii (Table 6 p.131; printed names; full accepted-name crosswalk in members.csv).
7,Sélaciens M prof,Dipturus doutrei; Etmopterus polli; Galeus polli; Raja maderensis; Raja miraletus; Rajella bigelowi; Squalus megalops (Table 6 p.131; printed names; full accepted-name crosswalk in members.csv).
8,Sélaciens M côtiers,Dasyatis pastinaca; Mobula rochebrunei; Rhinobatos albomaculatus; Torpedo torpedo (Table 6 p.131; printed names; full accepted-name crosswalk in members.csv).
9,Thons majeurs,Istiophorus albicans; Katsuwonus pelamis; Makaira indica; Makaira nigricans; Tetrapturus albidus; Thunnus alalunga; Thunnus albacares; Thunnus obesus; Xiphias gladius (Table 6 p.131; printed names; full accepted-name crosswalk in members.csv).
10,Thons mineurs,Orcynopsis unicolor; Scomberomorus tritor; Acanthocybium solandri; Auxis rochei; Euthynnus alletteratus; Auxis thazard; Sarda sarda (Table 6 p.131; printed names; full accepted-name crosswalk in members.csv).
11,Côtier pel L pred,Albula vulpes; Alectis alexandrinus; Caranx crysos; Caranx hippos; Caranx rhonchus; Caranx senegallus; Chloroscombrus chrysurus; Elops lacerta; Elops senegalensis; Hemicaranx bicolor; Lichia amia; Pomatomus saltatrix; Rachycentron canadum; Selene dorsalis; Seriola dumerili; Sphyraena afra; Sphyraena guachancho; Sphyraena sphyraena; Trachinotus goreensis; Trachinotus maxillosus (Table 6 p.131; printed names; full accepted-name crosswalk in members.csv).
12,Côtier pel S inv,Engraulis encrasicolus; Hemiramphus brasiliensis; Ilisha africana; Sardinella aurita; Sardinella maderensis (Table 6 p.131; printed names; full accepted-name crosswalk in members.csv).
13,Ethmalose,Ethmalosa fimbriata (Table 6 p.131; printed names; full accepted-name crosswalk in members.csv).
14,Pel L pred,Ablennes hians; Alectis ciliaris; Coryphaena equiselis; Coryphaena hippurus; Megalops atlanticus; Mola mola (Table 6 p.131; printed names; full accepted-name crosswalk in members.csv).
15,Pel S inv,Cheilopogon cyanopterus; Cheilopogon nigricans; Decapterus punctatus; Scomber japonicus; Selar crumenophthalmus; Trachurus capensis; Trachurus trecae (Table 6 p.131; printed names; full accepted-name crosswalk in members.csv).
16,Bars,Pseudotolithus senegalensis; Pseudotolithus senegallus; Pseudotolithus typus; Pseudotolithus elongatus; Pseudotolithus epipercus; Pseudotolithus moorii (Table 6 p.131; printed names; full accepted-name crosswalk in members.csv).
17,Gros capitaine,Polydactylus quadrifilis (Table 6 p.131; printed names; full accepted-name crosswalk in members.csv).
18,Côtier L pred,Ephippion guttifer; Argyrosomus regius; Cynoponticus ferox; Dentex canariensis; Dentex gibbosus; Epinephelus costae; Epinephelus itajara; Fistularia petimba; Fistularia tabacaria; Lobotes surinamensis; Lutjanus agennes; Lutjanus endecacanthus; Lutjanus fulgens; Lutjanus goreensis; Muraena melanotis; Muraena robusta; Psettodes belcheri; Trichiurus lepturus (Table 6 p.131; printed names; full accepted-name crosswalk in members.csv).
19,Côtier M pred,Batrachoides liberiensis; Bodianus speciosus; Gymnothorax mareei; Halobatrachus didactylus; Holacanthus africanus; Naucrates ductor (Table 6 p.131; printed names; full accepted-name crosswalk in members.csv).
20,Mâchoiron,Arius gigas; Arius heudelotii; Arius latiscutatus; Arius parkii (Table 6 p.131; printed names; full accepted-name crosswalk in members.csv).
21,Disques,Ephippus goreensis; Chaetodipterus lippei; Drepane africana (Table 6 p.131; printed names; full accepted-name crosswalk in members.csv).
22,Mulets,Acanthurus monroviae; Aluterus schoepfii; Liza dumerili; Liza falcipinnis; Liza grandisquamis; Mugil bananensis; Sarpa salpa (Table 6 p.131; printed names; full accepted-name crosswalk in members.csv).
23,Petit capitaine,Galeoides decadactylus (Table 6 p.131; printed names; full accepted-name crosswalk in members.csv).
