group_name,model_tl,grouping_basis,explicit_members,supporting_taxa,membership_source,source_relationship,source_location,source_url,notes
Marine Mammals,4.060789261399965,taxonomic,Tursiops truncatus; Sousa chinensis; Delphinus delphis,,CMFRI Bulletin 51 (2005),direct source,"CMFRI Bulletin 51, Components of Ecological Groupings, printed pp.11-12 / PDF pp.21-22",https://eprints.cmfri.org.in/3945/,
Sharks,4.449079912213808,taxonomic,Rhizoprionodon acutus; Carcharinus limbatus; Scoliodon laticaudus; Sphyrna lewini,,CMFRI Bulletin 51 (2005),direct source,"CMFRI Bulletin 51, Components of Ecological Groupings, printed pp.11-12 / PDF pp.21-22",https://eprints.cmfri.org.in/3945/,
Skates & Rays,3.586446204061042,taxonomic,Rhinobatos granulatus; Rhinoptera javanica; Dasyatis sp.,,CMFRI Bulletin 51 (2005),direct source,"CMFRI Bulletin 51, Components of Ecological Groupings, printed pp.11-12 / PDF pp.21-22",https://eprints.cmfri.org.in/3945/,
Large Pelagics,4.17867900620566,size; habitat; feeding guild,Scomberomorus commerson; S. guttatus; Rachycentron canadum; Sphyraena obtusata; S. jello,,CMFRI Bulletin 51 (2005),direct source,"CMFRI Bulletin 51, Components of Ecological Groupings, printed pp.11-12 / PDF pp.21-22",https://eprints.cmfri.org.in/3945/,
Tunas,4.142833685893184,taxonomic,Euthynnus affinis; Thunnus tonggol; Auxis thazard; A. rochei,,CMFRI Bulletin 51 (2005),direct source,"CMFRI Bulletin 51, Components of Ecological Groupings, printed pp.11-12 / PDF pp.21-22",https://eprints.cmfri.org.in/3945/,
Cephalopods,4.182810013258459,taxonomic,Loligo duvauceli; Sepia pharaonis; S. elliptica; Sepiella inermis,,CMFRI Bulletin 51 (2005),direct source,"CMFRI Bulletin 51, Components of Ecological Groupings, printed pp.11-12 / PDF pp.21-22",https://eprints.cmfri.org.in/3945/,
Large Benthopelagics,4.149423978786935,size; habitat; feeding guild,Trichiurus lepturus; Megalaspis cordyla; Scomberoides tol; Chirocentrus dorab; Tachysurus sp.,,CMFRI Bulletin 51 (2005),direct source,"CMFRI Bulletin 51, Components of Ecological Groupings, printed pp.11-12 / PDF pp.21-22",https://eprints.cmfri.org.in/3945/,
Large Benthic Carnivores,4.143639035235906,size; habitat; feeding guild,Epinephelus diacanthus; Pristipomoides filamentosus; Saurida tumbil; S. undosquamis; Serranus sp.; Lutjanus sp.,,CMFRI Bulletin 51 (2005),direct source,"CMFRI Bulletin 51, Components of Ecological Groupings, printed pp.11-12 / PDF pp.21-22",https://eprints.cmfri.org.in/3945/,
Med Benthic Carnivores,3.190446572541063,size; habitat; feeding guild,Johnieops sina; Otolithes ruber; Grammoplites suppositus; Pampus argenteus; Formio niger; Priacanthus hamrur; Polynemus sp.; Dactyloptera sp.; Pseudorhombus arsius; P . natalensis; Balistids,,CMFRI Bulletin 51 (2005),direct source,"CMFRI Bulletin 51, Components of Ecological Groupings, printed pp.11-12 / PDF pp.21-22",https://eprints.cmfri.org.in/3945/,
Small Benthic Carnivores,2.683122789950743,size; habitat; feeding guild,Nemipterus japonicus; N. mesoprion; Therapon sp.; Lactarius lactarius; Secutor insidiator; Leiognathus bindus; Upeneus sp.; Apogon sp.; Uranoscopus sp.; Tetradon sp.,,CMFRI Bulletin 51 (2005),direct source,"CMFRI Bulletin 51, Components of Ecological Groupings, printed pp.11-12 / PDF pp.21-22",https://eprints.cmfri.org.in/3945/,
Small Benthopelagics,3.878123678001815,size; habitat; feeding guild,Decapterus russelli; D. macrosoma; Caranx kalla; Mene maculata; Myctophids,,CMFRI Bulletin 51 (2005),direct source,"CMFRI Bulletin 51, Components of Ecological Groupings, printed pp.11-12 / PDF pp.21-22",https://eprints.cmfri.org.in/3945/,
Mackerel,2,taxonomic,Rastrelliger kanagurta,,CMFRI Bulletin 51 (2005),direct source,"CMFRI Bulletin 51, Components of Ecological Groupings, printed pp.11-12 / PDF pp.21-22",https://eprints.cmfri.org.in/3945/,
