printed_name,accepted_name,group_name,source_page
Tursiops truncatus,,Marine Mammals,CMFRI Bulletin 51 printed p.11 / PDF p.21; member 1
Sousa chinensis,,Marine Mammals,CMFRI Bulletin 51 printed p.11 / PDF p.21; member 2
Delphinus delphis,,Marine Mammals,CMFRI Bulletin 51 printed p.11 / PDF p.21; member 3
Rhizoprionodon acutus,,Sharks,CMFRI Bulletin 51 printed p.11 / PDF p.21; member 4
Carcharinus limbatus,Carcharhinus limbatus,Sharks,CMFRI Bulletin 51 printed p.11 / PDF p.21; member 5
Scoliodon laticaudus,,Sharks,CMFRI Bulletin 51 printed p.11 / PDF p.21; member 6
Sphyrna lewini,,Sharks,CMFRI Bulletin 51 printed p.11 / PDF p.21; member 7
Rhinobatos granulatus,Glaucostegus granulatus,Skates & Rays,CMFRI Bulletin 51 printed p.11 / PDF p.21; member 8
Rhinoptera javanica,,Skates & Rays,CMFRI Bulletin 51 printed p.11 / PDF p.21; member 9
Dasyatis sp.,,Skates & Rays,CMFRI Bulletin 51 printed p.11 / PDF p.21; member 10
Scomberomorus commerson,,Large Pelagics,CMFRI Bulletin 51 printed p.11 / PDF p.21; member 11
S. guttatus,Scomberomorus guttatus,Large Pelagics,CMFRI Bulletin 51 printed p.11 / PDF p.21; member 12
Rachycentron canadum,,Large Pelagics,CMFRI Bulletin 51 printed p.11 / PDF p.21; member 13
Sphyraena obtusata,,Large Pelagics,CMFRI Bulletin 51 printed p.11 / PDF p.21; member 14
S. jello,Sphyraena jello,Large Pelagics,CMFRI Bulletin 51 printed p.11 / PDF p.21; member 15
Euthynnus affinis,,Tunas,CMFRI Bulletin 51 printed p.11 / PDF p.21; member 16
Thunnus tonggol,,Tunas,CMFRI Bulletin 51 printed p.11 / PDF p.21; member 17
Auxis thazard,,Tunas,CMFRI Bulletin 51 printed p.11 / PDF p.21; member 18
A. rochei,Auxis rochei,Tunas,CMFRI Bulletin 51 printed p.11 / PDF p.21; member 19
Loligo duvauceli,Uroteuthis duvaucelii,Cephalopods,CMFRI Bulletin 51 printed p.11 / PDF p.21; member 20
Sepia pharaonis,,Cephalopods,CMFRI Bulletin 51 printed p.11 / PDF p.21; member 21
S. elliptica,Sepia elliptica,Cephalopods,CMFRI Bulletin 51 printed p.11 / PDF p.21; member 22
Sepiella inermis,,Cephalopods,CMFRI Bulletin 51 printed p.11 / PDF p.21; member 23
Trichiurus lepturus,,Large Benthopelagics,CMFRI Bulletin 51 printed p.11 / PDF p.21; member 24
Megalaspis cordyla,,Large Benthopelagics,CMFRI Bulletin 51 printed p.11 / PDF p.21; member 25
Scomberoides tol,,Large Benthopelagics,CMFRI Bulletin 51 printed p.11 / PDF p.21; member 26
Chirocentrus dorab,,Large Benthopelagics,CMFRI Bulletin 51 printed p.11 / PDF p.21; member 27
Tachysurus sp.,,Large Benthopelagics,CMFRI Bulletin 51 printed p.11 / PDF p.21; member 28
Epinephelus diacanthus,,Large Benthic Carnivores,CMFRI Bulletin 51 printed p.11 / PDF p.21; member 29
Pristipomoides filamentosus,,Large Benthic Carnivores,CMFRI Bulletin 51 printed p.11 / PDF p.21; member 30
Saurida tumbil,,Large Benthic Carnivores,CMFRI Bulletin 51 printed p.11 / PDF p.21; member 31
S. undosquamis,Saurida undosquamis,Large Benthic Carnivores,CMFRI Bulletin 51 printed p.11 / PDF p.21; member 32
Serranus sp.,,Large Benthic Carnivores,CMFRI Bulletin 51 printed p.11 / PDF p.21; member 33
Lutjanus sp.,,Large Benthic Carnivores,CMFRI Bulletin 51 printed p.11 / PDF p.21; member 34
Johnieops sina,,Med Benthic Carnivores,CMFRI Bulletin 51 printed p.11 / PDF p.21; member 35
Otolithes ruber,,Med Benthic Carnivores,CMFRI Bulletin 51 printed p.11 / PDF p.21; member 36
Grammoplites suppositus,,Med Benthic Carnivores,CMFRI Bulletin 51 printed p.11 / PDF p.21; member 37
Pampus argenteus,,Med Benthic Carnivores,CMFRI Bulletin 51 printed p.11 / PDF p.21; member 38
Formio niger,Parastromateus niger,Med Benthic Carnivores,CMFRI Bulletin 51 printed p.11 / PDF p.21; member 39
Priacanthus hamrur,,Med Benthic Carnivores,CMFRI Bulletin 51 printed p.11 / PDF p.21; member 40
Polynemus sp.,,Med Benthic Carnivores,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 41
Dactyloptera sp.,,Med Benthic Carnivores,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 42
Pseudorhombus arsius,,Med Benthic Carnivores,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 43
P . natalensis,Pseudorhombus natalensis,Med Benthic Carnivores,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 44
Balistids,,Med Benthic Carnivores,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 45
Nemipterus japonicus,,Small Benthic Carnivores,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 46
N. mesoprion,Nemipterus mesoprion,Small Benthic Carnivores,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 47
Therapon sp.,Terapon,Small Benthic Carnivores,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 48
Lactarius lactarius,,Small Benthic Carnivores,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 49
Secutor insidiator,,Small Benthic Carnivores,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 50
Leiognathus bindus,Photopectoralis bindus,Small Benthic Carnivores,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 51
Upeneus sp.,,Small Benthic Carnivores,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 52
Apogon sp.,,Small Benthic Carnivores,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 53
Uranoscopus sp.,,Small Benthic Carnivores,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 54
Tetradon sp.,Tetraodon,Small Benthic Carnivores,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 55
Decapterus russelli,,Small Benthopelagics,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 56
D. macrosoma,Decapterus macrosoma,Small Benthopelagics,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 57
Caranx kalla,,Small Benthopelagics,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 58
Mene maculata,,Small Benthopelagics,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 59
Myctophids,,Small Benthopelagics,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 60
Rastrelliger kanagurta,,Mackerel,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 61
Sardinella longiceps,,Clupeids,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 62
S. fimbriata,Sardinella fimbriata,Clupeids,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 63
S. gibbosa,Sardinella gibbosa,Clupeids,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 64
Thryssa mystax,,Clupeids,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 65
Dussumieria acuta,,Clupeids,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 66
Escualosa thoracata,,Clupeids,CMFRI Bulletin 51 printed p.12 / PDF p.22; member 67
