taxon,groups,weights,weight_basis,confidence,catch_tonnes,SPPR_1986,SPPR_1995_TE0.1,SPPR_1995_TEmean,Ulanowicz_globalTEmean,Ulanowicz_TE,EwE_TE_noEE,EwE_TE_EE,SPPR_2015,new_TE_noEEfix,new_TE_EEfix,new_GE,new_WithEgestion,sym_TE_asPP,sym_TE_asDC,sym_GE_asPP,sym_GE_asDC,sym_WithEgestion_asPP,sym_WithEgestion_asDC,MC_new_GE,MC_new_TE_EEfix
Marine fishes not identified,Large Benthic Carnivores | Med Benthic Carnivores | Small Benthic Carnivores | Benthic Omnivores,0.287688 | 0.392990 | 0.239624 | 0.079699,catch_composition,low,24743762.172,106.362581,394.801881,52.974970,124.881610,223.211077,267.482850,262.166065,455.760981,455.760981,455.760981,252.055351,98.577934,455.760981,455.760981,252.055351,252.055351,98.577934,98.577934,265.646240,494.854727
Sardinella longiceps,Clupeids,1.000000,single,high,21859959.746,106.362581,88.561632,21.920534,63.185331,125.502905,125.502905,122.867344,135.671609,135.671609,135.671609,106.962478,52.045425,135.671609,135.671609,106.962478,106.962478,52.045425,52.045425,112.844145,138.447975
Penaeidae,Shrimps,1.000000,single,high,8918686.89,106.362581,102.724644,24.278186,49.254496,47.332503,47.332503,46.385853,49.861086,49.861086,49.861086,41.277787,24.793452,49.861086,49.861086,41.277787,41.277787,24.793452,24.793452,42.884683,51.839308
Rastrelliger kanagurta,Mackerel,1.000000,single,high,7443896.273,106.362581,10.000000,4.881897,4.881897,10.197541,10.197541,9.993590,9.458165,9.458165,9.458165,11.302127,10.304402,9.458165,9.458165,11.302127,11.302127,10.304402,10.304402,11.754132,9.496174
Sciaenidae,Med Benthic Carnivores,1.000000,single,high,6707975.357,106.362581,153.506319,32.014124,100.687820,159.061371,159.061371,156.039205,198.208223,198.208223,198.208223,116.373231,56.490526,198.208223,198.208223,116.373231,116.373231,56.490526,56.490526,123.709202,211.870923
Decapoda,Crabs & Lobster | Shrimps,0.119106 | 0.880894,catch_composition,medium,6694090.68,106.362581,99.467015,23.723014,48.209414,50.962751,50.962751,49.906424,57.923655,57.923655,57.923655,40.900431,24.791704,57.923655,57.923655,40.900431,40.900431,24.791704,24.791704,42.546001,61.181172
Harpadon nehereus,Large Benthic Carnivores,1.000000,single,low,6251570.721,106.362581,1113.102078,125.259096,249.981248,421.749845,575.638232,564.125467,1114.691652,1114.691652,1114.691652,635.937656,217.238675,1114.691652,1114.691652,635.937656,635.937656,217.238675,217.238675,669.742152,1212.578059
Clupeiformes,Large Benthopelagics | Clupeids | Anchovies,0.030720 | 0.920354 | 0.048927,explicit,medium,5102723.448,106.362581,135.022720,26.872456,78.680971,160.978708,162.642501,159.231138,199.666768,199.666768,199.666768,144.593071,64.109651,199.666768,199.666768,144.593071,144.593071,64.109651,64.109651,153.575113,206.949137
Nemipteridae,Small Benthic Carnivores,1.000000,single,high,4009328.132,106.362581,47.875255,14.351766,47.936313,123.682770,123.682770,121.085432,160.705061,160.705061,160.705061,86.695750,48.551122,160.705061,160.705061,86.695750,86.695750,48.551122,48.551122,90.594542,174.303817
Clupeidae,Clupeids,1.000000,single,high,3854519.676,106.362581,88.561632,21.920534,63.185331,125.502905,125.502905,122.867344,135.671609,135.671609,135.671609,106.962478,52.045425,135.671609,135.671609,106.962478,106.962478,52.045425,52.045425,112.844145,138.447975
Bivalvia,Heterotrophic Benthos,1.000000,single,high,3372976.991,106.362581,19.947374,7.853921,13.270207,123.888042,123.888042,15.362117,260.720597,260.720597,260.720597,19.314018,17.703696,260.720597,260.720597,19.314018,19.314018,17.703696,17.703696,19.988906,287.807317
Carangidae,Large Benthopelagics | Med Benthic Carnivores | Small Benthopelagics,0.510811 | 0.126891 | 0.362298,explicit,medium,3111577.64,106.362581,926.810474,107.659881,383.266265,901.582505,948.181866,928.473234,1521.952678,1521.952678,1521.952678,913.813930,303.406234,1521.952678,1521.952678,913.813930,913.813930,303.406234,303.406234,985.667190,1625.881480
Scomberomorus commerson,Large Pelagics,1.000000,single,high,3089127.602,106.362581,1182.417917,130.579526,655.098468,848.885192,883.261112,865.595889,1961.116323,1961.116323,1961.116323,1097.797369,300.803420,1961.116323,1961.116323,1097.797369,1097.797369,300.803420,300.803420,1217.954801,2161.079709
Thunnus albacares,Tunas,1.000000,single,high,3034889.901,106.362581,1377.951482,145.091076,354.016089,804.627355,818.101111,575.125081,970.782826,970.782826,970.782826,487.056907,182.863315,970.782826,970.782826,487.056907,487.056907,182.863315,182.863315,515.927281,1005.016370
Carcharhinidae,Sharks,1.000000,single,high,2956882.996,106.362581,2569.289220,222.822151,1308.685037,1955.186859,2007.418175,1423.259486,3930.042293,3930.042293,3930.042293,1585.345045,411.268522,3930.042293,3930.042293,1585.345045,1585.345045,411.268522,411.268522,1727.014600,4280.685883
Ariidae,Large Benthopelagics,1.000000,single,high,2892969.177,106.362581,1254.298198,135.995167,530.875777,1013.570171,1067.730872,1046.376254,1918.226529,1918.226529,1918.226529,1111.682878,334.624507,1918.226529,1918.226529,1111.682878,1111.682878,334.624507,334.624507,1212.403984,2057.246559
Elasmobranchii,Sharks | Skates & Rays,0.715817 | 0.284183,catch_composition,medium,2495476.49,106.362581,1946.568502,176.421748,1003.861031,2004.425457,2054.111071,1388.476293,3701.599597,3701.599597,3701.599597,1387.067246,396.000338,3701.599597,3701.599597,1387.067246,1387.067246,396.000338,396.000338,1502.509593,4019.204035
Siluriformes,Large Benthopelagics | Benthic Omnivores,0.999900 | 0.000100,explicit,medium,2341898.303,106.362581,1254.175837,135.982678,530.824911,1013.480720,1067.635986,1046.283266,1918.057562,1918.057562,1918.057562,1111.574597,334.593759,1918.057562,1918.057562,1111.574597,1111.574597,334.593759,334.593759,1212.285658,2057.066545
Netuma thalassina,Large Benthopelagics,1.000000,single,medium,2158951.505,106.362581,1254.298198,135.995167,530.875777,1013.570171,1067.730872,1046.376254,1918.226529,1918.226529,1918.226529,1111.682878,334.624507,1918.226529,1918.226529,1111.682878,1111.682878,334.624507,334.624507,1212.403984,2057.246559
