taxon,catch_tonnes,previous_group,group,evidence,explanation
Marine fishes not identified,24743762.170015164,Med Benthic Carnivores | Small Benthic Carnivores | Large Benthic Carnivores,Large Benthic Carnivores | Med Benthic Carnivores | Small Benthic Carnivores | Benthic Omnivores,composite_split,"Analyst composite: Marine fishes not identified spans these model compartments according to the Bulletin membership table and group accounts (printed pp.11-20). Documented taxonomic placements take priority over its SAU class Medium demersals (30 - 89 cm); weights are estimated, not published species proportions."
Clupeiformes,5102723.444606356,Clupeids | Anchovies,Large Benthopelagics | Clupeids | Anchovies,composite_split,"Analyst composite: Clupeiformes spans these model compartments according to the Bulletin membership table and group accounts (printed pp.11-20). Documented taxonomic placements take priority over its SAU class Small pelagics (<30 cm); weights are estimated, not published species proportions. Fixed weights use this LME 1950-2019 singly assigned catch within the named family/order only, excluding unrelated taxa in the candidate groups."
Carangidae,3111577.6401531864,Small Benthopelagics,Large Benthopelagics | Med Benthic Carnivores | Small Benthopelagics,composite_split,"Analyst composite: Carangidae spans these model compartments according to the Bulletin membership table and group accounts (printed pp.11-20). Documented taxonomic placements take priority over its SAU class Medium pelagics (30 - 89 cm); weights are estimated, not published species proportions. Fixed weights use this LME 1950-2019 singly assigned catch within the named family/order only, excluding unrelated taxa in the candidate groups."
Siluriformes,2341898.3039495973,Large Benthopelagics,Large Benthopelagics | Benthic Omnivores,composite_split,"Analyst composite: Siluriformes spans these model compartments according to the Bulletin membership table and group accounts (printed pp.11-20). Documented taxonomic placements take priority over its SAU class Medium demersals (30 - 89 cm); weights are estimated, not published species proportions. Fixed weights use this LME 1950-2019 singly assigned catch within the named family/order only, excluding unrelated taxa in the candidate groups."
Engraulidae,2035289.4293414457,Anchovies,Clupeids | Anchovies,composite_split,"Analyst composite: Engraulidae spans these model compartments according to the Bulletin membership table and group accounts (printed pp.11-20). Documented taxonomic placements take priority over its SAU class Small pelagics (<30 cm); weights are estimated, not published species proportions. Fixed weights use this LME 1950-2019 singly assigned catch within the named family/order only, excluding unrelated taxa in the candidate groups."
Perciformes,1815616.1780926976,Med Benthic Carnivores | Small Benthic Carnivores | Large Benthic Carnivores,Large Benthic Carnivores | Med Benthic Carnivores | Small Benthic Carnivores | Benthic Omnivores,composite_split,"Analyst composite: Perciformes spans these model compartments according to the Bulletin membership table and group accounts (printed pp.11-20). Documented taxonomic placements take priority over its SAU class Medium demersals (30 - 89 cm); weights are estimated, not published species proportions."
Scombridae,1098890.6414728854,Mackerel | Tunas | Large Pelagics,Large Pelagics | Tunas | Mackerel,composite_split,"Analyst composite: Scombridae spans these model compartments according to the Bulletin membership table and group accounts (printed pp.11-20). Documented taxonomic placements take priority over its SAU class Medium pelagics (30 - 89 cm); weights are estimated, not published species proportions. Fixed weights use this LME 1950-2019 singly assigned catch within the named family/order only, excluding unrelated taxa in the candidate groups."
Platycaranx chrysophrys,906175.2955680102,Large Benthic Carnivores,Large Benthopelagics,analogue,"Analyst analogue to the source large carangids Megalaspis/Scomberoides (Bulletin p.16; asymptotic lengths 53.4/46.0 cm). FishBase documents common 65 cm TL, maximum 72 cm FL and adults in open water around coastal reefs (https://fishbase.se/summary/Platycaranx-chrysophrys), contradicting the SAU <30 cm label. It is not a printed model member; small-scad placement is not supported."
Lethrinus nebulosus,736193.4544496723,Large Benthic Carnivores,Med Benthic Carnivores,analogue,"Analyst ecological analogue: Lethrinus nebulosus is a benthic invertebrate-feeding demersal/reef lineage, compared with source sciaenids and flatheads; Bulletin pp.11-20 does not name this taxon, so this is not source membership. SAU class: Medium demersals (30 - 89 cm)."
Lethrinidae,735234.0500405936,Large Benthic Carnivores,Med Benthic Carnivores,analogue,"Analyst ecological analogue: Lethrinidae is a benthic invertebrate-feeding demersal/reef lineage, compared with source sciaenids and flatheads; Bulletin pp.11-20 does not name this taxon, so this is not source membership. SAU class: Medium reef assoc. fish (30 - 89 cm)."
