taxon,EwE_Mohamed_2009_ArabianSeaOffKarnataka
Ablennes hians,Large Pelagics
Acanthocybium solandri,Large Pelagics
Acanthopagrus berda,Med Benthic Carnivores
Acanthopagrus bifasciatus,Med Benthic Carnivores
Acanthuridae,Benthic Omnivores
Acanthurus dussumieri,Benthic Omnivores
Aethaloperca rogaa,Large Benthic Carnivores
Aetobatus narinari,Skates & Rays
Aetomylaeus maculatus,Skates & Rays
Aetomylaeus nichofii,Skates & Rays
Alectis ciliaris,Large Benthic Carnivores
Alepes,Small Benthopelagics
Alepes djedaba,Small Benthopelagics
Alopias pelagicus,Sharks
Alopias superciliosus,Sharks
Alopias vulpinus,Sharks
Aluterus monoceros,Med Benthic Carnivores
Anguilliformes,Large Benthic Carnivores
Anodontostoma chacunda,Clupeids
Aphareus furca,Large Benthic Carnivores
Aphareus rutilans,Large Benthic Carnivores
Aprion virescens,Large Benthic Carnivores
Argyrops spinifer,Large Benthic Carnivores
Argyrosomus heinii,Med Benthic Carnivores
Argyrosomus japonicus,Med Benthic Carnivores
Ariidae,Large Benthopelagics
Ariomma indica,Small Benthopelagics
Atropus armatus,Large Benthic Carnivores
Atule mate,Small Benthopelagics
Auxis,Tunas
Auxis rochei,Tunas
Auxis thazard,Tunas
Balistidae,Med Benthic Carnivores
Batoidea,Skates & Rays
Bivalvia,Heterotrophic Benthos
Bolbometopon muricatum,Benthic Omnivores
Bothidae,Med Benthic Carnivores
Bothus pantherinus,Med Benthic Carnivores
Brama brama,Large Benthopelagics
Bramidae,Large Benthopelagics
Bregmaceros mcclellandi,Anchovies
Caesio,Small Benthopelagics
Caesio caerulaurea,Small Benthopelagics
Caesionidae,Small Benthopelagics
Carangidae,Small Benthopelagics
Carangoides,Large Benthic Carnivores
Caranx,Large Benthic Carnivores
Caranx ignobilis,Large Benthic Carnivores
Caranx lugubris,Large Benthic Carnivores
Caranx melampygus,Large Benthic Carnivores
Caranx sexfasciatus,Large Benthic Carnivores
Carcharhinidae,Sharks
Carcharhiniformes,Sharks
Carcharhinus,Sharks
Carcharhinus albimarginatus,Sharks
Carcharhinus amblyrhynchoides,Sharks
Carcharhinus amblyrhynchos,Sharks
Carcharhinus dussumieri,Sharks
Carcharhinus falciformis,Sharks
Carcharhinus limbatus,Sharks
Carcharhinus longimanus,Sharks
Carcharhinus melanopterus,Sharks
Carcharhinus plumbeus,Sharks
Carcharhinus sorrah,Sharks
Catostylus perezi,Micro Nekton
Cephalopholis,Large Benthic Carnivores
Cephalopholis argus,Large Benthic Carnivores
Cephalopholis hemistiktos,Large Benthic Carnivores
Cephalopholis miniata,Large Benthic Carnivores
Cephalopoda,Cephalopods
Cephea,Micro Nekton
Chaetodontidae,Benthic Omnivores
Chanos chanos,Benthic Omnivores
Cheimerius nufar,Med Benthic Carnivores
Chiloscyllium arabicum,Sharks
Chirocentrus,Large Benthopelagics
