taxon,EwE_Guenette_2013_BayOfBengal1978
Acanthocybium solandri,Tuna-like
Acanthuridae,2 SM inv
Acanthurus,2 SM inv
Acetes,2 Crustaceans
Alepes,2 Carangids
Alopias,Oceanic sharks
Alopias pelagicus,Oceanic sharks
Alopias superciliosus,Oceanic sharks
Alopias vulpinus,Oceanic sharks
Aluterus,2 SM inv
Amblygaster sirm,2 S pelagics
Anchoviella,2 S pelagics
Anguilliformes,2 L pisc
Anodontostoma chacunda,2 S pelagics
Apogonidae,2 SM inv
Arcidae,2 Macrobenthos
Ariidae,2 Milkfish plus
Auxis,Coastal scombrids
Auxis rochei,Coastal scombrids
Auxis thazard,Coastal scombrids
Balistidae,2 SM inv
Batoidea,Unresolved
Bivalvia,2 Macrobenthos
Bohadschia marmorata,2 Macrobenthos
Bothidae,2 SM inv
Bregmaceros mcclellandi,2 S pelagics
Caesio,2 SM inv
Caesio cuning,2 SM inv
Caesionidae,2 SM inv
Carangidae,2 Carangids
Carangoides,2 Carangids
Caranx,2 Carangids
Caranx ignobilis,2 Carangids
Caranx melampygus,2 Carangids
Caranx sexfasciatus,2 Carangids
Carcharhinidae,Unresolved
Carcharhinus,Unresolved
Carcharhinus albimarginatus,Coastal elasmobranch
Carcharhinus amblyrhynchos,Coastal elasmobranch
Carcharhinus falciformis,Oceanic sharks
Carcharhinus limbatus,Coastal elasmobranch
Carcharhinus longimanus,Oceanic sharks
Carcharhinus melanopterus,Coastal elasmobranch
Carcharhinus sorrah,Coastal elasmobranch
Cephalopholis boenak,2 L pisc comm
Cephalopoda,Cephalopods
Cephea,Jellyfish
Chanos chanos,2 Milkfish plus
Chirocentrus,2 L pisc
Chirocentrus dorab,2 L pisc
Chirocentrus nudus,2 L pisc
Chondrichthyes,Unresolved
Clupeidae,2 S pelagics
Clupeiformes,2 S pelagics
Coilia dussumieri,2 S pelagics
Coryphaena,2 L pisc
Coryphaena hippurus,2 L pisc
Cynoglossus,2 SM inv
Cynoglossus cynoglossus,2 SM inv
Dasyatidae,Unresolved
Decapoda,2 Crustaceans
Decapterus,2 Carangids
Decapterus russelli,2 Carangids
Dendrobranchiata,2 Crustaceans
Deveximentum insidiator,2 SM inv
Drepane,2 SM pisc
Dussumieria,2 S pelagics
Dussumieria elopsoides,2 S pelagics
Echinodermata,2 Macrobenthos
Elagatis bipinnulata,2 Carangids
Elasmobranchii,Unresolved
Eleutheronema tetradactylum,2 L pisc
Engraulidae,2 S pelagics
Epinephelus,2 L pisc comm
Escualosa thoracata,2 S pelagics
Euthynnus affinis,Coastal scombrids
Galeocerdo cuvier,Coastal elasmobranch
Ganjampenaeopsis uncta,2 Crustaceans
Gastropoda,2 Macrobenthos
Gazza minuta,2 SM inv
Gerreidae,2 SM inv
Gerres,2 SM inv
Gnathanodon speciosus,2 Carangids
Gobiidae,2 SM inv
Gudusia chapra,2-3 Hilsa
Haemulidae,2 SM pisc
Harpadon nehereus,2 L pisc comm
Hemiramphidae,2 S pelagics
Hemiramphus,2 S pelagics
Himantura,Coastal elasmobranch
Holocentridae,2 SM inv
Holothuria atra,2 Macrobenthos
Holothuria edulis,2 Macrobenthos
Holothuria leucospilota,2 Macrobenthos
Holothuriidae,2 Macrobenthos
Holothuroidea,2 Macrobenthos
Hyporhamphus,2 S pelagics
Ilisha elongata,2-3 Hilsa
Istiompax indica,Tuna-like
Istiophoridae,Tuna-like
Istiophorus,Tuna-like
Istiophorus platypterus,Tuna-like
Isurus,Oceanic sharks
Isurus oxyrinchus,Oceanic sharks
Kajikia audax,Marlins
Katsuwonus pelamis,Tuna-like
Labridae,2 L pisc
Lactarius lactarius,2 S pelagics
Lates calcarifer,2 L pisc
Latidae,2 L pisc
Leiognathidae,2 SM inv
Leiognathus,2 SM inv
Leptomelanosoma indicum,2 L pisc
Lepturacanthus savala,2 L pisc
Lethrinidae,2 L pisc comm
Lethrinus,2 L pisc comm
Lethrinus nebulosus,2 L pisc comm
Lobotes surinamensis,2 L pisc
Loliginidae,Cephalopods
Lutjanidae,2 L pisc comm
Lutjanus,2 L pisc comm
Lutjanus johnii,2 L pisc comm
Lutjanus quinquelineatus,2 L pisc comm
Makaira,Tuna-like
Makaira mazara,Marlins
Malacostraca,2 Crustaceans
Marine fishes not identified,Unresolved
Marine pelagic fishes not identified,Unresolved
Megalaspis cordyla,2 Carangids
Megalops cyprinoides,2 L pisc
Metapenaeus,2 Crustaceans
Metapenaeus brevicornis,2 Crustaceans
Metapenaeus monoceros,2 Crustaceans
Metapenaeus tenuipes,2 Crustaceans
Mierspenaeopsis hardwickii,2 Crustaceans
Mierspenaeopsis sculptilis,2 Crustaceans
Miscellaneous aquatic invertebrates,2 Macrobenthos
Miscellaneous marine crustaceans,2 Crustaceans
Mobula birostris,Coastal elasmobranch
Mollusca,2 Macrobenthos
Monacanthidae,2 SM inv
Mugil,2 SM inv
Mugilidae,2 SM inv
Mullidae,2 SM inv
