taxon,groups,weights,weight_basis,confidence,catch_tonnes,SPPR_1986,SPPR_1995_TE0.1,SPPR_1995_TEmean,Ulanowicz_globalTEmean,Ulanowicz_TE,EwE_TE_noEE,EwE_TE_EE,SPPR_2015,new_TE_noEEfix,new_TE_EEfix,new_GE,new_WithEgestion,sym_TE_asPP,sym_TE_asDC,sym_GE_asPP,sym_GE_asDC,sym_WithEgestion_asPP,sym_WithEgestion_asDC,MC_new_GE,MC_new_TE_EEfix
Nemipteridae,Sm.dem.benth.,1.000000,single,medium,14865556.824,92.758633,135.946622,23.952956,34.558123,106.771533,106.771533,89.978955,308.045854,308.045854,325.959633,56.685005,30.438514,,,,,,,58.928922,379.814462
Synodontidae,Med.dem.pisc.,1.000000,single,medium,12027857.597,92.758633,213.954708,32.114569,52.467555,158.091504,158.091504,155.980707,445.224589,445.224589,471.516338,104.595857,51.592439,,,,,,,108.747113,553.840978
Leiognathidae,Ponyfishes,1.000000,single,high,10490184.633,92.758633,55.624121,13.440773,22.381404,58.637366,58.637366,56.980549,167.671166,167.671166,176.997850,35.276744,19.385003,,,,,,,36.887608,202.789555
Rastrelliger kanagurta,Mackerel,1.000000,single,high,8776892.337,92.758633,79.432823,16.922772,17.234838,22.609246,22.609246,21.478784,30.239099,30.239099,31.345103,25.592867,15.901406,,,,,,,26.035335,32.101870
Carangidae,Scad,1.000000,single,medium,8571168.696,92.758633,301.410165,40.080591,53.018386,90.391044,90.391044,85.871491,191.130934,191.130934,201.174951,76.251618,39.003755,,,,,,,79.920294,226.573521
Marine fishes not identified,O.fish,1.000000,single,medium,7914678.51,92.758633,41.788101,11.171569,19.389776,48.215370,48.215370,48.150458,135.960121,135.960121,143.850985,31.644149,18.194690,,,,,,,33.308007,163.430350
Engraulidae,Sm. pelagics,1.000000,single,high,6360940.08,92.758633,79.432823,16.922772,17.234838,22.609246,22.609246,21.478784,30.239099,30.239099,31.345103,25.592867,15.901406,,,,,,,26.435615,32.617468
Sciaenidae,Med.dem.benth.,1.000000,single,medium,6300173.465,92.758633,274.243815,37.706080,51.426500,215.944796,215.944796,193.300587,664.022909,664.022909,702.550582,105.870272,53.740614,,,,,,,108.439752,820.006353
Sardinella,Sm. pelagics,1.000000,single,high,5991391.711,92.758633,79.432823,16.922772,17.234838,22.609246,22.609246,21.478784,30.239099,30.239099,31.345103,25.592867,15.901406,,,,,,,26.435615,32.617468
Platycephalidae,Med.dem.pisc.,1.000000,single,medium,4759039.068,92.758633,213.954708,32.114569,52.467555,158.091504,158.091504,155.980707,445.224589,445.224589,471.516338,104.595857,51.592439,,,,,,,108.747113,553.840978
Loliginidae,Cephalopods,1.000000,single,high,4426593.748,92.758633,207.108363,31.446324,45.753688,121.772840,121.772840,118.239630,349.557692,349.557692,370.254323,98.097358,49.643681,,,,,,,102.685825,423.372501
Perna viridis,Molluscs,1.000000,single,high,3617746.592,92.758633,15.848932,5.968659,7.276791,8.760194,8.760194,7.884174,10.549912,10.549912,10.809345,8.798415,6.022535,,,,,,,8.928714,11.192817
Penaeus,Shrimps,1.000000,single,high,3391062.628,92.758633,24.936879,8.001064,14.975570,39.345557,39.345557,37.378279,110.883242,110.883242,118.086052,26.876504,16.798860,,,,,,,27.989160,137.949499
Scombridae,Unresolved,,,unresolved,3199376.989,,,,,,,,,,,,,,,,,,,,
