seq,group_name,taxon_descr
1,M. mammals,"Christensen 1998 pp.130-131: generic marine mammals, parameterized from other ecosystems; local species not listed."
2,Sharks,Christensen 1998 pp.130-131: adult sharks with a separate juvenile compartment; species not listed.
3,Lg. piscivores,"Christensen 1998 p.130 important components: Trichiurus, Muraenesox, Chirocentrus, Sphyraena. This is an illustrative list, not an exhaustive species inventory."
4,Grouper/snapper,"Christensen 1998 p.130 important components: Ephinephelus, Lutjanus. This is an illustrative list, not an exhaustive species inventory."
5,Tuna,"Christensen 1998 p.130 important components: Thunnus tonggol, Euthynnus affinis, Auxis thazard. This is an illustrative list, not an exhaustive species inventory."
6,Med.dem.pisc.,"Christensen 1998 p.130 important components: Saurida, Lactarius, Lethrinus, Sciaenidae, Psettodes. This is an illustrative list, not an exhaustive species inventory."
7,Scomberomorus,"Christensen 1998 p.130 important components: Scomberomorus. This is an illustrative list, not an exhaustive species inventory."
8,Juv. sharks,Christensen 1998 pp.130-131: juvenile sharks; species and age/length threshold not listed.
9,Juv.Lg.Pisciv.,"Christensen 1998 p.130 important components: Trichiurus, Muraenesox, Chirocentrus, Sphyraena. This is an illustrative list, not an exhaustive species inventory."
10,Juv. groupers,"Christensen 1998 p.130 important components: Ephinephelus, Lutjanus. Juvenile grouper AND snapper compartment; JSON label is shortened. This is an illustrative list, not an exhaustive species inventory."
11,Scad,"Christensen 1998 p.130 important components: Decapterus. This is an illustrative list, not an exhaustive species inventory."
12,Cephalopods,Christensen 1998 pp.130-131: Cephalopods pool; individual species not listed.
13,Sm.dem.pisc.,"Christensen 1998 p.130 important components: Priacanthus. This is an illustrative list, not an exhaustive species inventory."
14,Med.dem.benth.,"Christensen 1998 p.130 important components: Plectorhynchus, Scolopsis, Upeneus, Pomadasys, Pampus, Arius, Tachysuridea. This is an illustrative list, not an exhaustive species inventory."
15,Rays,Christensen 1998 pp.130-131: Rays pool; individual species not listed.
16,Flatfish,"Christensen 1998 p.130 important components: Bothidae, Cynoglossidae. This is an illustrative list, not an exhaustive species inventory."
17,Sm.dem.benth.,"Christensen 1998 p.130 important components: Nemipterus, Pentaprion. This is an illustrative list, not an exhaustive species inventory."
18,Jellyfish,"Christensen 1998 pp.130-131: generic jellyfish, included to represent presence; local species not listed."
19,Mackerel,"Christensen 1998 p.130 important components: Rastrelliger. This is an illustrative list, not an exhaustive species inventory."
20,Sm. pelagics,"Christensen 1998 p.130 important components: sardine, anchovy. This is an illustrative list, not an exhaustive species inventory."
21,Ponyfishes,"Christensen 1998 p.130 important components: Leiognathus. This is an illustrative list, not an exhaustive species inventory."
22,"Crab, lobster","Christensen 1998 pp.130-131: Crab, lobster pool; individual species not listed."
23,O.fish,"Christensen 1998 pp.130-131: trash fish; JSON abbreviated residual group. Its diet is 25% each phytoplankton, detritus, zooplankton and benthos. Species composition is not documented."
24,Benthos,Christensen 1998 pp.130-131: Benthos pool; individual species not listed.
25,Shrimps,Christensen 1998 pp.130-131: Shrimps pool; individual species not listed.
26,Molluscs,Christensen 1998 pp.130-131: Molluscs pool; individual species not listed.
27,Zooplankton,Christensen 1998 pp.130-131: Zooplankton pool; individual species not listed.
28,Phytoplankton,Christensen 1998 pp.130-131: primary producer group; species not listed.
29,Detritus,Christensen 1998 pp.130-131: nonliving detritus compartment; no species membership.
