taxon,EwE_Ecobase_412_GulfOfThailande_1963
Acanthurus,Sm.dem.benth.
Acetes,Shrimps
Acetes japonicus,Shrimps
Alepes,Scad
Alopias,Sharks
Aluterus,Unresolved
Aluterus monoceros,Med.dem.benth.
Anodontostoma chacunda,Sm. pelagics
Apogonidae,Sm.dem.benth.
Ariidae,Med.dem.benth.
Atule mate,Scad
Auxis rochei,Tuna
Auxis thazard,Tuna
Balistidae,Med.dem.benth.
Batoidea,Rays
Bivalvia,Molluscs
Bothidae,Flatfish
Caesio,O.fish
Caesionidae,O.fish
Carangidae,Scad
Carangoides,Scad
Caranx,Scad
Caranx sexfasciatus,Scad
Carcharhinus,Sharks
Carcharhinus falciformis,Sharks
Carcharhinus longimanus,Sharks
Cephalopholis boenak,Grouper/snapper
Cephalopoda,Cephalopods
Cephea,Jellyfish
Charybdis,"Crab, lobster"
Charybdis anisodon,"Crab, lobster"
Charybdis feriatus,"Crab, lobster"
Chirocentrus,Lg. piscivores
Chirocentrus dorab,Lg. piscivores
Chondrichthyes,Sharks
Clupeidae,Sm. pelagics
Clupeiformes,Sm. pelagics
Congridae,Lg. piscivores
Coryphaena hippurus,Lg. piscivores
Crassostrea,Molluscs
Cynoglossus,Flatfish
Cypselurus poecilopterus,Sm. pelagics
Dasyatidae,Rays
Decapoda,"Crab, lobster"
Decapterus,Scad
Decapterus russelli,Scad
Dendrobranchiata,Shrimps
Drepane,Med.dem.benth.
Dussumieria,Sm. pelagics
Dussumieria acuta,Sm. pelagics
Dussumieria elopsoides,Sm. pelagics
Echinodermata,Benthos
Elagatis bipinnulata,Scad
Elasmobranchii,Sharks
Engraulidae,Sm. pelagics
Epinephelus,Grouper/snapper
Eubleekeria splendens,Ponyfishes
Euthynnus affinis,Tuna
Exocoetidae,Sm. pelagics
Gazza minuta,Ponyfishes
Gerreidae,Sm.dem.benth.
Gerres,Sm.dem.benth.
Gnathanodon speciosus,Scad
Gobiidae,Sm.dem.benth.
Haemulidae,Med.dem.benth.
Hemiramphidae,Sm. pelagics
Hemiramphus,Sm. pelagics
Hilsa kelee,Sm. pelagics
Himantura,Rays
Holothuriidae,Benthos
Hyporhamphus,Sm. pelagics
Ilisha elongata,Sm. pelagics
Istiompax indica,Unresolved
Istiophoridae,Unresolved
Istiophorus,Unresolved
Istiophorus platypterus,Unresolved
Isurus,Sharks
Isurus oxyrinchus,Sharks
Kajikia audax,Unresolved
Katsuwonus pelamis,Tuna
Labridae,Med.dem.benth.
Lactarius lactarius,Med.dem.pisc.
Lates calcarifer,Lg. piscivores
Latidae,Lg. piscivores
Leiognathidae,Ponyfishes
Leiognathus,Ponyfishes
Lethrinidae,Med.dem.benth.
Lethrinus,Med.dem.benth.
Loliginidae,Cephalopods
Lutjanidae,Grouper/snapper
Lutjanus,Grouper/snapper
Lutjanus argentimaculatus,Grouper/snapper
Lutjanus johnii,Grouper/snapper
Lutjanus malabaricus,Grouper/snapper
Lutjanus quinquelineatus,Grouper/snapper
Makaira,Unresolved
Makaira mazara,Unresolved
Malacostraca,Shrimps
Marine fishes not identified,O.fish
Marine groundfishes not identified,O.fish
Marine pelagic fishes not identified,O.fish
Megalaspis cordyla,Scad
Megalops cyprinoides,Lg. piscivores
Melicertus canaliculatus,Shrimps
Menidae,Med.dem.benth.
Metapenaeus,Shrimps
Metapenaeus affinis,Shrimps
Metapenaeus tenuipes,Shrimps
Mierspenaeopsis hardwickii,Shrimps
Mierspenaeopsis sculptilis,Shrimps
Miscellaneous aquatic invertebrates,Benthos
Miscellaneous marine crustaceans,Shrimps
Modiolus,Molluscs
Mollusca,Molluscs
Monacanthidae,Med.dem.benth.
Mugil,Med.dem.benth.
Mugilidae,Med.dem.benth.
Mullidae,Med.dem.benth.
Muraenesox,Lg. piscivores
Muraenesox cinereus,Lg. piscivores
Nemipteridae,Sm.dem.benth.
Nemipterus,Sm.dem.benth.
Nemipterus hexodon,Sm.dem.benth.
Nemipterus japonicus,Sm.dem.benth.
Netuma thalassina,Lg. piscivores
Octopoda,Cephalopods
Octopodidae,Cephalopods
Octopus,Cephalopods
Ostreidae,Molluscs
Ozius guttatus,"Crab, lobster"
Palinuridae,"Crab, lobster"
Pampus,Med.dem.benth.
Pampus argenteus,Med.dem.benth.
Pampus chinensis,Med.dem.benth.
Panulirus,"Crab, lobster"
Panulirus longipes,"Crab, lobster"
Panulirus polyphagus,"Crab, lobster"
Paralichthyidae,Flatfish
Parapenaeopsis,Shrimps
Parastromateus niger,Med.dem.benth.
Pellona ditchela,Sm. pelagics
Penaeidae,Shrimps
Penaeus,Shrimps
Penaeus indicus,Shrimps
Penaeus japonicus,Shrimps
Penaeus latisulcatus,Shrimps
Penaeus merguiensis,Shrimps
Penaeus monodon,Shrimps
Penaeus semisulcatus,Shrimps
Pennahia,Med.dem.benth.
Perciformes,Unresolved
Perna viridis,Molluscs
Photopectoralis bindus,Ponyfishes
Platycaranx malabaricus,Scad
Platycephalidae,Med.dem.pisc.
Platycephalus indicus,Med.dem.pisc.
Plectorhinchus,Med.dem.benth.
Pleuronectiformes,Flatfish
Plotosidae,Med.dem.benth.
Plotosus,Med.dem.benth.
Podophthalmus vigil,"Crab, lobster"
Polynemidae,Sm.dem.benth.
Pomadasys,Med.dem.benth.
Pomadasys argenteus,Med.dem.benth.
Portunidae,"Crab, lobster"
Portunus,"Crab, lobster"
Portunus pelagicus,"Crab, lobster"
Priacanthidae,Med.dem.pisc.
Priacanthus,Med.dem.pisc.
Priacanthus tayenus,Sm.dem.pisc.
Prionace glauca,Sharks
Pristipomoides,Grouper/snapper
Psettodes erumei,Flatfish
Psettodidae,Flatfish
Rachycentron canadum,Lg. piscivores
Rastrelliger,Mackerel
Rastrelliger brachysoma,Mackerel
Rastrelliger kanagurta,Mackerel
Rhizostomeae,Jellyfish
Sardinella,Sm. pelagics
Sardinella fimbriata,Sm. pelagics
Sardinella lemuru,Sm. pelagics
Saurida,Med.dem.pisc.
Saurida tumbil,Med.dem.pisc.
Scarus,Med.dem.benth.
Scatophagus,Med.dem.benth.
Scatophagus argus,Med.dem.benth.
Sciaenidae,Med.dem.benth.
Scolopsis,Sm.dem.benth.
Scomberoides,Scad
Scomberomorus,Scomberomorus
Scomberomorus commerson,Scomberomorus
Scomberomorus guttatus,Scomberomorus
Scombridae,Unresolved
Scombroidei,Unresolved
Scorpaenidae,Lg. piscivores
Scylla serrata,"Crab, lobster"
Scyllaridae,"Crab, lobster"
Scyphozoa,Jellyfish
Scyris indica,Lg. piscivores
Selar crumenophthalmus,Scad
Selaroides leptolepis,Scad
Sepia,Cephalopods
Sepiidae,Cephalopods
Sepioteuthis lessoniana,Cephalopods
Sergestidae,Shrimps
Seriola,Lg. piscivores
