group_name,model_tl,grouping_basis,explicit_members,supporting_taxa,membership_source,source_relationship,source_location,source_url,notes
Phytoplankton,1,taxonomic,,,"Cheung (2007), Appendix 6.1, printed pp.322-341 / PDF pp.337-356",direct source,"Cheung (2007), Appendix 6.1, printed pp.322-341 / PDF pp.337-356 p.322",https://open.library.ubc.ca/collections/ubctheses/831/items/1.0074894,"Phytoplankton dominated by diatoms, followed by dinoflagellates."
Benthic producer,1,taxonomic,,,"Cheung (2007), Appendix 6.1, printed pp.322-341 / PDF pp.337-356",direct source,"Cheung (2007), Appendix 6.1, printed pp.322-341 / PDF pp.337-356 p.323",https://open.library.ubc.ca/collections/ubctheses/831/items/1.0074894,Benthic algae.
Zooplankton,2,taxonomic,Acetes spp.,,"Cheung (2007), Appendix 6.1, printed pp.322-341 / PDF pp.337-356",direct source,"Cheung (2007), Appendix 6.1, printed pp.322-341 / PDF pp.337-356 p.323",https://open.library.ubc.ca/collections/ubctheses/831/items/1.0074894,Zooplankton; explicitly includes the landed Mo shrimp Acetes spp.
Jellyfish,3.104070721217805,taxonomic,,,"Cheung (2007), Appendix 6.1, printed pp.322-341 / PDF pp.337-356",direct source,"Cheung (2007), Appendix 6.1, printed pp.322-341 / PDF pp.337-356 p.324",https://open.library.ubc.ca/collections/ubctheses/831/items/1.0074894,Medusae of Cnidaria.
Polychaetes,2,taxonomic,,,"Cheung (2007), Appendix 6.1, printed pp.322-341 / PDF pp.337-356",direct source,"Cheung (2007), Appendix 6.1, printed pp.322-341 / PDF pp.337-356 p.324-325",https://open.library.ubc.ca/collections/ubctheses/831/items/1.0074894,Polychaeta.
Echinoderms,2.333214688865273,taxonomic,,,"Cheung (2007), Appendix 6.1, printed pp.322-341 / PDF pp.337-356",direct source,"Cheung (2007), Appendix 6.1, printed pp.322-341 / PDF pp.337-356 p.324-325",https://open.library.ubc.ca/collections/ubctheses/831/items/1.0074894,Echinodermata.
Benthic crustaceans,2.199822222222222,taxonomic,,,"Cheung (2007), Appendix 6.1, printed pp.322-341 / PDF pp.337-356",direct source,"Cheung (2007), Appendix 6.1, printed pp.322-341 / PDF pp.337-356 p.324-325",https://open.library.ubc.ca/collections/ubctheses/831/items/1.0074894,Benthic crustaceans excluding shrimps and crabs; Oratosquilla spp. supplies the P/B estimate.
Non-ceph molluscs,2.177777777777778,taxonomic,,,"Cheung (2007), Appendix 6.1, printed pp.322-341 / PDF pp.337-356",direct source,"Cheung (2007), Appendix 6.1, printed pp.322-341 / PDF pp.337-356 p.324-325",https://open.library.ubc.ca/collections/ubctheses/831/items/1.0074894,Non-cephalopod Mollusca.
Sessile/other invertebrates,2.6,residual pool,,,"Cheung (2007), Appendix 6.1, printed pp.322-341 / PDF pp.337-356",direct source,"Cheung (2007), Appendix 6.1, printed pp.322-341 / PDF pp.337-356 p.324-325",https://open.library.ubc.ca/collections/ubctheses/831/items/1.0074894,"Sessile and other invertebrates, separate from polychaetes, echinoderms, crustaceans and molluscs."
Shrimps,2.314,taxonomic,Metapenaeopsis palmensis; M. barbata,,"Cheung (2007), Appendix 6.1, printed pp.322-341 / PDF pp.337-356",direct source,"Cheung (2007), Appendix 6.1, printed pp.322-341 / PDF pp.337-356 p.325-326",https://open.library.ubc.ca/collections/ubctheses/831/items/1.0074894,Shrimps including penaeids; Acetes is explicitly in Zooplankton.
Crabs,2.523917480221986,taxonomic,,,"Cheung (2007), Appendix 6.1, printed pp.322-341 / PDF pp.337-356",direct source,"Cheung (2007), Appendix 6.1, printed pp.322-341 / PDF pp.337-356 p.326",https://open.library.ubc.ca/collections/ubctheses/831/items/1.0074894,Crabs.
