printed_name,accepted_name,group_name,source_page
Acetes spp.,Acetes,Zooplankton,Cheung (2007) printed p.323; Appendix 6.1 prose
Metapenaeopsis palmensis,,Shrimps,Cheung (2007) printed p.326; Appendix 6.1 prose
M. barbata,Metapenaeopsis barbata,Shrimps,Cheung (2007) printed p.326; Appendix 6.1 prose
Loligo edulis,Uroteuthis edulis,Cephalopods,Cheung (2007) printed p.326; Appendix 6.1 prose
L. chinensis,Uroteuthis chinensis,Cephalopods,Cheung (2007) printed p.326; Appendix 6.1 prose
Nemipterus virgatus,,Threadfin bream (nemipterids),Cheung (2007) printed p.327; Appendix 6.1 prose
N. bathybius,Nemipterus bathybius,Threadfin bream (nemipterids),Cheung (2007) printed p.327; Appendix 6.1 prose
N. japonicus,Nemipterus japonicus,Threadfin bream (nemipterids),Cheung (2007) printed p.327; Appendix 6.1 prose
Saurida tumbil,,Lizard fish (synodontids),Cheung (2007) printed p.328; Appendix 6.1 prose
S. undosquamis,Saurida undosquamis,Lizard fish (synodontids),Cheung (2007) printed p.328; Appendix 6.1 prose
Trichiurus lepturus,,Juvenile Hairtail (trichiurids),Cheung (2007) printed p.329; Appendix 6.1 prose
Trichiurus lepturus,,Adult hairtail (trichiurids),Cheung (2007) printed p.329; Appendix 6.1 prose
Agyrosomus spp.,,Croakers (≤ 30 cm),Cheung (2007) printed p.333; Appendix 6.1 prose
Pennahia spp.,Pennahia,Croakers (≤ 30 cm),Cheung (2007) printed p.333; Appendix 6.1 prose
Pennahia (Agyrosomus) argentatus,Pennahia argentata,Croakers (≤ 30 cm),Cheung (2007) printed p.333; Appendix 6.1 prose
Larimichthys crocea,,Juvenile large croakers,Cheung (2007) printed p.335; Appendix 6.1 prose
Larimichthys crocea,,Croakers (> 30 cm),Cheung (2007) printed p.335; Appendix 6.1 prose
Psenopsis anomala,,Melon seed,Cheung (2007) printed p.332; Appendix 6.1 prose
