printed_name,accepted_name,group_name,source_page
-,-,Phytoplankton,Supplementary Table 1
Copepods,Copepoda,Zooplankton,Supplementary Table 1
Pelagic larva,pelagic meroplankton,Zooplankton,Supplementary Table 1
Chaetognatha,Chaetognatha,Zooplankton,Supplementary Table 1
Amphipoda,Amphipoda,Zooplankton,Supplementary Table 1
Nereis succinea,Alitta succinea,Polychaetes,Supplementary Table 1
Bivalves,Bivalvia,Mollusks,Supplementary Table 1
Gammaridea,Amphipoda (Gammaridea),Benthic Crustaceans,Supplementary Table 1
Cumacea,Cumacea,Benthic Crustaceans,Supplementary Table 1
Ophiuroidea,Ophiuroidea,Echinoderms,Supplementary Table 1
Cnidaria,Cnidaria,Other invertebrates,Supplementary Table 1
Portunus trituberculatus,Portunus trituberculatus,Crabs,Supplementary Table 1
Charybdis feriatus,Charybdis feriata,Crabs,Supplementary Table 1
Charybdis bimaculate,Charybdis bimaculata,Crabs,Supplementary Table 1
Portunus sanguinolentus,Portunus sanguinolentus,Crabs,Supplementary Table 1
Charybdis acuta,Charybdis acuta,Crabs,Supplementary Table 1
Portunus argentatus,Portunus argentatus,Crabs,Supplementary Table 1
Solenocera crassicornis,Solenocera crassicornis,Shrimps,Supplementary Table 1
Trachypenaeus curvirostris,Trachysalambria curvirostris,Shrimps,Supplementary Table 1
Solenocera alticarinata,Solenocera alticarinata,Shrimps,Supplementary Table 1
Parapenaeus fissuroides,Parapenaeus fissuroides,Shrimps,Supplementary Table 1
Metapenaeus joyneri,Metapenaeus joyneri,Shrimps,Supplementary Table 1
Parapenaeopsis hardwickii,Mierspenaeopsis hardwickii,Shrimps,Supplementary Table 1
Metapenaeopsis barbata,Metapenaeopsis barbata,Shrimps,Supplementary Table 1
Solenocera koelbeli,Solenocera koelbeli,Shrimps,Supplementary Table 1
Alpheusjaponicus Miers,Alpheus japonicus,Shrimps,Supplementary Table 1
Solenocera melantho,Solenocera melantho,Shrimps,Supplementary Table 1
Plesionika izumiae,Plesionika izumiae,Shrimps,Supplementary Table 1
Parapenaeopsis tenella,Parapenaeopsis tenella,Shrimps,Supplementary Table 1
Acetes chinens,Acetes chinensis,Shrimps,Supplementary Table 1
Abralia multihamata,Abralia multihamata,Cephalopods,Supplementary Table 1
Euprymna berryi,Euprymna berryi,Cephalopods,Supplementary Table 1
Loligo beka,Loliolus beka,Cephalopods,Supplementary Table 1
Sepiella maindroni,Sepiella maindroni,Cephalopods,Supplementary Table 1
Ommastrephes bartrami,Ommastrephes bartramii,Cephalopods,Supplementary Table 1
Sepia esculenta,Sepia esculenta,Cephalopods,Supplementary Table 1
Octopus ocellatus,Amphioctopus fangsiao,Cephalopods,Supplementary Table 1
Uroteuthis edulis,Uroteuthis edulis,Cephalopods,Supplementary Table 1
Sepioteuthis lessoniana,Sepioteuthis lessoniana,Cephalopods,Supplementary Table 1
Argonauta argo,Argonauta argo,Cephalopods,Supplementary Table 1
Benthosema pterotum,Benthosema pterotum,Planktivores,Supplementary Table 1
Bregmaceros macclellandii,Bregmaceros mcclellandi,Planktivores,Supplementary Table 1
Acropoma japonicum,Acropoma japonicum,Planktivores,Supplementary Table 1
Secutor ruconius,Secutor ruconius,Planktivores,Supplementary Table 1
Thryssa dussumieri,Thryssa dussumieri,Planktivores,Supplementary Table 1
Thryssa vitrirostris,Thryssa vitrirostris,Planktivores,Supplementary Table 1
Thryssa kammalensis,Thryssa kammalensis,Planktivores,Supplementary Table 1
Apogon lineatus,Jaydia lineata,Planktivores,Supplementary Table 1
Regalecus russelii,Regalecus russelii,Planktivores,Supplementary Table 1
Stolephorus commersonnii,Stolephorus commersonnii,Planktivores,Supplementary Table 1
Sardinella aurita,Sardinella aurita,Planktivores,Supplementary Table 1
Erisphex pottii,Erisphex pottii,Planktivores,Supplementary Table 1
Johnius belangerii,Johnius belangerii,Benthivores,Supplementary Table 1
Johnius distinctus,Johnius distinctus,Benthivores,Supplementary Table 1
Uroconger lepturus,Uroconger lepturus,Benthivores,Supplementary Table 1
Narcine lingula,Narcine lingula,Benthivores,Supplementary Table 1
Polydactylus sextarius,Polydactylus sextarius,Benthivores,Supplementary Table 1
Acanthocepola limbate,Acanthocepola limbata,Benthivores,Supplementary Table 1
Parapercis sexfasciata,Parapercis sexfasciata,Benthivores,Supplementary Table 1
Rhynchoconger ectenurus,Rhynchoconger ectenurus,Benthivores,Supplementary Table 1
Chelidonichthys kumu,Chelidonichthys kumu,Benthivores,Supplementary Table 1
Dasyatis zugei,Hemitrygon zugei,Benthivores,Supplementary Table 1
Lepidotrigla hime,Lepidotrigla hime,Benthivores,Supplementary Table 1
Ostorhinchus angustatus,Ostorhinchus angustatus,Benthivores,Supplementary Table 1
Diodon holocanthus,Diodon holocanthus,Benthivores,Supplementary Table 1
Uranoscopus japonicus,Uranoscopus japonicus,Benthivores,Supplementary Table 1
Scomberomorus niphonius,Scomberomorus niphonius,Piscivores,Supplementary Table 1
Harpadon nehereus,Harpadon nehereus,Piscivores,Supplementary Table 1
Antennarius striatus,Antennarius striatus,Piscivores,Supplementary Table 1
Lepturacanthus savala,Lepturacanthus savala,Piscivores,Supplementary Table 1
Fistularia petimba,Fistularia petimba,Piscivores,Supplementary Table 1
Coelorinchus multispinulosus,Coelorinchus multispinulosus,Piscivores,Supplementary Table 1
Sphyraena pinguis,Sphyraena pinguis,Piscivores,Supplementary Table 1
Muraenesox cinereus,Muraenesox cinereus,Piscivores,Supplementary Table 1
Sphyraena japonica,Sphyraena japonica,Piscivores,Supplementary Table 1
Pennahia argentata,Pennahia argentata,Piscivores,Supplementary Table 1
Scomberomorus guttatus,Scomberomorus guttatus,Piscivores,Supplementary Table 1
Coryphaena hippurus,Coryphaena hippurus,Piscivores,Supplementary Table 1
Auxis thazard,Auxis thazard,Piscivores,Supplementary Table 1
Tentoriceps cristatu,Tentoriceps cristatus,Piscivores,Supplementary Table 1
Saurida tumbil,Saurida tumbil,Piscivores,Supplementary Table 1
Trichiurus lepturus,Trichiurus lepturus,Hairtails,Supplementary Table 1
Harpadon nehereus,Harpadon nehereus,Bombay duck,Supplementary Table 1
Decapterus maruadsi,Decapterus maruadsi,Planktivores/piscivores,Supplementary Table 1
Trachurus japonicus,Trachurus japonicus,Planktivores/piscivores,Supplementary Table 1
Psenopsis anomala,Psenopsis anomala,Planktivores/piscivores,Supplementary Table 1
Parastromateus niger,Parastromateus niger,Planktivores/piscivores,Supplementary Table 1
Pampus chinensis,Pampus chinensis,Planktivores/piscivores,Supplementary Table 1
Pampus argenteus,Pampus argenteus,Planktivores/piscivores,Supplementary Table 1
Mene maculate,Mene maculata,Planktivores/piscivores,Supplementary Table 1
Aluterus monoceros,Aluterus monoceros,Planktivores/piscivores,Supplementary Table 1
Setipinna tenuifilis,Setipinna tenuifilis,Planktivores/Benthivores,Supplementary Table 1
Psenopsis anomala,Psenopsis anomala,Planktivores/Benthivores,Supplementary Table 1
Scomber japonicus,Scomber japonicus,Planktivores/Benthivores,Supplementary Table 1
Regalecus glesne,Regalecus glesne,Planktivores/Benthivores,Supplementary Table 1
Remora remora,Remora remora,Planktivores/Benthivores,Supplementary Table 1
Pennahia argentatus,Pennahia argentata,Benthivores/piscivores,Supplementary Table 1
Nemipterus virgatus,Nemipterus virgatus,Benthivores/piscivores,Supplementary Table 1
Pisodonophis cancrivorus,Pisodonophis cancrivorus,Benthivores/piscivores,Supplementary Table 1
Atrobucca nibe,Atrobucca nibe,Benthivores/piscivores,Supplementary Table 1
Miichthys miiuy,Miichthys miiuy,Benthivores/piscivores,Supplementary Table 1
Ariosoma anago,Ariosoma anago,Benthivores/piscivores,Supplementary Table 1
Priacanthus macracanthus,Priacanthus macracanthus,Benthivores/piscivores,Supplementary Table 1
Cynoglossus joyneri,Cynoglossus joyneri,Benthivores/piscivores,Supplementary Table 1
Rexea prometheoides,Rexea prometheoides,Benthivores/piscivores,Supplementary Table 1
Lagocephalus spadiceus,Lagocephalus spadiceus,Benthivores/piscivores,Supplementary Table 1
Ilisha elongate,Ilisha elongata,Omnivores,Supplementary Table 1
Nibea albiflora,Nibea albiflora,Omnivores,Supplementary Table 1
Ostorhinchus fasciatus,Ostorhinchus fasciatus,Omnivores,Supplementary Table 1
Eleutheronema tetradactylum,Eleutheronema tetradactylum,Omnivores,Supplementary Table 1
Acanthopagrus schlegelii,Acanthopagrus schlegelii,Omnivores,Supplementary Table 1
Synagrops japonicus,Synagrops japonicus,Omnivores,Supplementary Table 1
Collichthys lucidus,Collichthys lucidus,Omnivores,Supplementary Table 1
Caranx sexfasciatus,Caranx sexfasciatus,Omnivores,Supplementary Table 1
Larimichthys crocea,Larimichthys crocea,Large yellow croakers,Supplementary Table 1
Larimichthys polyactis,Larimichthys polyactis,Small yellow croakers,Supplementary Table 1
Scoliodon laticaudus,Scoliodon laticaudus,Sharks,Supplementary Table 1
Sousa chinensis,Sousa chinensis,Marine mammals,Supplementary Table 1
-,-,Detritus,Supplementary Table 1
