taxon,groups,weights,weight_basis,confidence,catch_tonnes,SPPR_1986,SPPR_1995_TE0.1,SPPR_1995_TEmean,Ulanowicz_globalTEmean,Ulanowicz_TE,EwE_TE_noEE,EwE_TE_EE,SPPR_2015,new_TE_noEEfix,new_TE_EEfix,new_GE,new_WithEgestion,sym_TE_asPP,sym_TE_asDC,sym_GE_asPP,sym_GE_asDC,sym_WithEgestion_asPP,sym_WithEgestion_asDC,MC_new_GE,MC_new_TE_EEfix
Marine fishes not identified,Benthivores | Piscivores | Planktivores/piscivores | Benthivores/piscivores | Omnivores,0.214068 | 0.285133 | 0.167342 | 0.265453 | 0.068004,catch_composition,medium,36591786.766,0.000000,166.961545,2.045106,2.060755,186.169499,192.680384,114.316945,287.676992,287.676992,291.908148,34.836971,19.545313,291.908148,287.676992,34.836971,34.836971,19.545313,19.545313,35.819310,216.244970
Sardinops sagax,Planktivores,1.000000,single,medium,25918314.005,0.000000,100.997642,1.936770,1.931490,53.479795,53.479795,53.372836,51.741399,51.741399,52.283119,17.749881,11.404035,52.283119,51.741399,17.749881,17.749881,11.404035,11.404035,17.839302,54.129601
Trichiurus lepturus,Hairtails,1.000000,single,high,18967269.373,0.000000,137.300843,2.023855,1.935295,245.686200,262.948295,262.422398,395.115920,395.115920,400.567632,71.211755,35.749118,400.567632,395.115920,71.211755,71.211755,35.749118,35.749118,71.925944,401.698177
Engraulis japonicus,Planktivores,1.000000,single,medium,16805258.998,0.000000,100.997642,1.936770,1.931490,53.479795,53.479795,53.372836,51.741399,51.741399,52.283119,17.749881,11.404035,52.283119,51.741399,17.749881,17.749881,11.404035,11.404035,17.839302,54.129601
Scomber japonicus,Planktivores/Benthivores,1.000000,single,high,12477395.896,0.000000,90.847833,1.907611,1.912050,124.271163,124.271163,113.832386,118.840107,118.840107,120.054666,37.420523,24.182504,120.054666,118.840107,37.420523,37.420523,24.182504,24.182504,38.102317,122.241888
Scomber,Planktivores/Benthivores,1.000000,single,high,9556263.005,0.000000,90.847833,1.907611,1.912050,124.271163,124.271163,113.832386,118.840107,118.840107,120.054666,37.420523,24.182504,120.054666,118.840107,37.420523,37.420523,24.182504,24.182504,38.102317,122.241888
Cololabis saira,Planktivores,1.000000,single,medium,8328661.493,0.000000,100.997642,1.936770,1.931490,53.479795,53.479795,53.372836,51.741399,51.741399,52.283119,17.749881,11.404035,52.283119,51.741399,17.749881,17.749881,11.404035,11.404035,17.839302,54.129601
Mollusca,Mollusks,1.000000,single,medium,7501648.256,0.000000,14.497407,1.466668,1.466497,17.850747,17.850747,5.355224,17.186608,17.186608,17.598965,3.995111,2.967513,17.598965,17.186608,3.995111,3.995111,2.967513,2.967513,3.990277,17.941416
Miscellaneous marine crustaceans,Shrimps | Crabs,0.747514 | 0.252486,catch_composition,medium,6656949.068,0.000000,20.706252,1.543490,1.562479,14.308705,14.308705,14.042094,13.196282,13.196282,13.444431,7.849897,5.562855,13.444431,13.196282,7.849897,7.849897,5.562855,5.562855,7.985273,13.913077
Larimichthys polyactis,Small yellow croakers,1.000000,single,high,6448339.475,0.000000,133.416232,2.015553,2.043652,272.245191,278.640230,62.972692,308.698938,308.698938,312.828133,15.479061,8.820708,312.828133,308.698938,15.479061,15.479061,8.820708,8.820708,15.817561,303.129451
Acetes japonicus,Shrimps,1.000000,single,high,5391927.682,0.000000,20.606299,1.542427,1.561295,15.075177,15.075177,15.060102,13.927162,13.927162,14.183251,7.969433,5.681336,14.183251,13.927162,7.969433,7.969433,5.681336,5.681336,8.136905,14.885026
Todarodes pacificus,Cephalopods,1.000000,single,high,5085314.799,0.000000,65.929169,1.821994,1.839433,38.382342,38.382342,37.768225,36.734327,36.734327,37.111337,12.794003,8.242232,37.111337,36.734327,12.794003,12.794003,8.242232,8.242232,12.757448,38.533030
Sciaenidae,Benthivores | Piscivores | Benthivores/piscivores | Omnivores | Large yellow croakers | Small yellow croakers,0.219418 | 0.292260 | 0.272087 | 0.069704 | 0.035436 | 0.111094,catch_composition,medium,5013098.586,0.000000,173.538806,2.056327,2.078984,126.848654,128.748509,90.189665,217.718498,217.718498,220.823291,25.681970,14.042971,220.823291,217.718498,25.681970,25.681970,14.042971,14.042971,26.350181,139.946072
Stephanolepis cirrhifer,Benthivores,1.000000,single,medium,4888904.985,0.000000,67.814783,1.829368,1.840330,33.988491,35.780255,35.601354,385.228839,385.228839,391.588003,16.669630,9.973880,391.588003,385.228839,16.669630,16.669630,9.973880,9.973880,17.246706,42.474741
Pectinidae,Mollusks,1.000000,single,high,4644809.237,0.000000,14.497407,1.466668,1.466497,17.850747,17.850747,5.355224,17.186608,17.186608,17.598965,3.995111,2.967513,17.598965,17.186608,3.995111,3.995111,2.967513,2.967513,3.990277,17.941416
Scyphozoa,Other invertebrates,1.000000,single,high,4334965.034,0.000000,10.000000,1.390690,1.390690,14.610390,14.610390,9.000000,13.760094,13.760094,13.949770,9.664044,7.828167,13.949770,13.760094,9.664044,9.664044,7.828167,7.828167,9.661211,13.789070
Pleuronectidae,Benthivores,1.000000,single,medium,3661117.122,0.000000,67.814783,1.829368,1.840330,33.988491,35.780255,35.601354,385.228839,385.228839,391.588003,16.669630,9.973880,391.588003,385.228839,16.669630,16.669630,9.973880,9.973880,17.246706,42.474741
Muraenesox cinereus,Piscivores,1.000000,single,high,3486911.988,0.000000,304.388999,2.268309,2.300314,249.259877,251.428736,202.148704,282.597002,282.597002,286.033173,49.797649,25.643377,286.033173,282.597002,49.797649,49.797649,25.643377,25.643377,51.082514,274.518943
