taxon,EwE_Xu_2022_M1997,EwE_Xu_2022_M2018
Acanthocybium solandri,Piscivores,Piscivores
Acanthopagrus schlegelii,Omnivores,Omnivores
Acetes,Shrimps,Shrimps
Acetes japonicus,Shrimps,Shrimps
Alepes,Planktivores/piscivores,Planktivores/piscivores
Alopias,Sharks,Sharks
Aluterus,Planktivores/piscivores,Planktivores/piscivores
Ammodytes,Planktivores,Planktivores
Ammodytes personatus,Planktivores,Planktivores
Anadara,Mollusks,Mollusks
Apostichopus japonicus,Echinoderms,Echinoderms
Arctoscopus japonicus,Benthivores/piscivores,Benthivores/piscivores
Ariidae,Benthivores/piscivores,Benthivores/piscivores
Ariomma indica,Planktivores/piscivores,Planktivores/piscivores
Atrobucca nibe,Benthivores/piscivores,Benthivores/piscivores
Auxis,Piscivores,Piscivores
Auxis rochei,Piscivores,Piscivores
Auxis thazard,Piscivores,Piscivores
Bathylagidae,Unresolved,Unresolved
Batoidea,Unresolved,Unresolved
Berycidae,Piscivores,Piscivores
Beryx,Piscivores,Piscivores
Beryx splendens,Piscivores,Piscivores
Bivalvia,Mollusks,Mollusks
Brachyura,Crabs,Crabs
Bramidae,Piscivores,Piscivores
Carangidae,Unresolved,Unresolved
Carcharhinus falciformis,Sharks,Sharks
Carcharhinus longimanus,Sharks,Sharks
Cardiidae,Mollusks,Mollusks
Cephalopoda,Cephalopods,Cephalopods
Chanos chanos,Unresolved,Unresolved
Charybdis,Crabs,Crabs
Cheilopogon unicolor,Omnivores,Omnivores
Chelidonichthys kumu,Benthivores,Benthivores
Chionoecetes japonicus,Crabs,Crabs
Chionoecetes opilio,Crabs,Crabs
Chondrichthyes,Unresolved,Unresolved
Clupanodon thrissa,Planktivores,Planktivores
Clupea pallasii,Planktivores,Planktivores
Clupeidae,Unresolved,Unresolved
Clupeiformes,Unresolved,Unresolved
Cololabis saira,Planktivores,Planktivores
Conger myriaster,Benthivores/piscivores,Benthivores/piscivores
Congridae,Benthivores/piscivores,Benthivores/piscivores
Coryphaena,Piscivores,Piscivores
Coryphaena hippurus,Piscivores,Piscivores
Cypselurus,Omnivores,Omnivores
Decapoda,Unresolved,Unresolved
Decapterus,Planktivores/piscivores,Planktivores/piscivores
Decapterus maruadsi,Planktivores/piscivores,Planktivores/piscivores
Decapterus russelli,Planktivores/piscivores,Planktivores/piscivores
Dendrobranchiata,Shrimps,Shrimps
Dussumieria,Planktivores,Planktivores
Dussumieria elopsoides,Planktivores,Planktivores
Echinoidea,Echinoderms,Echinoderms
Elasmobranchii,Unresolved,Unresolved
Encrasicholina punctifer,Planktivores,Planktivores
Engraulidae,Planktivores,Planktivores
Engraulis japonicus,Planktivores,Planktivores
Epinephelus,Piscivores,Piscivores
Epinephelus coioides,Piscivores,Piscivores
Epinephelus maculatus,Piscivores,Piscivores
Epinephelus malabaricus,Piscivores,Piscivores
Evynnis tumifrons,Omnivores,Omnivores
Exocoetidae,Omnivores,Omnivores
Gadidae,Unresolved,Unresolved
Gadus chalcogrammus,Unresolved,Unresolved
Gadus macrocephalus,Unresolved,Unresolved
Gastropoda,Mollusks,Mollusks
Gobiidae,Benthivores,Benthivores
Gymnocranius,Benthivores/piscivores,Benthivores/piscivores
Haemulidae,Benthivores/piscivores,Benthivores/piscivores
Haliotidae,Mollusks,Mollusks
Haliotis,Mollusks,Mollusks
Harpadon nehereus,Bombay duck,Bombay duck
Hemiramphidae,Omnivores,Omnivores
Hemitrygon akajei,Benthivores,Benthivores
Hexagrammidae,Benthivores/piscivores,Benthivores/piscivores
Holothuriidae,Echinoderms,Echinoderms
Holothuroidea,Echinoderms,Echinoderms
Hyporhamphus sajori,Omnivores,Omnivores
Ibacus ciliatus,Crabs,Crabs
Ilisha elongata,Omnivores,Omnivores
Istiompax indica,Piscivores,Piscivores
Istiophoridae,Piscivores,Piscivores
Istiophorus platypterus,Piscivores,Piscivores
Isurus,Sharks,Sharks
Isurus oxyrinchus,Sharks,Sharks
Kajikia audax,Piscivores,Piscivores
Katsuwonus pelamis,Piscivores,Piscivores
Konosirus punctatus,Planktivores,Planktivores
Kyphosidae,Omnivores,Omnivores
Larimichthys crocea,Large yellow croakers,Large yellow croakers
Larimichthys polyactis,Small yellow croakers,Small yellow croakers
Lateolabracidae,Benthivores/piscivores,Benthivores/piscivores
Lateolabrax japonicus,Benthivores/piscivores,Benthivores/piscivores
Lates calcarifer,Piscivores,Piscivores
Lethrinidae,Benthivores/piscivores,Benthivores/piscivores
