group_name,model_tl,grouping_basis,explicit_members,supporting_taxa,membership_source,source_relationship,source_location,source_url,notes
Baleen whales,3.920339884921915,taxonomic,,,"Baleen whales (Mysticeti); Table 1 supplies the group label, not a species list.",direct source,"Chaikina 2020 pp.24-29, Tables 1 and 3",https://epic.awi.de/id/eprint/52730/1/Palomares20_FishCentResaRep28.pdf,"Species-list absence is retained. Mapping confidence concerns the group crosswalk, not model geographical representativeness."
Toothed whales,4.555881045383044,taxonomic,,,Toothed whales other than the separate sperm-whale compartment; species membership not documented in the available chapter.,direct source,"Chaikina 2020 pp.24-29, Tables 1 and 3",https://epic.awi.de/id/eprint/52730/1/Palomares20_FishCentResaRep28.pdf,"Species-list absence is retained. Mapping confidence concerns the group crosswalk, not model geographical representativeness."
Sperm whales,5.095145064278068,taxonomic,,,"Sperm whales; the common-name stock in Table 1, no binomial listed.",direct source,"Chaikina 2020 pp.24-29, Tables 1 and 3",https://epic.awi.de/id/eprint/52730/1/Palomares20_FishCentResaRep28.pdf,"Species-list absence is retained. Mapping confidence concerns the group crosswalk, not model geographical representativeness."
Pinnipeds,4.960093888150276,taxonomic,,,Pinnipeds; species membership not documented in the available chapter.,direct source,"Chaikina 2020 pp.24-29, Tables 1 and 3",https://epic.awi.de/id/eprint/52730/1/Palomares20_FishCentResaRep28.pdf,"Species-list absence is retained. Mapping confidence concerns the group crosswalk, not model geographical representativeness."
Seabirds,4.688743980695794,taxonomic,,,Seabirds; species membership not documented in the available chapter.,direct source,"Chaikina 2020 pp.24-29, Tables 1 and 3",https://epic.awi.de/id/eprint/52730/1/Palomares20_FishCentResaRep28.pdf,"Species-list absence is retained. Mapping confidence concerns the group crosswalk, not model geographical representativeness."
Walleye pollock,3.74445475879728,taxonomic,,Gadus chalcogrammus; Gadidae; Gadiformes,"Walleye pollock, adult/nonjuvenile compartment; Table 1 separates Juv. pollock. Scientific-name crosswalk Gadus chalcogrammus is a taxonomic interpretation.",direct source,"Chaikina 2020 pp.24-29, Tables 1 and 3",https://epic.awi.de/id/eprint/52730/1/Palomares20_FishCentResaRep28.pdf,"Species-list absence is retained. Mapping confidence concerns the group crosswalk, not model geographical representativeness."
Juv. pollock,3.753316151048269,life stage,,Gadus chalcogrammus; Gadidae; Gadiformes,Juvenile walleye pollock; age/length boundary not documented in the available chapter.,direct source,"Chaikina 2020 pp.24-29, Tables 1 and 3",https://epic.awi.de/id/eprint/52730/1/Palomares20_FishCentResaRep28.pdf,"Species-list absence is retained. Mapping confidence concerns the group crosswalk, not model geographical representativeness."
Pacific herring,3.953399257747084,taxonomic,,Clupea pallasii,Pacific herring; named stock in Table 1. Scientific-name crosswalk Clupea pallasii is a taxonomic interpretation.,direct source,"Chaikina 2020 pp.24-29, Tables 1 and 3",https://epic.awi.de/id/eprint/52730/1/Palomares20_FishCentResaRep28.pdf,"Species-list absence is retained. Mapping confidence concerns the group crosswalk, not model geographical representativeness."
Salmon,3.877820521458073,taxonomic,,Oncorhynchus gorbuscha; Oncorhynchus; Oncorhynchus keta; Oncorhynchus nerka; Oncorhynchus kisutch; Salmonidae; Oncorhynchus tshawytscha; Oncorhynchus masou,Salmon; species membership not documented in the available chapter.,direct source,"Chaikina 2020 pp.24-29, Tables 1 and 3",https://epic.awi.de/id/eprint/52730/1/Palomares20_FishCentResaRep28.pdf,"Species-list absence is retained. Mapping confidence concerns the group crosswalk, not model geographical representativeness."
Capelin,3.502415458937198,taxonomic,,Mallotus villosus,Capelin; named stock in Table 1. Scientific-name crosswalk Mallotus villosus is a taxonomic interpretation.,direct source,"Chaikina 2020 pp.24-29, Tables 1 and 3",https://epic.awi.de/id/eprint/52730/1/Palomares20_FishCentResaRep28.pdf,"Species-list absence is retained. Mapping confidence concerns the group crosswalk, not model geographical representativeness."
Pacific Sardine,2.157531400966184,taxonomic,,Sardinops sagax,Pacific Sardine; binomial and regional synonym treatment not documented in the available chapter.,direct source,"Chaikina 2020 pp.24-29, Tables 1 and 3",https://epic.awi.de/id/eprint/52730/1/Palomares20_FishCentResaRep28.pdf,"Species-list absence is retained. Mapping confidence concerns the group crosswalk, not model geographical representativeness."
Other Gadidae,3.916894441410394,taxonomic,,Marine fishes not identified; Gadus macrocephalus; Eleginus gracilis; Gadidae; Gadiformes; Actinopterygii,Gadidae other than pollock (pollock has two separate life-stage groups); Table 1 taxonomic label.,direct source,"Chaikina 2020 pp.24-29, Tables 1 and 3",https://epic.awi.de/id/eprint/52730/1/Palomares20_FishCentResaRep28.pdf,"Species-list absence is retained. Mapping confidence concerns the group crosswalk, not model geographical representativeness."
Pleuronectidae,3.394774023413718,taxonomic,,Marine fishes not identified; Pleuronectiformes; Pleuronectidae; Atheresthes evermanni; Hippoglossus stenolepis; Reinhardtius hippoglossoides; Limanda aspera; Hippoglossoides elassodon; Actinopterygii,"Pleuronectidae; Table 1 family label, no species list.",direct source,"Chaikina 2020 pp.24-29, Tables 1 and 3",https://epic.awi.de/id/eprint/52730/1/Palomares20_FishCentResaRep28.pdf,"Species-list absence is retained. Mapping confidence concerns the group crosswalk, not model geographical representativeness."
Cottidae,4.267368892965685,taxonomic,,Marine fishes not identified; Scorpaeniformes; Actinopterygii,"Cottidae; Table 1 family label, no species list.",direct source,"Chaikina 2020 pp.24-29, Tables 1 and 3",https://epic.awi.de/id/eprint/52730/1/Palomares20_FishCentResaRep28.pdf,"Species-list absence is retained. Mapping confidence concerns the group crosswalk, not model geographical representativeness."
Other bottom fishes,3.856616903690124,taxonomic,,Marine fishes not identified; Pleuronectiformes; Pleurogrammus azonus; Pleurogrammus monopterygius; Moridae; Laemonema longipes; Sebastidae; Anoplopoma fimbria; Arctoscopus japonicus; Sebastes; Sebastes alutus; Paralichthys olivaceus; Scorpaeniformes; Sebastolobus alascanus; Gadiformes; Lycodes; Actinopterygii; Hexagrammos otakii; Hexagrammidae; Scorpaenidae,"Other bottom fishes; residual bottom-fish pool, species membership not documented in the available chapter.",direct source,"Chaikina 2020 pp.24-29, Tables 1 and 3",https://epic.awi.de/id/eprint/52730/1/Palomares20_FishCentResaRep28.pdf,"Species-list absence is retained. Mapping confidence concerns the group crosswalk, not model geographical representativeness."
Ammodytidae,3.003038647342995,taxonomic,,Ammodytes personatus,"Ammodytidae; Table 1 family label, no species list.",direct source,"Chaikina 2020 pp.24-29, Tables 1 and 3",https://epic.awi.de/id/eprint/52730/1/Palomares20_FishCentResaRep28.pdf,"Species-list absence is retained. Mapping confidence concerns the group crosswalk, not model geographical representativeness."
Myctophidae,3.204574879227053,taxonomic,,,"Myctophidae; Table 1 family label, no species list.",direct source,"Chaikina 2020 pp.24-29, Tables 1 and 3",https://epic.awi.de/id/eprint/52730/1/Palomares20_FishCentResaRep28.pdf,"Species-list absence is retained. Mapping confidence concerns the group crosswalk, not model geographical representativeness."
Bathylagidae,3.756119284678897,taxonomic,,Bathylagidae,"Bathylagidae; Table 1 family label, no species list.",direct source,"Chaikina 2020 pp.24-29, Tables 1 and 3",https://epic.awi.de/id/eprint/52730/1/Palomares20_FishCentResaRep28.pdf,"Species-list absence is retained. Mapping confidence concerns the group crosswalk, not model geographical representativeness."
