taxon,groups,weights,weight_basis,confidence,catch_tonnes,SPPR_1986,SPPR_1995_TE0.1,SPPR_1995_TEmean,Ulanowicz_globalTEmean,Ulanowicz_TE,EwE_TE_noEE,EwE_TE_EE,SPPR_2015,new_TE_noEEfix,new_TE_EEfix,new_GE,new_WithEgestion,sym_TE_asPP,sym_TE_asDC,sym_GE_asPP,sym_GE_asDC,sym_WithEgestion_asPP,sym_WithEgestion_asDC,MC_new_GE,MC_new_TE_EEfix
Gadus chalcogrammus,Walleye pollock,1.000000,single,high,146132008.462,0.000000,443.195755,81.757049,137.489537,811.720325,815.797919,813.350525,2253.718568,2253.718568,2289.422980,1171.939357,356.671565,2289.422980,2253.718568,1171.939357,1171.939357,356.671565,356.671565,1753.211384,2483.004557
Clupea pallasii,Pacific herring,1.000000,single,high,18753775.683,0.000000,614.061386,103.481369,102.762126,206.633066,206.633066,166.752884,674.695058,674.695058,685.237148,543.540581,184.067328,685.237148,674.695058,543.540581,543.540581,184.067328,184.067328,795.939428,707.689575
Marine fishes not identified,Unresolved,,,unresolved,14223073.136,,,,,,,,,,,,,,,,,,,,
Oncorhynchus gorbuscha,Salmon,1.000000,single,high,11221364.935,0.000000,537.793674,94.024526,104.598466,157.176060,157.620728,47.759081,685.406991,685.406991,696.719298,75.247908,24.548027,696.719298,685.406991,75.247908,75.247908,24.548027,24.548027,105.886534,808.068303
Sardinops sagax,Pacific Sardine,1.000000,single,high,6361027.532,0.000000,14.256076,6.822160,9.974089,16.077349,16.077349,13.054808,22.182506,22.182506,22.399947,18.034849,10.353095,22.399947,22.182506,18.034849,18.034849,10.353095,10.353095,22.314243,23.084191
Gadus macrocephalus,Other Gadidae,1.000000,single,high,5161513.421,0.000000,707.656366,114.652683,277.542915,7317.526805,9118.647223,3191.526528,-469569.202248,-469569.202248,-477319.412817,17690.132028,1835.974421,-477319.412817,-469569.202248,17690.132028,17690.132028,1835.974421,1835.974421,45014.364407,553523.084381
Oncorhynchus,Salmon,1.000000,single,high,3616523.455,0.000000,537.793674,94.024526,104.598466,157.176060,157.620728,47.759081,685.406991,685.406991,696.719298,75.247908,24.548027,696.719298,685.406991,75.247908,75.247908,24.548027,24.548027,105.886534,808.068303
Oncorhynchus keta,Salmon,1.000000,single,high,3266940.097,0.000000,537.793674,94.024526,104.598466,157.176060,157.620728,47.759081,685.406991,685.406991,696.719298,75.247908,24.548027,696.719298,685.406991,75.247908,75.247908,24.548027,24.548027,105.886534,808.068303
Pleuronectiformes,Pleuronectidae,1.000000,single,medium,2647805.622,0.000000,233.243340,51.411960,126.519418,324.117476,325.251045,325.251045,2211.992883,2211.992883,2248.486658,1061.044702,181.154642,2248.486658,2211.992883,1061.044702,1061.044702,181.154642,181.154642,2141.070009,2413.536959
Paralithodes camtschaticus,Crabs and shrimps,1.000000,single,high,2194189.219,0.000000,95.896642,27.047208,56.071592,87.690287,88.352076,88.352076,181.735308,181.735308,185.151605,112.940911,44.389715,185.151605,181.735308,112.940911,112.940911,44.389715,44.389715,155.239894,187.577636
Pleurogrammus azonus,Other bottom fishes,1.000000,single,medium,1970290.649,0.000000,458.549467,83.794097,218.423557,526.492157,541.533117,541.533117,4898.328707,4898.328707,4977.981343,2326.130383,441.451478,4977.981343,4898.328707,2326.130383,2326.130383,441.451478,441.451478,4543.691070,5107.845290
Scomber,Unresolved,,,unresolved,1716358.066,,,,,,,,,,,,,,,,,,,,
Teuthida,Squids,1.000000,single,high,1601595.175,0.000000,957.310082,142.631647,119.679026,66.859093,71.954070,34.034275,245.671067,245.671067,249.518872,112.246832,37.014939,249.518872,245.671067,112.246832,112.246832,37.014939,37.014939,170.688724,257.667318
Eleginus gracilis,Other Gadidae,1.000000,single,high,1420067.304,0.000000,707.656366,114.652683,277.542915,7317.526805,9118.647223,3191.526528,-469569.202248,-469569.202248,-477319.412817,17690.132028,1835.974421,-477319.412817,-469569.202248,17690.132028,17690.132028,1835.974421,1835.974421,45014.364407,553523.084381
