seq,group_name,taxon_descr
1,Baleen whales,"Baleen whales (Mysticeti); Table 1 supplies the group label, not a species list."
2,Toothed whales,Toothed whales other than the separate sperm-whale compartment; species membership not documented in the available chapter.
3,Sperm whales,"Sperm whales; the common-name stock in Table 1, no binomial listed."
4,Pinnipeds,Pinnipeds; species membership not documented in the available chapter.
5,Seabirds,Seabirds; species membership not documented in the available chapter.
6,Walleye pollock,"Walleye pollock, adult/nonjuvenile compartment; Table 1 separates Juv. pollock. Scientific-name crosswalk Gadus chalcogrammus is a taxonomic interpretation."
7,Juv. pollock,Juvenile walleye pollock; age/length boundary not documented in the available chapter.
8,Pacific herring,Pacific herring; named stock in Table 1. Scientific-name crosswalk Clupea pallasii is a taxonomic interpretation.
9,Salmon,Salmon; species membership not documented in the available chapter.
10,Capelin,Capelin; named stock in Table 1. Scientific-name crosswalk Mallotus villosus is a taxonomic interpretation.
11,Pacific Sardine,Pacific Sardine; binomial and regional synonym treatment not documented in the available chapter.
12,Other Gadidae,Gadidae other than pollock (pollock has two separate life-stage groups); Table 1 taxonomic label.
13,Pleuronectidae,"Pleuronectidae; Table 1 family label, no species list."
14,Cottidae,"Cottidae; Table 1 family label, no species list."
15,Other bottom fishes,"Other bottom fishes; residual bottom-fish pool, species membership not documented in the available chapter."
16,Ammodytidae,"Ammodytidae; Table 1 family label, no species list."
17,Myctophidae,"Myctophidae; Table 1 family label, no species list."
18,Bathylagidae,"Bathylagidae; Table 1 family label, no species list."
19,Other mesopelagic fishes,"Other mesopelagic fishes, excluding the separately named Myctophidae and Bathylagidae; species list not documented."
20,Crabs and shrimps,"Crabs and shrimps; Table 1 taxonomic pool label, no species list."
21,Squids,"Squids; Table 1 taxonomic pool label, no species list."
22,Jellyfish,"Jellyfish; Table 1 pool label, no species list."
23,Carnivorous invertebrates,"Carnivorous invertebrates; Table 1 feeding-guild label, species membership not documented; Table 3 diet is second-level benthos."
24,2nd level benthos,"2nd level benthos; Table 1 trophic-guild label, species membership not documented; Table 3 diet draws from phytoplankton, phytobenthos and detritus."
25,Predatory zooplankton,Predatory zooplankton; species membership not documented.
26,Herbivorous zooplankton,Herbivorous zooplankton; species membership not documented.
27,Phytobenthos,"Phytobenthos; benthic primary producers, species membership not documented."
28,Phytoplankton,"Phytoplankton; pelagic primary producers, species membership not documented."
29,Detritus,"Detritus; nonliving compartment, not a taxon."
