taxon,EwE_Okhotsk_NE_1980
Actinopterygii,Unresolved
Ammodytes personatus,Ammodytidae
Anoplopoma fimbria,Other bottom fishes
Apostichopus japonicus,2nd level benthos
Arctoscopus japonicus,Other bottom fishes
Atheresthes evermanni,Pleuronectidae
Bathylagidae,Bathylagidae
Batoidea,Unresolved
Berryteuthis magister,Squids
Beryx,Unresolved
Bivalvia,2nd level benthos
Brachyura,Crabs and shrimps
Bramidae,Unresolved
Carangidae,Unresolved
Cephalopoda,Unresolved
Cephea,Jellyfish
Chanos chanos,Unresolved
Chionoecetes,Crabs and shrimps
Chionoecetes japonicus,Crabs and shrimps
Chionoecetes opilio,Crabs and shrimps
Chondrichthyes,Unresolved
Clupea pallasii,Pacific herring
Clupeidae,Unresolved
Clupeiformes,Unresolved
Cololabis saira,Unresolved
Congridae,Unresolved
Corbicula japonica,2nd level benthos
Coregonus,Salmon
Crassostrea,2nd level benthos
Cyprinidae,Unresolved
Decapoda,Crabs and shrimps
Decapterus,Unresolved
Dendrobranchiata,Crabs and shrimps
Echinoidea,2nd level benthos
Echinozoa,2nd level benthos
Elasmobranchii,Unresolved
Eleginus gracilis,Other Gadidae
Engraulis japonicus,Unresolved
Erimacrus isenbeckii,Crabs and shrimps
Gadidae,Other Gadidae
Gadiformes,Unresolved
Gadus chalcogrammus,Walleye pollock
Gadus macrocephalus,Other Gadidae
Gastropoda,Unresolved
Haliotidae,2nd level benthos
Haliotis,2nd level benthos
Hexagrammidae,Other bottom fishes
Hexagrammos otakii,Other bottom fishes
Hippoglossoides elassodon,Pleuronectidae
Hippoglossus stenolepis,Pleuronectidae
Holothuroidea,2nd level benthos
Isurus,Unresolved
Isurus oxyrinchus,Unresolved
Laemonema longipes,Unresolved
Lates calcarifer,Unresolved
Limanda aspera,Pleuronectidae
Loliginidae,Squids
Lutjanidae,Unresolved
Lycodes,Other bottom fishes
Mactridae,2nd level benthos
Magallana gigas,2nd level benthos
Mallotus villosus,Capelin
Marine fishes not identified,Unresolved
Marine pelagic fishes not identified,Unresolved
Metapenaeus,Crabs and shrimps
Miscellaneous aquatic invertebrates,Unresolved
Miscellaneous marine crustaceans,Crabs and shrimps
Mizuhopecten yessoensis,2nd level benthos
Mola mola,Unresolved
Mollusca,Unresolved
Moridae,Unresolved
Mugil cephalus,Unresolved
Mugilidae,Unresolved
Muraenesox cinereus,Unresolved
Mytilidae,2nd level benthos
Octopoda,Unresolved
Octopodidae,Unresolved
Octopus,Unresolved
Ommastrephes bartramii,Squids
Ommastrephidae,Squids
Oncorhynchus,Salmon
Oncorhynchus gorbuscha,Salmon
Oncorhynchus keta,Salmon
Oncorhynchus kisutch,Salmon
Oncorhynchus masou,Salmon
Oncorhynchus nerka,Salmon
Oncorhynchus tshawytscha,Salmon
Osmeridae,Unresolved
Pandalopsis japonica,Crabs and shrimps
Pandalus,Crabs and shrimps
Pandalus borealis,Crabs and shrimps
Pandalus goniurus,Crabs and shrimps
Pandalus hypsinotus,Crabs and shrimps
Pandalus kessleri,Crabs and shrimps
Panulirus,Crabs and shrimps
Paralichthys olivaceus,Unresolved
Paralithodes,Crabs and shrimps
Paralithodes brevipes,Crabs and shrimps
Paralithodes camtschaticus,Crabs and shrimps
Paralithodes platypus,Crabs and shrimps
Pectinidae,2nd level benthos
Penaeus chinensis,Crabs and shrimps
Pentaceros wheeleri,Unresolved
Perciformes,Unresolved
Pinctada,2nd level benthos
Pleurogrammus azonus,Other bottom fishes
Pleurogrammus monopterygius,Other bottom fishes
Pleuronectidae,Pleuronectidae
Pleuronectiformes,Pleuronectidae
Prionace glauca,Unresolved
Rachycentridae,Unresolved
Rachycentron canadum,Unresolved
Reinhardtius hippoglossoides,Pleuronectidae
Rhopilema hispidum,Jellyfish
Salmonidae,Salmon
Salvelinus,Salmon
Salvelinus malma,Salmon
Sardinops sagax,Pacific Sardine
Saurida,Unresolved
Scaridae,Unresolved
Sciaenidae,Unresolved
Sclerocrangon,Crabs and shrimps
Scomber,Unresolved
Scomber japonicus,Unresolved
Scomberomorus niphonius,Unresolved
Scombridae,Unresolved
Scombroidei,Unresolved
Scorpaenidae,Other bottom fishes
Scorpaeniformes,Unresolved
Scyphozoa,Jellyfish
Sebastes,Other bottom fishes
Sebastes alutus,Other bottom fishes
Sebastidae,Other bottom fishes
Sebastolobus alascanus,Other bottom fishes
Seriola,Unresolved
Seriola dumerili,Unresolved
Seriola lalandi,Unresolved
Serranidae,Unresolved
Sphyraena barracuda,Unresolved
Squillidae,Unresolved
Stromateidae,Unresolved
Synodontidae,Unresolved
Tetraodontidae,Unresolved
Teuthida,Squids
Thunnus alalunga,Unresolved
Thunnus orientalis,Unresolved
Todarodes pacificus,Squids
Trachurus,Unresolved
Trachurus japonicus,Unresolved
Trichiurus lepturus,Unresolved
Xiphias gladius,Unresolved
