path,status,old_bytes,release_bytes,resolution
.pytest_cache/.gitignore,only-in-old,37,,carry-up (unique to old tree)
.pytest_cache/CACHEDIR.TAG,only-in-old,191,,carry-up (unique to old tree)
.pytest_cache/README.md,only-in-old,302,,carry-up (unique to old tree)
.pytest_cache/v/cache/lastfailed,only-in-old,2,,carry-up (unique to old tree)
.pytest_cache/v/cache/nodeids,only-in-old,3941,,carry-up (unique to old tree)
EEZ_README.md,only-in-release,,10103,keep-release
EEZ_TE010_release_2026-09-04_complete.zip,only-in-old,1755952190,,carry-up (unique to old tree)
EEZ_TE010_release_2026-09-04_delivery.json,only-in-old,1773,,carry-up (unique to old tree)
EEZ_TE010_release_2026-09-04_results.zip,only-in-old,16420380,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04.delivery.json,only-in-old,496,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04.zip,only-in-old,218812480,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/PPR_global_summary.xlsx,only-in-old,4406128,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/README.md,only-in-old,7737,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/code/requirements.txt,only-in-old,194,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/code/run_history_pipeline.py,only-in-old,701,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/code/src/ppr_pipeline/__init__.py,only-in-old,349,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/code/src/ppr_pipeline/calculations.py,only-in-old,4622,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/code/src/ppr_pipeline/download.py,only-in-old,7326,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/code/src/ppr_pipeline/eez_spatial.py,only-in-old,18677,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/code/src/ppr_pipeline/history.py,only-in-old,27735,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/code/src/ppr_pipeline/ingest.py,only-in-old,7891,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/code/src/ppr_pipeline/matching.py,only-in-old,6428,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/code/src/ppr_pipeline/notebook.py,only-in-old,13543,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/code/src/ppr_pipeline/pipeline.py,only-in-old,17736,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/code/src/ppr_pipeline/provenance.py,only-in-old,1779,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/code/src/ppr_pipeline/selection.py,only-in-old,27301,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/code/src/ppr_pipeline/spatial.py,only-in-old,5137,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/code/src/ppr_pipeline/validation.py,only-in-old,3065,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/code/src/ppr_pipeline/years.py,only-in-old,1533,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/code/tests/conftest.py,only-in-old,215,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/code/tests/test_calculations.py,only-in-old,3447,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/code/tests/test_download.py,only-in-old,2608,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/code/tests/test_eez_comparison.py,only-in-old,2029,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/code/tests/test_eez_execution.py,only-in-old,3084,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/code/tests/test_eez_notebook.py,only-in-old,4519,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/code/tests/test_eez_packaging.py,only-in-old,1485,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/code/tests/test_eez_pipeline.py,only-in-old,1412,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/code/tests/test_eez_provenance.py,only-in-old,1007,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/code/tests/test_eez_release_validation.py,only-in-old,14082,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/code/tests/test_eez_spatial.py,only-in-old,9000,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/code/tests/test_eez_summary.py,only-in-old,1488,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/code/tests/test_eez_workbook.mjs,only-in-old,5779,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/code/tests/test_eez_years.py,only-in-old,986,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/code/tests/test_history.py,only-in-old,11611,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/code/tests/test_history_package.py,only-in-old,2537,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/code/tests/test_history_workbook.mjs,only-in-old,5243,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/code/tests/test_history_workbook_validation.py,only-in-old,10657,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/code/tests/test_ingest.py,only-in-old,5426,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/code/tests/test_matching.py,only-in-old,4236,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/code/tests/test_notebook.py,only-in-old,1317,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/code/tests/test_pipeline.py,only-in-old,6612,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/code/tests/test_provenance.py,only-in-old,744,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/code/tests/test_scope_args.mjs,only-in-old,818,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/code/tests/test_selection.py,only-in-old,8102,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/code/tests/test_spatial.py,only-in-old,3371,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/code/tests/test_validation.py,only-in-old,2246,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/code/tests/test_workbook_metadata.mjs,only-in-old,774,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/code/tests/test_years.py,only-in-old,774,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/code/tools/build_history_workbook.mjs,only-in-old,7797,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/code/tools/eez_workbook.mjs,only-in-old,3786,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/code/tools/history_workbook.mjs,only-in-old,13547,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/code/tools/package_history_release.py,only-in-old,4904,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/code/tools/plot_history_selection.py,only-in-old,2493,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/code/tools/select_regions.py,only-in-old,727,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/code/tools/validate_history_workbook.py,only-in-old,16703,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/deliverable_manifest.json,only-in-old,554936,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/saved_workbook_validation.json,only-in-old,2045,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/selected_regions_map.png,only-in-old,520868,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/spatial/EEZs.geojson,only-in-old,2917198,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/spatial/HighSeas_normalized.geojson,only-in-old,151620,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/spatial/LMEs_normalized.geojson,only-in-old,1442551,,carry-up (unique to old tree)
Global_history_TE010_2026-09-04/spatial/gaps.geojson,only-in-old,5469718,,carry-up (unique to old tree)
