layer,region_id,title,water_area_km2,common_area_km2,baseline_4km_tC_yr,npp_antoinemorel_tC_yr,npp_vgpm_tC_yr,npp_eppley_tC_yr,npp_cbpm_tC_yr,npp_cafe_tC_yr,ens_median_tC_yr,ens_min_tC_yr,ens_max_tC_yr,spread_pct,cv_pct,model_max,model_min,scaled_antoinemorel_tC_yr,scaled_vgpm_tC_yr,scaled_eppley_tC_yr,scaled_cbpm_tC_yr,scaled_cafe_tC_yr,scaled_median_tC_yr,scaled_min_tC_yr,scaled_max_tC_yr,rate_antoinemorel_mgC_m2_d,rate_vgpm_mgC_m2_d,rate_eppley_mgC_m2_d,rate_cbpm_mgC_m2_d,rate_cafe_mgC_m2_d,own_antoinemorel_tC_yr,own_vgpm_tC_yr,own_eppley_tC_yr,own_cbpm_tC_yr,own_cafe_tC_yr
highseas,18,Arctic Sea,929676.0611754738,0.0,15890786.52046675,8279061.600909908,12581729.293605065,11288413.83000283,16118308.313870847,14520527.42666492,12581729.293605065,8279061.600909908,16118308.313870847,62.30659180487539,24.038429623415873,CbPM2,Antoine-Morel,15890786.52046675,24149303.858423688,21666921.080469374,30937394.69925382,27870622.616982937,24149303.858423688,15890786.52046675,30937394.69925382,46.829646630772956,71.16723672629931,63.8517329817746,91.17152631663762,82.13384572575603,8316188.765196994,13728558.132006554,12486370.340340748,17867767.833271097,16336866.561330602
highseas,21,"Atlantic, Northwest",2637207.8692603526,2329062.156876172,353629584.4116534,352660901.0527013,482924975.1073684,361468136.87208545,464957525.60069495,385136530.5954946,385136530.5954946,352660901.0527013,482924975.1073684,33.822830011283,14.75497031358502,VGPM,Antoine-Morel,353629584.4116534,484251465.75493515,362461011.8064323,466234663.54347366,386194417.4976115,386194417.4976115,353629584.4116534,484251465.75493515,367.3764922982777,503.07613593848697,376.5512303894889,484.3589530707393,401.2072425487196,352660901.0527013,483288715.33225334,361697054.1928791,465173982.01669437,385639973.2473444
highseas,27,"Atlantic, Northeast",5165751.521113132,3379779.6725501884,684293379.527218,680529341.5231694,1075355783.48221,691510884.6041799,840462084.9806516,795110460.9045098,795110460.9045098,680529341.5231694,1075355783.48221,49.65680384960473,19.56948838621834,VGPM,Antoine-Morel,684293379.527218,1081303624.0673652,695335662.0105994,845110718.0899138,799508252.1673561,799508252.1673561,684293379.527218,1081303624.0673652,362.92422788898836,573.4839684542123,368.7806514118669,448.2158735123215,424.0299903371652,680529341.5231694,1077556290.2668674,692936210.059064,841463677.3815247,797826011.3686793
highseas,31,"Atlantic, Western Central",7294043.286953616,7294043.66950849,912622342.1551826,912624268.6147697,621467947.2865927,789401034.5931406,883378213.3584476,835387896.65738,835387896.65738,621467947.2865927,912624268.6147697,34.85282974450248,14.173173311014608,Antoine-Morel,VGPM,912622342.1551827,621466635.4292092,789399368.2456157,883376348.6343911,835386133.2361366,835386133.2361366,621466635.4292092,912622342.1551827,342.7913827244472,233.42997145216097,296.507425320853,331.80625328474116,313.7805798667936,912624268.6147697,621467947.2865927,789401034.5931406,883378213.3584476,835387896.65738
highseas,34,"Atlantic, Eastern Central",9104599.556564048,9104599.142230604,1637561348.020707,1637572703.9392805,1261405161.6822894,1608782390.4368348,1992740107.670929,1390768562.235629,1608782390.4368348,1261405161.6822894,1992740107.670929,45.45891043661033,17.68995075702056,CbPM2,VGPM,1637561348.0207067,1261396414.3367395,1608771234.1676908,1992726288.8069806,1390758917.8060966,1608771234.1676908,1261396414.3367395,1992726288.8069806,492.7695522201754,379.5752427938902,484.1061262490714,599.6446131435991,418.5025800724138,1637572703.9392805,1261405161.6822894,1608782390.4368348,1992740107.670929,1390768562.235629
highseas,41,"Atlantic, Southwest",12316026.404251738,12316028.23622318,1578578841.4082894,1575718033.127383,1699830894.313344,1399212116.9078047,2031895920.7975278,2041351110.904721,1699830894.313344,1399212116.9078047,2041351110.904721,37.776639790766474,16.173527043222464,CAFE,Eppley-VGPM,1578578841.4082894,1702917036.7553015,1401752468.3708453,2035584946.7234547,2045057303.2814898,1702917036.7553015,1401752468.3708453,2045057303.2814898,351.15818983725705,378.8174834121892,311.8227905258607,452.8201610213373,454.92730669892995,1576621457.35118,1699841920.1509745,1399219677.6156182,2031901153.9136202,2041358371.1653376
highseas,47,"Atlantic, Southeast",14912931.185050104,14912932.578171274,1811558795.6641047,1808860857.9655454,2082921231.1753454,1608402246.6367726,2276656085.8620553,2316578661.983692,2082921231.1753454,1608402246.6367726,2316578661.983692,33.99919328429485,15.102236887023311,CAFE,Eppley-VGPM,1811558795.6641047,2086027933.2126918,1610801197.90853,2280051745.7624025,2320033866.885894,2086027933.2126918,1610801197.90853,2320033866.885894,332.81014450176366,383.2341845867187,295.92800450234614,418.8792286482228,426.2245356514759,1809713101.3860748,2082921231.1753454,1608402246.6367726,2276656085.8620553,2316578661.983692
highseas,48,"Atlantic, Antarctic",8775554.954823056,8054810.298217102,487323889.6140404,414048303.14171237,326841402.3751328,278817572.6725649,562011366.0005356,708746176.5796206,414048303.14171237,278817572.6725649,708746176.5796206,103.83537395150442,38.57929949028819,CAFE,Eppley-VGPM,487323889.6140404,384683676.4787874,328160900.4953107,661472496.8283284,834175483.6310662,487323889.6140404,328160900.4953107,834175483.6310662,152.1423945290508,120.09814606477521,102.45174976278791,206.5115454575333,260.429374060801,417499828.05280465,328521688.39670926,280385895.72640836,565082926.8848864,713504229.2331312
highseas,51,"Indian Ocean, Western",17021808.23431831,17021807.981904827,2548507955.415703,2546203682.1389503,2305434176.4560494,2524118232.352785,2865762789.8912144,2845157195.38795,2546203682.1389503,2305434176.4560494,2865762789.8912144,22.00643323885457,9.05449691082799,CbPM2,VGPM,2548507955.415703,2307520557.212383,2526402518.653592,2868356259.007837,2847732016.7737966,2548507955.415703,2307520557.212383,2868356259.007837,410.1922357698916,371.4043797416907,406.6342800221564,461.6730602573568,458.3535085113781,2546203682.1389503,2306573272.9328065,2525814351.1184225,2867452378.558005,2846143899.3686023
highseas,57,"Indian Ocean, Eastern",22194825.767908163,22194828.238180306,2465215476.1243963,2455052377.9101896,2333416430.190591,2202544034.7992606,2867100915.415507,3356383112.66406,2455052377.9101896,2202544034.7992606,3356383112.66406,46.998552383105576,17.790586521398236,CAFE,Eppley-VGPM,2465215476.1243963,2343075996.1404047,2211661832.671188,2878969757.178554,3370277419.573938,2465215476.1243963,2211661832.671188,3370277419.573938,304.3058356802364,289.22895624067104,273.0072112362189,355.37960326034363,416.02654882324197,2459122668.51164,2333734449.387014,2202741928.7926865,2867103266.153899,3356391515.467426
