unit_id,legacy_headline_median_tC_yr,legacy_scaled_median_tC_yr,annual_median_tC_yr,antoinemorel_relative_difference_vs_scaled,vgpm_relative_difference_vs_scaled,eppley_relative_difference_vs_scaled,cbpm_relative_difference_vs_scaled,cafe_relative_difference_vs_scaled,median_relative_difference_vs_scaled,median_percent_change_vs_legacy_headline,note
HS_021,385136530.5954946,386194417.4976115,386194417.4976116,1.6855106982793048e-16,0.0,-3.288885857175818e-16,1.2784258536759964e-16,1.543384421805094e-16,1.543384421805094e-16,0.27467841092125855,
HS_027,795110460.9045098,799508252.1673561,799508252.1673558,-3.4841573254192113e-16,-4.409835938674502e-16,-3.428827142450349e-16,-4.2317279972574513e-16,-4.4730979034033e-16,-4.4730979034033e-16,0.5531044400853613,
HS_031,835387896.65738,835386133.2361366,835386133.2361367,1.3062280424700675e-16,0.0,0.0,1.3494734122672238e-16,1.4269962692460044e-16,1.4269962692460044e-16,-0.00021109011159037294,
HS_034,1608782390.4368348,1608771234.1676908,1608771234.1676908,0.0,0.0,0.0,0.0,0.0,0.0,-0.000693460421397063,
HS_041,1699830894.313344,1702917036.7553015,1702917036.7553024,6.041347390387251e-16,5.600239446916092e-16,5.102582327791276e-16,3.513760201734577e-16,2.331656709266749e-16,5.600239446916092e-16,0.18155585077803682,
HS_047,2082921231.1753454,2086027933.2126918,2086027933.2126932,5.264385117882081e-16,6.857585422675737e-16,2.9602483461165294e-16,8.36537432256706e-16,8.221210302299045e-16,6.857585422675737e-16,0.14915120124801007,
HS_048,414048303.14171237,487323889.6140404,487323889.61404073,7.338607367178005e-16,3.098891292762062e-16,-1.8163237815786757e-16,-5.406541774104309e-16,2.858134574559239e-16,7.338607367178005e-16,17.697352196912398,
HS_051,2546203682.1389503,2548507955.415703,2548507955.415704,3.742088834290848e-16,4.132896296093428e-16,3.774831244684225e-16,6.64962250355976e-16,5.02333599574445e-16,3.742088834290848e-16,0.09049838757666517,
HS_057,2455052377.9101896,2465215476.1243963,2465215476.1243963,0.0,-2.0350904494288174e-16,-8.624051853844463e-16,-6.625108263317564e-16,-9.90381411345016e-16,0.0,0.4139666552799959,
HS_058,485107082.7267168,542531219.4161035,542531200.6909659,-3.451439644618947e-08,-3.451439749053042e-08,-3.451439696928881e-08,-3.451439652210183e-08,-3.451439667414857e-08,-3.451439644618947e-08,11.83741075093696,
