system,layer,region_id,title,water_area_km2,common_area_km2,common_area_pct_of_water,ensemble_basis,n_models,baseline_central_tC_yr,common_antoinemorel_tC_yr,own_antoinemorel_tC_yr,scaled_antoinemorel_tC_yr,scaled_median_tC_yr,scaled_min_tC_yr,scaled_max_tC_yr,scaled_mean_tC_yr,spread_pct,cv_pct,model_max,model_min,rate_antoinemorel_mgC_m2_d
EEZ,eez,8,Albania,11994.187650731603,12077.874314086404,100.6977268139514,common mask,1,2206670.1869598087,2225551.9246635525,2225551.9246635525,2206670.1869598087,2206670.1869598087,2206670.1869598087,2206670.1869598087,2206670.1869598087,,,Antoine-Morel,Antoine-Morel,504.05012170429075
EEZ,eez,12,Algeria,130381.84865385489,130667.09978195257,100.21878131890504,common mask,1,22528071.279030114,22608023.165786628,22608023.165786628,22528071.279030114,22528071.279030114,22528071.279030114,22528071.279030114,22528071.279030114,,,Antoine-Morel,Antoine-Morel,473.384476961047
EEZ,eez,24,Angola,494948.1623855577,495452.56622383086,100.10191043761877,common mask,1,229590319.70050105,230021719.31530562,230021719.31530562,229590319.70050105,229590319.70050105,229590319.70050105,229590319.70050105,229590319.70050105,,,Antoine-Morel,Antoine-Morel,1270.8696027684757
EEZ,eez,32,Argentina,1086389.9059787684,1088282.0567591954,100.17416866357225,common mask,1,336400809.1260715,336317042.5194816,336317042.5194816,336400809.1260715,336400809.1260715,336400809.1260715,336400809.1260715,336400809.1260715,,,Antoine-Morel,Antoine-Morel,848.3566050531842
EEZ,eez,36,Australia,6320011.054660119,6331652.921494873,100.18420643150885,common mask,1,1263883835.8013704,1270694349.2248082,1270694349.2248082,1263883835.8013704,1263883835.8013704,1263883835.8013704,1263883835.8013704,1263883835.8013704,,,Antoine-Morel,Antoine-Morel,547.8938898371782
EEZ,eez,48,Bahrain,7309.881115892324,7412.4973268157255,101.40380136552844,common mask,1,5379287.441513085,5462343.406505165,5462343.406505165,5379287.441513085,5379287.441513085,5379287.441513085,5379287.441513085,5379287.441513085,,,Antoine-Morel,Antoine-Morel,2016.1441176277685
EEZ,eez,50,Bangladesh,108627.7116385885,109752.06166923005,101.03504898858804,common mask,1,61278564.71106372,62271105.70895339,62271105.70895339,61278564.71106372,61278564.71106372,61278564.71106372,61278564.71106372,61278564.71106372,,,Antoine-Morel,Antoine-Morel,1545.521636495647
EEZ,eez,56,Belgium,3512.952158460262,3545.2235495637656,100.91864021050739,common mask,1,1685578.2722966054,1701635.2775977778,1701635.2775977778,1685578.2722966054,1685578.2722966054,1685578.2722966054,1685578.2722966054,1685578.2722966054,,,Antoine-Morel,Antoine-Morel,1314.570325902306
EEZ,eez,70,Bosnia & Herzegovina,4.144590727441256,4.143188002205419,99.96615527737035,common mask,1,933.6670952552292,931.5034300126555,931.5034300126555,933.6670952552292,933.6670952552292,933.6670952552292,933.6670952552292,933.6670952552292,,,Antoine-Morel,Antoine-Morel,617.1880916633655
EEZ,eez,76,Brazil (mainland),2403741.352023052,2411163.45450942,100.30877292517854,common mask,1,688697161.045412,697184738.8617579,697184738.8617579,688697161.045412,688697161.045412,688697161.045412,688697161.045412,688697161.045412,,,Antoine-Morel,Antoine-Morel,784.9603017906657
EEZ,eez,84,Belize,34011.67063248764,34235.534297929196,100.65819661686281,common mask,1,10415192.809788406,10566790.193570225,10566790.193570225,10415192.809788406,10415192.809788406,10415192.809788406,10415192.809788406,10415192.809788406,,,Antoine-Morel,Antoine-Morel,838.9701032233901
EEZ,eez,86,Chagos Archipelago (UK),640076.5357924635,640076.4519256721,99.99998689738077,common mask,1,99638660.93600143,99638208.55898309,99638208.55898309,99638660.93600143,99638660.93600143,99638660.93600143,99638660.93600143,99638660.93600143,,,Antoine-Morel,Antoine-Morel,426.48436153561
EEZ,eez,96,Brunei Darussalam,43131.72264591999,43175.367011255956,100.10118855139234,common mask,1,11718479.526324566,11753185.253670419,11753185.253670419,11718479.526324566,11718479.526324566,11718479.526324566,11718479.526324566,11718479.526324566,,,Antoine-Morel,Antoine-Morel,744.3575491606367
EEZ,eez,100,Bulgaria,34588.81252527995,34730.997015698944,100.4110707481359,common mask,1,12740179.280071752,12838361.207052583,12838361.207052583,12740179.280071752,12740179.280071752,12740179.280071752,12740179.280071752,12740179.280071752,,,Antoine-Morel,Antoine-Morel,1009.1297798040657
EEZ,eez,104,Myanmar,495385.93546373467,497890.0026803778,100.50547806011066,common mask,1,210972768.6671408,213386951.57004732,213386951.57004732,210972768.6671408,210972768.6671408,210972768.6671408,210972768.6671408,210972768.6671408,,,Antoine-Morel,Antoine-Morel,1166.7823892665613
EEZ,eez,111,Eritrea,78182.02433510637,78813.21238729593,100.80733142631885,common mask,1,43288710.48415087,43750703.92673327,43750703.92673327,43288710.48415087,43288710.48415087,43288710.48415087,43288710.48415087,43288710.48415087,,,Antoine-Morel,Antoine-Morel,1516.9625986857156
EEZ,eez,116,Cambodia,48603.58953867362,48872.46615887145,100.55320321554417,common mask,1,14616947.3362557,14820240.097825551,14820240.097825551,14616947.3362557,14616947.3362557,14616947.3362557,14616947.3362557,14616947.3362557,,,Antoine-Morel,Antoine-Morel,823.9397838377772
EEZ,eez,120,Cameroon,14561.461347050781,14847.162632853799,101.96203718152836,common mask,1,10768372.86895623,11032430.341348864,11032430.341348864,10768372.86895623,10768372.86895623,10768372.86895623,10768372.86895623,10768372.86895623,,,Antoine-Morel,Antoine-Morel,2026.0597970665347
EEZ,eez,136,Cayman Isl. (UK),120632.65227652105,120665.76521055745,100.02744939567481,common mask,1,16667293.194163594,16674012.001161613,16674012.001161613,16667293.194163594,16667293.194163594,16667293.194163594,16667293.194163594,16667293.194163594,,,Antoine-Morel,Antoine-Morel,378.53612689902565
EEZ,eez,144,Sri Lanka,531875.682189968,532684.990829307,100.15216124113942,common mask,1,152732194.44561797,153202210.00318596,153202210.00318596,152732194.44561797,152732194.44561797,152732194.44561797,152732194.44561797,152732194.44561797,,,Antoine-Morel,Antoine-Morel,786.7334084935748
EEZ,eez,152,Chile (mainland),1932002.9374261291,1944888.0858339134,100.66693213339262,common mask,1,352576080.9025856,354396611.2610788,354396611.2610788,352576080.9025856,352576080.9025856,352576080.9025856,352576080.9025856,352576080.9025856,,,Antoine-Morel,Antoine-Morel,499.9795014667103
EEZ,eez,156,China,2613061.1587241334,2617485.777986415,100.16932704569541,common mask,1,684941742.3474358,688104747.3184794,688104747.3184794,684941742.3474358,684941742.3474358,684941742.3474358,684941742.3474358,684941742.3474358,,,Antoine-Morel,Antoine-Morel,718.1434359065494
EEZ,eez,157,Taiwan,1150681.8448039098,1150996.479051876,100.02734328775475,common mask,1,193323135.61294508,193440610.12493137,193440610.12493137,193323135.61294508,193323135.61294508,193323135.61294508,193323135.61294508,193323135.61294508,,,Antoine-Morel,Antoine-Morel,460.2944147668335
