system,layer,region_id,title,water_area_km2,common_area_km2,common_area_pct_of_water,ensemble_basis,n_models,baseline_central_tC_yr,common_antoinemorel_tC_yr,own_antoinemorel_tC_yr,scaled_antoinemorel_tC_yr,scaled_median_tC_yr,scaled_min_tC_yr,scaled_max_tC_yr,scaled_mean_tC_yr,spread_pct,cv_pct,model_max,model_min,rate_antoinemorel_mgC_m2_d
EEZ,eez,8,Albania,11994.187650731603,12077.874314086404,100.6977268139514,common mask,1,1998056.7442338523,2016033.8375822543,2016033.8375822543,1998056.7442338523,1998056.7442338523,1998056.7442338523,1998056.7442338523,1998056.7442338523,,,Antoine-Morel,Antoine-Morel,456.3984011089082
EEZ,eez,12,Algeria,130381.84865385489,130667.09978195257,100.21878131890504,common mask,1,23340798.49198368,23417947.646922573,23417947.646922573,23340798.49198368,23340798.49198368,23340798.49198368,23340798.49198368,23340798.49198368,,,Antoine-Morel,Antoine-Morel,490.46239019430965
EEZ,eez,24,Angola,494948.1623855577,495452.56622383086,100.10191043761877,common mask,1,234369287.28443354,234844306.63333645,234844306.63333645,234369287.28443354,234369287.28443354,234369287.28443354,234369287.28443354,234369287.28443354,,,Antoine-Morel,Antoine-Morel,1297.3230030815132
EEZ,eez,32,Argentina,1086389.9059787684,1088282.0567591954,100.17416866357225,common mask,1,309600392.70790595,309203260.6963406,309203260.6963406,309600392.70790595,309600392.70790595,309600392.70790595,309600392.70790595,309600392.70790595,,,Antoine-Morel,Antoine-Morel,780.7696383464372
EEZ,eez,36,Australia,6320011.05466012,6331652.921494873,100.18420643150884,common mask,1,1256817804.280188,1263616997.3705118,1263616997.3705118,1256817804.280188,1256817804.280188,1256817804.280188,1256817804.280188,1256817804.280188,,,Antoine-Morel,Antoine-Morel,544.830763791739
EEZ,eez,48,Bahrain,7309.881115892324,7412.4973268157255,101.40380136552844,common mask,1,5625224.956122269,5708794.185311784,5708794.185311784,5625224.956122269,5625224.956122269,5625224.956122269,5625224.956122269,5625224.956122269,,,Antoine-Morel,Antoine-Morel,2108.320912189211
EEZ,eez,50,Bangladesh,108627.7116385885,109752.06166923005,101.03504898858804,common mask,1,57891558.78687277,58890934.30386644,58890934.30386644,57891558.78687277,57891558.78687277,57891558.78687277,57891558.78687277,57891558.78687277,,,Antoine-Morel,Antoine-Morel,1460.0971334339602
EEZ,eez,56,Belgium,3512.952158460262,3545.2235495637656,100.91864021050739,common mask,1,1707944.8884549332,1724471.6651375785,1724471.6651375785,1707944.8884549332,1707944.8884549332,1707944.8884549332,1707944.8884549332,1707944.8884549332,,,Antoine-Morel,Antoine-Morel,1332.013888373317
EEZ,eez,70,Bosnia & Herzegovina,4.144590727441256,4.143188002205419,99.96615527737035,common mask,1,895.2056071958975,894.4756212701567,894.4756212701567,895.2056071958975,895.2056071958975,895.2056071958975,895.2056071958975,895.2056071958975,,,Antoine-Morel,Antoine-Morel,591.7636416227617
EEZ,eez,76,Brazil (mainland),2403741.352023052,2411163.45450942,100.30877292517854,common mask,1,698656263.6690562,707383597.8679304,707383597.8679304,698656263.6690562,698656263.6690562,698656263.6690562,698656263.6690562,698656263.6690562,,,Antoine-Morel,Antoine-Morel,796.3114451424885
EEZ,eez,84,Belize,34011.67063248764,34235.534297929196,100.65819661686281,common mask,1,9787121.977332005,9922188.84481739,9922188.84481739,9787121.977332005,9787121.977332005,9787121.977332005,9787121.977332005,9787121.977332005,,,Antoine-Morel,Antoine-Morel,788.3774103408996
EEZ,eez,86,Chagos Archipelago (UK),640076.5357924635,640076.4519256721,99.99998689738077,common mask,1,102870465.93720554,102870824.61906932,102870824.61906932,102870465.93720554,102870465.93720554,102870465.93720554,102870465.93720554,102870465.93720554,,,Antoine-Morel,Antoine-Morel,440.31748895420725
EEZ,eez,96,Brunei Darussalam,43131.72264591999,43175.367011255956,100.10118855139234,common mask,1,12761225.838680375,12801943.885511903,12801943.885511903,12761225.838680375,12761225.838680375,12761225.838680375,12761225.838680375,12761225.838680375,,,Antoine-Morel,Antoine-Morel,810.5927708647705
EEZ,eez,100,Bulgaria,34588.81252527995,34730.997015698944,100.4110707481359,common mask,1,13481997.255391277,13586416.455357542,13586416.455357542,13481997.255391277,13481997.255391277,13481997.255391277,13481997.255391277,13481997.255391277,,,Antoine-Morel,Antoine-Morel,1067.8880275203942
EEZ,eez,104,Myanmar,495385.93546373467,497890.0026803778,100.50547806011066,common mask,1,174195579.22267142,176214969.6542708,176214969.6542708,174195579.22267142,174195579.22267142,174195579.22267142,174195579.22267142,174195579.22267142,,,Antoine-Morel,Antoine-Morel,963.3865802167729
EEZ,eez,111,Eritrea,78182.02433510637,78813.21238729593,100.80733142631885,common mask,1,44639434.42111938,45096843.713266306,45096843.713266306,44639434.42111938,44639434.42111938,44639434.42111938,44639434.42111938,44639434.42111938,,,Antoine-Morel,Antoine-Morel,1564.2959026953356
