system,layer,region_id,title,water_area_km2,common_area_km2,common_area_pct_of_water,ensemble_basis,n_models,baseline_central_tC_yr,common_antoinemorel_tC_yr,own_antoinemorel_tC_yr,scaled_antoinemorel_tC_yr,scaled_median_tC_yr,scaled_min_tC_yr,scaled_max_tC_yr,scaled_mean_tC_yr,spread_pct,cv_pct,model_max,model_min,rate_antoinemorel_mgC_m2_d
EEZ,eez,8,Albania,11994.187650731603,12077.874314086404,100.6977268139514,common mask,1,2131783.1241650023,2150844.502723228,2150844.502723228,2131783.1241650023,2131783.1241650023,2131783.1241650023,2131783.1241650023,2131783.1241650023,,,Antoine-Morel,Antoine-Morel,486.9443333817486
EEZ,eez,12,Algeria,130381.84865385489,130667.09978195257,100.21878131890504,common mask,1,24347465.184718683,24427109.68944786,24427109.68944786,24347465.184718683,24347465.184718683,24347465.184718683,24347465.184718683,24347465.184718683,,,Antoine-Morel,Antoine-Morel,511.6155719253195
EEZ,eez,24,Angola,494948.1623855577,495452.56622383086,100.10191043761877,common mask,1,250119807.76401007,250619925.19322926,250619925.19322926,250119807.76401007,250119807.76401007,250119807.76401007,250119807.76401007,250119807.76401007,,,Antoine-Morel,Antoine-Morel,1384.5081149424489
EEZ,eez,32,Argentina,1086389.9059787684,1088282.0567591954,100.17416866357225,common mask,1,359641966.3978864,359337453.6562414,359337453.6562414,359641966.3978864,359641966.3978864,359641966.3978864,359641966.3978864,359641966.3978864,,,Antoine-Morel,Antoine-Morel,906.9676093841364
EEZ,eez,36,Australia,6320011.054660119,6331652.921494873,100.18420643150885,common mask,1,1285813987.2093744,1292579938.105487,1292579938.105487,1285813987.2093744,1285813987.2093744,1285813987.2093744,1285813987.2093744,1285813987.2093744,,,Antoine-Morel,Antoine-Morel,557.4006147586432
EEZ,eez,48,Bahrain,7309.881115892324,7412.4973268157255,101.40380136552844,common mask,1,5494405.549420035,5579429.557602672,5579429.557602672,5494405.549420035,5494405.549420035,5494405.549420035,5494405.549420035,5494405.549420035,,,Antoine-Morel,Antoine-Morel,2059.2901102174033
EEZ,eez,50,Bangladesh,108627.7116385885,109752.06166923005,101.03504898858804,common mask,1,48853447.42816042,49799422.73213311,49799422.73213311,48853447.42816042,48853447.42816042,48853447.42816042,48853447.42816042,48853447.42816042,,,Antoine-Morel,Antoine-Morel,1232.1447209743874
EEZ,eez,56,Belgium,3512.952158460262,3545.2235495637656,100.91864021050739,common mask,1,2162529.989994947,2183981.81521841,2183981.81521841,2162529.989994947,2162529.989994947,2162529.989994947,2162529.989994947,2162529.989994947,,,Antoine-Morel,Antoine-Morel,1686.5415272871592
EEZ,eez,70,Bosnia & Herzegovina,4.144590727441256,4.143188002205419,99.96615527737035,common mask,1,900.4898267578751,901.7967679907608,901.7967679907608,900.4898267578751,900.4898267578751,900.4898267578751,900.4898267578751,900.4898267578751,,,Antoine-Morel,Antoine-Morel,595.2567039829552
EEZ,eez,76,Brazil (mainland),2403741.352023052,2411163.45450942,100.30877292517854,common mask,1,715776707.2371063,724373095.7912936,724373095.7912936,715776707.2371063,715776707.2371063,715776707.2371063,715776707.2371063,715776707.2371063,,,Antoine-Morel,Antoine-Morel,815.8249110170497
EEZ,eez,84,Belize,34011.67063248764,34235.534297929196,100.65819661686281,common mask,1,9219819.376963073,9343945.33370341,9343945.33370341,9219819.376963073,9219819.376963073,9219819.376963073,9219819.376963073,9219819.376963073,,,Antoine-Morel,Antoine-Morel,742.6797521330639
EEZ,eez,86,Chagos Archipelago (UK),640076.5357924635,640076.4519256721,99.99998689738077,common mask,1,106100928.50751162,106100524.75000823,106100524.75000823,106100928.50751162,106100928.50751162,106100928.50751162,106100928.50751162,106100928.50751162,,,Antoine-Morel,Antoine-Morel,454.1448703523435
EEZ,eez,96,Brunei Darussalam,43131.72264591999,43175.367011255956,100.10118855139234,common mask,1,12080604.478750821,12119975.21422892,12119975.21422892,12080604.478750821,12080604.478750821,12080604.478750821,12080604.478750821,12080604.478750821,,,Antoine-Morel,Antoine-Morel,767.3597177843387
EEZ,eez,100,Bulgaria,34588.81252527995,34730.997015698944,100.4110707481359,common mask,1,17275672.733004916,17402429.63494031,17402429.63494031,17275672.733004916,17275672.733004916,17275672.733004916,17275672.733004916,17275672.733004916,,,Antoine-Morel,Antoine-Morel,1368.3791599615677
EEZ,eez,104,Myanmar,495385.93546373467,497890.0026803778,100.50547806011066,common mask,1,167888160.4850778,169765734.84328458,169765734.84328458,167888160.4850778,167888160.4850778,167888160.4850778,167888160.4850778,167888160.4850778,,,Antoine-Morel,Antoine-Morel,928.5034758652095
