system,layer,region_id,title,water_area_km2,common_area_km2,common_area_pct_of_water,ensemble_basis,n_models,baseline_central_tC_yr,common_antoinemorel_tC_yr,own_antoinemorel_tC_yr,scaled_antoinemorel_tC_yr,scaled_median_tC_yr,scaled_min_tC_yr,scaled_max_tC_yr,scaled_mean_tC_yr,spread_pct,cv_pct,model_max,model_min,rate_antoinemorel_mgC_m2_d
EEZ,eez,8,Albania,11994.187650731603,12077.874314086404,100.6977268139514,common mask,1,2040464.055493773,2061928.8519406759,2061928.8519406759,2040464.055493773,2040464.055493773,2040464.055493773,2040464.055493773,2040464.055493773,,,Antoine-Morel,Antoine-Morel,466.08512752957205
EEZ,eez,12,Algeria,130381.84865385489,130667.09978195257,100.21878131890504,common mask,1,23275909.758343633,23359850.567968134,23359850.567968134,23275909.758343633,23275909.758343633,23275909.758343633,23275909.758343633,23275909.758343633,,,Antoine-Morel,Antoine-Morel,489.0988771418874
EEZ,eez,24,Angola,494948.1623855577,495452.56622383086,100.10191043761877,common mask,1,271787925.1955061,272358131.7000734,272358131.7000734,271787925.1955061,271787925.1955061,271787925.1955061,271787925.1955061,271787925.1955061,,,Antoine-Morel,Antoine-Morel,1504.4493730443949
EEZ,eez,32,Argentina,1086389.9059787684,1088282.0567591954,100.17416866357225,common mask,1,360556562.8206637,360296782.3290542,360296782.3290542,360556562.8206637,360556562.8206637,360556562.8206637,360556562.8206637,360556562.8206637,,,Antoine-Morel,Antoine-Morel,909.2740958585205
EEZ,eez,36,Australia,6320011.054660119,6331652.921494873,100.18420643150885,common mask,1,1285496944.2840648,1292807641.587019,1292807641.587019,1285496944.2840648,1285496944.2840648,1285496944.2840648,1285496944.2840648,1285496944.2840648,,,Antoine-Morel,Antoine-Morel,557.2631765885576
EEZ,eez,48,Bahrain,7309.881115892324,7412.4973268157255,101.40380136552844,common mask,1,5742124.380758213,5833643.623265638,5833643.623265638,5742124.380758213,5742124.380758213,5742124.380758213,5742124.380758213,5742124.380758213,,,Antoine-Morel,Antoine-Morel,2152.134538045117
EEZ,eez,50,Bangladesh,108627.7116385885,109752.06166923005,101.03504898858804,common mask,1,53218252.46103248,54179737.243872054,54179737.243872054,53218252.46103248,53218252.46103248,53218252.46103248,53218252.46103248,53218252.46103248,,,Antoine-Morel,Antoine-Morel,1342.2305340021019
EEZ,eez,56,Belgium,3512.952158460262,3545.2235495637656,100.91864021050739,common mask,1,1914080.6881507537,1933304.4940040363,1933304.4940040363,1914080.6881507537,1914080.6881507537,1914080.6881507537,1914080.6881507537,1914080.6881507537,,,Antoine-Morel,Antoine-Morel,1492.777710403994
EEZ,eez,70,Bosnia & Herzegovina,4.144590727441256,4.143188002205419,99.96615527737035,common mask,1,888.8623864479256,888.0060473660001,888.0060473660001,888.8623864479256,888.8623864479256,888.8623864479256,888.8623864479256,888.8623864479256,,,Antoine-Morel,Antoine-Morel,587.5705407537951
EEZ,eez,76,Brazil (mainland),2403741.352023052,2411163.45450942,100.30877292517854,common mask,1,701604905.8792726,710836593.660964,710836593.660964,701604905.8792726,701604905.8792726,701604905.8792726,701604905.8792726,701604905.8792726,,,Antoine-Morel,Antoine-Morel,799.6722359372274
