system,layer,region_id,title,water_area_km2,common_area_km2,common_area_pct_of_water,ensemble_basis,n_models,baseline_central_tC_yr,common_antoinemorel_tC_yr,own_antoinemorel_tC_yr,scaled_antoinemorel_tC_yr,common_vgpm_tC_yr,own_vgpm_tC_yr,scaled_vgpm_tC_yr,common_eppley_tC_yr,own_eppley_tC_yr,scaled_eppley_tC_yr,common_cbpm_tC_yr,own_cbpm_tC_yr,scaled_cbpm_tC_yr,common_cafe_tC_yr,own_cafe_tC_yr,scaled_cafe_tC_yr,scaled_median_tC_yr,scaled_min_tC_yr,scaled_max_tC_yr,scaled_mean_tC_yr,spread_pct,cv_pct,model_max,model_min,rate_antoinemorel_mgC_m2_d,rate_vgpm_mgC_m2_d,rate_eppley_mgC_m2_d,rate_cbpm_mgC_m2_d,rate_cafe_mgC_m2_d
EEZ,eez,8,Albania,11994.187650731603,10329.7549277698,86.12300581390122,common mask,5,2163551.028815834,1766037.3935424609,2186695.1445327816,2163551.028815834,2253599.9800705817,2502851.362349857,2760858.0504860193,1808167.11108689,2016826.9719217373,2215163.6357007506,2312463.5881736157,2699838.8186170715,2832971.144091401,1145146.3695112246,1162573.775479467,1402904.9526131444,2215163.6357007506,1402904.9526131444,2832971.144091401,2275089.76234143,64.55803844151971,25.287491943886188,CbPM2,CAFE,494.2007944062223,630.6383457661202,505.9902049559066,647.1105008815813,320.4531498558227
EEZ,eez,12,Algeria,130381.84865385489,122625.00867738186,94.05067495471219,common mask,5,23831699.13427685,21762935.523041427,23925433.71306805,23831699.13427685,25815448.33235655,27631528.687104084,28269439.893428992,20115761.120675903,21565224.217953444,22027945.925648518,31934098.861261446,34331643.648927964,34969723.42633113,18146122.052505333,18184646.77637926,19871074.871830385,23831699.13427685,19871074.871830385,34969723.42633113,25793976.650303178,63.35531709018826,23.21568977788408,CbPM2,CAFE,500.7777314817862,594.0283947161223,462.87529595335553,734.8220816868318,417.5527619894946
EEZ,eez,24,Angola,494948.1623855577,485118.351797438,98.01397169741132,common mask,5,281248746.51951456,270001367.84930706,281886710.3718003,281248746.51951456,253849266.66429964,260850093.67073724,264423801.3419216,343637181.961764,353261321.5389518,357951989.11060816,196344930.59865943,200826295.54357964,204524021.6973803,124573997.96381997,124718308.02892686,129763345.4798027,264423801.3419216,129763345.4798027,357951989.11060816,247582380.82984543,86.29655971692915,34.58874806659004,Eppley-VGPM,CAFE,1556.8186116673066,1463.6861511073753,1981.4001862300274,1132.118124798245,718.2893927712292
EEZ,eez,32,Argentina,1086389.9059787684,1054219.3171005575,97.03876216990187,common mask,5,401912212.90833044,382776328.3345838,401630995.2474969,401912212.90833044,475562525.36842585,491134999.1732331,499337009.1058191,345521181.13747954,357872442.7623154,362794593.70402676,372426069.69063985,379383508.17512745,391044520.60912186,260579383.57005346,261659588.67176637,273606356.86275923,391044520.60912186,273606356.86275923,499337009.1058191,385738938.63801146,57.7250518410139,21.0188133085042,VGPM,CAFE,1013.5673613809348,1259.2593071429471,914.9181021471692,986.1605350784927,689.9976270332672
EEZ,eez,36,Australia,6320011.054660119,6121032.658040708,96.8516131554439,common mask,5,1356322520.585015,1248549330.1232445,1364148063.4755256,1356322520.585015,1208646048.3215115,1264565301.7462964,1312974838.2410595,1351615378.801902,1430522203.1126108,1468285099.5219448,1520765245.560907,1587718374.344391,1652035767.6806042,1251808928.9011245,1258831390.4006183,1359863483.7843416,1359863483.7843416,1312974838.2410595,1652035767.6806042,1429896341.962593,24.93345350343386,9.563995810430173,CbPM2,VGPM,587.9660777573846,569.1748489892776,636.5018776088491,716.157828168415,589.5010859963492
EEZ,eez,48,Bahrain,7309.881115892324,0.0,0.0,own coverage,4,5662315.73849306,0.0,5756745.444007819,5662315.73849306,0.0,4542271.484531118,4467763.177220287,0.0,7819274.551135414,7691012.532190085,0.0,0.0,,0.0,958548.5046104987,942825.1321090796,5065039.457856674,942825.1321090796,7691012.532190085,4690979.145003128,133.23069753412295,60.34798633963241,Eppley-VGPM,CAFE,2122.222449057828,1674.5069949586036,2882.573174229729,,353.3686133564686
EEZ,eez,50,Bangladesh,108627.7116385885,101117.0658984034,93.08588423074444,common mask,5,54693354.4596693,48445566.56006251,55597338.78417175,54693354.4596693,37905744.80760448,40558402.81221938,42794263.418299586,73416925.98822385,78426925.820336,82885148.04414442,48932217.909903444,52077222.60407857,55242766.85516946,17922697.126421,18005731.388159182,20234099.762118153,54693354.4596693,20234099.762118153,82885148.04414442,51169926.50788019,114.54965397711152,44.3714093279226,Eppley-VGPM,CAFE,1379.4344415296482,1079.3245622304016,2090.4665481377,1393.2913056485804,510.3291685243877
EEZ,eez,56,Belgium,3512.952158460262,3261.610830766633,92.84529602578498,common mask,5,2187308.0695091328,2008790.2469487216,2210784.0316719357,2187308.0695091328,2922891.2851957707,3095967.5729824067,3182643.7350130314,2211796.0522623523,2348098.3567529693,2408354.6605079584,1624397.5407537583,1792430.4259737774,1768755.0277478944,870821.7267758329,880760.8105115035,948210.1941573592,2187308.0695091328,948210.1941573592,3182643.7350130314,2099054.337387075,102.15449629631345,39.22148194948597,VGPM,CAFE,1705.8657726203746,2482.12087253982,1878.258413143085,1379.439277002464,739.5022850282612
EEZ,eez,70,Bosnia & Herzegovina,4.144590727441256,0.0,0.0,own coverage,1,1184.232609699174,0.0,1174.6119898100583,1184.232609699174,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,1184.232609699174,1184.232609699174,1184.232609699174,1184.232609699174,,,Antoine-Morel,Antoine-Morel,782.8210592191444,,,,
EEZ,eez,76,Brazil (mainland),2403741.352023052,2325157.959549155,96.73078834343974,common mask,5,747437920.1177742,660817014.9301395,757472782.8403925,747437920.1177742,488896889.60164624,525489048.23902553,552982241.7701142,747088288.7524507,804260476.3341229,845017764.4843365,565648459.2716979,588066475.6892072,639794524.6015763,499026172.9818248,502310933.5249674,564439287.1108196,639794524.6015763,552982241.7701142,845017764.4843365,669934347.616924,45.64520505955933,18.640088792436906,Eppley-VGPM,VGPM,851.9115926873243,630.2757321169291,963.1307299441021,729.2222641849302,643.3341942058653
