system,layer,region_id,title,polygon_area_km2,water_area_km2,npp_central_tC_yr,npp_observed_tC_yr,npp_no_nn_tC_yr,npp_all_fills_tC_yr,npp_mean_year_tC_yr,fill_uplift_pct,mean_rate_mgC_m2_d,area_obs_pct,npp_obs_pct,area_dark_pct,npp_dark_pct,area_clim_pct,npp_clim_pct,area_nn_near_pct,npp_nn_near_pct,area_nn_far_pct,npp_nn_far_pct,anomaly_factor_min,anomaly_factor_max
EEZ,eez,8,Albania,12204.022485289155,11994.187650731603,2146017.1220471365,2146017.1220471365,2146017.1220471365,2146017.1220471365,2268978.6744147316,0.0,490.1956794176114,100.0,100.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8289454139416904,1.0388286299113563
EEZ,eez,12,Algeria,130948.40769326946,130381.84865385489,23832607.78211062,23832607.78211062,23832607.78211062,23832607.78211062,24505869.070609394,0.0,500.7968249840309,100.00000000000001,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7740629194530421,1.072259329818601
EEZ,eez,24,Angola,495730.8663477309,494948.1623855577,274522200.9898759,274522200.9898759,274522200.9898759,274522200.9898759,275167261.38496786,0.0,1519.5846278634276,99.99999999999999,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8371404562781661,1.1003059810788547
EEZ,eez,32,Argentina,1089459.3747846726,1086389.9059787684,329504283.583743,328250952.687827,328307173.01598746,332537229.8500655,361844705.9057932,0.3818209469472311,830.964515506932,93.55070649515734,98.7110384108958,0.0,0.0,0.06716203275543992,0.01690647636229574,1.60260622115143,0.35999294523963843,4.779525250935765,0.9120621675022802,0.7953133522032761,1.0296110627615809
EEZ,eez,36,Australia,6339713.627254965,6320011.054660119,1324574414.6533318,1324574414.6533318,1324574414.6533318,1324574414.6533318,1337841270.5905547,0.0,574.203267631054,99.99999999999997,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9517501236094781,1.0416882486296066
EEZ,eez,48,Bahrain,7437.063021044434,7309.881115892324,5844274.1202774905,5844274.1202774905,5844274.1202774905,5844274.1202774905,5768594.435597242,0.0,2190.4200170584995,99.99999999999999,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8717919151415119,1.2630962537534076
EEZ,eez,50,Bangladesh,112504.90723263328,108627.7116385885,56693422.72778382,56673015.07144606,56673015.07144606,56693422.727783814,54430451.13226793,0.03600947701833945,1429.8786514652843,99.97574917523865,99.9640034851384,0.0,0.0,0.0,0.0,0.024250824761335766,0.035996514861606786,0.0,0.0,0.8650240322851545,1.2742931411547647
EEZ,eez,56,Belgium,3550.181499556215,3512.952158460262,1619452.455629211,1619452.455629211,1619452.455629211,1657175.589607572,1893310.4328739299,0.0,1262.9992788642028,91.66666666666666,97.72364894734577,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333334,2.276351052654235,0.5764852688030211,1.2346868514660767
EEZ,eez,70,Bosnia & Herzegovina,8.408147754376184,4.144590727441256,1153.012654791894,1153.012654791894,1153.012654791894,1153.012654791894,1127.5569384783983,0.0,762.1835273954774,100.00000000000001,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7374774868238998,1.5579080165825223
EEZ,eez,76,Brazil (mainland),2420472.609289061,2403741.352023052,706132597.2305707,706035542.3530566,706035542.3530566,706132597.2305708,721676787.7339412,0.013746457747809693,804.8327886018194,99.99782923114057,99.98625543164344,0.0,0.0,0.0,0.0,0.0021707688594200442,0.013744568356538344,0.0,0.0,0.9265246198328152,1.036693113496408
EEZ,eez,84,Belize,34400.90160147187,34011.67063248764,9788159.830804443,9788159.830804443,9788159.830804443,9788159.830804441,9842389.879242914,0.0,788.4610120610794,100.00000000000001,100.00000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8986946832129336,1.1625762136709474
