system,layer,region_id,title,water_area_km2,common_area_km2,common_area_pct_of_water,ensemble_basis,n_models,baseline_central_tC_yr,common_antoinemorel_tC_yr,own_antoinemorel_tC_yr,scaled_antoinemorel_tC_yr,common_vgpm_tC_yr,own_vgpm_tC_yr,scaled_vgpm_tC_yr,common_eppley_tC_yr,own_eppley_tC_yr,scaled_eppley_tC_yr,common_cbpm_tC_yr,own_cbpm_tC_yr,scaled_cbpm_tC_yr,common_cafe_tC_yr,own_cafe_tC_yr,scaled_cafe_tC_yr,scaled_median_tC_yr,scaled_min_tC_yr,scaled_max_tC_yr,scaled_mean_tC_yr,spread_pct,cv_pct,model_max,model_min,rate_antoinemorel_mgC_m2_d,rate_vgpm_mgC_m2_d,rate_eppley_mgC_m2_d,rate_cbpm_mgC_m2_d,rate_cafe_mgC_m2_d
EEZ,eez,8,Albania,11994.187650731603,10329.7549277698,86.12300581390122,common mask,5,2146017.1220471365,1741568.7086909828,2170420.934795783,2146017.1220471365,2348865.931816885,2622040.415019806,2894348.3434891226,1778120.3143031183,1997112.7110786096,2191057.1891375217,2307633.2815544684,2698244.705144568,2843540.1422341545,1033834.5949906618,1051523.0645589398,1273924.3253183023,2191057.1891375217,1273924.3253183023,2894348.3434891226,2269777.4244452477,73.95626304070488,28.995261858124586,VGPM,CAFE,490.1956794176113,661.1303507935037,500.4837829287917,649.5246834955618,290.991247814616
EEZ,eez,12,Algeria,130381.84865385489,122625.00867738186,94.05067495471219,common mask,5,23832607.78211062,21759390.007032406,23937003.64138481,23832607.78211062,26222460.29372465,27974994.44835164,28720915.938375644,19405318.09212523,20746472.392388895,21254241.724021092,32150574.041182604,34565065.498392574,35213855.75816115,17533244.04692411,17571362.52419393,19203797.918200802,23832607.78211062,19203797.918200802,35213855.75816115,25645083.824173864,67.17711291324954,25.050072711000638,CbPM2,CAFE,500.7968249840309,603.5153032379563,446.6173769209841,739.9520572973142,403.5312087118232
EEZ,eez,24,Angola,494948.1623855577,485118.351797438,98.01397169741132,common mask,5,274522200.9898759,262913154.89534575,275172809.3223467,274522200.9898759,280259408.8605047,288235302.4840235,292634386.4350672,335117714.0342247,345070698.6056509,349914984.22355956,198461609.41675904,202607325.2650127,207224769.147701,106988939.2057713,107112530.2520326,111713082.91527525,274522200.9898759,111713082.91527525,349914984.22355956,247201884.7422958,86.76963118078342,36.91848386517141,Eppley-VGPM,CAFE,1519.5846278634274,1619.8424521132752,1936.9123122570486,1147.0677875011168,618.3743351800724
EEZ,eez,32,Argentina,1086389.9059787684,1054219.3171005575,97.03876216990187,common mask,5,329504283.583743,310806371.31295586,329335035.37396175,329504283.583743,383450013.24385774,398451240.46212906,406518120.49525803,274266405.2037312,286146248.76112914,290766096.5120533,370681785.6515927,377600896.1856917,392981764.50728124,226311378.48725036,227375759.3292495,239926126.09670234,329504283.583743,239926126.09670234,406518120.49525803,331939278.2390076,50.5583698599222,21.010459992585385,VGPM,CAFE,830.964515506932,1025.1828272705256,733.2721319617497,991.0459979311892,605.0607141158202
EEZ,eez,36,Australia,6320011.054660119,6120949.576633036,96.85029857850797,common mask,5,1324574414.6533318,1216992104.0056841,1332363807.281649,1324574414.6533318,1167783061.780264,1224474675.0093303,1271015284.6582842,1328014713.0641367,1408787151.1336462,1445411441.3874006,1480073603.282541,1547187266.8215926,1610912363.5716395,1168993066.139304,1175571373.8373878,1272332253.6101186,1324574414.6533318,1271015284.6582842,1610912363.5716395,1384849151.5761552,25.660851904822074,10.465698258635127,CbPM2,VGPM,574.203267631054,550.9853743104422,626.5861423370272,698.3308244498962,551.5562806084549
EEZ,eez,48,Bahrain,7309.881115892324,0.0,0.0,own coverage,4,5844274.1202774905,0.0,5938300.9144071145,5844274.1202774905,0.0,4598061.282179415,4525255.783130695,0.0,8007208.72278521,7880422.93389,0.0,0.0,,0.0,729842.2787416757,718285.9883684737,5184764.951704092,718285.9883684737,7880422.93389,4742059.706416665,138.1381222145379,63.61642529636458,Eppley-VGPM,CAFE,2190.4200170584995,1696.0550866851831,2953.563741541257,,269.21187721773896
EEZ,eez,50,Bangladesh,108627.7116385885,101117.0658984034,93.08588423074444,common mask,5,56693422.72778382,50345520.99137606,57603091.973776236,56693422.72778382,41947575.260546364,44862914.79072938,47236607.543678954,85751206.68504465,91467937.06420316,96563295.28987403,49564660.822671734,52794002.77395657,55814106.45964497,18279371.18299931,18370312.019365493,20584157.185569026,55814106.45964497,20584157.185569026,96563295.28987403,55378317.841310166,136.12891601022022,49.24666858160123,Eppley-VGPM,CAFE,1429.8786514652843,1191.3660076347771,2435.4464381714447,1407.7012012567318,519.1580522378073
EEZ,eez,56,Belgium,3512.952158460262,3261.610830766633,92.84529602578498,common mask,5,1619452.455629211,1486356.9615392413,1636747.1381348928,1619452.455629211,2357713.2138345474,2510142.132246988,2568834.104197784,1714346.8345053021,1829674.1325576594,1867857.629613207,1718272.6809208682,1906266.578337435,1872135.0150479467,790572.407562263,799571.602822053,861364.0329396762,1867857.629613207,861364.0329396762,2568834.104197784,1757928.647485565,91.41328783241836,34.900996502237334,VGPM,CAFE,1262.9992788642028,2003.415172730712,1456.7286807477717,1460.0645827686812,671.7715908613609
EEZ,eez,70,Bosnia & Herzegovina,4.144590727441256,0.0,0.0,own coverage,1,1153.012654791894,0.0,1148.9219624365282,1153.012654791894,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,1153.012654791894,1153.012654791894,1153.012654791894,1153.012654791894,,,Antoine-Morel,Antoine-Morel,762.1835273954774,,,,
EEZ,eez,76,Brazil (mainland),2403741.352023052,2325158.043447158,96.73079183374881,common mask,5,706132597.2305707,620815531.7879763,716024996.7244877,706132597.2305707,454795889.5130236,493351875.94974405,517297306.893569,707844893.9764152,767804678.7715583,805122178.5325258,570703101.1506865,593231854.0797724,649133345.4600279,467107106.05642116,470211977.0824589,531300421.93777555,649133345.4600279,517297306.893569,805122178.5325258,641797170.0108938,44.33986848033219,18.855509050732017,Eppley-VGPM,VGPM,804.8327886018194,589.6029098164084,917.6587097875041,739.8664254419499,605.5633203318584
