system,layer,region_id,title,month,days,npp_central_tC,npp_observed_tC,rate_central_gC_m2_d,anomaly_factor,area_obs_pct,area_dark_pct,area_clim_pct,area_nn_near_pct,area_nn_far_pct
EEZ,eez,174,Comoros Isl.,1,31,3878915.484835723,3878915.484835723,0.5400067704253283,1.20916782340394,100.0,0.0,0.0,0.0,0.0
EEZ,eez,174,Comoros Isl.,2,28,3041304.9317158624,3041304.9317158624,0.46876212725959443,1.031549918982123,100.0,0.0,0.0,0.0,0.0
EEZ,eez,174,Comoros Isl.,3,31,3613670.3180692443,3613670.3180692443,0.5030804216980989,1.0610503415009467,100.0,0.0,0.0,0.0,0.0
EEZ,eez,174,Comoros Isl.,4,30,3466458.4693625346,3466458.4693625346,0.49867239571931765,1.024432893729056,100.0,0.0,0.0,0.0,0.0
EEZ,eez,174,Comoros Isl.,5,31,3220252.2862069295,3220252.2862069295,0.448310370212418,0.9529814485452703,100.0,0.0,0.0,0.0,0.0
EEZ,eez,174,Comoros Isl.,6,30,3318208.5930836904,3318208.5930836904,0.4773456953931895,1.0285452886085489,100.0,0.0,0.0,0.0,0.0
EEZ,eez,174,Comoros Isl.,7,31,3525983.6986080487,3525983.6986080487,0.4908730486914245,0.9703018713849214,100.0,0.0,0.0,0.0,0.0
EEZ,eez,174,Comoros Isl.,8,31,3605385.712494239,3605385.712494239,0.5019270727482968,0.9631821984832792,100.0,0.0,0.0,0.0,0.0
EEZ,eez,174,Comoros Isl.,9,30,3427912.628266316,3427912.628266316,0.4931273280099092,0.9223725843948061,100.0,0.0,0.0,0.0,0.0
EEZ,eez,174,Comoros Isl.,10,31,3617762.0855554007,3617762.0855554007,0.5036500608547572,1.002065835922775,100.0,0.0,0.0,0.0,0.0
EEZ,eez,174,Comoros Isl.,11,30,3010112.9246112695,3010112.9246112695,0.4330241474889562,0.9358693287889739,100.0,0.0,0.0,0.0,0.0
EEZ,eez,174,Comoros Isl.,12,31,2953804.334534531,2953804.334534531,0.41121657468334377,0.9656214412580812,100.0,0.0,0.0,0.0,0.0
EEZ,eez,178,"Congo, R. of",1,31,4370004.561381161,4370004.561381161,4.166524925147497,1.0817550408516026,100.0,0.0,0.0,0.0,0.0
EEZ,eez,178,"Congo, R. of",2,28,2893261.24775214,2893261.24775214,3.054101080007079,0.7032083359950031,100.0,0.0,0.0,0.0,0.0
EEZ,eez,178,"Congo, R. of",3,31,5231933.74855631,5231933.74855631,4.988320278363868,1.2610639211155277,100.0,0.0,0.0,0.0,0.0
EEZ,eez,178,"Congo, R. of",4,30,3268453.98606509,3268453.98606509,3.2201411467585026,1.1228604239521907,100.0,0.0,0.0,0.0,0.0
EEZ,eez,178,"Congo, R. of",5,31,2168206.097766939,2168206.097766939,2.0672483569096185,0.6825338577197585,100.0,0.0,0.0,0.0,0.0
EEZ,eez,178,"Congo, R. of",6,30,3690801.2971036625,3690801.2971036625,3.636245506892222,0.9867397828254195,100.0,0.0,0.0,0.0,0.0
EEZ,eez,178,"Congo, R. of",7,31,4480223.853129366,4480223.853129366,4.2716120983645105,1.0903953478858817,100.0,0.0,0.0,0.0,0.0
EEZ,eez,178,"Congo, R. of",8,31,3834142.4902024395,3834142.4902024395,3.6556140909259294,1.0581424735094116,100.0,0.0,0.0,0.0,0.0
EEZ,eez,178,"Congo, R. of",9,30,3448096.998692692,3448096.998692692,3.3971287559327803,0.9680415668375815,100.0,0.0,0.0,0.0,0.0
