system,layer,region_id,title,water_area_km2,common_area_km2,common_area_pct_of_water,ensemble_basis,n_models,baseline_central_tC_yr,common_antoinemorel_tC_yr,own_antoinemorel_tC_yr,scaled_antoinemorel_tC_yr,common_vgpm_tC_yr,own_vgpm_tC_yr,scaled_vgpm_tC_yr,common_eppley_tC_yr,own_eppley_tC_yr,scaled_eppley_tC_yr,common_cbpm_tC_yr,own_cbpm_tC_yr,scaled_cbpm_tC_yr,common_cafe_tC_yr,own_cafe_tC_yr,scaled_cafe_tC_yr,scaled_median_tC_yr,scaled_min_tC_yr,scaled_max_tC_yr,scaled_mean_tC_yr,spread_pct,cv_pct,model_max,model_min,rate_antoinemorel_mgC_m2_d,rate_vgpm_mgC_m2_d,rate_eppley_mgC_m2_d,rate_cbpm_mgC_m2_d,rate_cafe_mgC_m2_d
EEZ,eez,8,Albania,11994.187650731603,10329.7549277698,86.12300581390122,common mask,5,2170396.2276093103,1756211.181324471,2193801.66610175,2170396.2276093103,2233710.726980401,2486657.0646023992,2760509.320839478,1712547.9006369498,1918841.1667846153,2116435.393800148,2263012.0400488265,2647739.7623372274,2796721.0589402164,1091792.793634466,1111102.795606263,1349281.3312167793,2170396.2276093103,1349281.3312167793,2796721.0589402164,2238668.666481186,66.6901144275297,26.37341731807726,CbPM2,CAFE,495.7643825243432,630.5586885423902,483.43858730152095,638.8302150734792,308.2043810770586
EEZ,eez,12,Algeria,130381.84865385489,122625.00867738186,94.05067495471219,common mask,5,23503538.595600907,21481310.202529952,23604218.043479886,23503538.595600907,26080599.431427684,27771374.939174976,28535800.170176465,18960077.24613711,20229371.267335217,20744959.36833845,31785399.86449107,34125482.33013135,34777644.63378439,16850009.472777937,16885833.517170627,18436251.990487725,23503538.595600907,18436251.990487725,34777644.63378439,25199638.951677583,69.52737170544711,25.97141157408308,CbPM2,CAFE,493.8820632713892,599.6254482201509,435.91577896418386,730.7859119846484,387.4026940674181
EEZ,eez,24,Angola,494948.1623855577,485118.351797438,98.01397169741132,common mask,5,251395125.46662435,239463471.7478709,252073970.1750777,251395125.46662435,235325873.64397183,242950913.37285745,247051364.86352342,286081133.22676307,295845255.13357407,300335587.1199409,178977080.93242747,183285412.55989185,187894902.6682097,100467530.04738137,100591875.33486071,105473486.77954619,247051364.86352342,105473486.77954619,300335587.1199409,218430093.3795689,78.87513612727489,34.18756124175699,Eppley-VGPM,CAFE,1391.567482707777,1367.5231182964835,1662.4715223109783,1040.069636331657,583.8358011826724
EEZ,eez,32,Argentina,1086389.9059787684,1054219.3171005575,97.03876216990187,common mask,5,377022616.2182672,355771881.8283924,375892405.102016,377022616.2182672,444585587.8882183,461129680.64537024,471141284.7387525,320140245.6053315,333235332.1047921,339262654.3013333,390175233.923798,397573106.0339263,413480926.9398114,240998256.65278637,242237117.72800714,255393407.5967881,377022616.2182672,255393407.5967881,471141284.7387525,371260177.9589905,57.224120745335576,21.81632950169544,VGPM,CAFE,950.7992194017882,1188.1535655628327,855.5737852477868,1042.7420681424167,644.067072206645
EEZ,eez,36,Australia,6320011.054660119,6121032.658040708,96.8516131554439,common mask,5,1300249439.581696,1192486725.708605,1308075765.3218827,1300249439.581696,1165954436.2946236,1223112553.4169044,1271319478.6038506,1297256757.8269804,1376476215.983762,1414487336.415243,1452337765.844237,1518627741.359238,1583582714.5163121,1130575649.1860797,1137151560.1034577,1232743579.0829318,1300249439.581696,1232743579.0829318,1583582714.5163121,1360476509.6400065,26.982448502054268,10.432958471269417,CbPM2,CAFE,563.6583861833531,551.117242445298,613.1805367876963,686.4834162430224,534.3945824635889
EEZ,eez,48,Bahrain,7309.881115892324,0.0,0.0,own coverage,4,5794770.962105663,0.0,5891325.3501955625,5794770.962105663,0.0,4489815.9392041145,4416231.235444417,0.0,7647102.720479799,7521772.462864333,0.0,0.0,,0.0,881702.3842213069,867251.9458011866,5105501.09877504,867251.9458011866,7521772.462864333,4650006.6515539,130.34020340647388,60.72662856524358,Eppley-VGPM,CAFE,2171.8663513105216,1655.1929459491434,2819.1423994388474,,325.0439631715385
EEZ,eez,50,Bangladesh,108627.7116385885,101117.0658984034,93.08588423074444,common mask,5,51111437.01436916,45241827.70304107,51961072.45747366,51111437.01436916,36115966.132761896,38801644.785340816,40801599.35898586,68840837.70341037,73925369.78128326,77772148.45053129,48558072.35120373,51684420.618888944,54857926.44824787,16070228.030065116,16147309.232472409,18155156.178847563,51111437.01436916,18155156.178847563,77772148.45053129,48539653.490196355,116.64119765390936,44.712938203293454,Eppley-VGPM,CAFE,1289.094027423097,1029.0670956520341,1961.5103374858568,1383.585151819757,457.89562501454145
EEZ,eez,56,Belgium,3512.952158460262,3261.610830766633,92.84529602578498,common mask,5,2010419.1947172328,1841880.9235065542,2032588.869276323,2010419.194717233,2767043.179697626,2936403.819088299,3020236.894839482,2013501.9313242412,2140090.2443242916,2197744.099345991,1464189.9838831676,1625152.87997586,1598168.2695900733,825131.1648369347,834419.578953477,900633.4290000912,2010419.194717233,900633.4290000912,3020236.894839482,1945440.3774985739,105.43092064625431,40.107639680967665,VGPM,CAFE,1567.9114161805198,2355.460950348952,1714.0047569495164,1246.3998958287818,702.3975093521058
EEZ,eez,70,Bosnia & Herzegovina,4.144590727441256,0.0,0.0,own coverage,1,1082.9520729288263,0.0,1080.3995684823935,1082.9520729288263,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,1082.9520729288263,1082.9520729288263,1082.9520729288263,1082.9520729288263,,,Antoine-Morel,Antoine-Morel,715.8709208565576,,,,
EEZ,eez,76,Brazil (mainland),2403741.352023052,2325158.043447158,96.73079183374881,common mask,5,731043506.6401781,645027358.5145745,741098032.4149477,731043506.6401781,478804721.7505055,518734986.8940342,542654630.3251963,749314866.4112046,811478902.0946304,849238036.6320329,568509670.5541168,591181990.8600833,644321977.4085648,459827218.94225895,463160289.47310454,521146426.0341981,644321977.4085648,521146426.0341981,849238036.6320329,657680915.4080341,50.92044383111144,20.698747872707862,Eppley-VGPM,CAFE,833.2256382810068,618.5045713584416,967.940893664925,734.3825449625102,593.9900423518033
