system,layer,region_id,title,month,days,npp_central_tC,npp_observed_tC,rate_central_gC_m2_d,anomaly_factor,area_obs_pct,area_dark_pct,area_clim_pct,area_nn_near_pct,area_nn_far_pct
EEZ,eez,174,Comoros Isl.,1,31,2885784.8323013824,2885784.8323013824,0.40174717740710575,1.000568147826711,100.0,0.0,0.0,0.0,0.0
EEZ,eez,174,Comoros Isl.,2,28,2996775.221526407,2996775.221526407,0.46189867813386487,1.0698943956322033,100.0,0.0,0.0,0.0,0.0
EEZ,eez,174,Comoros Isl.,3,31,3499591.3982394696,3499591.3982394696,0.48719882043307533,1.0758085836958944,100.0,0.0,0.0,0.0,0.0
EEZ,eez,174,Comoros Isl.,4,30,3036767.771414975,3036767.771414975,0.43685861901965933,0.9457399224867625,100.0,0.0,0.0,0.0,0.0
EEZ,eez,174,Comoros Isl.,5,31,3303145.115772768,3303145.115772768,0.45985037137002543,1.0443042246252174,100.0,0.0,0.0,0.0,0.0
EEZ,eez,174,Comoros Isl.,6,30,3683146.9908247404,3683146.9908247404,0.5298444363127554,1.174169199809108,100.0,0.0,0.0,0.0,0.0
EEZ,eez,174,Comoros Isl.,7,31,3968839.6737472387,3968839.6737472387,0.5525256487115565,1.1820531101774563,100.0,0.0,0.0,0.0,0.0
EEZ,eez,174,Comoros Isl.,8,31,3957957.581937028,3957957.581937028,0.5510106883374837,1.1277022821659672,100.0,0.0,0.0,0.0,0.0
EEZ,eez,174,Comoros Isl.,9,30,3661487.0352596478,3661487.0352596478,0.5267285120839545,1.056710756351851,100.0,0.0,0.0,0.0,0.0
EEZ,eez,174,Comoros Isl.,10,31,3399584.614206275,3399584.614206275,0.473276284436219,0.9342033385266888,100.0,0.0,0.0,0.0,0.0
EEZ,eez,174,Comoros Isl.,11,30,3052678.915074863,3052678.915074863,0.4391475395988721,0.9777926490506773,100.0,0.0,0.0,0.0,0.0
EEZ,eez,174,Comoros Isl.,12,31,2872254.656140101,2872254.656140101,0.3998635615457386,0.9415694669249325,100.0,0.0,0.0,0.0,0.0
EEZ,eez,178,"Congo, R. of",1,31,5005268.234059482,5005268.234059482,4.772208944254886,1.4767462547530161,100.0,0.0,0.0,0.0,0.0
EEZ,eez,178,"Congo, R. of",2,28,4211458.840486875,4211458.840486875,4.445578843987684,1.1696989222821998,100.0,0.0,0.0,0.0,0.0
EEZ,eez,178,"Congo, R. of",3,31,3697757.0588624803,3697757.0588624803,3.525579146768953,1.0807079462919449,100.0,0.0,0.0,0.0,0.0
EEZ,eez,178,"Congo, R. of",4,30,2291225.1064891927,2291225.1064891927,2.257357231690595,0.8019535269393856,100.0,0.0,0.0,0.0,0.0
EEZ,eez,178,"Congo, R. of",5,31,2600063.795928193,2600063.795928193,2.4789975526443246,0.8979192692787422,100.0,0.0,0.0,0.0,0.0
EEZ,eez,178,"Congo, R. of",6,30,4262567.58387988,4262567.58387988,4.1995601976381085,1.190844502787276,100.0,0.0,0.0,0.0,0.0
EEZ,eez,178,"Congo, R. of",7,31,4566788.295652593,4566788.295652593,4.354145858304233,1.1602547521396944,100.0,0.0,0.0,0.0,0.0
EEZ,eez,178,"Congo, R. of",8,31,4159384.1835997826,4159384.1835997826,3.9657116213067485,1.0863817663302955,100.0,0.0,0.0,0.0,0.0
EEZ,eez,178,"Congo, R. of",9,30,3409996.3591651325,3409996.3591651325,3.359591303184909,1.1930401882945056,100.0,0.0,0.0,0.0,0.0
EEZ,eez,178,"Congo, R. of",10,31,2605377.517028152,2605377.517028152,2.4840638520262326,1.0933561492922537,100.0,0.0,0.0,0.0,0.0
EEZ,eez,178,"Congo, R. of",11,30,2228152.607058293,2228152.607058293,2.195217042013071,1.095628023348967,100.0,0.0,0.0,0.0,0.0
EEZ,eez,178,"Congo, R. of",12,31,3449034.361066342,3449034.361066342,3.288437673513829,1.2734217897403755,100.0,0.0,0.0,0.0,0.0
EEZ,eez,180,Congo (ex-Zaire),1,31,1899052.64539441,1899052.64539441,4.659129772571396,1.9008325175197307,100.0,0.0,0.0,0.0,0.0
EEZ,eez,180,Congo (ex-Zaire),2,28,1165410.7728373318,1165410.7728373318,3.165559592253932,0.7332227953881114,100.0,0.0,0.0,0.0,0.0
EEZ,eez,180,Congo (ex-Zaire),3,31,1235115.5905429318,1235115.5905429318,3.0302286955665325,0.9205311345991175,100.0,0.0,0.0,0.0,0.0
EEZ,eez,180,Congo (ex-Zaire),4,30,1064599.5421479037,1064599.5421479037,2.6989479987334715,1.0975073250630878,100.0,0.0,0.0,0.0,0.0
EEZ,eez,180,Congo (ex-Zaire),5,31,828653.4376919407,828653.4376919407,2.0330157313212953,0.9353615531049037,100.0,0.0,0.0,0.0,0.0
EEZ,eez,180,Congo (ex-Zaire),6,30,966667.5255144199,966667.5255144199,2.4506730278729703,1.1851270604883208,100.0,0.0,0.0,0.0,0.0
EEZ,eez,180,Congo (ex-Zaire),7,31,1008143.0004456735,1008143.0004456735,2.4733748586576816,1.0534771508186822,100.0,0.0,0.0,0.0,0.0
EEZ,eez,180,Congo (ex-Zaire),8,31,1274762.757731682,1274762.757731682,3.1274989305414334,1.1327636568820385,100.0,0.0,0.0,0.0,0.0
EEZ,eez,180,Congo (ex-Zaire),9,30,1018798.0550868516,1018798.0550868516,2.5828331339900203,0.9386655406231922,100.0,0.0,0.0,0.0,0.0
EEZ,eez,180,Congo (ex-Zaire),10,31,993746.5824247628,993746.5824247628,2.4380547320765267,0.9530769736448244,100.0,0.0,0.0,0.0,0.0
EEZ,eez,180,Congo (ex-Zaire),11,30,776943.0413749706,776943.0413749706,1.9696879283060498,1.1175909286421957,100.0,0.0,0.0,0.0,0.0
EEZ,eez,180,Congo (ex-Zaire),12,31,1492791.1200513262,1492791.1200513262,3.6624090272214884,1.8426097090371973,100.0,0.0,0.0,0.0,0.0
EEZ,eez,388,Jamaica,1,31,3643448.645180641,3643448.645180641,0.4102685157122521,0.9898193584100377,100.0,0.0,0.0,0.0,0.0
EEZ,eez,388,Jamaica,2,28,3451011.942645179,3451011.942645179,0.43023492540214103,0.9702707736644947,100.0,0.0,0.0,0.0,0.0
EEZ,eez,388,Jamaica,3,31,3732637.8903433247,3732637.8903433247,0.4203116212405245,0.9210701904564254,100.0,0.0,0.0,0.0,0.0
EEZ,eez,388,Jamaica,4,30,3352541.927903088,3352541.927903088,0.39009483021661234,0.9557157301960166,100.0,0.0,0.0,0.0,0.0
EEZ,eez,388,Jamaica,5,31,3206345.584981605,3206345.584981605,0.3610487678345513,0.9068075922568475,100.0,0.0,0.0,0.0,0.0
EEZ,eez,388,Jamaica,6,30,3421669.9596479875,3421669.9596479875,0.39813842471495225,0.9439653642027772,100.0,0.0,0.0,0.0,0.0
EEZ,eez,388,Jamaica,7,31,3651741.2446509255,3651741.2446509255,0.4112022992803477,0.9442710497160264,100.0,0.0,0.0,0.0,0.0
EEZ,eez,388,Jamaica,8,31,3447243.866973356,3447243.866973356,0.38817498538701173,0.8933346636861671,100.0,0.0,0.0,0.0,0.0
