system,layer,region_id,title,water_area_km2,common_area_km2,common_area_pct_of_water,ensemble_basis,n_models,baseline_central_tC_yr,common_antoinemorel_tC_yr,own_antoinemorel_tC_yr,scaled_antoinemorel_tC_yr,common_vgpm_tC_yr,own_vgpm_tC_yr,scaled_vgpm_tC_yr,common_eppley_tC_yr,own_eppley_tC_yr,scaled_eppley_tC_yr,common_cbpm_tC_yr,own_cbpm_tC_yr,scaled_cbpm_tC_yr,common_cafe_tC_yr,own_cafe_tC_yr,scaled_cafe_tC_yr,scaled_median_tC_yr,scaled_min_tC_yr,scaled_max_tC_yr,scaled_mean_tC_yr,spread_pct,cv_pct,model_max,model_min,rate_antoinemorel_mgC_m2_d,rate_vgpm_mgC_m2_d,rate_eppley_mgC_m2_d,rate_cbpm_mgC_m2_d,rate_cafe_mgC_m2_d
EEZ,eez,8,Albania,11994.187650731603,9701.858044043147,80.88799614079215,common mask,5,2241438.027956145,1633019.452678518,2267415.332362232,2241438.027956145,2161943.912050552,2734021.7933658017,2967425.3364404696,1676637.7122513268,2148684.1685393066,2301307.263169109,2138477.4274839177,2669484.6405628123,2935215.87879817,969594.7710984678,974272.4227358971,1330839.3773772027,2301307.263169109,1330839.3773772027,2967425.3364404696,2355245.1767482194,71.11549097574826,28.29463931246755,VGPM,CAFE,511.9918316114441,677.8226808972869,525.6672306238416,670.4653598347325,303.9918489405229
EEZ,eez,12,Algeria,130381.84865385489,123107.55404849573,94.4207766031364,common mask,5,24910190.858805384,22907861.58781859,25016405.324420556,24910190.858805384,28100157.997379925,29762210.869277377,30556335.264813177,20586681.69129912,21850060.602917127,22386121.38081147,30281553.585418202,32277892.80745282,32928402.17416995,18223547.080288723,18281105.3902483,19816430.012647264,24910190.858805384,19816430.012647264,32928402.17416995,26119495.93824945,52.636979924574916,21.07236717500334,CbPM2,CAFE,523.4401793495709,642.0831418730636,470.40167042201347,691.9276065542322,416.40450443283953
EEZ,eez,24,Angola,494948.1623855577,484909.1660758656,97.9717075296722,common mask,5,242707927.506074,229687773.70112407,243413031.341082,242707927.506074,226004077.38446715,235062258.71668535,238815416.0146224,263366572.06969708,275135860.97544944,278295852.89372516,188770505.11372918,193156784.362425,199471209.6867859,94518662.76704603,94705964.72248104,99876577.58695492,238815416.0146224,99876577.58695492,278295852.89372516,211833396.73763248,74.71011640883596,32.351096187468045,Eppley-VGPM,CAFE,1343.4805431726181,1321.9340139488859,1540.473224134766,1104.148891595623,552.8547834655557
EEZ,eez,32,Argentina,1086389.9059787684,1044576.4473764253,96.15115545788584,common mask,5,343360556.92140794,317280105.25308794,342883710.0087448,343360556.92140794,407874548.60831004,433736972.9725391,441401871.2345791,292205052.9193488,314514664.3769431,316224333.1506856,376484736.19585586,390119101.6017547,407431813.5689672,230518069.95699474,231118658.78053924,249466674.93615708,343360556.92140794,249466674.93615708,441401871.2345791,351577049.96235937,55.89902288699812,21.536318628382443,VGPM,CAFE,865.9081324321368,1113.1548521464858,797.4743057362385,1027.487035622718,629.1206670178676
EEZ,eez,36,Australia,6320011.054660119,5986962.892742124,94.73025982015619,common mask,5,1283956307.2824287,1123842157.0810227,1291301122.9831557,1283956307.2824287,1101881033.949264,1216532731.7994678,1258866375.9407673,1242449767.037443,1416990665.6759114,1419461981.2204647,1372680633.9183047,1503141661.8011804,1568246881.2004054,1080752570.978374,1083612844.298529,1234727734.1183982,1283956307.2824287,1234727734.1183982,1568246881.2004054,1353051855.952493,25.975895378240764,10.344663245476406,CbPM2,CAFE,556.5953101472417,545.7188200069793,615.3370462830194,679.835329503295,535.2547140592529
EEZ,eez,48,Bahrain,7309.881115892324,0.0,0.0,own coverage,4,4988141.046589004,0.0,5072928.62397606,4988141.046589004,0.0,4281107.264330903,4209553.978175608,0.0,7104299.397809355,6985560.03054807,0.0,0.0,,0.0,435087.2610680439,427815.3285114578,4598847.512382306,427815.3285114578,6985560.03054807,4152767.595956035,142.59539339758524,66.0946199914434,Eppley-VGPM,CAFE,1869.5433806655374,1577.7308023064268,2618.1712572629563,,160.3441659118243
EEZ,eez,50,Bangladesh,108627.7116385885,98246.35620786811,90.44317948512087,common mask,5,49410820.02315208,41331279.715176836,50247465.18660706,49410820.02315208,33929302.72495163,39093714.93430608,40561886.34870717,63540617.65426443,73518612.15310037,75961694.01747125,43929836.13105795,49952488.44003845,52517348.64433004,14287478.281217625,14319328.38348665,17080429.708512302,49410820.02315208,17080429.708512302,75961694.01747125,47106435.748434566,119.16674178119159,45.17744497874092,Eppley-VGPM,CAFE,1246.2023512274964,1023.0212353143764,1915.8484243621224,1324.5528677753598,430.7896864037135
EEZ,eez,56,Belgium,3512.952158460262,2961.072581326829,84.29014822179292,common mask,5,1700743.8858402192,1380650.7197329549,1719838.7063804637,1700743.8858402192,2186308.9589985292,2667226.550024264,2693187.7421493293,1606025.2989855192,1975503.3308055655,1978369.8141139173,1235966.1826144354,1537733.2810031106,1522515.360433345,647595.9688652059,647595.9688652059,797736.0738676206,1700743.8858402192,797736.0738676206,2693187.7421493293,1738510.5752808861,111.4483893819967,39.66494106860273,VGPM,CAFE,1326.3978784201572,2100.3976772253677,1542.9163356214522,1187.398738136997,622.1486049291287
EEZ,eez,70,Bosnia & Herzegovina,4.144590727441256,0.0,0.0,own coverage,1,1372.4877405200896,0.0,1369.3745870399375,1372.4877405200896,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,1372.4877405200896,1372.4877405200896,1372.4877405200896,1372.4877405200896,,,Antoine-Morel,Antoine-Morel,907.2645846766166,,,,
EEZ,eez,76,Brazil (mainland),2403741.352023052,2294804.4911780953,95.46802900597967,common mask,5,682366671.2321415,573840709.5199502,691123028.4594775,682366671.2321415,444278453.9516505,509877118.0771566,528301329.4347154,676541269.5212895,791958895.2721233,804490177.1096107,520864467.6262627,567468154.2805883,619371451.0679516,437736096.7946815,439707066.75257087,520521667.9343186,619371451.0679516,520521667.9343186,804490177.1096107,631010259.3557475,45.84785247780782,18.688261396378227,Eppley-VGPM,CAFE,777.744963213163,602.1450275183281,916.9383699113956,705.9445408673078,593.2779582394146
