system,layer,region_id,title,polygon_area_km2,water_area_km2,npp_central_tC_yr,npp_observed_tC_yr,npp_no_nn_tC_yr,npp_all_fills_tC_yr,npp_mean_year_tC_yr,fill_uplift_pct,mean_rate_mgC_m2_d,area_obs_pct,npp_obs_pct,area_dark_pct,npp_dark_pct,area_clim_pct,npp_clim_pct,area_nn_near_pct,npp_nn_near_pct,area_nn_far_pct,npp_nn_far_pct,anomaly_factor_min,anomaly_factor_max
EEZ,eez,8,Albania,12204.022485289155,11994.187650731603,2242841.0136685646,2242841.0136685646,2242841.0136685646,2242841.013668565,2251024.8096693326,0.0,512.3123032085472,100.0,99.99999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7949109962118313,1.128437452527035
EEZ,eez,12,Algeria,130948.40769326946,130381.84865385489,26683427.70945518,26683427.70945518,26683427.70945518,26683427.70945518,24522567.34488843,0.0,560.7013717825987,100.00000000000001,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9400204219287024,1.3006733707781428
EEZ,eez,24,Angola,495730.8663477309,494948.1623855577,254514168.4035849,254514168.4035849,254514168.4035849,254514168.40358487,255153280.5589348,0.0,1408.8325697701744,99.99999999999999,100.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8369016260259555,1.2660785791924387
EEZ,eez,32,Argentina,1089459.3747846726,1086389.9059787684,365745862.49331164,364246119.01767635,364613929.2431022,368303957.06805027,372151722.24777305,0.41173904053661836,922.3607964057874,92.53973040991784,98.89823664055173,0.0,0.0,0.40063267806987424,0.09986594451871098,1.6349007837491476,0.3073367061327345,5.424736128263127,0.694560708796836,0.8519857696110303,1.1415329815345343
EEZ,eez,36,Australia,6339713.627254965,6320011.054660119,1274816106.06184,1274737819.635358,1274807549.1254127,1274816106.06184,1287374232.6950407,0.006141374742019146,552.6330311317278,99.96087903296109,99.99385900239966,0.0,0.0,0.033414103819244666,0.005469768519797603,0.005706863219659043,0.0006712290805435471,0.0,0.0,0.9263953192880576,1.0668654668940392
EEZ,eez,48,Bahrain,7437.063021044434,7309.881115892324,5335432.318225448,5335432.318225448,5335432.318225448,5335432.318225449,5304444.871060567,0.0,1999.7073218986784,99.99999999999999,99.99999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8696937208031544,1.1294239787990146
EEZ,eez,50,Bangladesh,112504.90723263328,108627.7116385885,50865333.95576607,50844672.02676209,50844672.02676209,50865333.95576608,49163011.855776995,0.040637353296535395,1282.8870021170662,99.97574917523865,99.95937915394018,0.0,0.0,0.0,0.0,0.024250824761335766,0.040620846059807585,0.0,0.0,0.8108001976466587,1.2839409256520007
EEZ,eez,56,Belgium,3550.181499556215,3512.952158460262,1827772.8848510322,1827772.8848510322,1827772.8848510322,1891824.6455035277,1845621.3898860852,0.0,1425.466877690755,91.66666666666666,96.6142865933831,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333334,3.385713406616895,0.8394695039161215,1.5244398541224298
EEZ,eez,70,Bosnia & Herzegovina,8.408147754376184,4.144590727441256,1059.0498734344787,1059.0498734344787,1059.0498734344787,1059.0498734344787,1209.2054293768408,0.0,700.070692951513,100.00000000000001,99.99999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5527533517746511,1.1026580401849226
EEZ,eez,76,Brazil (mainland),2420472.609289061,2403741.352023052,667797834.6634524,667730711.4397091,667735776.2682983,667797834.6634523,691690441.389615,0.010052439193408702,761.1397570404849,99.99775487349605,99.98994857122037,0.0,0.0,7.435764453384433e-05,0.0007584374081754575,0.0021707688594200442,0.009292991371471862,0.0,0.0,0.9194957537319514,1.0215446838112066
EEZ,eez,84,Belize,34400.90160147187,34011.67063248764,9039651.277873512,9039651.277873512,9039651.277873512,9039651.277873514,9529394.097755399,0.0,728.1667564112107,100.00000000000001,99.99999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8269723659198545,1.1884572115264547
EEZ,eez,86,Chagos Archipelago (UK),640076.5357924635,640076.5357924635,96736155.19300202,96736155.19300202,96736155.19300202,96736155.19300202,95610932.73114324,0.0,414.06073704057945,100.00000000000001,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.887041605651206,1.085056812879239
EEZ,eez,96,Brunei Darussalam,43190.002492325926,43131.72264591999,12108640.896583725,12108640.896583725,12108640.896583725,12108640.896583723,12267506.993804278,0.0,769.1405903982699,99.99999999999999,100.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8485637332533652,1.2380569892706963
EEZ,eez,100,Bulgaria,34793.04706150295,34588.81252527995,11675617.52248157,11675617.52248157,11675617.52248157,11675617.52248157,11496757.89447642,0.0,924.8074992137757,100.00000000000003,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7649991700472755,1.2157266780527867
EEZ,eez,104,Myanmar,500720.0028720459,495385.93546373467,170178378.29280552,170157772.07704842,170157772.07704842,170178378.29280552,173815434.54046762,0.012110064386483543,941.169498226879,99.99271741973685,99.98789140197253,0.0,0.0,0.0,0.0,0.007282580263138535,0.012108598027462808,0.0,0.0,0.7160369893892374,1.0641757488343808
EEZ,eez,111,Eritrea,79080.49997227378,78182.02433510637,48794286.908643804,48794286.908643804,48794286.908643804,48794286.9086438,45886463.48280528,0.0,1709.8940449393388,99.99999999999999,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7715461962442817,1.6216788538760876
EEZ,eez,116,Cambodia,49073.74694170778,48603.58953867362,15272507.390757816,15272507.390757816,15272507.390757816,15272507.390757816,15432969.446010599,0.0,860.8929175649129,100.0,100.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8425288469249775,1.1917813518405744
EEZ,eez,120,Cameroon,15408.700300468234,14561.461347050781,12419226.406420685,12413667.687697433,12413667.687697433,12419226.406420683,11886826.247291202,0.04477901989241584,2336.666424809172,99.91257190975148,99.95524102273893,0.0,0.0,0.0,0.0,0.08742809024851435,0.04475897726107924,0.0,0.0,0.6504022454102734,1.3420634115024335
EEZ,eez,136,Cayman Isl. (UK),120665.83017727948,120632.65227652105,15590943.230025008,15590943.230025008,15590943.230025008,15590943.230025006,15662963.008292058,0.0,354.0908050422291,99.99999999999999,100.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.966141586245734,1.0537907321835231
EEZ,eez,144,Sri Lanka,533117.5102420172,531875.682189968,139531581.25190794,139531581.25190794,139531581.25190794,139531581.25190794,141829021.07994452,0.0,718.7361964467684,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8264095886813947,1.2106013291458562
EEZ,eez,152,Chile (mainland),1958745.644809764,1932002.9374261291,400045687.04005075,398077636.9887655,398839709.71105236,404282840.4813854,402758611.01845515,0.4943884982267388,567.2949868242903,93.12760313424434,98.46513310205516,0.0,0.0,0.5683405523098732,0.18849989313903237,1.328252372234406,0.29830039968117755,4.975803941211399,1.048066605124643,0.9404488213402818,1.0650451727780161
EEZ,eez,156,China,2620489.874965168,2613061.1587241334,729733977.6119391,729733977.6119391,729733977.6119391,729733977.611939,725996769.8605827,0.0,765.106918705161,100.0,100.00000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9225798945394659,1.2096628547749042
EEZ,eez,157,Taiwan,1151234.4006855283,1150681.8448039098,210163527.02310443,210163527.02310443,210163527.02310443,210163527.0231045,205298466.37629426,0.0,500.3906923489598,100.00000000000001,99.99999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9021059694695903,1.2389918194264442
EEZ,eez,174,Comoros Isl.,232343.31881022514,231712.47624152715,37581504.05210627,37581504.05210627,37581504.05210627,37581504.05210627,39436281.075066976,0.0,444.35684461361024,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7598743471492257,1.0451717619583558
EEZ,eez,175,Mayotte (France),66816.49242308058,66720.3023548172,10900431.772415759,10900431.772415759,10900431.772415759,10900431.772415759,11579025.00697092,0.0,447.6028372584153,99.99999999999996,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7966235293676177,1.033828980944283
EEZ,eez,178,"Congo, R. of",33940.68459029801,33833.444323346106,39758673.95343615,39758673.95343615,39758673.95343615,39758673.95343614,39227638.90867898,0.0,3219.5325076574304,100.0,100.00000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8157135636753999,1.2639608442721375
EEZ,eez,180,Congo (ex-Zaire),13208.202482513494,13148.327208076204,11987219.246009583,11987219.246009583,11987219.246009583,11987219.246009585,12553441.139651205,0.0,2497.7851588784,100.0,99.99999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6903008728126936,1.2236203024933563
EEZ,eez,191,Croatia,56030.8296651236,54223.54615684576,9282092.488527969,9282092.488527969,9282092.488527969,9282092.488527967,9476203.156697059,0.0,468.9916499737831,100.0,100.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.824163167954631,1.0889357537178335
EEZ,eez,192,Cuba,353503.29257178283,350097.79439434194,77953750.8014208,77953750.8014208,77953750.8014208,77953750.8014208,78435470.27715318,0.0,610.0350342776801,99.99999999999999,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9473476638533166,1.057141641157949
EEZ,eez,197,Cyprus (North),17554.35813148523,17327.804568781557,2115885.5395876085,2115885.5395876085,2115885.5395876085,2115885.539587608,2185936.699421979,0.0,334.545940935049,100.0,100.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8860614840045624,1.1264015341977411
EEZ,eez,198,Cyprus (South),80967.36083457034,80814.88690441322,9021116.210142126,9021116.210142126,9021116.210142126,9021116.210142126,9250605.18235752,0.0,305.8271541768629,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9113502005710846,1.1137202515620483
EEZ,eez,204,Benin,35850.31215535316,35584.088104343435,10444312.504409553,10444312.504409553,10444312.504409553,10444312.504409553,9755244.259733822,0.0,804.1390500915712,100.00000000000001,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9041933334615129,1.2951379074322993
EEZ,eez,212,Dominica,28722.68491682483,28650.922182044953,5493219.89295159,5493219.89295159,5493219.89295159,5493219.89295159,5529896.248164733,0.0,525.2856232448738,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7561016309034171,1.2097729666926744
EEZ,eez,214,Dominican Republic,378711.01085279987,377739.6874504913,51783929.54786154,51783929.54786154,51783929.54786154,51783929.54786155,52581441.0186186,0.0,375.58610942033215,100.0,99.99999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9205148945955851,1.0943401280418974
EEZ,eez,218,Ecuador (mainland),235418.08962947555,234819.79211717544,85144193.77494033,85143704.19123106,85143704.19123106,85144193.77494031,84895156.13281173,0.0005750087031186624,993.4075899809876,99.9992382328755,99.99942499460322,0.0,0.0,0.0,0.0,0.0007617671244816663,0.0005750053967996522,0.0,0.0,0.8340504280672483,1.2519841929128035
EEZ,eez,222,El Salvador,94618.05133275087,94266.6763790318,34352147.48544104,34352147.48544104,34352147.48544104,34352147.48544103,37950250.387111075,0.0,998.3959992864108,99.99999999999999,100.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5608406038165046,1.1151659315386073
EEZ,eez,233,Estonia,36146.421139458624,35396.16410637775,24174317.782546837,20981165.204098843,22827894.284749944,24930545.48066931,24406230.657907285,15.219138438622949,1871.1351722850204,58.346620644851704,84.15846825480517,0.0,0.0,5.900237607499912,7.407495684693381,8.874576095281265,5.400698106829965,26.87856565236712,3.0333379536714924,0.8350623036543353,1.6998069527804045
EEZ,eez,234,Faeroe Isl. (Denmark),270430.15935727756,270090.78742456296,34862600.25559547,34626883.21997356,34685443.83271629,36845870.74751745,32805895.15222104,0.6807341975437753,353.6365464878307,69.97166604172779,93.97764937420185,0.0,0.0,0.6634559879278545,0.1589339905793613,2.8714010235331227,0.4808040067586292,26.493476946811228,5.382612628460202,0.8191760513851272,1.3370938630473743
EEZ,eez,246,Finland,83707.84281352899,78112.94981574234,48564213.99561726,40609257.69135075,45406324.16643592,49580230.98520744,48153210.39782923,19.58902170713852,1703.3365325177926,54.9574247202088,81.90614864917988,0.0,0.0,7.68671057834658,9.67536128768017,9.9186478521,6.369251950688809,27.437216849344615,2.0492381124511154,0.5,1.2375729650693073
EEZ,eez,251,Mozambique Channel Isl. (France),310631.41841285356,310624.7260866524,51151469.35659692,51151469.35659692,51151469.35659692,51151469.35659691,52728241.36598996,0.0,451.15858515650814,100.0,100.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9085860923837834,1.0102904913592174
EEZ,eez,252,Tromelin Isl. (France),274361.93953387893,274361.93953387893,33348634.75688644,33348634.75688644,33348634.75688644,33348634.756886445,33488705.50481731,0.0,333.01310953272565,100.0,99.99999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8882494068821283,1.081469602121845
EEZ,eez,254,French Guiana,131741.50540972626,131558.1950030061,84043665.09087817,84034877.92629716,84034877.92629716,84043665.09087819,79899072.22523858,0.010456568508043773,1750.226328979932,99.99495973102188,99.98954452477587,0.0,0.0,0.0,0.0,0.005040268978124903,0.010455475224121207,0.0,0.0,0.8194413276322374,1.2250562761825337
EEZ,eez,262,Djibouti,7631.254917122876,7482.761367850676,3278403.333415076,3278403.333415076,3278403.333415076,3278403.333415076,3233253.168649137,0.0,1200.3492426544083,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7562965161457228,1.4583599040518327
EEZ,eez,266,Gabon,200958.63168413372,200123.78894373312,151234874.80955252,151234874.80955252,151234874.80955252,151234874.80955252,149086870.3388381,0.0,2070.42913265246,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7659008872104562,1.2831224536379908
EEZ,eez,268,Georgia,22812.930296300612,22609.28034379086,7558241.400269922,7554746.274360542,7554968.221163842,7558241.400269922,7317447.408936471,0.046263974757709825,915.885440438527,99.89813346389316,99.95375741889833,0.0,0.0,0.011521644354785905,0.0029364873592389426,0.09034489175205733,0.043306093742431356,0.0,0.0,0.8197833588716262,1.3987189125917765
