system,layer,region_id,title,month,days,npp_central_tC,npp_observed_tC,rate_central_gC_m2_d,anomaly_factor,area_obs_pct,area_dark_pct,area_clim_pct,area_nn_near_pct,area_nn_far_pct
EEZ,eez,174,Comoros Isl.,1,31,3022631.5923581407,3022631.5923581407,0.42079842439362,1.0442684395710329,100.0,0.0,0.0,0.0,0.0
EEZ,eez,174,Comoros Isl.,2,28,2430506.4824311766,2430506.4824311766,0.3746185978069218,0.8407140764204792,100.0,0.0,0.0,0.0,0.0
EEZ,eez,174,Comoros Isl.,3,31,2616444.3933741003,2616444.3933741003,0.36425070161672857,0.7598743471492257,100.0,0.0,0.0,0.0,0.0
EEZ,eez,174,Comoros Isl.,4,30,2869431.3485499527,2869431.3485499527,0.4127861959346232,0.8631475074476757,100.0,0.0,0.0,0.0,0.0
EEZ,eez,174,Comoros Isl.,5,31,3108675.718430571,3108675.718430571,0.4327771361794507,0.9338190815866104,100.0,0.0,0.0,0.0,0.0
EEZ,eez,174,Comoros Isl.,6,30,3287388.5093406783,3287388.5093406783,0.4729120276795174,1.0035674360411504,100.0,0.0,0.0,0.0,0.0
EEZ,eez,174,Comoros Isl.,7,31,3486289.3974110107,3486289.3974110107,0.48534697020956485,0.9796156495671369,100.0,0.0,0.0,0.0,0.0
EEZ,eez,174,Comoros Isl.,8,31,3545393.842908401,3545393.842908401,0.49357524970046934,0.9644841348229571,100.0,0.0,0.0,0.0,0.0
EEZ,eez,174,Comoros Isl.,9,30,3754612.3488576873,3754612.3488576873,0.540125188733765,1.0451717619583558,100.0,0.0,0.0,0.0,0.0
EEZ,eez,174,Comoros Isl.,10,31,3604128.766225342,3604128.766225342,0.5017520858227197,0.9812187176184947,100.0,0.0,0.0,0.0,0.0
EEZ,eez,174,Comoros Isl.,11,30,3049572.5283242497,3049572.5283242497,0.43870066584092865,0.961529639480783,100.0,0.0,0.0,0.0,0.0
EEZ,eez,174,Comoros Isl.,12,31,2806429.123894952,2806429.123894952,0.3906995998099915,0.9140509601212153,100.0,0.0,0.0,0.0,0.0
EEZ,eez,178,"Congo, R. of",1,31,4635262.994049756,4635262.994049756,4.41943218320536,1.143538005825856,100.0,0.0,0.0,0.0,0.0
EEZ,eez,178,"Congo, R. of",2,28,3594814.0383354793,3594814.0383354793,3.7946540242208853,0.9395346562628031,100.0,0.0,0.0,0.0,0.0
EEZ,eez,178,"Congo, R. of",3,31,3121577.946020005,3121577.946020005,2.9762285451190533,0.9512655528048289,100.0,0.0,0.0,0.0,0.0
EEZ,eez,178,"Congo, R. of",4,30,2787820.470541772,2787820.470541772,2.7466121430012485,1.081780864862459,100.0,0.0,0.0,0.0,0.0
EEZ,eez,178,"Congo, R. of",5,31,3275029.354116383,3275029.354116383,3.122534826417411,1.1724871332428173,100.0,0.0,0.0,0.0,0.0
EEZ,eez,178,"Congo, R. of",6,30,3276009.7545772535,3276009.7545772535,3.2275852292467775,0.8157135636753999,100.0,0.0,0.0,0.0,0.0
EEZ,eez,178,"Congo, R. of",7,31,3662958.9310330865,3662958.9310330865,3.4924013171092474,0.88434112960845,100.0,0.0,0.0,0.0,0.0
EEZ,eez,178,"Congo, R. of",8,31,4001958.389887588,4001958.389887588,3.8156160129040693,1.040518473244628,100.0,0.0,0.0,0.0,0.0
EEZ,eez,178,"Congo, R. of",9,30,3111049.065087506,3111049.065087506,3.065062915612159,1.0135801138035394,100.0,0.0,0.0,0.0,0.0
EEZ,eez,178,"Congo, R. of",10,31,2933008.787777228,2933008.787777228,2.796439694353118,1.2639608442721375,100.0,0.0,0.0,0.0,0.0
EEZ,eez,178,"Congo, R. of",11,30,2142384.382121575,2142384.382121575,2.1107166049927946,1.0348806903075516,100.0,0.0,0.0,0.0,0.0
EEZ,eez,178,"Congo, R. of",12,31,3216799.8398885136,3216799.8398885136,3.0670166412526414,1.0379527945794254,100.0,0.0,0.0,0.0,0.0
EEZ,eez,180,Congo (ex-Zaire),1,31,1399022.3068687092,1399022.3068687092,3.4323569166086827,1.0870923224461826,100.0,0.0,0.0,0.0,0.0
EEZ,eez,180,Congo (ex-Zaire),2,28,1696431.458859847,1696431.458859847,4.6079502629968285,1.21256639110148,100.0,0.0,0.0,0.0,0.0
EEZ,eez,180,Congo (ex-Zaire),3,31,971739.3751948677,971739.3751948677,2.3840623192465715,0.7353994269074623,100.0,0.0,0.0,0.0,0.0
EEZ,eez,180,Congo (ex-Zaire),4,30,1009994.2184673332,1009994.2184673332,2.560513852152377,1.0016768215609466,100.0,0.0,0.0,0.0,0.0
EEZ,eez,180,Congo (ex-Zaire),5,31,1032863.187960781,1032863.187960781,2.5340232887654555,1.2236203024933563,100.0,0.0,0.0,0.0,0.0
EEZ,eez,180,Congo (ex-Zaire),6,30,668787.3457298218,668787.3457298218,1.6954941241981136,0.7051484269864058,100.0,0.0,0.0,0.0,0.0
EEZ,eez,180,Congo (ex-Zaire),7,31,885859.3339789093,885859.3339789093,2.1733644969037744,0.9426331710949665,100.0,0.0,0.0,0.0,0.0
EEZ,eez,180,Congo (ex-Zaire),8,31,831777.3669438156,831777.3669438156,2.0406799694982176,0.719494719511906,100.0,0.0,0.0,0.0,0.0
EEZ,eez,180,Congo (ex-Zaire),9,30,872624.3491718982,872624.3491718982,2.212256954471235,0.8401406003013502,100.0,0.0,0.0,0.0,0.0
EEZ,eez,180,Congo (ex-Zaire),10,31,1122348.50758618,1122348.50758618,2.753566289790671,1.1672724270078845,100.0,0.0,0.0,0.0,0.0
EEZ,eez,180,Congo (ex-Zaire),11,30,734493.0464783384,734493.0464783384,1.8620696885486308,1.0676282080162631,100.0,0.0,0.0,0.0,0.0
EEZ,eez,180,Congo (ex-Zaire),12,31,761278.748769083,761278.748769083,1.867718881947734,0.6903008728126936,100.0,0.0,0.0,0.0,0.0
EEZ,eez,388,Jamaica,1,31,3819929.0546522844,3819929.0546522844,0.4301409944260647,1.0203934747521795,100.0,0.0,0.0,0.0,0.0
EEZ,eez,388,Jamaica,2,28,3946265.7183505115,3946265.7183505115,0.49197782133729423,1.1600810656249987,100.0,0.0,0.0,0.0,0.0
EEZ,eez,388,Jamaica,3,31,3946008.335144954,3946008.335144954,0.44433808194044944,1.0095350049559804,100.0,0.0,0.0,0.0,0.0
EEZ,eez,388,Jamaica,4,30,3521929.0070276572,3521929.0070276572,0.4098043596700787,1.042406568525616,100.0,0.0,0.0,0.0,0.0
EEZ,eez,388,Jamaica,5,31,3445991.414965917,3445991.414965917,0.388033953722747,0.9825256990459131,100.0,0.0,0.0,0.0,0.0
EEZ,eez,388,Jamaica,6,30,3539812.2209595046,3539812.2209595046,0.4118852133782483,0.9558984856520801,100.0,0.0,0.0,0.0,0.0
EEZ,eez,388,Jamaica,7,31,4072885.6606453857,4072885.6606453857,0.45862503287070516,1.037673137654415,100.0,0.0,0.0,0.0,0.0
EEZ,eez,388,Jamaica,8,31,3604834.9026649375,3604834.9026649375,0.405920436633666,0.9487660028164111,100.0,0.0,0.0,0.0,0.0
EEZ,eez,388,Jamaica,9,30,3398082.5035909954,3398082.5035909954,0.39539383721577387,0.9244120459622754,100.0,0.0,0.0,0.0,0.0
EEZ,eez,388,Jamaica,10,31,3673732.1186155886,3673732.1186155886,0.4136785694571297,1.048202129755767,100.0,0.0,0.0,0.0,0.0
EEZ,eez,388,Jamaica,11,30,3230448.263873042,3230448.263873042,0.3758882645227077,1.0172247288373906,100.0,0.0,0.0,0.0,0.0
EEZ,eez,388,Jamaica,12,31,3276738.2846388076,3276738.2846388076,0.36897529877208485,0.9328343077222934,100.0,0.0,0.0,0.0,0.0
EEZ,eez,927,Colombia (Caribbean),1,31,9002856.685575958,9002856.685575958,0.6855911038692073,1.028489333954468,100.0,0.0,0.0,0.0,0.0
EEZ,eez,927,Colombia (Caribbean),2,28,8556304.516859474,8556304.516859474,0.721397664463988,1.0999546492381107,100.0,0.0,0.0,0.0,0.0
EEZ,eez,927,Colombia (Caribbean),3,31,8152362.03904744,8152362.03904744,0.6208237101504395,0.9396147939526027,100.0,0.0,0.0,0.0,0.0
EEZ,eez,927,Colombia (Caribbean),4,30,8009371.219990146,8009371.219990146,0.6302657377966107,1.1092000392823456,100.0,0.0,0.0,0.0,0.0
EEZ,eez,927,Colombia (Caribbean),5,31,7715965.735228262,7715965.735228262,0.5875909892365121,1.0391324977613965,100.0,0.0,0.0,0.0,0.0
EEZ,eez,927,Colombia (Caribbean),6,30,8353301.649329407,8353301.649329407,0.6573299803999746,1.0189081866636798,100.0,0.0,0.0,0.0,0.0
EEZ,eez,927,Colombia (Caribbean),7,31,9024207.772985952,9024207.772985952,0.6872170450673691,0.9663306149245419,100.0,0.0,0.0,0.0,0.0
EEZ,eez,927,Colombia (Caribbean),8,31,8046825.756343963,8046825.756343963,0.6127868459545611,0.9438679734314902,100.0,0.0,0.0,0.0,0.0
EEZ,eez,927,Colombia (Caribbean),9,30,7381221.028234574,7381221.028234574,0.5808359469703597,0.9536691761487148,100.0,0.0,0.0,0.0,0.0
EEZ,eez,927,Colombia (Caribbean),10,31,7057543.754952435,7057543.754952435,0.5374504318518452,0.975550896869389,100.0,0.0,0.0,0.0,0.0
EEZ,eez,927,Colombia (Caribbean),11,30,6949142.05047178,6949142.05047178,0.546835203562888,1.0267043033896737,100.0,0.0,0.0,0.0,0.0
EEZ,eez,927,Colombia (Caribbean),12,31,7289471.129822651,7289471.129822651,0.5551123085769867,0.924514801636912,100.0,0.0,0.0,0.0,0.0
EEZ,eez,390,Japan (main islands),1,31,21823378.70908768,21399766.290097285,0.27347214941226583,1.1957551017075276,97.69107033883444,0.0,0.19880996225214145,2.110119698913417,0.0
EEZ,eez,390,Japan (main islands),2,28,23920229.87555572,23449559.680681325,0.33186398687524615,1.069399418716749,97.91561509627938,0.0,0.09311225405364333,1.9912726496669808,0.0
EEZ,eez,390,Japan (main islands),3,31,41102627.83619564,40790724.19750645,0.5150634157384697,0.9827712752782557,98.83150042560898,0.0,1.0705098322460163,0.09798974214500177,0.0
EEZ,eez,390,Japan (main islands),4,30,64309889.95934078,64239772.76340164,0.8327397973409963,1.1184589831374796,99.88697029362756,0.0,0.1130297063724374,0.0,0.0
EEZ,eez,390,Japan (main islands),5,31,58033293.91630766,58028708.55379909,0.7272242229915054,0.9840054945515474,99.99229854808995,0.0,0.00770145191004978,0.0,0.0
EEZ,eez,390,Japan (main islands),6,30,46577697.94096626,46577697.94096626,0.6031281155743312,1.0426098749669086,100.0,0.0,0.0,0.0,0.0
EEZ,eez,390,Japan (main islands),7,31,47985526.7163873,47985526.7163873,0.6013140910369181,1.0136375858454931,100.0,0.0,0.0,0.0,0.0
EEZ,eez,390,Japan (main islands),8,31,43737066.9053534,43737066.9053534,0.548075981040174,0.952793898283567,100.0,0.0,0.0,0.0,0.0
EEZ,eez,390,Japan (main islands),9,30,39733986.294132814,39733986.294132814,0.5145098477861673,0.9831428498348497,100.0,0.0,0.0,0.0,0.0
EEZ,eez,390,Japan (main islands),10,31,41330716.32921526,41330716.32921526,0.5179216280837331,1.0285751848249047,100.0,0.0,0.0,0.0,0.0
EEZ,eez,390,Japan (main islands),11,30,28265847.944935653,28265847.944935653,0.3660105234858664,1.1094076299177054,100.0,0.0,0.0,0.0,0.0
