system,layer,region_id,title,water_area_km2,common_area_km2,common_area_pct_of_water,ensemble_basis,n_models,baseline_central_tC_yr,common_antoinemorel_tC_yr,own_antoinemorel_tC_yr,scaled_antoinemorel_tC_yr,common_vgpm_tC_yr,own_vgpm_tC_yr,scaled_vgpm_tC_yr,common_eppley_tC_yr,own_eppley_tC_yr,scaled_eppley_tC_yr,common_cbpm_tC_yr,own_cbpm_tC_yr,scaled_cbpm_tC_yr,common_cafe_tC_yr,own_cafe_tC_yr,scaled_cafe_tC_yr,scaled_median_tC_yr,scaled_min_tC_yr,scaled_max_tC_yr,scaled_mean_tC_yr,spread_pct,cv_pct,model_max,model_min,rate_antoinemorel_mgC_m2_d,rate_vgpm_mgC_m2_d,rate_eppley_mgC_m2_d,rate_cbpm_mgC_m2_d,rate_cafe_mgC_m2_d
EEZ,eez,8,Albania,11994.187650731603,9701.858044043147,80.88799614079215,common mask,5,2242841.0136685646,1640892.8768385993,2269789.6193363224,2242841.0136685646,2137407.648559978,2677319.665927075,2921498.170164058,1674600.4288472715,2132987.7888267143,2288913.9055572,2365562.175922456,2906948.288446468,3233349.3206234463,1041796.0223593463,1046442.615847752,1423970.3760101974,2288913.9055572,1423970.3760101974,3233349.3206234463,2422114.5572046936,79.04967243286436,28.85358041848274,CbPM2,CAFE,512.3123032085472,667.3319451779394,522.8363257384976,738.5653407581103,325.26493790180416
EEZ,eez,12,Algeria,130381.84865385489,123107.55404849573,94.4207766031364,common mask,5,26683427.70945518,24546514.36397167,26794842.3788767,26683427.70945518,29526744.816839498,31190498.575035725,32097215.479688488,22214472.83073719,23512171.774095483,24148368.729397174,32795386.76934148,35008804.56281117,35650411.25952168,19108595.630600505,19165541.728259433,20772107.297104638,26683427.70945518,20772107.297104638,35650411.25952168,27870306.09503343,55.75859340269453,21.531482242900257,CbPM2,CAFE,560.7013717825987,674.4618025024515,507.43193941635724,749.1254390358737,436.4862409402839
EEZ,eez,24,Angola,494948.1623855577,484909.1660758656,97.9717075296722,common mask,5,254514168.4035849,241350155.9616486,255243278.43906668,254514168.4035849,236573765.75608754,244804828.88100615,249477258.54000655,284579617.6377639,295965920.9774056,300101503.7222307,195665903.5623907,200028224.04625833,206338150.19382572,109439138.82137467,109654981.46071392,115408300.84382762,249477258.54000655,115408300.84382762,300101503.7222307,225167876.34069508,74.03207970107839,30.98378924996673,Eppley-VGPM,CAFE,1408.8325697701744,1380.9513609898704,1661.1757818152519,1142.1600149121489,638.8287696141043
EEZ,eez,32,Argentina,1086389.9059787684,1044576.4473764253,96.15115545788584,common mask,5,365745862.49331164,338610494.886963,365346468.9973605,365745862.49331164,433409565.1997471,460748417.8226739,468141884.6446269,313444376.2686749,337270048.4863132,338562996.3428474,339170836.6802449,351956996.6600586,366351108.6258728,236846475.99885657,237405457.93576103,255826738.83637634,365745862.49331164,255826738.83637634,468141884.6446269,358925718.18860704,58.04991049273542,21.160482671785967,VGPM,CAFE,922.3607964057874,1180.5894907686636,853.809344038797,923.8871439659348,645.1598740350222
EEZ,eez,36,Australia,6320011.054660119,5986962.892742124,94.73025982015619,common mask,5,1274816106.06184,1113186775.155566,1282203863.4167652,1274816106.06184,1091581347.2770646,1206411636.0459807,1250073674.645493,1202429787.8074515,1372847713.041421,1377016772.1326396,1364585692.4353364,1494902117.3551533,1562716929.1289952,1109193656.6160774,1112143063.7736497,1270243206.0407786,1274816106.06184,1250073674.645493,1562716929.1289952,1346973337.6019492,24.524576760276368,9.674911919311615,CbPM2,VGPM,552.6330311317278,541.9071822770056,596.9370398478272,677.4380941995482,550.6506780788562
EEZ,eez,48,Bahrain,7309.881115892324,0.0,0.0,own coverage,4,5335432.318225448,0.0,5424033.148661757,5335432.318225448,0.0,4377458.428008134,4305953.250718125,0.0,7899787.331909339,7770745.399698786,0.0,0.0,,0.0,485031.971668715,477109.0415722035,4820692.784471787,477109.0415722035,7770745.399698786,4472310.002553641,151.29851007350103,67.8378117788785,Eppley-VGPM,CAFE,1999.7073218986784,1613.8610199966572,2912.4568630188232,,178.81933213114405
EEZ,eez,50,Bangladesh,108627.7116385885,98246.35620786811,90.44317948512087,common mask,5,50865333.95576607,42510528.79130294,51709056.636970386,50865333.95576607,33647416.78550866,38715993.75531316,40260310.56790555,65951142.94684247,76035927.17925462,78912848.32575212,42635015.01755892,48610190.18306628,51014286.0777801,15408234.621839639,15440518.79321262,18436491.429130692,50865333.95576607,18436491.429130692,78912848.32575212,47897854.07126691,118.89503556432636,45.58280465332789,Eppley-VGPM,CAFE,1282.8870021170662,1015.4151189428579,1990.2802074430654,1286.6437599402968,464.9912500258595
EEZ,eez,56,Belgium,3512.952158460262,2961.072581326829,84.29014822179292,common mask,5,1827772.8848510322,1499684.6113424546,1846838.3223862457,1827772.8848510322,2401915.490305199,2897748.1209241464,2927386.179520527,1755870.382350294,2132178.1982457326,2140004.804943636,1258535.1332326706,1570641.0185930503,1533866.7702243808,694054.3693106816,694054.3693106816,845893.6947435064,1827772.8848510322,845893.6947435064,2927386.179520527,1854984.8668566165,113.88135265759055,41.350218481364315,VGPM,CAFE,1425.466877690755,2283.047347787028,1668.9742980812637,1196.2516206840185,659.7063857868739
EEZ,eez,70,Bosnia & Herzegovina,4.144590727441256,0.0,0.0,own coverage,1,1059.0498734344787,0.0,1055.9113326709169,1059.0498734344787,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,1059.0498734344787,1059.0498734344787,1059.0498734344787,1059.0498734344787,,,Antoine-Morel,Antoine-Morel,700.0706929515131,,,,
EEZ,eez,76,Brazil (mainland),2403741.352023052,2294890.342629496,95.47160058206994,common mask,5,667797834.6634524,560538297.1891904,676689922.1122857,667797834.6634524,439039437.7688044,501746553.4738733,523050052.67982805,658944472.6461182,769588087.9038651,785034125.5951818,503117669.0161166,549453184.4031726,599389714.5559127,458038485.67114836,460118404.8227904,545684586.508246,599389714.5559127,523050052.67982805,785034125.5951818,624191262.8005242,43.70846989082179,16.95094719622298,Eppley-VGPM,VGPM,761.1397570404849,596.1597497802211,894.7628348108325,683.1698427707125,621.9580418450178
