system,layer,region_id,title,water_area_km2,common_area_km2,common_area_pct_of_water,ensemble_basis,n_models,baseline_central_tC_yr,common_antoinemorel_tC_yr,own_antoinemorel_tC_yr,scaled_antoinemorel_tC_yr,common_vgpm_tC_yr,own_vgpm_tC_yr,scaled_vgpm_tC_yr,common_eppley_tC_yr,own_eppley_tC_yr,scaled_eppley_tC_yr,common_cbpm_tC_yr,own_cbpm_tC_yr,scaled_cbpm_tC_yr,common_cafe_tC_yr,own_cafe_tC_yr,scaled_cafe_tC_yr,scaled_median_tC_yr,scaled_min_tC_yr,scaled_max_tC_yr,scaled_mean_tC_yr,spread_pct,cv_pct,model_max,model_min,rate_antoinemorel_mgC_m2_d,rate_vgpm_mgC_m2_d,rate_eppley_mgC_m2_d,rate_cbpm_mgC_m2_d,rate_cafe_mgC_m2_d
EEZ,eez,8,Albania,11994.187650731603,9701.858044043147,80.88799614079215,common mask,5,2260543.8523852574,1659092.0482944322,2287858.196290258,2260543.8523852574,2068188.1465543394,2588620.3492205446,2817944.9145547217,1704477.702415098,2156204.6545138205,2322382.652417133,2191136.5641735424,2745725.724923669,2985464.4261425813,968817.2707872152,973336.2303481215,1320031.596688144,2322382.652417133,1320031.596688144,2985464.4261425813,2341273.4884375674,71.71224895781309,27.77914680031729,CbPM2,CAFE,516.3560058254543,643.678192387327,530.4812950808722,681.9431903479135,301.5231233448874
EEZ,eez,12,Algeria,130381.84865385489,123107.55404849573,94.4207766031364,common mask,5,24065118.586596914,22051418.4324321,24169617.76343442,24065118.586596914,25714427.495503668,27307379.83887228,28062627.76074368,19764344.10763223,21020057.302622758,21569192.303609066,31738678.241291706,34027474.44375406,34637003.41993318,16112057.778738333,16163771.368272115,17583385.04652259,24065118.586596914,17583385.04652259,34637003.41993318,25183465.423481084,70.86446847142741,25.866563893147017,CbPM2,CAFE,505.68259634928705,589.6826319542846,453.23546302077415,727.8306049531008,369.48132089766483
EEZ,eez,24,Angola,494948.1623855577,484909.1660758656,97.9717075296722,common mask,5,280209280.0163267,267444147.38126698,280899358.2639243,280209280.0163267,290333419.423952,299301357.43060344,304191059.02319777,348746184.11187506,360687866.8704827,365391870.09808815,192536679.02534047,196661704.13053167,201726471.6191886,101790184.37497094,101963684.38215452,106648638.81196904,280209280.0163267,106648638.81196904,365391870.09808815,251633463.91375408,92.33927986647807,39.75581840642718,Eppley-VGPM,CAFE,1551.0647698514986,1683.8130233488653,2022.5827526707096,1116.6326227908678,590.3407139271907
EEZ,eez,32,Argentina,1086389.9059787684,1044576.4473764253,96.15115545788584,common mask,5,366968496.7151775,338823473.4643011,365991873.4496076,366968496.7151775,432145025.79543185,459892098.03262746,468041983.2122399,316410033.8589704,341032262.93851084,342693241.65658355,349741175.950726,362987919.6843396,378793099.14919096,220135010.05744714,220671854.36125168,238420947.90304786,366968496.7151775,238420947.90304786,468041983.2122399,358983553.72724795,62.572410810351485,22.950145571614097,VGPM,CAFE,925.4441118721757,1180.337553086825,864.2252550513203,955.264134015059,601.2648615859583
EEZ,eez,36,Australia,6320011.054660119,5986962.892742124,94.73025982015619,common mask,5,1293221317.0478754,1134795448.044661,1300474968.5851262,1293221317.0478754,1092725045.0811043,1205448080.0008628,1245277573.5097673,1232336661.5361013,1401056199.8915102,1404380008.0658922,1386208286.3137283,1517145784.6871665,1579733253.9694552,1067780114.3463109,1070436774.5148318,1216850145.259061,1293221317.0478754,1216850145.259061,1579733253.9694552,1347892459.5704103,28.0604026493139,10.981096567584313,CbPM2,CAFE,560.6116936913444,539.828071497304,608.7990079728459,684.8146743436097,527.5047757946801
EEZ,eez,48,Bahrain,7309.881115892324,0.0,0.0,own coverage,4,5404297.749415676,0.0,5492608.056715708,5404297.749415676,0.0,4476440.956584777,4404468.612589995,0.0,7932705.676526075,7805163.410851723,0.0,0.0,,0.0,534562.7799730093,525968.0645148661,4904383.181002836,525968.0645148661,7805163.410851723,4534974.459343065,148.42223940684065,66.80958745836345,Eppley-VGPM,CAFE,2025.5179214458603,1650.7843429262223,2925.3566516025176,,197.13157752979882
EEZ,eez,50,Bangladesh,108627.7116385885,98246.35620786811,90.44317948512087,common mask,5,47651166.02975849,39808826.86674867,48451589.298561804,47651166.02975849,33890844.14889875,38642644.57092094,40567340.676315226,66790476.6757365,76377953.8818482,79948201.03429413,44542049.821923375,50243791.61758304,53316833.939236246,15116145.28578537,15144899.59458182,18094026.009707917,47651166.02975849,18094026.009707917,79948201.03429413,47915513.537862405,129.80621499578385,46.65118316983416,Eppley-VGPM,CAFE,1201.8216883911693,1023.1588002421865,2016.393090797971,1344.7168815241114,456.3538460989706
EEZ,eez,56,Belgium,3512.952158460262,2961.072581326829,84.29014822179292,common mask,5,1872183.101447687,1548849.2177279654,1890868.2568729098,1872183.101447687,2414681.0328323888,2892268.9983252925,2918763.7978644418,1757669.3795840004,2114729.385449525,2124596.0373188304,1115043.5195265703,1412840.5658527522,1347817.2121226147,636499.0062278954,636499.0062278954,769372.9447054593,1872183.101447687,769372.9447054593,2918763.7978644418,1806546.6186918064,114.80665814668134,44.87323941837383,VGPM,CAFE,1460.1020850046896,2276.322814580836,1656.9571114508885,1051.1529134643388,600.0284052569353
EEZ,eez,70,Bosnia & Herzegovina,4.144590727441256,0.0,0.0,own coverage,1,1202.349950216089,0.0,1195.1132649388032,1202.349950216089,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,1202.349950216089,1202.349950216089,1202.349950216089,1202.349950216089,,,Antoine-Morel,Antoine-Morel,794.7972838033402,,,,
EEZ,eez,76,Brazil (mainland),2403741.352023052,2294804.4911780953,95.46802900597967,common mask,5,669490548.7943586,563559309.0764762,677920675.9133517,669490548.7943586,444805913.94848853,508934689.25675416,528415289.46501464,671518125.5165576,784151663.1078341,797742191.703253,524595374.2285053,570696233.250327,623202632.5015665,445452844.90520793,447342266.9941366,529183822.88158774,623202632.5015665,528415289.46501464,797742191.703253,629606897.069156,43.21658609771059,17.797691257643827,Eppley-VGPM,VGPM,763.0690715058221,602.274916393781,909.2471799941712,710.3112284397964,603.1508721211048
