system,layer,region_id,title,polygon_area_km2,water_area_km2,npp_central_tC_yr,npp_observed_tC_yr,npp_no_nn_tC_yr,npp_all_fills_tC_yr,npp_mean_year_tC_yr,fill_uplift_pct,mean_rate_mgC_m2_d,area_obs_pct,npp_obs_pct,area_dark_pct,npp_dark_pct,area_clim_pct,npp_clim_pct,area_nn_near_pct,npp_nn_near_pct,area_nn_far_pct,npp_nn_far_pct,anomaly_factor_min,anomaly_factor_max
EEZ,eez,8,Albania,12204.022485289155,11994.187650731603,2303638.3100645677,2303638.3100645677,2303638.3100645677,2303638.3100645673,2262995.9778320747,0.0,526.1996910152033,100.0,100.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.861672655252275,1.1573199253508644
EEZ,eez,12,Algeria,130948.40769326946,130381.84865385489,23963296.145606432,23963296.145606432,23963296.145606432,23963296.14560643,24668986.63105296,0.0,503.542991836581,100.00000000000001,100.00000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8708094162168405,1.0665209573270245
EEZ,eez,24,Angola,495730.8663477309,494948.1623855577,251827765.42213574,251827765.42213574,251827765.42213574,251827765.42213568,250442237.76719624,0.0,1393.9623091495876,99.99999999999999,100.00000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7254262918594377,1.2940110312310178
EEZ,eez,32,Argentina,1089459.3747846726,1086389.9059787684,406371907.46132123,404982383.3908751,405127533.4139739,410239487.9398678,387108047.275193,0.3431072874853891,1024.8140980947323,92.72279563884983,98.71852790783434,0.0,0.0,0.19262459158158615,0.035381777563079704,1.5879214505803516,0.3033286857869908,5.4966583189882074,0.9427616288155827,0.771633215052411,1.2653685957757252
EEZ,eez,36,Australia,6339713.627254965,6320011.054660119,1309688824.7832696,1309643288.8053677,1309684474.6276083,1309688824.7832694,1320296546.5335567,0.0034769756231511906,567.7503615130973,99.97141942671388,99.99652314526625,0.0,0.0,0.02500895068461038,0.0031447028837013986,0.0035716226015112254,0.0003321518500560081,0.0,0.0,0.9440872006821215,1.0415129401448218
EEZ,eez,48,Bahrain,7437.063021044434,7309.881115892324,5678643.859219462,5678643.859219462,5678643.859219462,5678643.859219461,5732571.340185815,0.0,2128.3421898064635,99.99999999999999,100.00000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8970244185537952,1.110914010755701
EEZ,eez,50,Bangladesh,112504.90723263328,108627.7116385885,49049731.25816615,49031037.743772194,49031037.743772194,49049731.25816616,49572344.16689937,0.03812587955336344,1237.0952433568627,99.97574917523865,99.96188865073375,0.0,0.0,0.0,0.0,0.024250824761335766,0.03811134926623887,0.0,0.0,0.8523024000048216,1.1347014804519961
EEZ,eez,56,Belgium,3550.181499556215,3512.952158460262,1972036.2911672161,1972036.2911672161,1972036.2911672161,2011359.4229130242,2026435.377742829,0.0,1537.9768667987964,91.66666666666666,98.04494754652765,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333334,1.9550524534723288,0.5703239651771123,1.2358010410055296
EEZ,eez,70,Bosnia & Herzegovina,8.408147754376184,4.144590727441256,1264.4983277828403,1264.4983277828403,1264.4983277828403,1264.4983277828405,1140.6106171946299,0.0,835.8796339743204,100.00000000000001,99.99999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8070866471876524,1.827436979084288
EEZ,eez,76,Brazil (mainland),2420472.609289061,2403741.352023052,744124332.6257482,744055914.2278773,744055914.2278773,744124332.625748,707211569.6119485,0.00919533015766305,848.1348461216751,99.99782923114057,99.99080551530558,0.0,0.0,0.0,0.0,0.0021707688594200442,0.009194484694438364,0.0,0.0,0.9397408408264937,1.16469612541755
EEZ,eez,84,Belize,34400.90160147187,34011.67063248764,10024841.926451728,10024841.926451728,10024841.926451728,10024841.926451726,9957567.903464045,0.0,807.5263530339043,100.00000000000001,100.00000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.867456761340166,1.136263373047161
EEZ,eez,86,Chagos Archipelago (UK),640076.5357924635,640076.5357924635,101688562.72661488,101688562.72661488,101688562.72661488,101688562.7266149,101828535.17021573,0.0,435.25857676660365,100.00000000000001,99.99999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.698735758908061,1.2598175974969281
EEZ,eez,96,Brunei Darussalam,43190.002492325926,43131.72264591999,11505671.926261196,11505671.926261196,11505671.926261196,11505671.926261196,12493244.363648828,0.0,730.8400153141948,99.99999999999999,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8167265208567234,1.0080063353748636
EEZ,eez,100,Bulgaria,34793.04706150295,34588.81252527995,11319889.49837915,11319889.49837915,11319889.49837915,11319889.498379152,11488054.899921155,0.0,896.6308358606844,100.00000000000003,99.99999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7588976347778218,1.1363777111587943
EEZ,eez,104,Myanmar,500720.0028720459,495385.93546373467,189209292.45870852,189166926.13499388,189166926.13499388,189209292.4587085,181230639.8653795,0.02239626375513115,1046.4197427996878,99.99271741973685,99.97760875104807,0.0,0.0,0.0,0.0,0.007282580263138535,0.0223912489519466,0.0,0.0,0.9132602276394002,1.2664063284107783
EEZ,eez,111,Eritrea,79080.49997227378,78182.02433510637,45295155.59329238,45295155.59329238,45295155.59329238,45295155.59329238,48003988.01845628,0.0,1587.2742839459618,99.99999999999999,100.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8068871309458371,1.0350803147650265
EEZ,eez,116,Cambodia,49073.74694170778,48603.58953867362,15775553.623509547,15775553.623509547,15775553.623509547,15775553.62350955,15204578.51747151,0.0,889.2490301470386,100.0,99.99999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.924810674344743,1.1612690230070546
EEZ,eez,120,Cameroon,15408.700300468234,14561.461347050781,12120412.269910177,12113570.197145484,12113570.197145484,12120412.269910175,12352552.547420772,0.056482710326855035,2280.4448102582473,99.91257190975148,99.94354917462934,0.0,0.0,0.0,0.0,0.08742809024851435,0.05645082537067523,0.0,0.0,0.6520476084816739,1.3566659424068
EEZ,eez,136,Cayman Isl. (UK),120665.83017727948,120632.65227652105,16222716.822589487,16222716.822589487,16222716.822589487,16222716.822589489,16048320.185705442,0.0,368.43921339027344,99.99999999999999,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9323434948730491,1.1530911670939632
EEZ,eez,144,Sri Lanka,533117.5102420172,531875.682189968,158294469.9857471,158294469.9857471,158294469.9857471,158294469.98574707,143943169.42511928,0.0,815.3850494298567,100.0,100.00000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8432403833305762,1.659385528497054
EEZ,eez,152,Chile (mainland),1958745.644809764,1932002.9374261294,402993625.3835865,400607819.1581828,401332541.16351414,408304290.9293006,404793127.08366454,0.5955465947761862,571.4753859585207,93.25663925913543,98.11501570223506,0.0,0.0,0.45738862593234375,0.1774955643208785,1.3648189692742783,0.40682507065790424,4.921153145657961,1.3006636627861587,0.8829068357085608,1.229696312179613
EEZ,eez,156,China,2620489.874965168,2613061.1587241744,749252584.0477629,748571401.515108,749252584.0477629,749252584.047763,743523951.0734739,0.09099766986504498,785.571665154811,99.92726515585757,99.90908506061133,0.0,0.0,0.07273484414242683,0.09091493938864592,0.0,0.0,0.0,0.0,0.8822755660478651,1.120906380242537
EEZ,eez,157,Taiwan,1151234.4006855283,1150681.8448039098,200852211.83441556,200852211.83441556,200852211.83441556,200852211.83441556,204031251.9425781,0.0,478.220834810191,100.00000000000001,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9212491940624354,1.0481400620845807
