system,layer,region_id,title,water_area_km2,common_area_km2,common_area_pct_of_water,ensemble_basis,n_models,baseline_central_tC_yr,common_antoinemorel_tC_yr,own_antoinemorel_tC_yr,scaled_antoinemorel_tC_yr,common_vgpm_tC_yr,own_vgpm_tC_yr,scaled_vgpm_tC_yr,common_eppley_tC_yr,own_eppley_tC_yr,scaled_eppley_tC_yr,common_cbpm_tC_yr,own_cbpm_tC_yr,scaled_cbpm_tC_yr,common_cafe_tC_yr,own_cafe_tC_yr,scaled_cafe_tC_yr,scaled_median_tC_yr,scaled_min_tC_yr,scaled_max_tC_yr,scaled_mean_tC_yr,spread_pct,cv_pct,model_max,model_min,rate_antoinemorel_mgC_m2_d,rate_vgpm_mgC_m2_d,rate_eppley_mgC_m2_d,rate_cbpm_mgC_m2_d,rate_cafe_mgC_m2_d
EEZ,eez,8,Albania,11994.187650731603,9701.858044043147,80.88799614079215,common mask,5,2303638.3100645677,1668535.122141896,2330762.986119079,2303638.3100645677,2230126.824963506,2821735.627347642,3078991.578968809,1732689.7836506106,2228292.594178188,2392212.493526156,2321848.3499204484,2895996.46258005,3205625.544262341,951424.1692839494,955859.3666089682,1313569.6914011212,2392212.493526156,1313569.6914011212,3205625.544262341,2458807.523644599,79.09229878121329,30.721744205063466,CbPM2,CAFE,526.1996910152033,703.306769301987,546.431907056143,732.2326441315382,300.04708756681185
EEZ,eez,12,Algeria,130381.84865385489,123107.55404849573,94.4207766031364,common mask,5,23963296.145606432,21977132.860686094,24071235.861595016,23963296.145606432,26824321.13331146,28449285.893737067,29248544.62577629,19964123.17534212,21226412.101624403,21768362.550780553,31838041.65975674,34121472.41743748,34715375.559916764,16149023.257240685,16196002.952608304,17608476.46636392,23963296.145606432,17608476.46636392,34715375.559916764,25460811.06968879,71.38792171831219,26.165761082586986,CbPM2,CAFE,503.542991836581,614.6024143856955,457.4206461248085,729.4774460889855,370.00856925863997
EEZ,eez,24,Angola,494948.1623855577,484909.1660758656,97.9717075296722,common mask,5,251827765.42213574,239094029.82211667,252507340.6994633,251827765.42213574,251980224.24516925,261316029.9439906,265400256.3319541,359515913.8419509,373615334.59638447,378663111.2615962,197504281.53754303,201389208.16356972,208023018.8846943,93562949.55087788,93721557.53311867,98545950.85135031,251827765.42213574,98545950.85135031,378663111.2615962,240492020.55034614,111.2336282461503,42.12009779088674,Eppley-VGPM,CAFE,1393.9623091495876,1469.0912002702612,2096.0441120508167,1151.4864029178561,545.4892591999121
EEZ,eez,32,Argentina,1086389.9059787684,1044576.4473764253,96.15115545788584,common mask,5,406371907.46132123,377600525.843597,406137204.84401727,406371907.4613213,483278113.125959,509960746.5562178,520101629.1662941,353100055.05264,376955139.20641774,380004616.19026643,339354941.2083695,352393584.84849495,365212189.4088408,232141460.1793897,232647979.9462501,249829546.08762652,380004616.19026643,249829546.08762652,520101629.1662941,384303977.6628698,71.1233683917523,25.159274590820814,VGPM,CAFE,1024.8140980947326,1311.6248250068536,958.3194134794603,921.0149462357888,630.0357781881771
EEZ,eez,36,Australia,6320011.054660119,5986962.892742124,94.73025982015619,common mask,5,1309688824.7832696,1133119259.7987645,1317911425.9094164,1309688824.7832696,1086774891.0689013,1200063916.7502184,1256122793.412559,1260172105.791323,1438042275.4228835,1456539821.3702621,1332786983.4717617,1464915252.7400618,1540469992.8757436,1096625103.0772126,1099422732.748535,1267507925.6283176,1309688824.7832696,1256122793.412559,1540469992.8757436,1366065871.6140304,21.71105029549588,9.22921908410262,CbPM2,VGPM,567.7503615130973,544.5294764447868,631.410297234562,667.7940429857551,549.4649334854629
EEZ,eez,48,Bahrain,7309.881115892324,0.0,0.0,own coverage,4,5678643.859219462,0.0,5774543.230277084,5678643.859219462,0.0,4385209.173593816,4312382.84172071,0.0,7965118.571182534,7832839.734413113,0.0,0.0,,0.0,434442.18351921445,427227.28694662557,4995513.350470086,427227.28694662557,7832839.734413113,4562773.430574978,148.24527386699123,68.26315323061267,Eppley-VGPM,CAFE,2128.3421898064635,1616.2708153867634,2935.7296717380923,,160.1237693342576
EEZ,eez,50,Bangladesh,108627.7116385885,98246.35620786811,90.44317948512087,common mask,5,49049731.25816615,40854771.34259515,49878722.789784245,49049731.25816615,33330419.050856505,38189834.50140075,40016087.31223228,66956718.33682814,77199730.38392974,80387404.76136339,43647768.14160126,49657449.01585724,52402968.53974006,14192650.987347903,14219720.163060836,17039520.57233913,49049731.25816615,17039520.57233913,80387404.76136339,47779142.4887682,129.1503185931883,47.85846349697204,Eppley-VGPM,CAFE,1237.0952433568627,1009.2555046053129,2027.4703551923917,1321.668059241381,429.7579070958249
EEZ,eez,56,Belgium,3512.952158460262,2961.072581326829,84.29014822179292,common mask,5,1972036.2911672161,1599095.4098391214,1994257.4467164292,1972036.2911672164,2412530.3999542524,2927246.4325697417,2975180.5132956933,1776248.2658312586,2172726.254642167,2190504.719599239,1225950.8868375972,1520551.5012172791,1511867.0375494366,637905.7427919927,637905.7427919927,786678.0602267811,1972036.2911672164,786678.0602267811,2975180.5132956933,1887253.3243676734,110.97678388938638,43.005419142861314,VGPM,CAFE,1537.9768667987967,2320.321803657593,1708.3588169481354,1179.0941879930633,613.5245399215365
EEZ,eez,70,Bosnia & Herzegovina,4.144590727441256,0.0,0.0,own coverage,1,1264.4983277828403,0.0,1257.2732920013793,1264.4983277828403,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,1264.4983277828403,1264.4983277828403,1264.4983277828403,1264.4983277828403,,,Antoine-Morel,Antoine-Morel,835.8796339743207,,,,
EEZ,eez,76,Brazil (mainland),2403741.352023052,2294890.342629496,95.47160058206994,common mask,5,744124332.6257482,621066092.6093981,753919032.9520911,744124332.6257482,481708375.48841083,545719043.806183,577154231.5641832,722942469.6801785,837159915.646525,866186528.582405,548238458.0580741,595567465.5980468,656866606.5928782,451077597.3898423,452960230.013935,540454261.0109046,656866606.5928782,540454261.0109046,866186528.582405,676957192.0752239,49.588799963671654,19.445855121721532,Eppley-VGPM,CAFE,848.1348461216751,657.8263791601543,987.2583732608422,748.680608708589,615.9966438415407
