system,layer,region_id,title,water_area_km2,common_area_km2,common_area_pct_of_water,ensemble_basis,n_models,baseline_central_tC_yr,common_antoinemorel_tC_yr,own_antoinemorel_tC_yr,scaled_antoinemorel_tC_yr,common_vgpm_tC_yr,own_vgpm_tC_yr,scaled_vgpm_tC_yr,common_eppley_tC_yr,own_eppley_tC_yr,scaled_eppley_tC_yr,common_cbpm_tC_yr,own_cbpm_tC_yr,scaled_cbpm_tC_yr,common_cafe_tC_yr,own_cafe_tC_yr,scaled_cafe_tC_yr,scaled_median_tC_yr,scaled_min_tC_yr,scaled_max_tC_yr,scaled_mean_tC_yr,spread_pct,cv_pct,model_max,model_min,rate_antoinemorel_mgC_m2_d,rate_vgpm_mgC_m2_d,rate_eppley_mgC_m2_d,rate_cbpm_mgC_m2_d,rate_cafe_mgC_m2_d
EEZ,eez,8,Albania,11994.187650731603,10457.193454813623,87.18550817550175,common mask,5,2307797.7036923068,1676897.8226076993,2336253.785793354,2307797.7036923068,2078022.2606693835,2568018.4579866603,2859837.3357875217,1770004.9355998994,2220378.5733023807,2435934.539857242,2131160.905219852,2641361.2639476387,2932968.35201139,941520.6988104839,947858.516278595,1295749.3756624276,2435934.539857242,1295749.3756624276,2932968.35201139,2366457.4614021773,67.21112368006867,27.702219232490755,CbPM2,CAFE,527.1497844531203,653.2473070405558,556.4189467617489,669.9519772018838,295.9765507145093
EEZ,eez,12,Algeria,130381.84865385489,124062.09530917571,95.1528886804963,common mask,5,25661666.08684532,23613501.567035776,25774059.310653623,25661666.08684532,29034244.22315538,30678270.56679287,31552587.752535507,22054295.3621512,23363350.096744586,23967218.997890864,33002904.491940882,35044253.65379338,35865477.746447906,17348840.808083907,17398770.461329944,18853627.385460705,25661666.08684532,18853627.385460705,35865477.746447906,27180115.593836058,66.29285216094294,24.440317375694406,CbPM2,CAFE,539.2309988728562,663.0174889363458,503.62542309995285,753.6446513183823,396.1730424296238
EEZ,eez,24,Angola,494948.1623855577,486057.9176227927,98.2038028548453,common mask,5,235114194.53820363,223363240.86512607,235768731.79577383,235114194.53820363,220931211.0611137,228840954.9085931,232554217.67608175,292482162.8746321,303976016.9525705,307869405.3449214,196631792.82181343,200877455.54738382,206976427.32458076,91274840.40451354,91439520.04119615,96076733.57617752,232554217.67608175,96076733.57617752,307869405.3449214,215718195.691993,91.07238470460422,35.563533207982935,Eppley-VGPM,CAFE,1301.4463475976631,1287.2759035558354,1704.1740670323793,1145.6931212063387,531.8212039363387
EEZ,eez,32,Argentina,1086389.9059787684,1056345.114957383,97.23443757567713,common mask,5,371796191.7443063,344879591.13530177,371777753.8184722,371796191.7443063,424051629.18088675,447485502.6249432,457147320.06443846,305987202.93823045,326350685.3539,329868393.7789016,367155662.24154925,379016719.635353,395810829.36627847,226985131.9277763,227627561.0326117,244700497.80422577,371796191.7443063,244700497.80422577,457147320.06443846,359864646.55163014,57.14066657420681,21.995291083457523,VGPM,CAFE,937.6188952081129,1152.862710011156,831.8827513751287,998.1805106735611,617.1010233635268
EEZ,eez,36,Australia,6320011.054660119,6139553.672373401,97.14466666709932,common mask,5,1349779234.6598904,1177140640.8718565,1358610581.633789,1349779234.6598904,1122049018.5128577,1226110084.1413229,1286607914.8685486,1255624830.3741846,1409406419.02294,1439773858.5485804,1403967217.87915,1523390528.4483624,1609872033.160725,1057026093.0312406,1060465693.6358023,1212048774.2318618,1349779234.6598904,1212048774.2318618,1609872033.160725,1379616363.0939214,29.473209300712387,11.126713570748768,CbPM2,CAFE,585.1295620300035,557.7447825540628,624.1422490745724,697.8798410134394,525.4233805159948
EEZ,eez,48,Bahrain,7309.881115892324,0.0,0.0,own coverage,4,5896519.15075117,0.0,5997114.463450588,5896519.15075117,0.0,4319096.812388672,4246648.4879370965,0.0,8033455.928029146,7898703.120481078,0.0,0.0,,0.0,509874.09068650735,501321.48694640305,5071583.819344133,501321.48694640305,7898703.120481078,4635798.061528937,145.85939810990482,67.62202714426151,Eppley-VGPM,CAFE,2210.0013300130577,1591.6337361921971,2960.4151119254307,,187.89409897439816
EEZ,eez,50,Bangladesh,108627.7116385885,101717.01840633155,93.638185755722,common mask,5,49182649.282525584,41600462.534948125,49980298.70226694,49182649.282525584,32871895.345785905,37194314.129600294,38863195.29946277,61548932.49152674,70251838.0331059,72766968.8264051,43220666.51697166,48438617.51421028,51098155.00910427,14428255.59045471,14460125.109001344,17057979.436354313,49182649.282525584,17057979.436354313,72766968.8264051,45793789.5707704,113.269598532676,44.229444923607865,Eppley-VGPM,CAFE,1240.447601289794,980.1781337713223,1835.273480599463,1288.7590387266464,430.2234626103039
EEZ,eez,56,Belgium,3512.952158460262,2961.072581326829,84.29014822179292,common mask,5,2189630.8679348193,1770865.055667854,2214940.146023096,2189630.8679348193,2467984.3101750473,2987636.88528426,3051601.5942841456,1844408.8017822488,2255072.5799054634,2280565.892102942,1223726.542174204,1531513.3774271577,1513107.6205268747,715241.661910555,715241.661910555,884378.6351420862,2189630.8679348193,884378.6351420862,3051601.5942841456,1983856.9219981735,98.97663532603129,41.420480585212715,VGPM,CAFE,1707.6773063436347,2379.922053015292,1778.5968752069357,1180.0617097010513,689.7205129701588
EEZ,eez,70,Bosnia & Herzegovina,4.144590727441256,0.0,0.0,own coverage,1,1101.3391104940335,0.0,1097.191881132758,1101.3391104940335,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,1101.3391104940335,1101.3391104940335,1101.3391104940335,1101.3391104940335,,,Antoine-Morel,Antoine-Morel,728.0254250517714,,,,
EEZ,eez,76,Brazil (mainland),2403741.352023052,2327779.850830404,96.83986377616225,common mask,5,704895568.226034,587572051.8284504,714922436.0648746,704895568.226034,423137176.9227307,480286031.98843706,507627140.9375873,650144865.5703532,750609377.3118584,779962615.6814804,501225045.922821,543164386.9233423,601307214.0777059,427589291.494904,429717745.5608653,512968231.9942391,601307214.0777059,507627140.9375873,779962615.6814804,621352154.1834093,45.29057166919332,19.248746561512853,Eppley-VGPM,VGPM,803.422852978953,578.5810894626685,888.982450953361,685.3553621665314,584.6687353611309
