system,layer,region_id,title,water_area_km2,common_area_km2,common_area_pct_of_water,ensemble_basis,n_models,baseline_central_tC_yr,common_antoinemorel_tC_yr,own_antoinemorel_tC_yr,scaled_antoinemorel_tC_yr,common_vgpm_tC_yr,own_vgpm_tC_yr,scaled_vgpm_tC_yr,common_eppley_tC_yr,own_eppley_tC_yr,scaled_eppley_tC_yr,common_cbpm_tC_yr,own_cbpm_tC_yr,scaled_cbpm_tC_yr,common_cafe_tC_yr,own_cafe_tC_yr,scaled_cafe_tC_yr,scaled_median_tC_yr,scaled_min_tC_yr,scaled_max_tC_yr,scaled_mean_tC_yr,spread_pct,cv_pct,model_max,model_min,rate_antoinemorel_mgC_m2_d,rate_vgpm_mgC_m2_d,rate_eppley_mgC_m2_d,rate_cbpm_mgC_m2_d,rate_cafe_mgC_m2_d
EEZ,eez,8,Albania,11994.187650731603,10457.193454813623,87.18550817550175,common mask,5,2188185.4064265806,1774451.278302163,2217203.870632365,2188185.4064265806,2319598.688458045,2543684.74292983,2860440.3293094034,1861545.2114581484,2055026.3176680778,2295586.311625042,2601294.9538128003,2980834.786372463,3207817.3829549304,1008728.8167323065,1025980.8759246028,1243925.7717617184,2295586.311625042,1243925.7717617184,3207817.3829549304,2359191.040415535,85.55076327332586,31.780119449530336,CbPM2,CAFE,499.82780704553,653.3850435087818,524.3604443450893,732.7333064263771,284.13894398575025
EEZ,eez,12,Algeria,130381.84865385489,124062.09530917571,95.1528886804963,common mask,5,23028452.84351893,21375470.97292829,23131524.852553632,23028452.84351893,26047302.801815163,27296133.048521858,28061561.07774811,19384509.526479185,20347197.518827192,20883528.792915124,31860533.416301616,33798291.23615875,34324333.35742072,15535300.524929332,15592979.505830621,16736657.451960705,23028452.84351893,16736657.451960705,34324333.35742072,24606906.70471272,76.37367575221123,27.612015239554342,CbPM2,CAFE,483.89904175679044,589.6602176443472,438.82755129318394,721.2604395727377,351.6889544533493
EEZ,eez,24,Angola,494948.1623855577,486057.9176227927,98.2038028548453,common mask,5,211013436.19688517,202133342.20007032,211577333.63168105,211013436.19688517,213119592.23879802,218925601.39470273,222482332.65086806,295261690.2407919,303172788.3166284,308233085.92672217,188562302.46181184,192714381.28538638,196846195.42024994,88301262.96052097,88476443.27142905,92180501.81637867,211013436.19688517,92180501.81637867,308233085.92672217,206151110.4022208,102.38806969085921,37.407080452491634,Eppley-VGPM,CAFE,1168.039498303644,1231.5241953051536,1706.1871771544902,1089.618440823456,510.25408161459274
EEZ,eez,32,Argentina,1086389.9059787684,1056203.4115170387,97.22139405975669,common mask,5,378404454.79748183,359325996.91614,378442253.4770457,378404454.79748183,445579194.8612358,460141888.8349219,469237276.8673263,325247541.6492735,336769826.7684106,342516599.76814324,380261912.7612953,385689519.6750007,400451965.662444,239235028.9599741,240535699.4063448,251937242.16727418,378404454.79748183,251937242.16727418,469237276.8673263,368509507.85253394,57.4253373460809,21.678964560847565,VGPM,CAFE,954.2840263760625,1183.3519194015346,863.7797884866687,1009.8848185259494,635.3510980153172
EEZ,eez,36,Australia,6320011.054660119,6139178.364911775,97.13872826828357,common mask,5,1394756274.70469,1280405016.8582952,1403837603.5687287,1394756274.70469,1228498218.7572532,1277527984.8443155,1338213749.9581861,1378205155.8393712,1446821851.5857315,1501290813.163112,1619779104.2263246,1680148192.6680102,1764439407.4607391,1106082317.4755309,1113857436.0798104,1204865048.4236872,1394756274.70469,1204865048.4236872,1764439407.4607391,1440713058.7420828,40.1198667599133,14.58895204815699,CbPM2,CAFE,604.627117679873,580.1159221514214,650.8098609230317,764.8848279816112,522.309233974142
EEZ,eez,48,Bahrain,7309.881115892324,0.0,0.0,own coverage,4,6118612.929523194,0.0,6229845.487014328,6118612.929523194,0.0,4534471.624943487,4453509.604815574,0.0,8370279.14130918,8220829.59914265,0.0,0.0,,0.0,975576.8535069965,958158.1376382113,5286061.267169384,958158.1376382113,8220829.59914265,4937777.567779908,137.39287334052227,62.140715472882924,Eppley-VGPM,CAFE,2293.241549187326,1669.1647899785962,3081.14734870343,,359.1153872998996
EEZ,eez,50,Bangladesh,108627.7116385885,101717.01840633155,93.638185755722,common mask,5,55471153.61033231,50026028.92122576,56296957.56899704,55471153.61033231,39022297.32995837,41044700.65531234,43269711.710012406,77993450.55550864,81935730.5049413,86482712.49307212,54015521.37752654,56596329.42418786,59894885.68827114,16636886.138048891,16717376.729354782,18447741.83484612,55471153.61033231,18447741.83484612,86482712.49307212,52713241.06730682,122.6492802658308,47.072850607211464,Eppley-VGPM,CAFE,1399.0515037416258,1091.3159596357066,2181.201599141619,1510.6235301549646,465.2749992542321
EEZ,eez,56,Belgium,3512.952158460262,3261.610830766633,92.84529602578498,common mask,5,2162800.852664136,1975139.6790592594,2187320.3027074,2162800.852664136,2752186.4603935825,2926242.6315599885,3013676.0890070405,2026736.974799583,2160497.8330171346,2219300.4898318155,1673233.2495453272,1860225.7545369521,1832209.8113821754,752200.9118402434,759891.5974570946,823668.7211294735,2162800.852664136,823668.7211294735,3013676.0890070405,2010331.192802928,101.25792974327332,39.43145519857014,VGPM,CAFE,1686.7527711274258,2350.344225244526,1730.8164302677883,1428.927204660978,642.3732893136013
EEZ,eez,70,Bosnia & Herzegovina,4.144590727441256,0.0,0.0,own coverage,1,1117.4668253140183,0.0,1111.5423144925685,1117.4668253140183,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,1117.4668253140183,1117.4668253140183,1117.4668253140183,1117.4668253140183,,,Antoine-Morel,Antoine-Morel,738.6864342950248,,,,
EEZ,eez,76,Brazil (mainland),2403741.352023052,2327951.5439255363,96.84700652032595,common mask,5,751616072.6306506,663995087.4761995,762055776.8245754,751616072.6306506,477094920.8435191,515597136.08455473,540052505.5681086,752009793.0254765,813790369.2491735,851245224.3614786,580640813.483628,601616311.9185587,657262344.3622597,452367563.8125735,456024261.2532562,512062119.30067784,657262344.3622597,512062119.30067784,851245224.3614786,662447653.244635,51.60543700246655,21.51031241619543,Eppley-VGPM,CAFE,856.6737494710931,615.5387327429316,970.2286375020924,749.1316610091562,583.6359701144809
