system,layer,region_id,title,water_area_km2,common_area_km2,common_area_pct_of_water,ensemble_basis,n_models,baseline_central_tC_yr,common_antoinemorel_tC_yr,own_antoinemorel_tC_yr,scaled_antoinemorel_tC_yr,scaled_median_tC_yr,scaled_min_tC_yr,scaled_max_tC_yr,scaled_mean_tC_yr,spread_pct,cv_pct,model_max,model_min,rate_antoinemorel_mgC_m2_d
EEZ,eez,16,American Samoa,405548.98767301475,405594.0896752452,100.0111212217516,common mask,1,38078407.33171331,35903230.07539735,35903230.07539735,38078407.33171331,38078407.33171331,38078407.33171331,38078407.33171331,38078407.33171331,,,Antoine-Morel,Antoine-Morel,257.2424215558494
EEZ,eez,28,Antigua & Barbuda,111350.91030578806,111392.67210340007,100.0375046755319,common mask,1,14360545.404644541,14369558.704713283,14369558.704713283,14360545.404644541,14360545.404644541,14360545.404644541,14360545.404644541,14360545.404644541,,,Antoine-Morel,Antoine-Morel,353.3330792238674
EEZ,eez,37,Macquarie Isl. (Australia),473839.1821519147,473871.06494109303,100.0067286097012,common mask,1,29630505.020781085,29090188.319570735,29090188.319570735,29630505.02078108,29630505.02078108,29630505.02078108,29630505.02078108,29630505.02078108,,,Antoine-Morel,Antoine-Morel,171.3228218943124
EEZ,eez,38,Lord Howe Isl. (Australia),541677.4668252923,541677.3690858919,99.99998195616276,common mask,1,72602090.45135006,72601705.1335619,72601705.1335619,72602090.45135006,72602090.45135006,72602090.45135006,72602090.45135006,72602090.45135006,,,Antoine-Morel,Antoine-Morel,367.2108386173066
EEZ,eez,44,Bahamas,619028.9914125121,620385.0601183572,100.21906384428793,common mask,1,99762264.86562917,100082227.90326524,100082227.90326524,99762264.86562917,99762264.86562917,99762264.86562917,99762264.86562917,99762264.86562917,,,Antoine-Morel,Antoine-Morel,441.53226649497276
EEZ,eez,52,Barbados,184824.25078884442,184864.82132282585,100.02195087160275,common mask,1,38247306.27145049,38255185.531650454,38255185.531650454,38247306.27145049,38247306.27145049,38247306.27145049,38247306.27145049,38247306.27145049,,,Antoine-Morel,Antoine-Morel,566.9555808963793
EEZ,eez,60,Bermuda (UK),450594.11491945974,450594.03659391834,99.99998261727377,common mask,1,49805332.77852397,49805391.67574003,49805391.67574003,49805332.778523974,49805332.778523974,49805332.778523974,49805332.778523974,49805332.778523974,,,Antoine-Morel,Antoine-Morel,302.8290028619082
EEZ,eez,74,Bouvet Isl. (Norway),439183.90689272474,439210.00148621254,100.00594160967154,common mask,1,24369770.79181,22865077.793082878,22865077.793082878,24369770.79181,24369770.79181,24369770.79181,24369770.79181,24369770.79181,,,Antoine-Morel,Antoine-Morel,152.02400241030648
EEZ,eez,77,Trindade & Martim Vaz Isl. (Brazil),469862.5925954977,469862.52953034185,99.99998657795771,common mask,1,43596271.234623775,43596434.5413214,43596434.5413214,43596271.234623775,43596271.234623775,43596271.234623775,43596271.234623775,43596271.234623775,,,Antoine-Morel,Antoine-Morel,254.20589100140623
EEZ,eez,90,Solomon Isl.,1601943.2144568851,1604102.7925779317,100.13480990471804,common mask,1,220899808.83586782,221352347.51106092,221352347.51106092,220899808.83586785,220899808.83586785,220899808.83586785,220899808.83586785,220899808.83586785,,,Antoine-Morel,Antoine-Morel,377.79426277596997
EEZ,eez,92,British Virgin Isl. (UK),81189.34331245301,81205.1965704784,100.01952627940884,common mask,1,9812771.828166058,9816106.846844923,9816106.846844923,9812771.828166058,9812771.828166058,9812771.828166058,9812771.828166058,9812771.828166058,,,Antoine-Morel,Antoine-Morel,331.1309746043181
EEZ,eez,132,Cape Verde,798501.8901513879,798943.130217694,100.0552584873935,common mask,1,280619346.7883998,280813460.4477358,280813460.4477358,280619346.7883998,280619346.7883998,280619346.7883998,280619346.7883998,280619346.7883998,,,Antoine-Morel,Antoine-Morel,962.8281882233695
EEZ,eez,153,Easter Isl. (Chile),721474.5192657171,721501.5333530196,100.00374428847883,common mask,1,44755050.989659615,44757052.440789856,44757052.440789856,44755050.989659615,44755050.989659615,44755050.989659615,44755050.989659615,44755050.989659615,,,Antoine-Morel,Antoine-Morel,169.95274923729164
EEZ,eez,154,Desventuradas Isl. (Chile),450581.6879599838,450581.63655325514,99.99998859103022,common mask,1,45550676.81565421,45551032.128052056,45551032.128052056,45550676.81565421,45550676.81565421,45550676.81565421,45550676.81565421,45550676.81565421,,,Antoine-Morel,Antoine-Morel,276.96725848408636
EEZ,eez,155,Juan Fernandez Islands (Chile),503273.5167090559,503293.00367677025,100.00387204314698,common mask,1,57752627.43488383,57755550.72566552,57755550.72566552,57752627.43488383,57752627.43488383,57752627.43488383,57752627.43488383,57752627.43488383,,,Antoine-Morel,Antoine-Morel,314.3944024088188
EEZ,eez,162,Christmas Isl. (Australia),327600.4232308,327613.5300819349,100.00400086514102,common mask,1,50492769.96835162,50494693.74690524,50494693.74690524,50492769.96835162,50492769.96835162,50492769.96835162,50492769.96835162,50492769.96835162,,,Antoine-Morel,Antoine-Morel,422.2716036609493
EEZ,eez,166,Cocos (Keeling) Isl. (Australia),466309.22260007064,466309.1438245345,99.99998310658843,common mask,1,61703406.862519264,61704169.78765012,61704169.78765012,61703406.862519264,61703406.862519264,61703406.862519264,61703406.862519264,61703406.862519264,,,Antoine-Morel,Antoine-Morel,362.5286002659926
EEZ,eez,184,Cook Islands,1967170.5672296223,1967220.5207154865,100.00253935712013,common mask,1,195401534.80818772,186917084.52841085,186917084.52841085,195401534.80818772,195401534.80818772,195401534.80818772,195401534.80818772,195401534.80818772,,,Antoine-Morel,Antoine-Morel,272.1404435515195
EEZ,eez,219,Galapagos Isl. (Ecuador),839017.1978198324,839284.354032602,100.03184156575858,common mask,1,196710269.05479658,196793152.21081153,196793152.21081153,196710269.05479658,196710269.05479658,196710269.05479658,196710269.05479658,196710269.05479658,,,Antoine-Morel,Antoine-Morel,642.3375413354429
EEZ,eez,226,Equatorial Guinea,304147.4455232251,304272.28941428126,100.04104716080761,common mask,1,128662065.80807497,128741559.86738361,128741559.86738361,128662065.80807497,128662065.80807497,128662065.80807497,128662065.80807497,128662065.80807497,,,Antoine-Morel,Antoine-Morel,1158.973437461157
EEZ,eez,238,Falkland Isl. (UK),547204.8415589053,547969.2774803247,100.1396983110094,common mask,1,88222381.05346532,86997980.848593,86997980.848593,88222381.05346532,88222381.05346532,88222381.05346532,88222381.05346532,88222381.05346532,,,Antoine-Morel,Antoine-Morel,441.7087262652058
EEZ,eez,239,South Georgia & Sandwich Isl. (UK),1271031.1796546066,1271175.7241638734,100.01137222371729,common mask,1,112711887.88610327,105359258.89315361,105359258.89315361,112711887.88610327,112711887.88610327,112711887.88610327,112711887.88610327,112711887.88610327,,,Antoine-Morel,Antoine-Morel,242.95209887970896
EEZ,eez,242,Fiji,1283570.2210105273,1284288.0089016333,100.05592120161069,common mask,1,153787998.22979876,154007882.94989684,154007882.94989684,153787998.22979876,153787998.22979876,153787998.22979876,153787998.22979876,153787998.22979876,,,Antoine-Morel,Antoine-Morel,328.2539393285346
EEZ,eez,258,French Polynesia,4783734.151111429,4784053.175842097,100.0066689477423,common mask,1,480995685.6131369,481047746.46219236,481047746.46219236,480995685.61313695,480995685.61313695,480995685.61313695,480995685.61313695,480995685.61313695,,,Antoine-Morel,Antoine-Morel,275.47442172009727
EEZ,eez,312,Guadeloupe  (France),90716.10044060712,90842.10469425889,100.13889954819462,common mask,1,13564868.85252234,13596268.875541562,13596268.875541562,13564868.852522342,13564868.852522342,13564868.852522342,13564868.852522342,13564868.852522342,,,Antoine-Morel,Antoine-Morel,409.67396165598615
EEZ,eez,316,Guam (USA),208440.39017232062,208474.5321452287,100.01637972989776,common mask,1,20392805.37818225,20395237.526027247,20395237.526027247,20392805.37818225,20392805.37818225,20392805.37818225,20392805.37818225,20392805.37818225,,,Antoine-Morel,Antoine-Morel,268.04161909341866
EEZ,eez,334,Heard & McDonald Isl. (Australia),414273.6063290094,414288.8597111039,100.0036819584597,common mask,1,26039386.1707651,25416938.166363765,25416938.166363765,26039386.1707651,26039386.1707651,26039386.1707651,26039386.1707651,26039386.1707651,,,Antoine-Morel,Antoine-Morel,172.20692542221897
EEZ,eez,393,Japan (Daito Islands),794362.6127079978,794384.2465375795,100.00272341991372,common mask,1,84516382.97794588,84518777.06355172,84518777.06355172,84516382.97794588,84516382.97794588,84516382.97794588,84516382.97794588,84516382.97794588,,,Antoine-Morel,Antoine-Morel,291.4937466616016
EEZ,eez,396,Johnston Atoll (USA),441315.5805130994,441315.51882354834,99.99998602144275,common mask,1,45022224.778129615,45022268.30962237,45022268.30962237,45022224.778129615,45022224.778129615,45022224.778129615,45022224.778129615,45022224.778129615,,,Antoine-Morel,Antoine-Morel,279.50194029533077
EEZ,eez,462,Maldives,927677.1542446273,927677.0350944144,99.99998715606907,common mask,1,185148799.41219568,185150914.68595743,185150914.68595743,185148799.41219568,185148799.41219568,185148799.41219568,185148799.41219568,185148799.41219568,,,Antoine-Morel,Antoine-Morel,546.8033597356264
EEZ,eez,474,Martinique (France),47510.12471645912,47579.20311659477,100.14539721911468,common mask,1,8370420.798432601,8385295.211987919,8385295.211987919,8370420.798432601,8370420.798432601,8370420.798432601,8370420.798432601,8370420.798432601,,,Antoine-Morel,Antoine-Morel,482.689949954783
EEZ,eez,480,Mauritius,2191851.726822586,2191993.833728325,100.00648341783344,common mask,1,289372563.86220956,289397006.4521135,289397006.4521135,289372563.86220956,289372563.86220956,289372563.86220956,289372563.86220956,289372563.86220956,,,Antoine-Morel,Antoine-Morel,361.7040035720185
EEZ,eez,488,Hawaii Northwest Islands (USA),1578387.4005096853,1578387.1792432424,99.999985981487,common mask,1,176732619.36348668,176732372.20784706,176732372.20784706,176732619.36348668,176732619.36348668,176732619.36348668,176732619.36348668,176732619.36348668,,,Antoine-Morel,Antoine-Morel,306.7681337318597
EEZ,eez,520,Nauru,308943.5051900903,308958.10982651234,100.00472728384857,common mask,1,67604559.4123289,67607872.82613134,67607872.82613134,67604559.4123289,67604559.4123289,67604559.4123289,67604559.4123289,67604559.4123289,,,Antoine-Morel,Antoine-Morel,599.5205203576586
