system,layer,region_id,title,month,days,npp_central_tC,npp_observed_tC,rate_central_gC_m2_d,anomaly_factor,area_obs_pct,area_dark_pct,area_clim_pct,area_nn_near_pct,area_nn_far_pct
LME,lme,1,East Bering Sea,1,31,904659.8186665933,36029.97299236274,0.022867737788981643,0.6793280575871549,1.006668544933115,0.0,1.21798896086002,20.282675564872523,77.49266692933435
LME,lme,1,East Bering Sea,2,29,6985341.950074161,4778415.971639375,0.18875100354256347,0.8655589388185796,78.66536412496956,0.0,12.270875956285087,9.063759918745356,0.0
LME,lme,1,East Bering Sea,3,31,10283909.509030681,7892861.6965731485,0.2599537873194609,0.8695493692297696,84.0222989481552,0.0,11.44663317851645,4.531067873328342,0.0
LME,lme,1,East Bering Sea,4,30,17174369.99793561,13401338.11643026,0.4485998837242645,0.791524597377644,86.58922686910378,0.0,9.538112232759431,3.8726608981367923,0.0
LME,lme,1,East Bering Sea,5,31,34598107.975418545,33404069.388712727,0.8745612934849022,0.9997878023629739,97.00094836017774,0.0,2.608526413739305,0.390525226082947,0.0
LME,lme,1,East Bering Sea,6,30,35062955.31258943,35062192.80820303,0.9158552935653925,0.9670141993160936,99.99919364242012,0.0,0.0008063575798850227,0.0,0.0
LME,lme,1,East Bering Sea,7,31,28264862.29649434,28258840.72450343,0.7144712811393436,1.0134366638201378,99.99203582404965,0.0,0.0041437807794232045,0.0038203951709217558,0.0
LME,lme,1,East Bering Sea,8,31,26530956.81830651,26528623.02184004,0.670642103576747,0.9108965958305202,99.99631457473465,0.0,0.0025116934842181653,0.001173731781132767,0.0
LME,lme,1,East Bering Sea,9,30,22282486.043366496,22281502.91089089,0.5820254629046293,0.9780457807886184,99.99850679056435,0.0,0.0,0.0014932094356681117,0.0
LME,lme,1,East Bering Sea,10,31,15041781.773124052,15041270.428452756,0.3802219512456388,0.9756125896181136,99.99919364242012,0.0,0.0,0.0008063575798850227,0.0
LME,lme,1,East Bering Sea,11,30,3516552.166386089,1534511.1843424116,0.09185343585473534,0.8607648921346741,24.556351937732906,0.0,7.5975606977767045,23.186324555106307,44.65976280938408
LME,lme,1,East Bering Sea,12,31,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,100.0
LME,lme,2,Gulf of Alaska,1,31,3970840.9989103433,2926430.5029163696,0.0886980427924774,1.0596620564429893,34.56248419323711,0.0,2.476641406097607,11.683369740244553,51.27750466042072
LME,lme,2,Gulf of Alaska,2,29,10804173.900155284,10021624.404095119,0.2579804531383186,1.0348546699443766,93.74239149685131,0.0,1.6026163801866542,4.616780744281863,0.038211378680169966
LME,lme,2,Gulf of Alaska,3,31,14486188.97380794,13435901.38120728,0.3235829915756895,0.8545648290217914,95.06880468743454,0.0,1.4133730624994745,3.513304031003528,0.004518219062461759
LME,lme,2,Gulf of Alaska,4,30,28717491.781630456,27230401.1741125,0.6628549198587416,0.9178637357233727,96.41600175244047,0.0,1.0257002338734256,2.5582980136861146,0.0
LME,lme,2,Gulf of Alaska,5,31,50302707.18652855,49189868.86536013,1.1236288926786255,1.225812096047647,98.42524511436538,0.0,0.67330882435672,0.901446061277906,0.0
LME,lme,2,Gulf of Alaska,6,30,38599787.22664245,38262721.378435746,0.8909572974979685,0.9901538716070607,99.38545952551803,0.0,0.5112534074975281,0.10328706698442126,0.0
LME,lme,2,Gulf of Alaska,7,31,33674261.81866089,33654445.1579738,0.7521935823208956,0.8883356859697834,99.94554184726502,0.0,0.044099427771617454,0.01035872496334867,0.0
