system,layer,region_id,title,water_area_km2,common_area_km2,common_area_pct_of_water,ensemble_basis,n_models,baseline_central_tC_yr,common_antoinemorel_tC_yr,own_antoinemorel_tC_yr,scaled_antoinemorel_tC_yr,scaled_median_tC_yr,scaled_min_tC_yr,scaled_max_tC_yr,scaled_mean_tC_yr,spread_pct,cv_pct,model_max,model_min,rate_antoinemorel_mgC_m2_d
EEZ,eez,16,American Samoa,405548.98767301475,405594.0896752452,100.0111212217516,common mask,1,37747013.583610915,37751473.54796726,37751473.54796726,37747013.583610915,37747013.583610915,37747013.583610915,37747013.583610915,37747013.583610915,,,Antoine-Morel,Antoine-Morel,255.0036585343894
EEZ,eez,28,Antigua & Barbuda,111350.91030578806,111392.67210340007,100.0375046755319,common mask,1,15508172.756044576,15517225.730290916,15517225.730290916,15508172.756044576,15508172.756044576,15508172.756044576,15508172.756044576,15508172.756044576,,,Antoine-Morel,Antoine-Morel,381.5697996579367
EEZ,eez,37,Macquarie Isl. (Australia),473839.1821519147,473871.06494109303,100.0067286097012,common mask,1,28458406.379153475,27863479.71421392,27863479.71421392,28458406.379153475,28458406.379153475,28458406.379153475,28458406.379153475,28458406.379153475,,,Antoine-Morel,Antoine-Morel,164.5457775381228
EEZ,eez,38,Lord Howe Isl. (Australia),541677.4668252923,541677.3690858919,99.99998195616276,common mask,1,72943836.73192139,72944018.96272735,72944018.96272735,72943836.73192139,72943836.73192139,72943836.73192139,72943836.73192139,72943836.73192139,,,Antoine-Morel,Antoine-Morel,368.93934171553394
EEZ,eez,44,Bahamas,619028.9914125121,620385.0601183572,100.21906384428793,common mask,1,93068698.16409718,93368005.56115375,93368005.56115375,93068698.16409718,93068698.16409718,93068698.16409718,93068698.16409718,93068698.16409718,,,Antoine-Morel,Antoine-Morel,411.9075814435318
EEZ,eez,52,Barbados,184824.25078884442,184864.82132282585,100.02195087160275,common mask,1,48345423.09187484,48354134.79046951,48354134.79046951,48345423.09187483,48345423.09187483,48345423.09187483,48345423.09187483,48345423.09187483,,,Antoine-Morel,Antoine-Morel,716.6441275158497
EEZ,eez,60,Bermuda (UK),450594.11491945974,450594.03659391834,99.99998261727377,common mask,1,46307398.36096654,46307368.21187397,46307368.21187397,46307398.36096654,46307398.36096654,46307398.36096654,46307398.36096654,46307398.36096654,,,Antoine-Morel,Antoine-Morel,281.56067811331764
EEZ,eez,74,Bouvet Isl. (Norway),439183.90689272474,439210.00148621254,100.00594160967154,common mask,1,29071646.37542915,27691345.568154886,27691345.568154886,29071646.37542915,29071646.37542915,29071646.37542915,29071646.37542915,29071646.37542915,,,Antoine-Morel,Antoine-Morel,181.35533880914127
EEZ,eez,77,Trindade & Martim Vaz Isl. (Brazil),469862.5925954977,469862.52953034185,99.99998657795771,common mask,1,43465179.523002625,43465374.712265186,43465374.712265186,43465179.523002625,43465179.523002625,43465179.523002625,43465179.523002625,43465179.523002625,,,Antoine-Morel,Antoine-Morel,253.44150715820524
EEZ,eez,90,Solomon Isl.,1601943.2144568851,1604102.7925779317,100.13480990471804,common mask,1,214426741.0270535,214874655.07941785,214874655.07941785,214426741.02705348,214426741.02705348,214426741.02705348,214426741.02705348,214426741.02705348,,,Antoine-Morel,Antoine-Morel,366.7236878686511
EEZ,eez,92,British Virgin Isl. (UK),81189.34331245301,81205.1965704784,100.01952627940884,common mask,1,10308054.54293548,10311585.891138745,10311585.891138745,10308054.54293548,10308054.54293548,10308054.54293548,10308054.54293548,10308054.54293548,,,Antoine-Morel,Antoine-Morel,347.844238799
EEZ,eez,132,Cape Verde,798501.8901513879,798943.130217694,100.0552584873935,common mask,1,186534751.9960262,186661563.73076844,186661563.73076844,186534751.9960262,186534751.9960262,186534751.9960262,186534751.9960262,186534751.9960262,,,Antoine-Morel,Antoine-Morel,640.0161619663984
EEZ,eez,153,Easter Isl. (Chile),721474.5192657171,721501.5333530196,100.00374428847883,common mask,1,45376578.08430088,45378413.01539935,45378413.01539935,45376578.08430088,45376578.08430088,45376578.08430088,45376578.08430088,45376578.08430088,,,Antoine-Morel,Antoine-Morel,172.31293509618283
EEZ,eez,154,Desventuradas Isl. (Chile),450581.6879599838,450581.63655325514,99.99998859103022,common mask,1,47636585.705779485,47637181.79461955,47637181.79461955,47636585.705779485,47636585.705779485,47636585.705779485,47636585.705779485,47636585.705779485,,,Antoine-Morel,Antoine-Morel,289.6504611746562
EEZ,eez,155,Juan Fernandez Islands (Chile),503273.5167090559,503293.00367677025,100.00387204314698,common mask,1,62073427.231281444,62076035.87009985,62076035.87009985,62073427.23128145,62073427.23128145,62073427.23128145,62073427.23128145,62073427.23128145,,,Antoine-Morel,Antoine-Morel,337.91602090917553
EEZ,eez,162,Christmas Isl. (Australia),327600.4232308,327613.5300819349,100.00400086514102,common mask,1,56472616.98085372,56474864.309372365,56474864.309372365,56472616.98085372,56472616.98085372,56472616.98085372,56472616.98085372,56472616.98085372,,,Antoine-Morel,Antoine-Morel,472.2811315438347
EEZ,eez,166,Cocos (Keeling) Isl. (Australia),466309.22260007064,466309.1438245345,99.99998310658843,common mask,1,71755849.68695673,71756028.45599006,71756028.45599006,71755849.68695673,71755849.68695673,71755849.68695673,71755849.68695673,71755849.68695673,,,Antoine-Morel,Antoine-Morel,421.5901369250147
EEZ,eez,184,Cook Islands,1967170.5672296223,1967220.5207154865,100.00253935712013,common mask,1,214299381.5429216,214305446.73931256,214305446.73931256,214299381.5429216,214299381.5429216,214299381.5429216,214299381.5429216,214299381.5429216,,,Antoine-Morel,Antoine-Morel,298.4599317664279
EEZ,eez,219,Galapagos Isl. (Ecuador),839017.1978198324,839284.354032602,100.03184156575858,common mask,1,212216980.165863,212319010.91960344,212319010.91960344,212216980.165863,212216980.165863,212216980.165863,212216980.165863,212216980.165863,,,Antoine-Morel,Antoine-Morel,692.9731422989429
EEZ,eez,226,Equatorial Guinea,304147.4455232251,304272.28941428126,100.04104716080761,common mask,1,123233575.1199617,123316893.09370235,123316893.09370235,123233575.1199617,123233575.1199617,123233575.1199617,123233575.1199617,123233575.1199617,,,Antoine-Morel,Antoine-Morel,1110.0742030713288
EEZ,eez,238,Falkland Isl. (UK),547204.8415589053,547969.2774803247,100.1396983110094,common mask,1,82726315.34914853,81546430.38798681,81546430.38798681,82726315.34914853,82726315.34914853,82726315.34914853,82726315.34914853,82726315.34914853,,,Antoine-Morel,Antoine-Morel,414.19121707156467
EEZ,eez,239,South Georgia & Sandwich Isl. (UK),1271031.1796546066,1271175.7241638734,100.01137222371729,common mask,1,106180589.30906388,96614701.25824228,96614701.25824228,106180589.30906387,106180589.30906387,106180589.30906387,106180589.30906387,106180589.30906387,,,Antoine-Morel,Antoine-Morel,228.87379065985854
EEZ,eez,242,Fiji,1283570.2210105273,1284288.0089016333,100.05592120161069,common mask,1,151565391.7150862,151796745.5065484,151796745.5065484,151565391.7150862,151565391.7150862,151565391.7150862,151565391.7150862,151565391.7150862,,,Antoine-Morel,Antoine-Morel,323.50988028342323
EEZ,eez,258,French Polynesia,4783734.151111429,4784053.175842097,100.0066689477423,common mask,1,548309898.7936811,548374237.640935,548374237.640935,548309898.7936811,548309898.7936811,548309898.7936811,548309898.7936811,548309898.7936811,,,Antoine-Morel,Antoine-Morel,314.02641813939175
EEZ,eez,312,Guadeloupe  (France),90716.10044060712,90842.10469425889,100.13889954819462,common mask,1,15355108.64221079,15383203.294347148,15383203.294347148,15355108.64221079,15355108.64221079,15355108.64221079,15355108.64221079,15355108.64221079,,,Antoine-Morel,Antoine-Morel,463.74117269426097
EEZ,eez,316,Guam (USA),208440.39017232062,208474.5321452287,100.01637972989776,common mask,1,18962750.99802785,18965289.60810646,18965289.60810646,18962750.99802785,18962750.99802785,18962750.99802785,18962750.99802785,18962750.99802785,,,Antoine-Morel,Antoine-Morel,249.24508353395527
EEZ,eez,334,Heard & McDonald Isl. (Australia),414273.6063290094,414288.8597111039,100.0036819584597,common mask,1,27174405.803051356,26530716.075276956,26530716.075276956,27174405.803051356,27174405.803051356,27174405.803051356,27174405.803051356,27174405.803051356,,,Antoine-Morel,Antoine-Morel,179.7131792136128
