system,layer,region_id,title,month,days,npp_central_tC,npp_observed_tC,rate_central_gC_m2_d,anomaly_factor,area_obs_pct,area_dark_pct,area_clim_pct,area_nn_near_pct,area_nn_far_pct
LME,lme,1,East Bering Sea,1,31,1191628.2296188646,78229.502189479,0.03012164499252001,1.102893807066735,1.4063265402371372,0.0,0.6345740684085018,20.06838052608609,77.89071886526827
LME,lme,1,East Bering Sea,2,28,7530959.0410769,6276523.984454402,0.21076177657456174,1.044974718675798,90.3997261957916,0.0,0.5397652186567607,9.060508585551627,0.0
LME,lme,1,East Bering Sea,3,31,11964643.144635,9810778.442080526,0.30243890192174366,0.9179481025377878,89.97558783335431,0.0,1.019217284181091,9.005194882464599,0.0
LME,lme,1,East Bering Sea,4,30,21966843.099264078,17643364.28198811,0.57378077107365,0.9658662450130937,89.40039908863598,0.0,3.179045108903081,7.420555802460951,0.0
LME,lme,1,East Bering Sea,5,31,41575580.01126886,39620490.42441928,1.0509358794380557,1.149885275928928,95.17108334025309,0.0,2.1134634751070807,2.7154531846398253,0.0
LME,lme,1,East Bering Sea,6,30,40872672.683868,40871777.39059814,1.0676069174992096,1.1629761651982713,99.99919364242012,0.0,0.0008063575798850227,0.0,0.0
LME,lme,1,East Bering Sea,7,31,29921991.028158706,29915173.95553617,0.756359717584049,1.0494419109199498,99.99256151104419,0.0,0.004942733285473374,0.002495755670328212,0.0
LME,lme,1,East Bering Sea,8,31,30348454.388898697,30345502.795503266,0.767139739100187,1.09118715613548,99.99631457473465,0.0,0.0025116934842181653,0.001173731781132767,0.0
LME,lme,1,East Bering Sea,9,30,24970351.82150065,24969130.9912004,0.6522333526660936,1.0789686826281923,99.99850679056435,0.0,0.0014932094356681117,0.0,0.0
LME,lme,1,East Bering Sea,10,31,15564989.006352376,15564679.76644306,0.3934474373033711,1.0427034743065318,99.99919364242012,0.0,0.0008063575798850227,0.0,0.0
LME,lme,1,East Bering Sea,11,30,3887311.620995179,1939450.758382274,0.1015377880753583,1.3030087016280127,23.382427565211778,0.0,11.00888301041064,22.8882051665446,42.72048425783297
LME,lme,1,East Bering Sea,12,31,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,100.0
LME,lme,2,Gulf of Alaska,1,31,3408438.0710197203,2602666.3977209027,0.07613545492296946,0.8910199764418243,36.37727115375123,0.0,0.6799020192267895,11.659053038628812,51.28377378839317
LME,lme,2,Gulf of Alaska,2,28,11070618.177592171,10371978.892101709,0.27378337592596375,1.1094821440447087,94.42720372861551,0.0,1.5817653581775148,3.9200655476540627,0.07096536555291694
LME,lme,2,Gulf of Alaska,3,31,16197080.016048877,15215615.38637322,0.3617997539491022,1.001827227569256,95.23559402213108,0.0,1.5105090130218546,3.23371293626795,0.02018402857911128
LME,lme,2,Gulf of Alaska,4,30,30360267.065342337,28521244.78973059,0.7007733316514906,0.9919734462024502,96.46087593440261,0.0,2.02898422840843,1.5101398371889607,0.0
LME,lme,2,Gulf of Alaska,5,31,36868579.17845646,35848069.7766256,0.8235461491825573,0.7825966511213375,98.32088372378259,0.0,1.1236886804024946,0.5554275958149206,0.0
LME,lme,2,Gulf of Alaska,6,30,40772812.15992599,40324420.32350996,0.9411148906107448,1.0412771575441886,99.20603668794185,0.0,0.687793920234617,0.10616939182352132,0.0
LME,lme,2,Gulf of Alaska,7,31,40094666.96976852,40045016.218525074,0.8956083831135534,1.0736844379215624,99.88925075391698,0.0,0.1060604020658705,0.004688844017145016,0.0
LME,lme,2,Gulf of Alaska,8,31,38812638.95018741,38805954.65460216,0.8669712817606788,1.0112174376042038,99.98830116521104,0.0,0.009673112203957617,0.0020257225850168026,0.0
LME,lme,2,Gulf of Alaska,9,30,31622963.039977018,31617981.242467668,0.7299187822861838,0.9826765507071383,99.99007785342066,0.0,0.004001688260746045,0.00592045831859292,0.0
LME,lme,2,Gulf of Alaska,10,31,18639058.57481888,18623071.06567445,0.41634706993673654,0.9359985260493897,99.9225968547581,0.0,0.05889640543204698,0.01850673980985635,0.0
LME,lme,2,Gulf of Alaska,11,30,7215558.476382047,4887716.732447555,0.16654896158642338,0.8724748290559174,48.684340236137366,0.0,8.919881183902705,21.182417264938763,21.213361315021174
LME,lme,2,Gulf of Alaska,12,31,1054105.5788550277,458205.82776091236,0.023545919306951667,0.7331641026331199,10.358761668220145,0.0,2.4098392582258272,9.593661814566051,77.63773725898798
LME,lme,3,California Current,1,31,22771468.63205528,22771468.63205528,0.33255370343530666,0.9804325206443242,100.0,0.0,0.0,0.0,0.0
LME,lme,3,California Current,2,28,25816859.101176288,25816859.101176288,0.4174243836828206,1.0242779418427876,100.0,0.0,0.0,0.0,0.0
LME,lme,3,California Current,3,31,32604600.007813565,32604600.007813565,0.4761563980270426,0.9143469919553618,100.0,0.0,0.0,0.0,0.0
