system,layer,region_id,title,water_area_km2,common_area_km2,common_area_pct_of_water,ensemble_basis,n_models,baseline_central_tC_yr,common_antoinemorel_tC_yr,own_antoinemorel_tC_yr,scaled_antoinemorel_tC_yr,scaled_median_tC_yr,scaled_min_tC_yr,scaled_max_tC_yr,scaled_mean_tC_yr,spread_pct,cv_pct,model_max,model_min,rate_antoinemorel_mgC_m2_d
EEZ,eez,16,American Samoa,405548.98767301475,405594.0896752452,100.0111212217516,common mask,1,37342880.845495835,37347757.904271506,37347757.904271506,37342880.845495835,37342880.845495835,37342880.845495835,37342880.845495835,37342880.845495835,,,Antoine-Morel,Antoine-Morel,252.27350012001327
EEZ,eez,28,Antigua & Barbuda,111350.91030578806,111392.67210340007,100.0375046755319,common mask,1,15143255.611837918,15152135.163673634,15152135.163673634,15143255.611837918,15143255.611837918,15143255.611837918,15143255.611837918,15143255.611837918,,,Antoine-Morel,Antoine-Morel,372.5912201826462
EEZ,eez,37,Macquarie Isl. (Australia),473839.1821519147,473871.06494109303,100.0067286097012,common mask,1,28595811.212955035,28032163.368491974,28032163.368491974,28595811.212955035,28595811.212955035,28595811.212955035,28595811.212955035,28595811.212955035,,,Antoine-Morel,Antoine-Morel,165.34024877147814
EEZ,eez,38,Lord Howe Isl. (Australia),541677.4668252923,541677.3690858919,99.99998195616276,common mask,1,73884247.53508455,73883941.46887222,73883941.46887222,73884247.53508455,73884247.53508455,73884247.53508455,73884247.53508455,73884247.53508455,,,Antoine-Morel,Antoine-Morel,373.695803100151
EEZ,eez,44,Bahamas,619028.9914125121,620385.0601183572,100.21906384428793,common mask,1,95450438.61872259,95750204.07907216,95750204.07907216,95450438.61872259,95450438.61872259,95450438.61872259,95450438.61872259,95450438.61872259,,,Antoine-Morel,Antoine-Morel,422.44879422122847
EEZ,eez,52,Barbados,184824.25078884442,184864.82132282585,100.02195087160275,common mask,1,54476462.56341052,54485797.14922973,54485797.14922973,54476462.56341052,54476462.56341052,54476462.56341052,54476462.56341052,54476462.56341052,,,Antoine-Morel,Antoine-Morel,807.5270519344461
EEZ,eez,60,Bermuda (UK),450594.11491945974,450594.03659391834,99.99998261727377,common mask,1,49122928.067317024,49122879.52134364,49122879.52134364,49122928.06731702,49122928.06731702,49122928.06731702,49122928.06731702,49122928.06731702,,,Antoine-Morel,Antoine-Morel,298.6798098595841
EEZ,eez,74,Bouvet Isl. (Norway),439183.90689272474,439210.00148621254,100.00594160967154,common mask,1,25544712.27448079,23803071.42822174,23803071.42822174,25544712.27448079,25544712.27448079,25544712.27448079,25544712.27448079,25544712.27448079,,,Antoine-Morel,Antoine-Morel,159.35354638999553
EEZ,eez,77,Trindade & Martim Vaz Isl. (Brazil),469862.5925954977,469862.52953034185,99.99998657795771,common mask,1,40978241.36433694,40978456.24261123,40978456.24261123,40978241.36433694,40978241.36433694,40978241.36433694,40978241.36433694,40978241.36433694,,,Antoine-Morel,Antoine-Morel,238.9403970268662
EEZ,eez,90,Solomon Isl.,1601943.2144568851,1604102.7925779317,100.13480990471804,common mask,1,210656113.20020252,211083514.5764813,211083514.5764813,210656113.20020252,210656113.20020252,210656113.20020252,210656113.20020252,210656113.20020252,,,Antoine-Morel,Antoine-Morel,360.27496540232187
EEZ,eez,92,British Virgin Isl. (UK),81189.34331245301,81205.1965704784,100.01952627940884,common mask,1,9253589.29407223,9256942.84198238,9256942.84198238,9253589.29407223,9253589.29407223,9253589.29407223,9253589.29407223,9253589.29407223,,,Antoine-Morel,Antoine-Morel,312.2614175883564
EEZ,eez,132,Cape Verde,798501.8901513879,798943.130217694,100.0552584873935,common mask,1,200437627.6793456,200571426.58045474,200571426.58045474,200437627.6793456,200437627.6793456,200437627.6793456,200437627.6793456,200437627.6793456,,,Antoine-Morel,Antoine-Morel,687.7180783113142
