system,layer,region_id,title,polygon_area_km2,water_area_km2,npp_central_tC_yr,npp_observed_tC_yr,npp_no_nn_tC_yr,npp_all_fills_tC_yr,npp_mean_year_tC_yr,fill_uplift_pct,mean_rate_mgC_m2_d,area_obs_pct,npp_obs_pct,area_dark_pct,npp_dark_pct,area_clim_pct,npp_clim_pct,area_nn_near_pct,npp_nn_near_pct,area_nn_far_pct,npp_nn_far_pct,anomaly_factor_min,anomaly_factor_max
EEZ,eez,16,American Samoa,405594.14285714575,405548.98767301475,39002187.461706,39002187.461706,39002187.461706,39002187.46170599,38743008.23781339,0.0,263.48310897626527,99.99999999999999,100.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9179197809753378,1.0887850084287063
EEZ,eez,28,Antigua & Barbuda,111400.43869912229,111350.91030578806,15503347.640559224,15503347.640559224,15503347.640559224,15503347.640559224,15363902.64464324,0.0,381.4510804265975,100.00000000000001,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8857661205889952,1.1045778141763956
EEZ,eez,37,Macquarie Isl. (Australia),473885.58188230393,473839.1821519147,30807516.473848905,30197788.09382052,30216108.673691075,32226220.58794924,31334330.08392715,2.0191160297371447,178.12827200054852,79.5151331355546,93.70564572226867,0.0,0.0,0.15375803934406956,0.056849917664273476,4.450396716181405,1.8351757958827597,15.880712108919917,4.402328564184282,0.7479097229067303,1.405612439801387
EEZ,eez,38,Lord Howe Isl. (Australia),541677.4668252923,541677.4668252923,78025360.81411982,78025360.81411982,78025360.81411982,78025360.81411983,77588681.24556859,0.0,394.64095317159126,99.99999999999997,99.99999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9331169827136895,1.114950996082099
EEZ,eez,44,Bahamas,621261.4978295771,619028.9914125121,93696254.34097691,93690674.90851289,93690674.90851289,93696254.34097692,94752410.56482399,0.005955163061277524,414.685047467422,99.9950670479451,99.99404519155726,0.0,0.0,0.0,0.0,0.004932952054874533,0.005954808442733928,0.0,0.0,0.9411560201919371,1.07145396403923
EEZ,eez,52,Barbados,184924.7974455609,184824.25078884442,46953072.65849144,46953072.65849144,46953072.65849144,46953072.65849145,51564193.493217334,0.0,696.0047433153615,100.00000000000003,99.99999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6726089312731263,1.2272353836506893
EEZ,eez,60,Bermuda (UK),450594.11491945974,450594.11491945974,45445518.91990023,45445518.91990023,45445518.91990023,45445518.91990023,47476589.125464216,0.0,276.32023342266734,100.00000000000001,99.99999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8368243217848456,1.0946003100135608
EEZ,eez,74,Bouvet Isl. (Norway),439210.0878568181,439183.90689272474,22634910.275397375,20531536.49642284,21820732.61370083,24034574.29844229,26671401.420595653,10.244599956466981,141.20156006639678,73.44176680184921,85.4250058331739,0.0,0.0,5.228710967832669,5.363923243531485,6.590210085654287,3.3875268668657634,14.739312144663826,5.823544056428878,0.7310053973609155,1.0061806624968759
EEZ,eez,77,Trindade & Martim Vaz Isl. (Brazil),469862.5925954977,469862.5925954977,39649635.187441714,39649635.187441714,39649635.187441714,39649635.18744172,41487802.84249348,0.0,231.193415291433,100.00000000000001,99.99999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9120994912841645,0.9947895339701416
EEZ,eez,90,Solomon Isl.,1605013.9190834365,1601943.2144568851,220244973.62102354,220244973.62102354,220244973.62102354,220244973.62102354,222248659.016019,0.0,376.67432976862335,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8805618848626321,1.1224692234775269
EEZ,eez,92,British Virgin Isl. (UK),81205.20326694945,81189.34331245301,9172902.822434472,9172902.822434472,9172902.822434472,9172902.822434472,9602222.20833813,0.0,309.5386609138249,99.99999999999999,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8291470430439141,1.058728840438118
EEZ,eez,132,Cape Verde,799056.2477067503,798501.8901513879,180932721.1373664,180932721.1373664,180932721.1373664,180932721.1373664,192803455.54267806,0.0,620.7951307590171,99.99999999999997,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7931566098315903,0.9956568249563101
EEZ,eez,153,Easter Isl. (Chile),721513.7662241973,721474.5192657171,44761182.33004611,44761182.33004611,44761182.33004611,44761182.33004611,45069822.57036174,0.0,169.97603237812496,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9094075919917717,1.043654635098464
EEZ,eez,154,Desventuradas Isl. (Chile),450581.6879599838,450581.6879599838,50830983.5475185,50830983.5475185,50830983.5475185,50830983.54751849,50198402.1051974,0.0,309.07374255233003,99.99999999999999,100.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9396232508425003,1.0784281259976232
EEZ,eez,155,Juan Fernandez Islands (Chile),503293.0728360895,503273.5167090559,65121930.47238555,65121930.47238555,65121930.47238555,65121930.47238555,66067637.52278807,0.0,354.5114971203471,99.99999999999999,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8966400694316945,1.0942508323719253
EEZ,eez,162,Christmas Isl. (Australia),327613.5791434394,327600.4232308,56859218.88445946,56859218.88445946,56859218.88445946,56859218.88445945,57250691.16282309,0.0,475.514287615809,99.99999999999997,100.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8776952598575565,1.1211015632201216
EEZ,eez,166,Cocos (Keeling) Isl. (Australia),466309.22260007064,466309.22260007064,67605930.86687279,67605930.86687279,67605930.86687279,67605930.86687279,68189080.6499304,0.0,397.20794576959565,99.99999999999999,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8803124777212719,1.195885352723624
