system,layer,region_id,title,month,days,npp_central_tC,npp_observed_tC,rate_central_gC_m2_d,anomaly_factor,area_obs_pct,area_dark_pct,area_clim_pct,area_nn_near_pct,area_nn_far_pct
LME,lme,1,East Bering Sea,1,31,1110730.7226955942,21542.40673243729,0.02807674044615653,0.6141075040994927,0.6817117422585526,0.0,1.352056419507781,20.057925741040616,77.90830609719303
LME,lme,1,East Bering Sea,2,28,7535576.583242704,4189669.9208053513,0.21089100332836663,1.0660539155939521,66.62960597118591,0.0,24.661834438341668,8.708559590472436,0.0
LME,lme,1,East Bering Sea,3,31,13531752.776009277,10671837.955278642,0.3420518607350006,1.0448300537407276,86.71264019013202,0.0,4.281848230678769,9.005511579189212,0.0
LME,lme,1,East Bering Sea,4,30,26476978.235581785,22085872.22663252,0.691586903000237,1.206060641639915,90.88084405091037,0.0,1.8116168618533575,7.307539087236275,0.0
LME,lme,1,East Bering Sea,5,31,34480924.960322976,33246747.423603754,0.8715991740149807,0.9005070987217053,97.22635173327943,0.0,0.08104246382796816,2.692605802892594,0.0
LME,lme,1,East Bering Sea,6,30,36505405.53786898,36505405.53786898,0.9535325418962693,1.051470432179608,100.0,0.0,0.0,0.0,0.0
LME,lme,1,East Bering Sea,7,31,28081095.24978286,28077493.58333633,0.7098260691472288,0.919830100906041,99.99565391783453,0.0,0.003057215734025831,0.0012888664314392986,0.0
LME,lme,1,East Bering Sea,8,31,33320801.483133636,33320111.959637735,0.8422738973399119,1.1288393605326215,99.99882626821888,0.0,0.0011737317811327669,0.0,0.0
LME,lme,1,East Bering Sea,9,30,26035817.221665792,26034772.532581337,0.6800636401633271,1.0356109875738029,99.99850679056435,0.0,0.0014932094356681117,0.0,0.0
LME,lme,1,East Bering Sea,10,31,15848716.702851437,15848429.362837315,0.40061942663365496,1.0304735785193433,99.99919364242012,0.0,0.0008063575798850227,0.0,0.0
LME,lme,1,East Bering Sea,11,30,3427006.330755489,2095850.7489462069,0.08951447078896435,1.0494242071456927,31.476005848734363,0.0,2.915304726885704,22.888205166545422,42.72048425783451
LME,lme,1,East Bering Sea,12,31,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,100.0
LME,lme,2,Gulf of Alaska,1,31,3504441.4505686923,2667623.289445544,0.07827991547170325,0.9888932985371496,36.03850089358759,0.0,0.95393708100779,11.525384909995369,51.482177115409264
LME,lme,2,Gulf of Alaska,2,28,9458804.741429713,8440611.702827336,0.23392221218277193,0.907718408347299,92.17782881359167,0.0,3.944085537975791,3.8071202828796236,0.0709653655529177
LME,lme,2,Gulf of Alaska,3,31,17264641.05457774,15970420.999169888,0.3856462324922966,1.073889191565357,94.0352305721424,0.0,2.7330124198496866,3.2144592831013057,0.017297724906608126
LME,lme,2,Gulf of Alaska,4,30,38035758.80718954,35715837.59057773,0.877938437229165,1.2509871726247566,96.26941196218026,0.0,2.248146180667777,1.482441857151969,0.0
LME,lme,2,Gulf of Alaska,5,31,48776460.72126035,47864517.68396847,1.0895365998053022,1.1041395394360118,98.78960241577511,0.0,0.6708573011298252,0.5395402830950687,0.0
LME,lme,2,Gulf of Alaska,6,30,36768371.90350562,36708863.110530466,0.8486847109337678,0.9238170901461559,99.88194321601397,0.0,0.014284165951107835,0.10377261803492252,0.0
LME,lme,2,Gulf of Alaska,7,31,36333797.05350775,36327879.94697063,0.8116005366999111,0.963938426394721,99.98378967922028,0.0,0.014026267454274226,0.002184053325454865,0.0
LME,lme,2,Gulf of Alaska,8,31,38698756.96017633,38695474.17689959,0.8644274605333705,0.9905463552101783,99.99537446616004,0.0,0.002599811254928074,0.002025722585016804,0.0
LME,lme,2,Gulf of Alaska,9,30,32240237.249549165,32235045.75524534,0.7441666577562333,1.0274580589365778,99.99007785342069,0.0,0.005687149982052578,0.004234996597286389,0.0
