system,layer,region_id,title,polygon_area_km2,water_area_km2,npp_central_tC_yr,npp_observed_tC_yr,npp_no_nn_tC_yr,npp_all_fills_tC_yr,npp_mean_year_tC_yr,fill_uplift_pct,mean_rate_mgC_m2_d,area_obs_pct,npp_obs_pct,area_dark_pct,npp_dark_pct,area_clim_pct,npp_clim_pct,area_nn_near_pct,npp_nn_near_pct,area_nn_far_pct,npp_nn_far_pct,anomaly_factor_min,anomaly_factor_max
EEZ,eez,16,American Samoa,405594.14285714575,405548.98767301475,37409321.370134994,37409321.370134994,37409321.370134994,37409321.370135,36790070.28322487,0.0,252.72234561133672,99.99999999999999,99.99999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9629266029024055,1.0698954977154667
EEZ,eez,28,Antigua & Barbuda,111400.43869912229,111350.91030578806,13118178.88632538,13118178.88632538,13118178.88632538,13118178.886325382,16322215.412677743,0.0,322.7653552918522,100.00000000000001,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.510710921201798,1.029542131213723
EEZ,eez,37,Macquarie Isl. (Australia),473885.58188230393,473839.1821519147,29174027.33970987,28374539.078410782,28489902.57528041,30747290.148334656,31860479.02453268,2.8176255448230103,168.68347962194667,78.86345248669218,92.28305630032118,0.0,0.0,0.8345185295307735,0.37519890797880795,4.394884237860913,2.224992059882441,15.907144745916112,5.116752731817554,0.7865400507655653,1.1123084932863152
EEZ,eez,38,Lord Howe Isl. (Australia),541677.4668252923,541677.4668252923,71183490.34234522,71183490.34234522,71183490.34234522,71183490.34234522,75795291.07418148,0.0,360.03576511113346,99.99999999999997,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8402558418826938,1.0267815941415732
EEZ,eez,44,Bahamas,621261.4978295771,619028.9914125121,93111230.97849464,93106232.95752707,93106232.95752707,93111230.97849463,95316971.5897619,0.005368084185986,412.09582506416945,99.9950670479451,99.99463220396184,0.0,0.0,0.0,0.0,0.004932952054874533,0.005367796038171748,0.0,0.0,0.8735283249665641,1.0540594558394996
EEZ,eez,52,Barbados,184924.7974455609,184824.25078884442,37577838.82430885,37577838.82430885,37577838.82430885,37577838.82430884,52271288.595034815,0.0,557.0317890692742,100.00000000000003,100.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0629907108582273
EEZ,eez,60,Bermuda (UK),450594.11491945974,450594.11491945974,48801380.435868725,48801380.435868725,48801380.435868725,48801380.435868725,49390950.83412266,0.0,296.7247190455723,100.00000000000001,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8110457718926374,1.2290296238511043
EEZ,eez,74,Bouvet Isl. (Norway),439210.0878568181,439183.90689272474,21922812.650870185,19699737.513337333,21156002.31549296,22594329.314672142,25615400.096512675,11.284795729018015,136.75933810574224,71.56447607192705,87.18885716401797,0.0,0.0,6.479999789260889,6.445266782979796,7.067390658634851,3.393817646444923,14.88813348017722,2.9720584065573146,0.6845787189679857,1.0760449089643018
EEZ,eez,77,Trindade & Martim Vaz Isl. (Brazil),469862.5925954977,469862.5925954977,43261724.05450843,43261724.05450843,43261724.05450843,43261724.05450843,41847347.1123594,0.0,252.25517683262916,100.00000000000001,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9298191088589739,1.2302912753259871
EEZ,eez,90,Solomon Isl.,1605013.9190834365,1601943.2144568851,213624742.14417678,213624742.14417678,213624742.14417678,213624742.14417678,221130657.83644965,0.0,365.352067955079,100.0,100.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8648372679496522,1.0596941898544425
