system,layer,region_id,title,water_area_km2,common_area_km2,common_area_pct_of_water,ensemble_basis,n_models,baseline_central_tC_yr,common_antoinemorel_tC_yr,own_antoinemorel_tC_yr,scaled_antoinemorel_tC_yr,common_vgpm_tC_yr,own_vgpm_tC_yr,scaled_vgpm_tC_yr,common_eppley_tC_yr,own_eppley_tC_yr,scaled_eppley_tC_yr,common_cbpm_tC_yr,own_cbpm_tC_yr,scaled_cbpm_tC_yr,common_cafe_tC_yr,own_cafe_tC_yr,scaled_cafe_tC_yr,scaled_median_tC_yr,scaled_min_tC_yr,scaled_max_tC_yr,scaled_mean_tC_yr,spread_pct,cv_pct,model_max,model_min,rate_antoinemorel_mgC_m2_d,rate_vgpm_mgC_m2_d,rate_eppley_mgC_m2_d,rate_cbpm_mgC_m2_d,rate_cafe_mgC_m2_d
EEZ,eez,16,American Samoa,405548.98767301475,404186.9200633489,99.66414227354352,common mask,5,38454503.039300345,38323143.09854124,38459948.322322085,38454503.039300345,17861780.187281333,17923389.860954862,17923004.8728772,30843753.272280704,30952275.397994325,30949476.166465484,27151204.71324835,27236924.3984137,27244270.68733873,60161391.55666014,60161391.55666014,60367606.29250651,30949476.166465484,17923004.8728772,60367606.29250651,34987772.21169765,137.14158259524623,45.72200275475446,CAFE,VGPM,259.7831730561326,121.08062017647337,209.08222672212284,184.05134710813337,407.81929482857345
EEZ,eez,28,Antigua & Barbuda,111350.91030578806,110432.80355983032,99.17548339440022,common mask,5,17319425.699027028,17084546.28929203,17332169.559965238,17319425.699027028,10397007.983316034,10440720.487665957,10539946.698619345,16108378.145273473,16183095.613507975,16329837.134378811,16854230.859817393,17021901.661858674,17085943.878639113,15888637.241055155,15949338.74639863,16107075.21848108,16329837.134378811,10539946.698619345,17319425.699027028,15476445.725829076,41.51590089122818,18.127182005753024,Antoine-Morel,VGPM,426.13465158830263,259.32941381698106,401.78638591597,420.38996374979104,396.3054552507254
EEZ,eez,37,Macquarie Isl. (Australia),473839.1821519147,473552.48086461326,99.93949396797467,common mask,5,29843674.026471116,28279919.936343566,28437897.971405774,29843674.026471116,29723970.734421585,29746936.296533197,31367574.426207464,18419496.979122516,18433666.21823461,19438013.431928255,33856783.190242305,33876641.9634366,35728913.07291086,46134635.23912917,46134635.23912917,48685675.861384146,31367574.426207464,19438013.431928255,48685675.861384146,33012770.16378037,93.24170888081038,32.13025737156378,CAFE,Eppley-VGPM,172.5553596309999,181.36651275125882,112.39009631600638,206.58366121585323,281.499332142813
EEZ,eez,38,Lord Howe Isl. (Australia),541677.4668252923,541677.3690858919,99.99998195616276,common mask,5,79140274.44567217,79139820.22822496,79139820.22822496,79140274.44567217,94269863.43344451,94269863.43344451,94270404.48871344,73390430.6385313,73390430.6385313,73390851.85776022,95423037.50218509,95423037.50218509,95423585.17601572,100635738.41971974,100635738.41971974,100636316.01148164,94270404.48871344,73390851.85776022,100636316.01148164,88572286.39592864,28.901397317101143,13.17123818999762,CAFE,Eppley-VGPM,400.2800245410657,476.806026849733,371.2002793581476,482.638647434471,509.0038836098729
EEZ,eez,44,Bahamas,619028.9914125121,597338.2988816518,96.4960134611198,common mask,5,96448658.39557056,91591942.52208683,96784589.02677462,96448658.39557056,83981092.18416803,86385862.66129321,88434238.30436297,129650439.63936473,133548457.19713677,136525229.39555758,104767949.21517412,108945557.0126465,110323330.48534396,62754076.56478504,63321063.20224932,66081647.870574415,96448658.39557056,66081647.870574415,136525229.39555758,99562620.8902819,73.03738869655268,26.27088026071161,Eppley-VGPM,CAFE,426.8667596826726,391.3961829843593,604.2394291063738,488.27390017736275,292.4670946205608
EEZ,eez,52,Barbados,184824.25078884442,184240.18131191007,99.68398655780207,common mask,5,54234006.03120098,54057229.1536207,54246571.308642745,54234006.03120098,32080151.943070337,32170805.31903496,32185059.81906748,54746633.54279341,54902390.06438774,54925664.89692042,52037377.30285318,52158980.21527216,52207548.90101119,33556437.92407712,33556437.92407712,33666173.52118065,52207548.90101119,32185059.81906748,54925664.89692042,45443690.633876145,43.55807839393219,25.26842599156461,Eppley-VGPM,VGPM,803.9330188518187,477.0924037472639,814.1857632206111,773.8940097970565,499.0475624555772
EEZ,eez,60,Bermuda (UK),450594.11491945974,450182.70617710217,99.90869637912802,common mask,5,47230720.27578692,47161087.77732487,47230433.47963096,47230720.27578692,51152160.140808485,51256706.129757464,51227685.385882415,44326097.060840964,44437905.87354795,44391543.74646431,55081925.85326183,55154326.416201696,55163253.326779276,51536319.49534455,51536319.49534455,51612411.94480083,51227685.385882415,44391543.74646431,55163253.326779276,49925122.935942754,21.027125272545472,8.370880519540838,CbPM2,Eppley-VGPM,287.174708563209,311.4772659649733,269.911798160682,335.40651307063655,313.81650061540404
EEZ,eez,74,Bouvet Isl. (Norway),439183.90689272474,438937.4898191301,99.94389205302669,common mask,5,25685471.69279423,23406305.528506555,23601642.55938263,25685471.692794234,14721771.756142242,14769535.650633711,16155289.917481316,13324991.751411768,13366772.433070637,14622499.822569882,28198523.122850046,28284849.725336567,30944326.799821194,39266196.13474698,39406945.721028395,43089703.672987215,25685471.692794234,14622499.822569882,43089703.672987215,26099458.381130766,110.82998276571843,44.63815987850069,CAFE,Eppley-VGPM,160.23163467124223,100.78025986932015,91.21837736028884,193.03753212083168,268.8030704516555
EEZ,eez,77,Trindade & Martim Vaz Isl. (Brazil),469862.5925954977,469862.52953034185,99.99998657795771,common mask,5,41195562.18039901,41195711.42587405,41195711.42587405,41195562.18039901,24680940.91815013,24680940.91815013,24680851.503047824,28428956.74267479,28428956.74267479,28428853.749110483,30486129.486757636,30486129.486757636,30486019.040385436,58627838.44846737,58627838.44846737,58627626.04918363,30486019.040385436,24680851.503047824,58627626.04918363,36683782.50442527,111.35194300431893,37.38982614941141,CAFE,VGPM,240.20757493258435,143.91179954910683,165.7660596372713,177.7612032813543,341.852353310752
EEZ,eez,90,Solomon Isl.,1601943.2144568851,1569464.2840509464,97.97252923119684,common mask,5,202764303.1805677,195783035.83921307,203250497.92443216,202764303.1805677,109825028.08116192,112475062.91790465,113741189.0422987,208429558.14304024,213978362.0128244,215861777.49238154,181165008.4857798,185315112.75726777,187625023.53109095,280463078.076129,282031463.03624487,290463881.8691434,202764303.1805677,113741189.0422987,290463881.8691434,202091235.02309647,87.1567085797483,31.310023050858224,CAFE,VGPM,346.77798428654717,194.5260563508475,369.1779613527811,320.8860062704727,496.76633353419874
EEZ,eez,92,British Virgin Isl. (UK),81189.34331245301,80059.98248896596,98.60897898984014,common mask,5,10486420.713145139,10224506.594949653,10490905.039734526,10486420.713145139,6072673.310616,6205176.051902232,6228232.785341644,9056715.146242058,9272004.768202206,9288714.75808126,9394452.825366473,9574089.646698367,9635104.029885262,9712005.38925909,9738410.753675755,9960791.118312662,9635104.029885262,6228232.785341644,10486420.713145139,9119852.680953193,44.19451948412645,18.372783292299996,Antoine-Morel,VGPM,353.86318684061604,210.17107381963723,313.4467227533409,325.1355930515078,336.12587030400186
EEZ,eez,132,Cape Verde,798501.8901513879,793252.8010284719,99.34263284938238,common mask,5,186168131.10247326,184795715.0991291,186287832.5615574,186168131.10247326,167917228.9113876,168603293.34030512,169164294.03988135,172756448.38157296,173491857.40268397,174039452.77543882,243991487.774326,245177963.14096725,245803530.99362686,136645999.9709016,136860570.47228914,137660824.13526294,174039452.77543882,137660824.13526294,245803530.99362686,182567246.60933664,62.13689202867081,21.704643530283324,CbPM2,CAFE,638.7582553582323,580.4166840475206,597.1437568825863,843.3722446940136,472.32567322393237
EEZ,eez,153,Easter Isl. (Chile),721474.5192657171,721327.7662269972,99.97965929013415,common mask,5,43744757.03329562,43735010.521061115,43746730.96714898,43744757.03329562,28261218.24609642,28271953.63687597,28267516.36529465,20873164.23774284,20881603.960823935,20877815.901208613,23684121.148725744,23694173.29214911,23689399.244553074,62423100.046431966,62423100.046431966,62437011.26998191,28267516.36529465,20877815.901208613,62437011.26998191,35803299.96286677,147.0210358480502,48.3511617038346,CAFE,Eppley-VGPM,166.11626080469992,107.34301523870293,79.28138013517732,89.9580816100917,237.09819304964873
EEZ,eez,154,Desventuradas Isl. (Chile),450581.6879599838,450581.63655325514,99.99998859103022,common mask,5,48920605.738904856,48921108.01507275,48921108.01507275,48920605.73890485,58511428.96052468,58511428.96052468,58510828.21991375,36789426.55519042,36789426.55519042,36789048.8357777,64469890.67831719,64469890.67831719,64469228.76179591,71832011.7903653,71832011.7903653,71831274.28647223,58510828.21991375,36789048.8357777,71831274.28647223,56104197.16857289,59.89015455222724,24.37042923580425,CAFE,Eppley-VGPM,297.4578426072666,355.7704257455407,223.69287814359734,392.0000051591236,436.7643359737185
EEZ,eez,155,Juan Fernandez Islands (Chile),503273.5167090559,503047.82994749607,99.95515624127499,common mask,5,66203755.15915217,66168392.65115193,66207141.07738149,66203755.15915217,87765357.33042236,87817999.19528788,87812261.94796541,53992508.10077904,54025729.77141211,54021363.42615672,94869794.99515674,94922213.62333152,94920496.45169936,91170093.6916759,91170093.6916759,91218817.90936321,87812261.94796541,54021363.42615672,94920496.45169936,78835338.97886738,46.57565141617476,22.584035457253385,CbPM2,Eppley-VGPM,360.4007465106123,478.0333786618616,294.08210545616583,516.7292655546772,496.5780262965241
EEZ,eez,162,Christmas Isl. (Australia),327600.4232308,327087.7648682584,99.84351108051516,common mask,5,55613816.52853024,55524214.14311858,55616083.05599805,55613816.52853025,34998429.97736522,35059251.06476697,35054908.81024976,56167522.435213536,56266083.23511122,56258162.96152311,61219420.04768257,61320856.62290631,61318213.090581864,64406908.007172406,64406908.007172406,64510844.86937737,56258162.96152311,35054908.81024976,64510844.86937737,54551189.25205247,52.35851031835777,21.08381146126004,CAFE,VGPM,465.09897369322204,293.16459700608016,470.4876501659854,512.8049063581433,539.5049218648367
EEZ,eez,166,Cocos (Keeling) Isl. (Australia),466309.22260007064,466309.1438245345,99.99998310658843,common mask,5,66585527.63076324,66585597.16258667,66585597.16258667,66585527.63076324,42865834.455448225,42865834.455448225,42865789.692920595,64248763.32604385,64248763.32604385,64248696.23445262,68852931.99417892,68852931.99417892,68852860.09469745,85167981.22655284,85167981.22655284,85167892.29012688,66585527.63076324,42865789.692920595,85167892.29012688,65544153.18859216,63.530475919308095,23.051409312347676,CAFE,VGPM,391.21272807087274,251.85116230770848,377.48304508838066,404.53408107686056,500.3904703080426
