system,layer,region_id,title,water_area_km2,common_area_km2,common_area_pct_of_water,ensemble_basis,n_models,baseline_central_tC_yr,common_antoinemorel_tC_yr,own_antoinemorel_tC_yr,scaled_antoinemorel_tC_yr,common_vgpm_tC_yr,own_vgpm_tC_yr,scaled_vgpm_tC_yr,common_eppley_tC_yr,own_eppley_tC_yr,scaled_eppley_tC_yr,common_cbpm_tC_yr,own_cbpm_tC_yr,scaled_cbpm_tC_yr,common_cafe_tC_yr,own_cafe_tC_yr,scaled_cafe_tC_yr,scaled_median_tC_yr,scaled_min_tC_yr,scaled_max_tC_yr,scaled_mean_tC_yr,spread_pct,cv_pct,model_max,model_min,rate_antoinemorel_mgC_m2_d,rate_vgpm_mgC_m2_d,rate_eppley_mgC_m2_d,rate_cbpm_mgC_m2_d,rate_cafe_mgC_m2_d
EEZ,eez,16,American Samoa,405548.98767301475,404186.9200633489,99.66414227354352,common mask,5,40092152.30208846,39951446.01923462,40097118.49461893,40092152.30208846,18910553.014837105,18977817.758909497,18977154.699796073,33627813.75217528,33750534.557025306,33746248.631135404,29494886.869431663,29593355.479924586,29598765.860259537,62605850.06449427,62605850.06449427,62826343.62167963,33746248.631135404,18977154.699796073,62826343.62167963,37048133.02299182,129.93796555338255,44.079083169518384,CAFE,VGPM,270.8464735337215,128.20203289200592,227.97609786240088,199.95737055463596,424.4295364023981
EEZ,eez,28,Antigua & Barbuda,111350.91030578806,110432.80355983032,99.17548339440022,common mask,5,18520458.379539814,18273407.042108305,18535219.332168758,18520458.379539814,10740943.673437044,10785859.218627933,10886158.219016004,18489424.0526295,18573387.180628367,18739395.879449453,18624020.247275822,18801523.492450837,18875811.77689252,15928889.37085411,15987302.154432228,16144243.487018647,18520458.379539814,10886158.219016004,18875811.77689252,16633213.54838329,43.13961023072172,20.453111545723264,CbPM2,VGPM,455.6853798717026,267.8477520219467,461.07221294947897,464.42864877698287,397.2199594287875
EEZ,eez,37,Macquarie Isl. (Australia),473839.1821519147,473552.48086461326,99.93949396797467,common mask,5,31776209.967145834,30870429.54590629,31064232.75884881,31776209.967145834,32201208.608708702,32244049.484218694,33146035.899001025,19916351.47770548,19942454.32832281,20500724.338607997,36058665.65975416,36079045.79124398,37116675.99038654,49651055.53121337,49651055.53121337,51107885.08154965,33146035.899001025,20500724.338607997,51107885.08154965,34729506.25533821,92.34033546637205,31.792151447325406,CAFE,Eppley-VGPM,183.72923299348116,191.64953148265118,118.53466358755797,214.6076708969393,295.5044838783684
EEZ,eez,38,Lord Howe Isl. (Australia),541677.4668252923,541677.3690858919,99.99998195616276,common mask,5,78469997.93695119,78469487.81989904,78469487.81989904,78469997.93695119,93694553.66173522,93694553.66173522,93695162.75440097,76006694.91884732,76006694.91884732,76007189.02569361,92486898.70720999,92486898.70720999,92487499.94911233,103504428.62529925,103504428.62529925,103505101.49032591,92487499.94911233,76007189.02569361,103505101.49032591,88832990.23129681,29.731490720110248,12.886280397428976,CAFE,Eppley-VGPM,396.88986322005195,473.89653762770985,384.4333331114171,467.78835439579404,523.5137842883589
EEZ,eez,44,Bahamas,619028.9914125121,597338.2988816518,96.4960134611198,common mask,5,95050447.70797367,90266665.86334835,95380645.82533981,95050447.70797367,84949013.32571016,87357361.38641827,89450980.2897007,126903166.06600781,130642117.23933552,133628539.78005496,105550615.32811111,109607899.69026183,111144386.98751912,64796568.24123424,65348075.83567298,68230534.07770038,95050447.70797367,68230534.07770038,133628539.78005496,99500977.76858976,68.80346939898571,24.612153422018515,Eppley-VGPM,CAFE,420.67849666795775,395.8961248594905,591.419131441841,491.90776854246167,301.9777307187895
EEZ,eez,52,Barbados,184824.25078884442,184240.18131191007,99.68398655780207,common mask,5,70276987.36080883,70027842.19335042,70294015.87212509,70276987.36080883,37982481.20335056,38098642.092686825,38117615.334911644,76657336.1005557,76897112.49788934,76930067.69189842,60888171.56788555,61042052.57538353,61104799.600770414,35299011.700094596,35299011.700094596,35424598.579622515,61104799.600770414,35424598.579622515,76930067.69189842,56370813.713602364,67.92505561502996,33.31091808053645,Eppley-VGPM,CAFE,1041.744741708416,565.0331187041264,1140.3660928982845,905.781623085735,525.113421666578
EEZ,eez,60,Bermuda (UK),450594.11491945974,450182.70617710217,99.90869637912802,common mask,5,52866917.15977399,52794606.2095914,52866752.89455842,52866917.15977398,59305086.85295503,59416537.04354776,59386314.98379804,50237706.57168537,50354125.922866255,50306515.42467256,60744424.296459965,60820382.32293496,60827623.83812779,56485328.81120901,56485328.81120901,56562694.81677213,56562694.81677213,50306515.42467256,60827623.83812779,55990013.244628906,18.600790587395217,7.852513250409266,CbPM2,Eppley-VGPM,321.44420917875686,361.0837945839687,305.8763199365631,369.84731645648844,343.9154707933497
EEZ,eez,74,Bouvet Isl. (Norway),439183.90689272474,438937.4898191301,99.94389205302669,common mask,5,28164428.942386772,26296004.456204012,26633787.279133763,28164428.942386776,18083398.54285224,18114556.769830298,19368288.218283344,15220603.334694656,15246231.69103454,16302081.2456215,31663121.877848253,31686245.09072118,33912899.11393338,44487256.40946153,44508609.19877543,47648233.93884121,28164428.942386776,16302081.2456215,47648233.93884121,29079186.291813243,111.29695815008878,43.03992733308364,CAFE,Eppley-VGPM,175.69591646964784,120.82365156135829,101.69597653377457,211.5561406252427,297.2401871584135
EEZ,eez,77,Trindade & Martim Vaz Isl. (Brazil),469862.5925954977,469862.52953034185,99.99998657795771,common mask,5,42488436.88432832,42488681.85248314,42488681.85248314,42488436.88432832,28138711.293574687,28138711.293574687,28138549.06006016,31542999.53675345,31542999.53675345,31542817.675842334,37559406.91936231,37559406.91936231,37559190.37090262,60761115.09050001,60761115.09050001,60760764.77277776,37559190.37090262,28138549.06006016,60760764.77277776,40097951.75278224,86.85548168256116,31.921079949889634,CAFE,VGPM,247.7462097001494,164.07331940853092,183.9232999728263,219.00422176344256,354.29049112631344
EEZ,eez,90,Solomon Isl.,1601943.2144568851,1569464.2840509464,97.97252923119684,common mask,5,247583937.32637927,240037827.6100306,248118738.04099235,247583937.32637927,137667320.62974912,140475744.6279567,141995191.43316087,266627196.29827827,272532875.20885736,275009200.4876262,239209068.5776883,243816875.121504,246729124.4564034,313093123.6382109,314713484.21011585,322935885.03099704,247583937.32637927,141995191.43316087,322935885.03099704,246850667.74691334,73.08256567521576,26.854009889569888,CAFE,VGPM,423.4308375834314,242.8475105883085,470.33493918516126,421.9688924612249,552.301630554336
