system,layer,region_id,title,water_area_km2,common_area_km2,common_area_pct_of_water,ensemble_basis,n_models,baseline_central_tC_yr,common_antoinemorel_tC_yr,own_antoinemorel_tC_yr,scaled_antoinemorel_tC_yr,common_vgpm_tC_yr,own_vgpm_tC_yr,scaled_vgpm_tC_yr,common_eppley_tC_yr,own_eppley_tC_yr,scaled_eppley_tC_yr,common_cbpm_tC_yr,own_cbpm_tC_yr,scaled_cbpm_tC_yr,common_cafe_tC_yr,own_cafe_tC_yr,scaled_cafe_tC_yr,scaled_median_tC_yr,scaled_min_tC_yr,scaled_max_tC_yr,scaled_mean_tC_yr,spread_pct,cv_pct,model_max,model_min,rate_antoinemorel_mgC_m2_d,rate_vgpm_mgC_m2_d,rate_eppley_mgC_m2_d,rate_cbpm_mgC_m2_d,rate_cafe_mgC_m2_d
EEZ,eez,16,American Samoa,405548.98767301475,404186.9200633489,99.66414227354352,common mask,5,42995172.07534914,42841997.426205456,43001156.64638999,42995172.07534914,21852465.62251187,21925874.187369104,21930595.587400135,37036002.10227061,37164663.209136024,37168418.35194411,35976016.97779099,36088978.83738826,36104643.421682924,69375975.49371096,69375975.49371096,69624018.1001173,37168418.35194411,21930595.587400135,69624018.1001173,41564569.50729872,128.31706224653635,42.0861355399866,CAFE,VGPM,290.4581088049305,148.15429295453677,251.09490160561216,243.90846555887956,470.35189414568936
EEZ,eez,28,Antigua & Barbuda,111350.91030578806,110432.80355983032,99.17548339440022,common mask,5,14161831.041819828,13964026.843623478,14172465.021517927,14161831.041819828,8388827.544967735,8426965.011779508,8507657.54471795,12980500.643686326,13047672.656169107,13164372.92857699,12916004.440055225,13054061.756083956,13098963.11886443,15342039.284998734,15394419.288976448,15559363.40027368,13164372.92857699,8507657.54471795,15559363.40027368,12898437.606850576,53.56659138885386,20.536554066392487,CAFE,VGPM,348.4438249703238,209.32609121413574,323.901933515774,322.2925622261772,382.82931644112756
EEZ,eez,37,Macquarie Isl. (Australia),473839.1821519147,473552.48086461326,99.93949396797467,common mask,5,28457213.034348264,27450246.55511982,27566165.85290904,28457213.034348264,29430144.227813188,29500108.691700466,30509739.94862973,18040851.810269203,18083393.7845293,18702650.347968698,35256809.42518826,35370308.54649092,36550146.633814834,48848548.10572722,48922571.63206068,50640475.562650956,30509739.94862973,18702650.347968698,50640475.562650956,32972045.105482496,104.6807520105286,35.72610614287421,CAFE,Eppley-VGPM,164.53887764899238,176.40653575073932,108.13824577979389,211.3320126526481,292.80193399938975
EEZ,eez,38,Lord Howe Isl. (Australia),541677.4668252923,541677.3690858919,99.99998195616276,common mask,5,72789710.10815804,72789224.98413864,72789224.98413864,72789710.10815804,88937000.44513941,88937000.44513941,88937593.19049615,67964404.13772772,67964404.13772772,67964857.10538769,87296115.28905414,87296115.28905414,87296697.09827572,102485601.30673437,102485601.30673437,102486284.35050695,87296697.09827572,67964857.10538769,102486284.35050695,83895028.37056491,39.54494086558187,16.42721743764737,CAFE,Eppley-VGPM,368.1597916169962,449.83344111794287,343.7563852365731,441.5340267847993,518.3607550300444
EEZ,eez,44,Bahamas,619028.9914125121,597338.2988816518,96.4960134611198,common mask,5,98246846.34098412,93350110.86224468,98584830.72866651,98246846.34098412,84516995.32155514,86879217.45650403,88950384.48119135,129953917.22877234,133691020.56417549,136770727.0988147,107200326.27918005,111397676.59629649,112823583.02922653,67428667.11143136,68020486.39438577,70965677.87102112,98246846.34098412,70965677.87102112,136770727.0988147,101551443.76424757,66.97929926361688,24.483059061790428,Eppley-VGPM,CAFE,434.82525982490347,393.6805656776022,605.3259637543633,499.33962902781735,314.08305170244165
EEZ,eez,52,Barbados,184824.25078884442,184240.18131191007,99.68398655780207,common mask,5,40077635.39657361,39951889.10963307,40087320.348618075,40077635.39657361,23777928.648747463,23846302.554425143,23852768.31979561,41849247.53257068,41969073.59496745,41980965.646676265,44112748.88012725,44216743.55946155,44251591.23532088,31568917.209651664,31568917.209651664,31668278.571787845,40077635.39657361,23852768.31979561,44251591.23532088,36366247.834030844,50.89826960517048,23.2572251355838,CbPM2,VGPM,594.0873037163034,353.5794134822768,622.3011522923557,655.959571017889,469.43194237598874
EEZ,eez,60,Bermuda (UK),450594.11491945974,450182.70617710217,99.90869637912802,common mask,5,52187118.09189013,52114088.62311396,52187062.70338132,52187118.09189013,57202746.42156457,57314077.434089154,57282906.82145021,50385318.528714776,50502302.85932846,50455925.405731864,61035479.0341654,61112600.179106764,61121010.38908555,57263345.26575263,57263345.26575263,57343590.58512006,57282906.82145021,50455925.405731864,61121010.38908555,55678110.25865556,18.618267778547914,7.747598581602129,CbPM2,Eppley-VGPM,317.31085914595695,348.2945416891451,306.78477035858936,371.6311807883406,348.6635142994431
EEZ,eez,74,Bouvet Isl. (Norway),439183.90689272474,438937.4898191301,99.94389205302669,common mask,5,25687123.87725379,24011427.92949515,24188418.42820264,25687123.87725379,16115517.257815527,16221522.600356612,17240177.85876979,14034459.171139581,14137177.525496863,15013888.06770988,26931561.56991064,27287398.8872506,28811046.152086448,44743095.07811769,45199890.84068866,47865600.88380044,25687123.87725379,15013888.06770988,47865600.88380044,26923567.36792407,127.89175219877804,48.40142858813569,CAFE,Eppley-VGPM,160.24194136211787,107.54803000595102,93.65994351332486,179.72965716773288,298.5961700786758
EEZ,eez,77,Trindade & Martim Vaz Isl. (Brazil),469862.5925954977,469862.52953034185,99.99998657795771,common mask,5,43574177.67014943,43574345.90317248,43574345.90317248,43574177.67014943,30763510.052417554,30763510.052417554,30763391.279818945,31569753.932733804,31569753.932733804,31569632.04736683,38887991.85092101,38887991.85092101,38887841.7111015,66005644.78101895,66005644.78101895,66005389.94462543,38887841.7111015,30763391.279818945,66005389.94462543,42160086.530612424,90.6247225716972,34.02986771205264,CAFE,VGPM,254.0770654371195,179.37853557302634,184.07965213350408,226.75146684199026,384.8714233258341
EEZ,eez,90,Solomon Isl.,1601943.2144568851,1569464.2840509464,97.97252923119684,common mask,5,227564398.01245806,220237428.17058358,228095550.82358485,227564398.01245806,125153509.58841741,127917653.1303326,129317179.66927591,239223132.70276454,245077393.51442203,247181728.53886506,219600091.1447472,224067532.59928733,226905857.7369915,306244048.25223315,307865281.8576643,316432329.7102772,227564398.01245806,129317179.66927591,316432329.7102772,229480298.73357353,82.22514227852005,29.164637305048327,CAFE,VGPM,389.19238741873687,221.1649200372193,422.7429593405224,388.0661178253439,541.1789143294446
EEZ,eez,92,British Virgin Isl. (UK),81189.34331245301,80059.98248896596,98.60897898984014,common mask,5,9291457.325143633,9073835.561156869,9295161.090423832,9291457.325143633,5376358.112448949,5493913.6347048925,5505301.658799322,8033014.136564112,8226423.924011566,8225673.42543344,7928267.956539591,8073818.436102825,8118415.07199403,9783597.185551489,9809498.169449793,10018241.472777717,8225673.42543344,5505301.658799322,10018241.472777717,8231817.790829629,54.86407714685794,20.830282296379554,CAFE,VGPM,313.53927039637017,185.77583741796744,277.5745024787426,273.95508038977675,338.0645265979119
EEZ,eez,132,Cape Verde,798501.8901513879,793252.8010284719,99.34263284938238,common mask,5,160416728.53060693,159179693.08054435,160524351.59727138,160416728.53060693,138028079.7894676,138623431.24057135,139100739.40137702,150350728.85369313,151018476.36662033,151519151.6464212,216635715.653568,217702983.73174548,218319259.92248136,136265831.82199642,136487546.58474913,137324796.45079982,151519151.6464212,137324796.45079982,218319259.92248136,161336135.19033724,53.45493463472318,20.592833712676686,CbPM2,CAFE,550.403063293814,477.2661415941093,519.8747411056845,749.0714374869286,471.17273444644866
EEZ,eez,153,Easter Isl. (Chile),721474.5192657171,721327.7662269972,99.97965929013415,common mask,5,45443776.162258625,45433791.120879814,45445750.369748674,45443776.162258625,31384650.28377754,31395888.03692256,31391547.727816693,22358684.12121478,22367265.12931603,22363597.917325966,28757296.36296737,28767909.938290298,28763616.39013312,67315938.09901065,67315938.09901065,67330732.20733376,31391547.727816693,22363597.917325966,67330732.20733376,39058654.08097364,143.24599309310733,45.86313760490921,CAFE,Eppley-VGPM,172.5681129552142,119.20620625342916,84.92348606116121,109.22690457082474,255.68160003750356
EEZ,eez,154,Desventuradas Isl. (Chile),450581.6879599838,450581.63655325514,99.99998859103022,common mask,5,57803013.0418759,57803432.64785555,57803432.64785555,57803013.0418759,72952031.52591665,72952031.52591665,72951501.95341112,45373994.39275424,45373994.39275424,45373665.014402546,80449283.96268582,80449283.96268582,80448699.96621601,84339054.65758877,84339054.65758877,84338442.42454255,72951501.95341112,45373665.014402546,84338442.42454255,68183064.48008963,53.41189196491664,23.89986535376446,CAFE,Eppley-VGPM,351.4666119917307,443.57579098339374,275.890952340263,489.1619057259369,512.8131746028378
EEZ,eez,155,Juan Fernandez Islands (Chile),503273.5167090559,503047.82994749607,99.95515624127499,common mask,5,76515452.67019907,76476111.74251038,76519163.53528099,76515452.67019907,102746666.65209383,102803995.11203781,102799521.70827952,63269053.62184641,63305189.45713391,63301600.55979547,109605260.6520175,109660981.6205973,109661643.91386701,101660591.54156262,101660591.54156262,101712887.89776456,101712887.89776456,63301600.55979547,109661643.91386701,90798221.34998113,45.57932068615509,21.88219131991347,CbPM2,Eppley-VGPM,416.53568133174025,559.621191812049,344.6019646804434,596.9772898097455,553.7057624598649
EEZ,eez,162,Christmas Isl. (Australia),327600.4232308,327087.7648682584,99.84351108051516,common mask,5,56316490.66341451,56225973.72101361,56319473.512406304,56316490.66341451,36901618.014537945,36964365.432211846,36961025.10722602,56508469.20373188,56605243.71980897,56599440.92931651,60085149.7844491,60184752.36505954,60181879.528413594,66260876.89700829,66260876.89700829,66367548.806458525,56599440.92931651,36961025.10722602,66367548.806458525,55285277.00696583,51.95550206221376,19.92477588510845,CAFE,VGPM,470.9754453935194,309.10546905554264,473.34176165253285,503.30173598560646,555.0325577922432
EEZ,eez,166,Cocos (Keeling) Isl. (Australia),466309.22260007064,466309.1438245345,99.99998310658843,common mask,5,71797342.32271752,71797815.8011652,71797815.8011652,71797342.32271752,46365466.7356961,46365466.7356961,46365160.97362004,71805773.95336781,71805773.95336781,71805300.42243925,78758489.92851111,78758489.92851111,78757970.54714642,90395806.43104707,90395806.43104707,90395210.30614233,71805300.42243925,46365160.97362004,90395210.30614233,71824196.91441312,61.31866181672967,22.462098008324034,CAFE,VGPM,421.83392033874446,272.41116436771773,421.8806768940077,462.7299897048427,531.1027499024844
EEZ,eez,184,Cook Islands,1967170.5672296223,1965825.5739080512,99.93162802738223,common mask,5,228523289.59634987,228299174.9387015,228528959.51005438,228523289.59634987,128442826.71692136,128542609.92155784,128568915.30285156,200271837.1471452,200441483.4866309,200468438.18274197,205346740.10991085,205553515.72575822,205548323.03009135,349790429.44492275,349889704.0741235,350133808.5323188,205548323.03009135,128568915.30285156,350133808.5323188,222648554.92887074,107.79211912958837,36.15658154981476,CAFE,VGPM,318.2699125349812,179.06103793811994,279.19724243049177,286.2721209205986,487.6398235556508
EEZ,eez,219,Galapagos Isl. (Ecuador),839017.1978198324,830603.1421353339,98.9971533710677,common mask,5,199502546.2269227,196417051.63092294,199604765.8537576,199502546.2269227,162649627.78924236,164456878.53052467,165204673.51168853,185448878.48247725,187432374.93336606,188362075.21178713,195133753.58370906,197224893.8827555,198199088.98702744,212796677.77895224,213520523.03729197,216139478.1818796,198199088.98702744,165204673.51168853,216139478.1818796,193481572.4238611,25.698808672891968,9.661271315218798,CAFE,VGPM,651.455440782629,539.4591970745669,615.0773564275742,647.1991326461333,705.781663905913
EEZ,eez,226,Equatorial Guinea,304147.4455232251,301030.4692900458,98.97517592895868,common mask,5,124411157.39362353,122052559.50059561,124503722.46712247,124411157.39362353,99340171.55528864,100782068.01407385,101259865.17156377,144232111.93218857,147217903.673234,147019317.35174036,110238864.66137055,111393997.52273306,112369169.465989,43528359.95308764,43528359.95308764,44369521.32235669,112369169.465989,44369521.32235669,147019317.35174036,105885806.14105467,91.35049811011808,36.21811243732788,Eppley-VGPM,CAFE,1120.6817319262987,912.1374919457811,1324.3334974778968,1012.2088572316314,399.67566448206725
EEZ,eez,238,Falkland Isl. (UK),547204.8415589053,536089.5294978449,97.96871094389542,common mask,5,108410707.99547847,101849448.69850315,106537402.72082458,108410707.99547847,125030672.2765953,127981178.52281678,133085292.81077538,86378460.83949581,88490269.49823791,91943061.20291328,111646385.89854087,113053206.88695271,118838775.22230615,109635301.04687554,110146437.93254648,116698133.95822413,116698133.95822413,91943061.20291328,133085292.81077538,113795194.23793948,35.25526091324673,13.272661465015897,VGPM,Eppley-VGPM,542.7869342267206,666.3267809157653,460.33729726984603,594.9978158325857,584.2801281567636
EEZ,eez,239,South Georgia & Sandwich Isl. (UK),1271031.1796546066,1267092.2980006735,99.69010345953878,common mask,5,110789719.38126735,98360606.37338224,99044308.20195056,110789719.38126735,75993076.44914913,76352308.40672693,85595767.70765819,61876257.173228346,62165958.88155843,69695108.85854225,86498822.53541017,86909677.11378685,97429048.36444238,146026269.09523267,146516746.74494237,164478544.52971643,97429048.36444238,69695108.85854225,164478544.52971643,105597637.76832531,97.28457504442409,34.30706020793647,CAFE,Eppley-VGPM,238.80883696289797,184.5029110044705,150.22881167551026,210.0097180158438,354.5358733992173
EEZ,eez,242,Fiji,1283570.2210105273,1255104.7900503718,97.7823238266041,common mask,5,146757558.82524043,140655749.68250665,147009880.82652336,146757558.82524043,90135667.1020868,93352906.257577,94045856.6169227,132956257.72372396,138585944.05245668,138724053.99791485,139821232.26685473,144597166.0422872,145886839.0786629,209471006.93808457,209929466.16136563,218558101.551405,145886839.0786629,94045856.6169227,218558101.551405,148794482.01402918,85.34851102459263,30.015173058820753,CAFE,VGPM,313.24776552875335,200.73687977850082,296.10059125938005,311.3892512743566,466.5029692317914
EEZ,eez,258,French Polynesia,4783734.151111429,4767975.044961196,99.67056893940122,common mask,5,556831706.8742769,554317118.3845776,556911598.6462433,556831706.8742769,359679432.02208245,361208965.11489624,361311071.61925036,464145908.2480558,466303729.0503563,466251446.6117688,505747067.3239002,507938350.7764289,508041324.0084096,813852859.9208449,814100781.2736785,817544799.0040718,508041324.0084096,361311071.61925036,817544799.0040718,541996069.6235554,89.80248373993872,31.376994430877524,CAFE,VGPM,318.90700277503004,206.92900475501318,267.030144912443,290.96391948449286,468.22183123916335
EEZ,eez,312,Guadeloupe  (France),90716.10044060712,87954.27109004866,96.95552461234084,common mask,5,13739847.364297684,13132656.022680646,13777991.3770118,13739847.364297684,7911371.062664408,8155341.453340782,8277155.105227711,12915350.435675327,13348072.002891414,13512494.603994995,13740370.48431746,14037601.277429996,14375659.642449608,13740840.32583649,13765624.461331844,14376151.207198258,13739847.364297684,8277155.105227711,14376151.207198258,12856261.584633652,44.38911103058167,20.132988761770942,CAFE,VGPM,414.95850520027136,249.97918963065936,408.09220173510323,434.16073543868475,434.1755812348498
EEZ,eez,316,Guam (USA),208440.39017232062,207572.75653260548,99.58374975262815,common mask,5,18653551.40693454,18573136.076535054,18656358.06993915,18653551.40693454,7795671.193763497,7804983.535578295,7829423.785256339,13684935.737807237,13701388.288776614,13744186.831662185,10859319.240919948,10882992.843683062,10906336.381217292,30595324.1158357,30620922.208337966,30727791.41092878,13744186.831662185,7829423.785256339,30727791.41092878,16372257.963199828,166.60401889271444,54.720101210707924,CAFE,VGPM,245.18098556005197,102.90940304926774,180.65263818104253,143.35212874274575,403.883958494599
EEZ,eez,334,Heard & McDonald Isl. (Australia),414273.6063290094,413972.1241496397,99.92722631257124,common mask,5,25743371.256924387,24571547.865636047,24683635.0135651,25743371.256924387,21227813.468600124,21292445.5153281,22240173.312775835,15577546.104042945,15622206.621011443,16320443.25498389,28039188.83367272,28079498.26573057,29376384.908080384,43385562.20246317,43503971.44927128,45454630.741044864,25743371.256924387,16320443.25498389,45454630.741044864,27827000.694761872,113.17160909228053,39.41089482849376,CAFE,Eppley-VGPM,170.2492825708347,147.08149577467097,107.9323965640926,194.27558283688822,300.6062491175698
