system,layer,region_id,title,water_area_km2,common_area_km2,common_area_pct_of_water,ensemble_basis,n_models,baseline_central_tC_yr,common_antoinemorel_tC_yr,own_antoinemorel_tC_yr,scaled_antoinemorel_tC_yr,common_vgpm_tC_yr,own_vgpm_tC_yr,scaled_vgpm_tC_yr,common_eppley_tC_yr,own_eppley_tC_yr,scaled_eppley_tC_yr,common_cbpm_tC_yr,own_cbpm_tC_yr,scaled_cbpm_tC_yr,common_cafe_tC_yr,own_cafe_tC_yr,scaled_cafe_tC_yr,scaled_median_tC_yr,scaled_min_tC_yr,scaled_max_tC_yr,scaled_mean_tC_yr,spread_pct,cv_pct,model_max,model_min,rate_antoinemorel_mgC_m2_d,rate_vgpm_mgC_m2_d,rate_eppley_mgC_m2_d,rate_cbpm_mgC_m2_d,rate_cafe_mgC_m2_d
EEZ,eez,16,American Samoa,405548.98767301475,404515.0774103297,99.745059094188,common mask,5,37394794.47504589,37257373.85126033,37400322.93712912,37394794.47504589,17394541.715887997,17460602.44926981,17458699.989163086,30084339.208593268,30201968.770470858,30195302.710119866,24877077.623419672,24971142.274129394,24968834.5877892,58083366.91529905,58084513.47367727,58297602.42596418,30195302.710119866,17458699.989163086,58297602.42596418,33663046.83761644,135.24919034215893,46.283088240485725,CAFE,VGPM,252.62420774443873,117.94396292118552,203.9873338477059,168.6794149985616,393.8351803507644
EEZ,eez,28,Antigua & Barbuda,111350.91030578806,110434.57230351755,99.17707183555655,common mask,5,13827309.3500703,13617345.927616121,13838605.73477577,13827309.350070301,7952371.871012023,7991474.779507791,8074988.071227648,11977961.31285568,12044432.150660401,12162647.357011363,11973213.529018646,12122323.59300608,12157826.367944118,13331097.941382064,13382903.168131258,13536647.7573097,12162647.357011363,8074988.071227648,13827309.350070301,11951883.780712627,47.294977071966414,19.237393831522798,Antoine-Morel,VGPM,340.21310837269306,198.6805040830889,299.2550436682548,299.136425965094,333.0615446480311
EEZ,eez,37,Macquarie Isl. (Australia),473839.1821519147,473552.48086461326,99.93949396797467,common mask,5,26823218.022993922,25870821.07026207,26112713.501816213,26823218.022993922,28082659.70788382,28105747.73546391,29116482.308942966,17116890.75597898,17131025.081367828,17747024.39387025,33215698.46306624,33236375.107384555,34438486.48023696,46227026.82264386,46227026.82264386,47928808.12135753,29116482.308942966,17747024.39387025,47928808.12135753,31210803.865480326,103.65875728819451,35.63597904095966,CAFE,Eppley-VGPM,155.09116030127518,168.35075572641853,102.61284096415652,199.12244767429186,277.1231422354459
EEZ,eez,38,Lord Howe Isl. (Australia),541677.4668252923,541677.3690858919,99.99998195616276,common mask,5,77005628.98383296,77005345.15420613,77005345.15420613,77005628.98383296,95411720.01111025,95411720.01111025,95412071.68374844,71584581.7725765,71584581.7725765,71584845.62211955,91056630.38175656,91056630.38175656,91056966.00221731,98266282.69919482,98266282.69919482,98266644.89330345,91056966.00221731,71584845.62211955,98266644.89330345,86665231.43704434,29.30231528967722,13.543956428362966,CAFE,Eppley-VGPM,389.4832975416156,482.58041386124194,362.06576187779916,460.55292126922524,497.0184309439264
EEZ,eez,44,Bahamas,619028.9914125121,597457.2043140382,96.51522183973144,common mask,5,91615294.31041785,87044480.70536548,91925120.05219449,91615294.31041785,80303439.19454072,82632972.26040585,84520272.35189307,121526916.35916032,125207363.68544874,127908445.4138827,100456042.53142558,104443472.7968243,105731113.87646098,59961541.590697475,60500306.346423276,63110196.48370988,91615294.31041785,63110196.48370988,127908445.4138827,94577064.48727289,70.72863697912547,25.548840808433198,Eppley-VGPM,CAFE,405.4750420609114,374.07357848750036,566.1028835252272,467.94946377561337,279.3159129850089
EEZ,eez,52,Barbados,184824.25078884442,184240.18131191007,99.68398655780207,common mask,5,40157302.136577986,40032789.08330426,40166749.009139575,40157302.136577986,25081339.517601956,25146735.90751268,25159349.424856555,41047628.60848738,41155055.5602711,41175298.09354507,43088445.51407041,43181618.287689514,43222462.5045082,28794430.93637451,28794430.93637451,28883989.585553482,40157302.136577986,25159349.424856555,43222462.5045082,35719680.34900826,44.98089293503245,22.743667450214453,CbPM2,VGPM,595.268236630552,372.9474035872691,610.3584101720872,640.7043717823132,428.1592794498623
EEZ,eez,60,Bermuda (UK),450594.11491945974,450182.70617710217,99.90869637912802,common mask,5,48120863.96778971,48049203.486235075,48120762.66253796,48120863.96778971,51935700.38942209,52044728.318325415,52013157.18432712,45170169.63553551,45285008.29052472,45237536.33202849,58930917.95453675,59008111.44738218,59018807.40228355,49257507.23262111,49257507.23262111,49330969.77585518,49330969.77585518,45237536.33202849,59018807.40228355,50744266.932456814,27.9363473551664,10.300469333256174,CbPM2,Eppley-VGPM,292.58700703838866,316.2531328898446,275.0556467572612,358.8492556652325,299.94475599357463
EEZ,eez,74,Bouvet Isl. (Norway),439183.90689272474,439210.00148621254,100.00594160967154,common mask,5,25057226.512838937,23366298.78605768,23593348.19614521,25057226.512838934,14928669.783300746,15091127.340390688,16008999.273720816,13494009.704891548,13653925.9527605,14470518.452142153,30980754.326374527,31392551.993251115,33222710.443032723,42532513.3348379,43177695.06920016,45610425.10623424,25057226.512838934,14470518.452142153,45610425.10623424,26873975.957593776,124.27515327020123,48.034810195021144,CAFE,Eppley-VGPM,156.31250274473737,99.8676665843999,90.27028406792223,207.25059154704496,284.52788643443205
EEZ,eez,77,Trindade & Martim Vaz Isl. (Brazil),469862.5925954977,469862.52953034185,99.99998657795771,common mask,5,40681282.51918555,40681532.243058026,40681532.243058026,40681282.51918555,26998376.12113389,26998376.12113389,26998210.391411737,27862518.627291746,27862518.627291746,27862347.593024723,32817308.365595203,32817308.365595203,32817106.91631644,57324692.57600741,57324692.57600741,57324340.6879779,32817106.91631644,26998210.391411737,57324340.6879779,37136657.62158327,92.40951791971712,33.728499585233116,CAFE,VGPM,237.20885701932298,157.42410838433423,162.46281378419033,191.35356459396573,334.2530149478125
EEZ,eez,90,Solomon Isl.,1601943.2144568851,1571197.452967943,98.08072088876347,common mask,5,192150836.18029267,185565306.08944634,192614856.9016349,192150836.18029267,102683171.78256115,105212050.22166924,106327296.4944922,194157458.44337347,199441178.85824403,201047915.56537858,162135427.1734496,165876864.38677835,167889453.91985175,263085243.13605222,264595491.61259297,272421879.5022001,192150836.18029267,106327296.4944922,272421879.5022001,187967476.33244306,86.43968785640023,31.90865466874007,CAFE,VGPM,328.62628482606783,181.84643438032805,343.8425295338452,287.13321575863546,465.9099691980659
