system,layer,region_id,title,water_area_km2,common_area_km2,common_area_pct_of_water,ensemble_basis,n_models,baseline_central_tC_yr,common_antoinemorel_tC_yr,own_antoinemorel_tC_yr,scaled_antoinemorel_tC_yr,common_vgpm_tC_yr,own_vgpm_tC_yr,scaled_vgpm_tC_yr,common_eppley_tC_yr,own_eppley_tC_yr,scaled_eppley_tC_yr,common_cbpm_tC_yr,own_cbpm_tC_yr,scaled_cbpm_tC_yr,common_cafe_tC_yr,own_cafe_tC_yr,scaled_cafe_tC_yr,scaled_median_tC_yr,scaled_min_tC_yr,scaled_max_tC_yr,scaled_mean_tC_yr,spread_pct,cv_pct,model_max,model_min,rate_antoinemorel_mgC_m2_d,rate_vgpm_mgC_m2_d,rate_eppley_mgC_m2_d,rate_cbpm_mgC_m2_d,rate_cafe_mgC_m2_d
EEZ,eez,16,American Samoa,405548.98767301475,403936.39439910196,99.60236782166179,common mask,5,35709440.98731964,35562359.394459404,35713958.51611954,35709440.98731964,16168701.849955168,16237184.96603643,16235573.634141237,27827611.707623705,27949336.33787006,27942703.324860193,22383434.40798374,22485998.308538504,22476009.57010647,56309441.564186975,56322383.590649344,56542330.56534873,27942703.324860193,16235573.634141237,56542330.56534873,31781211.61635525,144.2478791783442,49.03747073734519,CAFE,VGPM,241.23863668881253,109.68101266978267,188.76967740500027,151.8388906962324,381.97726885829746
EEZ,eez,28,Antigua & Barbuda,111350.91030578806,109778.07124178276,98.58749330410858,common mask,5,14646362.035286648,14286311.985886525,14659090.642467763,14646362.035286648,8697324.244052742,8834384.193623472,8916518.114858143,13038570.527890727,13263921.83749068,13367174.436815001,14123036.039744394,14400794.772489363,14478971.135436911,13651915.452958526,13680539.875019155,13995977.156083861,13995977.156083861,8916518.114858143,14646362.035286648,13081000.575696113,40.93922029543911,18.197968134756678,Antoine-Morel,VGPM,360.3654354020322,219.3858737746322,328.89174966536154,356.24687719888533,344.3630841281703
EEZ,eez,37,Macquarie Isl. (Australia),473839.1821519147,473353.95611128554,99.89759689386058,common mask,5,28569385.567474306,27656314.356394563,27879063.591565724,28569385.567474306,30168991.36315515,30204173.438738126,31165018.423233792,18601796.20221646,18623151.673384648,19215933.153646115,34411604.28674445,34448585.070439756,35547700.904551,46873538.63470721,46873538.63470721,48421065.1104789,31165018.423233792,19215933.153646115,48421065.1104789,32583820.63187682,93.71126164668046,32.78355468474645,CAFE,Eppley-VGPM,165.18745636544384,180.19533912472954,111.10603382919807,205.53589709495063,279.9693595514965
EEZ,eez,38,Lord Howe Isl. (Australia),541677.4668252923,541100.955655457,99.89356929074155,common mask,5,72074804.01028731,71985407.62948753,72074635.25559135,72074804.01028731,86976481.21157435,87090399.90311739,87084494.52831537,66599121.37213959,66687019.73491744,66681828.69590386,86636552.6100928,86746083.95902616,86744143.78035021,99140254.6637108,99140254.6637108,99263373.78257614,86744143.78035021,66681828.69590386,99263373.78257614,82369728.95948657,37.5605126372264,15.815794799652657,CAFE,Eppley-VGPM,364.5439003100145,440.4607369774747,337.26701371452185,438.73929228067135,502.0597410360811
EEZ,eez,44,Bahamas,619028.9914125121,516575.1252707942,83.4492620599341,common mask,5,93370682.14888923,64058781.92400259,93690385.45567903,93370682.14888923,45078003.23369925,80169206.03313546,65704713.47447289,69056185.22663225,133815322.94831234,100654788.11102283,64147173.38938389,89672764.26488422,93499519.61927047,54734513.25759107,54954581.4697843,79779831.6866493,93370682.14888923,65704713.47447289,100654788.11102283,86601907.00806096,37.431529718095476,16.0636398562081,Eppley-VGPM,VGPM,413.24411558727854,290.79884161472944,445.4824355490625,413.8143301908015,353.09312546822315
EEZ,eez,52,Barbados,184824.25078884442,184240.18131191007,99.68398655780207,common mask,5,48037508.61437227,47893023.20929136,48046427.50016757,48037508.61437226,31386277.395543132,31466708.101850156,31480964.65267575,50433328.83108579,50565182.82057359,50585477.92206914,51034469.26607351,51147077.768433355,51188431.89926905,32228826.279220816,32228826.279220816,32326055.368307263,48037508.61437226,31480964.65267575,51188431.89926905,42723687.691338696,41.02516515749748,23.29494817015896,CbPM2,VGPM,712.0797843377999,466.65531096915294,749.8493832920075,758.7872185468873,479.18243887171695
EEZ,eez,60,Bermuda (UK),450594.11491945974,450182.70617710217,99.90869637912802,common mask,5,44965387.53415248,44898508.161832355,44965497.29722989,44965387.53415248,46135134.82554424,46240490.97964549,46203856.23713135,41634211.740977876,41748020.903903544,41696228.72243845,52806750.656389855,52881210.03976028,52885409.89213628,48286139.70356994,48286139.70356994,48358065.182775095,46203856.23713135,41696228.72243845,52885409.89213628,46821789.51372673,24.216985509330154,8.88505248212483,CbPM2,Eppley-VGPM,273.4009133282658,280.93111584827574,253.5236020461401,321.55664966231654,294.02925033653264
EEZ,eez,74,Bouvet Isl. (Norway),439183.90689272474,439210.00148621254,100.00594160967154,common mask,5,28569047.75000314,27305890.322399028,27550547.25570348,28569047.75000314,18760847.876862314,18781005.413246218,19628715.72749856,16999448.777431782,17018383.415132813,17785835.148096077,23657529.488231946,23677107.23657026,24751915.488431703,48314686.32617245,48438381.8640391,50549700.60970985,24751915.488431703,17785835.148096077,50549700.60970985,28257042.944747865,132.36900989309945,46.59590603979787,CAFE,Eppley-VGPM,178.22001778803187,122.4482557739654,110.95196046456738,154.40790526998487,315.3401758671213
EEZ,eez,77,Trindade & Martim Vaz Isl. (Brazil),469862.5925954977,469862.52953034185,99.99998657795771,common mask,5,39552749.014387295,39552915.903654076,39552915.903654076,39552749.014387295,24596020.36939042,24596020.36939042,24595916.589132722,26610698.38939041,26610698.38939041,26610586.10841589,30430177.003830973,30430177.003830973,30430048.606977995,56429798.721159056,56429798.721159056,56429560.62170373,30430048.606977995,24595916.589132722,56429560.62170373,35523772.188123524,104.6125310009237,36.65183677452047,CAFE,VGPM,230.62848083145437,143.41655179379492,155.1639064578336,177.43484477657526,329.0356337921305
EEZ,eez,90,Solomon Isl.,1601943.2144568851,1555678.7328071578,97.11197742640256,common mask,5,207395518.6119787,198175716.80658275,207859330.12779713,207395518.6119787,114260017.17229949,118521394.14375538,119575778.00104874,212772641.15820438,221459144.3506207,222671541.04715443,184180935.90112332,190440526.68701017,192749653.36411116,276267412.0103842,277298571.72372115,289120302.490964,207395518.6119787,119575778.00104874,289120302.490964,206302558.70305142,81.74936740418205,29.517653403195915,CAFE,VGPM,354.69852812443986,204.5046717506897,380.8243707155237,329.65041290336455,494.4684746843641
